,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
0,"42 North Dental, LLC (fka Gentle Communications, LLC) (15)",Dental services provider,First lien senior secured revolving loan ($5.0 par due 5/2022),7.25% (Libor + 6.25%/Q),5/26/2017,5.0,4.7
1,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,First lien senior secured loan ($7.5 par due 9/2022),11.00% PIK (Libor + 10.00%/Q),9/30/2020,7.5,7.5
2,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,First lien senior secured loan ($16.0 par due 9/2022),11.00% PIK (Libor + 10.00%/Q),9/30/2020,16.0,16.0
3,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,"Class A pref units (14,750,000 units)",0,9/30/2020,4.7,4.7
4,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,"Common units (7,200,000 units)",0,9/30/2020,0.0,0.0
5,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",0,6/22/2017,0.1,0.0
6,"ADCS Billings Intermediate Holdings, LLC (15)",Dermatology practice,First lien senior secured revolving loan ($5.0 par due 5/2022),6.75% (Libor + 5.75%/Q),5/18/2016,5.0,4.8
7,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,First lien senior secured revolving loan ($13.9 par due 9/2022),"6.25% (Libor + 2.50% Cash, 2.75% PIK/M)",9/28/2016,13.9,12.1
8,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,Second lien senior secured loan ($100.5 par due 3/2024),0,9/28/2016,89.0,72.4
9,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,"Membership units (3,000,000 units)",0,9/28/2016,3.0,0.0
10,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,First lien senior secured loan ($1.7 par due 4/2022),4.25% (Libor + 3.25%/Q),4/3/2020,1.6,1.7
11,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),8.88% (Libor + 7.88%/Q),3/14/2018,182.7,182.7
12,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",0,3/14/2018,0.9,2.0
13,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($2.8 par due 9/2023),7.50% (Libor + 6.50%/Q),5/15/2017,2.8,2.4
14,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),8.75% (Libor + 8.50%/Q),2/11/2019,210.3,210.3
15,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,"Senior preferred stock (121,810 shares)",11.28% PIK (Libor + 11.13%/Q),2/11/2019,145.3,145.3
16,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),0,2/11/2019,9.0,12.1
17,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($30.6 par due 7/2026),5.25% (Libor + 4.25%/Q),7/9/2019,30.6,30.6
