,Company(1),Business Description,Investment,Interest(5)(12),Acquisition  Date,Amortized  Cost,Fair Value
0,"AGILE Fund I, LLC (7)(9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,252.0,150
1,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,2533.0,2512
2,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,1059.0,1065
3,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822.0,4728
4,Firstlight Financial Corporation (6)(9),Investment company,"Senior subordinated loan ($74,177 par due 12/2016)",1.00% PIK,12/31/2006,73893.0,57377
5,Firstlight Financial Corporation (6)(9),0,"Class A common stock (10,000 shares)",0,12/31/2006,10000.0,0
6,Firstlight Financial Corporation (6)(9),0,"Class B common stock (30,000 shares)",0,12/31/2006,30000.0,0
7,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,808.0,972
8,"Imperial Capital Private Opportunities, LP (6)(9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,6643.0,5300
9,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,"Class B deferrable interest notes ($40,000 par due 11/2018)",6.25% (Libor + 6.00%/Q),11/20/2007,40000.0,37600
10,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",0,Subordinated notes ($16 par due 11/2018),15.00%,11/20/2007,15515.0,16000
11,Knightsbridge CLO 2007-1 Ltd. (7)(8)(9),Investment company,"Class E notes ($20,350 par due 1/2022)",9.29% (Libor + 9.00%/Q),3/24/2010,14852.0,18575
12,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,"Class C notes ($14,400 par due 6/2018)",7.75% (Libor + 7.50%/Q),3/24/2010,14400.0,14400
13,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),0,"Class D notes ($9,000 par due 6/2018)",8.75% (Libor + 8.50%/Q),3/24/2010,9000.0,9000
14,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),0,"Class E notes ($14,850 par due 6/2018)",5.25% (Libor + 5.00%/Q),3/24/2010,13596.0,13844
15,"Kodiak Funding, LP (9)",Investment partnership,Limited partnership interest (1.52% interest),0,4/1/2010,891.0,817
16,"Novak Biddle Venture Partners III, L.P. (9)",Investment partnership,Limited partnership interest (2.47% interest),0,4/1/2010,221.0,216
17,"Partnership Capital Growth Fund I, LP (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,2635.0,4558
18,Senior Secured Loan Fund LLC (7) (11) (17),Co-investment vehicle,"Subordinated certificates ($731,733 par due 12/2015)",8.29% (Libor + 8.00%/Q),10/30/2009,721010.0,740623
19,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,975.0,975
20,"Axium Healthcare Pharmacy, Inc.",Specialty pharmacy provider,"Senior subordinated loan ($3,160 par due 3/2015)",8.00%,4/1/2010,2938.0,3160
21,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602.0,878
22,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC (6)",Healthcare analysis services,"Senior secured loan ($7,281 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7281.0,7281
23,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC (6)",0,"Senior secured loan ($7,681 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7681.0,7681
24,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC (6)",0,"Class A common stock (9,679 shares)",0,6/15/2007,4000.0,10828
25,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC (6)",0,"Class C common stock (1,546 shares)",0,6/15/2007,0.0,1730
26,DSI Renal Inc. (6),Dialysis provider,"Senior secured loan ($9,307 par due 3/2013)",8.50% (Libor + 6.50%/M),4/4/2006,9248.0,9307
27,DSI Renal Inc. (6),0,"Senior subordinated loan ($69,009 par due 4/2014)",16.00%,4/4/2006,68523.0,69009
28,DSI Renal Inc. (6),0,"Common units (19,726 units)",0,4/4/2006,19684.0,43125
29,"GG Merger Sub I, Inc.",Drug testing services,"Senior secured loan ($11,330 par due 12/2014)",4.25% (Libor + 4.00%/Q),12/14/2007,10988.0,11103
30,"GG Merger Sub I, Inc.",0,"Senior secured loan ($12,000 par due 12/2014)",4.25% (Libor + 4.00%/Q),12/14/2007,11633.0,11760
31,"HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (10,372,026 units)",0,6/26/2008,10372.0,5549
32,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Senior subordinated loan ($10,013 par due 9/2017)",13.50%,9/27/2010,10113.0,11125
33,"INC Research, Inc.",0,"Common stock (1,000,000 shares)",0,9/27/2010,1000.0,611
34,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($50,342 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/15/2010,50342.0,50342
35,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($47,727 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/15/2010,47727.0,47727
36,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($8,877 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/15/2010,8877.0,8877
37,MW Dental Holding Corp.,Dental services,"Senior secured revolving loan ($1,700 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,1700.0,1700
38,MW Dental Holding Corp.,0,"Senior secured loan ($30,800 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,30800.0,30800
39,MW Dental Holding Corp.,0,"Senior secured loan ($50,000 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,50000.0,50000
40,MW Dental Holding Corp.,0,"Senior secured loan ($2,700 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,2700.0,2700
41,Napa Management Services Corporation,Anesthesia management services provider,"Senior secured loan ($11,031 par due 4/2016)",8.50% (Libor + 7.00%/Q),4/13/2011,10656.0,11031
42,Napa Management Services Corporation,0,"Senior secured loan ($29,813 par due 4/2016)",8.50% (Libor + 7.00%/Q),4/13/2011,29813.0,29813
43,Napa Management Services Corporation,0,"Senior secured loan ($7,851 par due 4/2016)",8.50% (Libor + 7.00%/Q),4/13/2011,7851.0,7851
44,Napa Management Services Corporation,0,"Common units (5,000 units)",0,4/13/2011,5000.0,5000
