,Industry,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,Fair  Value
0,Business Services,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (19),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,"Class A common units (236,358 units)",,5/11/2018,4.3,6.6
1,Business Services,Achilles Acquisition LLC (19),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured loan ($8.3 par due 10/2025),6.06% (Libor + 4.00%/M),10/11/2018,8.3,8.3
2,Business Services,Achilles Acquisition LLC (19),,First lien senior secured loan ($10.6 par due 10/2025),6.06% (Libor + 4.00%/M),10/11/2018,10.6,10.6
3,Business Services,"Alera Group Intermediate Holdings, Inc. (19)",Insurance service provider,Second lien senior secured loan ($18.5 par due 3/2026),10.60% (Libor + 8.50%/M),3/5/2019,18.5,18.5
4,Business Services,"Alera Group Intermediate Holdings, Inc. (19)",,Second lien senior secured loan ($4.5 par due 3/2026),10.54% (Libor + 8.50%/M),3/5/2019,4.5,4.5
5,Business Services,"Alera Group Intermediate Holdings, Inc. (19)",,Second lien senior secured loan ($26.2 par due 3/2026),10.54% (Libor + 8.50%/M),3/5/2019,26.2,26.2
6,Business Services,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",Provider of IP management lifecycle software,First lien senior secured loan ($4.1 par due 4/2026),5.75% (EURIBOR + 5.75%/Q),4/10/2019,4.2,4.0
7,Business Services,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",,First lien senior secured loan ($0.5 par due 4/2026),5.75% (EURIBOR + 5.75%/Q),4/10/2019,0.5,0.5
8,Business Services,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",,First lien senior secured loan ($7.4 par due 4/2026),7.86% (Libor + 5.50%/Q),4/10/2019,7.4,7.3
9,Business Services,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",,First lien senior secured loan ($0.3 par due 4/2026),7.60% (Libor + 5.50%/Q),4/10/2019,0.3,0.3
10,Business Services,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",,"Limited partnership units (4,400,000 units)",,6/13/2019,5.0,5.0
11,Business Services,"Apptio, Inc. (19)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),9.56% (Libor + 7.25%/Q),1/10/2019,62.2,61.6
12,Business Services,"AQ Sunshine, Inc. (19)",Specialized insurance broker,First lien senior secured revolving loan ($0.1 par due 4/2024),7.61% (Libor + 5.50%/Q),4/15/2019,0.1,0.0
13,Business Services,"AQ Sunshine, Inc. (19)",,First lien senior secured loan ($1.0 par due 4/2025),7.60% (Libor + 5.50%/Q),4/15/2019,1.0,1.0
14,Business Services,"AQ Sunshine, Inc. (19)",,First lien senior secured loan ($6.6 par due 4/2025),7.60% (Libor + 5.50%/Q),4/15/2019,6.6,6.4
15,Business Services,"Avetta, LLC (19)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($36.2 par due 4/2024),7.55% (Libor + 5.50%/M),4/10/2018,36.2,36.2
16,Business Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($42.2 par due 7/2026),6.35% (Libor + 4.25%/Q),9/10/2019,42.2,41.7
17,Business Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",,First lien senior secured loan ($2.0 par due 7/2026),6.35% (Libor + 4.25%/Q),7/9/2019,2.0,2.0
