,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
0,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (16)",Payment processing solution provider,First lien senior secured loan ($64.5 par due 3/2026),6.25% (Libor + 5.00%/Q),2/28/2020,64.5,64.5
1,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (16)",Payment processing solution provider,First lien senior secured loan ($6.5 par due 3/2026),6.25% (Libor + 5.00%/Q),1/29/2021,6.5,6.5
2,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (16)",Payment processing solution provider,Senior subordinated loan ($24.9 par due 2/2028),12.75% PIK,2/28/2020,24.9,24.9
3,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (16)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($4.9 par due 4/2026),5.50% (Euribor + 5.50%/Q),4/10/2019,4.7,4.9
4,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (16)",Provider of intellectual property management lifecycle software,"Limited partnership units (4,400,000 units)",0,6/13/2019,5.0,8.7
5,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(16)",Aircraft performance software provider,First lien senior secured loan ($12.8 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,12.8,12.8
6,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(16)",Aircraft performance software provider,First lien senior secured loan ($0.8 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,0.8,0.8
7,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(16)",Aircraft performance software provider,"Class A membership units (9,750,000 units)",0,1/3/2020,9.8,13.5
8,"Apptio, Inc. (16)",Provider of cloud-based technology business management solutions,First lien senior secured revolving loan ($1.7 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,1.7,1.7
9,"Apptio, Inc. (16)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,62.2,62.2
10,"Banyan Software Holdings, LLC (16)",Vertical software businesses holding company,First lien senior secured loan ($18.5 par due 10/2026),8.50% (Libor + 7.50%/Q),10/30/2020,18.5,18.3
11,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (16)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured revolving loan,0,8/20/2018,0.0,0.0
12,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (16)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured loan ($46.9 par due 8/2023),8.50% (Libor + 6.75%/Q),8/20/2018,46.9,46.9
13,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (16)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,"Series A preferred stock (150,000 shares)",0,9/26/2018,1.5,2.4
