,Industry,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair Value
0,Investment Funds and Vehicles,"Covestia Capital Partners, LP (10)",Investment partnership,Limited partnership interest (47.00% interest),,6/17/2008,487.0,1863
1,Investment Funds and Vehicles,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),,4/1/2010,0.0,127
2,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP (10)(26)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,4054.0,15343
3,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,0.0,692
4,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2451.0,3289
5,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment II, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,6548.0,8316
6,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,2178.0,215
7,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,1626.0,1639
8,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,"Subordinated certificates ($2,003,959 par due 12/2024)",8.63% (Libor + 8.00%/M) (22),10/30/2009,1938446.0,1889734
9,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,Member interest (87.50% interest),,10/30/2009,0.0,0
10,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),,1/24/2008,299.0,1158
11,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,,,,1956089.0,1922376
12,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"First lien senior secured loan ($18,750 par due 1/2022)",9.27% (Libor + 8.27%/Q),1/5/2016,18750.0,18750
13,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"First lien senior secured loan ($5,000 par due 1/2022)",9.27% (Libor + 8.27%/Q),1/5/2016,5000.0,5000
14,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",,1/5/2016,4000.0,4000
15,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",,1/5/2016,0.0,0
16,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,12/13/2013,3087.0,1782
17,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),,12/13/2013,3.0,0
18,Healthcare Services,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($8,810 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,8810.0,8810
19,Healthcare Services,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,52039.0,52039
20,Healthcare Services,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($2,801 par due 6/2019)",4.00% (Libor + 3.00%/Q),6/27/2014,2801.0,2801
21,Healthcare Services,"Argon Medical Devices, Inc.",Manufacturer and marketer of single-use specialty medical devices,"Second lien senior secured loan ($9,000 par due 6/2022)",10.50% (Libor + 9.50%/Q),12/23/2015,8740.0,9000
22,Healthcare Services,AwarePoint Corporation,Healthcare technology platform developer,"First lien senior secured loan ($9,474 par due 6/2018)",9.50%,9/5/2014,9418.0,9474
23,Healthcare Services,AwarePoint Corporation,Healthcare technology platform developer,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock",,11/14/2014,0.0,609
24,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"First lien senior secured revolving loan ($3,750 par due 7/2019)",5.00% (Libor + 4.00%/Q),7/23/2014,3750.0,3487
25,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"First lien senior secured revolving loan ($1,500 par due 7/2019)",6.50%(Base Rate + 3.00%/Q),7/23/2014,1500.0,1395
