,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair  Value
0,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($18.8 par due 1/2022),11.08% (Libor + 9.39%/Q),1/5/2016,18.8,17.6
1,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($5.0 par due 1/2022),11.08% (Libor + 9.39%/Q),1/5/2016,5.0,4.7
2,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",0,1/5/2016,4.0,0.9
3,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",0,1/5/2016,0.0,0.0
4,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",0,6/22/2017,0.1,0.0
5,"ADCS Billings Intermediate Holdings, LLC (21)",Dermatology practice,First lien senior secured revolving loan,0,5/18/2016,0.0,0.0
6,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($1.0 par due 9/2022),6.14% (Libor + 4.75%/Q),9/28/2016,1.0,1.0
7,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($1.4 par due 9/2022),6.24% (Libor + 4.75%/Q),9/28/2016,1.4,1.3
8,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($8.5 par due 9/2022),6.32% (Libor + 4.75%/Q),9/28/2016,8.5,8.3
9,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($0.6 par due 9/2022),8.25% (Base Rate + 3.75%/Q),9/28/2016,0.6,0.6
10,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,Second lien senior secured loan ($87.5 par due 3/2024),10.57% (Libor + 9.00%/Q),9/28/2016,87.5,81.4
11,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,"Membership units (3,000,000 units)",0,9/28/2016,3.0,1.9
12,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,First lien senior secured revolving loan ($2.0 par due 10/2019),6.89% (Libor + 5.50%/Q),1/3/2017,2.0,2.0
13,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,First lien senior secured revolving loan ($15.9 par due 10/2019),6.96% (Libor + 5.50%/Q),1/3/2017,15.9,15.9
14,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,First lien senior secured revolving loan ($7.7 par due 10/2019),7.06% (Libor + 5.50%/Q),1/3/2017,7.7,7.7
15,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,First lien senior secured loan ($10.0 par due 10/2020),7.07% (Libor + 5.50%/Q),1/3/2017,10.0,10.0
16,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,First lien senior secured loan ($95.7 par due 10/2020),7.07% (Libor + 5.50%/Q),1/3/2017,95.7,95.7
17,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,First lien senior secured loan ($0.2 par due 10/2020),11.00% (Base Rate + 6.50%/Q),1/3/2017,0.2,0.2
18,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,Senior subordinated loan ($30.0 par due 10/2020),11.75%,1/3/2017,30.0,30.0
19,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,Senior subordinated loan ($30.0 par due 10/2020),12.00%,1/3/2017,30.0,30.0
20,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,Senior subordinated loan ($25.0 par due 10/2020),12.25%,1/3/2017,25.0,25.0
21,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,Senior subordinated loan ($36.1 par due 10/2020),14.75% PIK,1/3/2017,36.1,36.1
22,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,Senior subordinated loan ($36.6 par due 10/2020),15.25% PIK,1/3/2017,22.8,36.6
23,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,"Series R preferred membership units (30,000 units)",0,1/3/2017,0.0,54.1
24,"Alcami Holdings, LLC (8)(21)",Outsourced drug development services provider,"Series R-2 preferred membership units (54,936 units)",0,1/3/2017,0.0,99.0
25,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,12/13/2013,3.1,2.8
26,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,12/13/2013,0.0,0.0
27,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.5 par due 9/2022),7.00% (Libor + 5.50%/Q),5/15/2017,3.5,3.3
28,"American Academy Holdings, LLC (21)","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals",First lien senior secured revolving loan ($0.9 par due 12/2022),9.75% (Base Rate + 5.25%/Q),12/15/2017,0.9,0.9
29,"American Academy Holdings, LLC (21)","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals",First lien senior secured loan ($0.5 par due 12/2022),7.84% (Libor + 6.25%/Q),12/15/2017,0.5,0.5
