,Industry,Company(1),Business Description,Investment,Interest(5)(10),Acquisition  Date,Amortized  Cost,Fair  Value
0,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($19.0 par due 1/2022),9.83% (Libor + 7.50%/Q),1/5/2016,19.0,18.1
1,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($5.1 par due 1/2022),9.83% (Libor + 7.50%/Q),1/5/2016,5.1,4.8
2,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,1.0
3,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",,1/5/2016,0.0,0.0
4,Healthcare Services,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,0.0
5,Healthcare Services,"ADCS Billings Intermediate Holdings, LLC (21)",Dermatology practice,First lien senior secured revolving loan ($3.3 par due 5/2022),9.75% (Base Rate + 4.75%/Q),5/18/2016,3.3,3.2
6,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($1.0 par due 9/2022),6.80% (Libor + 4.75%/M),9/28/2016,1.0,1.0
7,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($2.1 par due 9/2022),6.84% (Libor + 4.75%/M),9/28/2016,2.1,2.0
8,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,First lien senior secured revolving loan ($0.6 par due 9/2022),8.75% (Base Rate + 3.75%/M),9/28/2016,0.6,0.6
9,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,Second lien senior secured loan ($87.5 par due 3/2024),11.09% (Libor + 9.00%/M),9/28/2016,87.5,79.6
10,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (21)",Dental services provider,"Membership units (3,000,000 units)",,9/28/2016,3.0,1.4
11,Healthcare Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),9.96% (Libor + 7.88%/M),3/14/2018,182.7,182.7
12,Healthcare Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,1.5
13,Healthcare Services,"Alcami Holdings, LLC (7)(21)",Outsourced drug development services provider,First lien senior secured revolving loan ($7.7 par due 10/2019),7.50% (Libor + 5.50%/M),1/3/2017,7.7,7.7
