,Company(1),Business Description,Investment,Interest (5)(10),Acquisition  Date,Amortized  Cost,Fair Value
0,"AGILE Fund I, LLC (7)(9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,201.0,111
1,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,2409.0,3608
2,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,1059.0,1135
3,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822.0,3509
4,Firstlight Financial Corporation (6)(9),Investment company,"Senior subordinated loan ($56,570 par due 12/2016)",5.00% PIK,12/31/2006,56358.0,63517
5,Firstlight Financial Corporation (6)(9),0,"Class A common stock (10,000 shares)",0,12/31/2006,10000.0,0
6,Firstlight Financial Corporation (6)(9),0,"Class B common stock (30,000 shares)",0,12/31/2006,30000.0,0
7,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,633.0,534
8,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,6531.0,5000
9,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,Subordinated notes ($16 par due 11/2018),15.00%,11/20/2007,15515.0,16480
10,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",0,"Class B deferrable interest notes ($25,000 par due 11/2018)",6.49% (Libor + 6.00%/Q),11/20/2007,25000.0,23750
11,"Kodiak Funding, LP (9)",Investment partnership,Limited partnership interest (1.52% interest),0,4/1/2010,850.0,695
12,"Novak Biddle Venture Partners III, L.P. (9)",Investment partnership,Limited partnership interest (2.47% interest),0,4/1/2010,83.0,179
13,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,1721.0,4266
14,"Partnership Capital Growth Fund III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,1413.0,1270
15,Senior Secured Loan Fund LLC (7)(10)(18),Co-investment vehicle,"Subordinated certificates ($1,110,027 par due 12/2020)",8.47% (Libor + 8.00%/Q),10/30/2009,1099476.0,1125812
16,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,1398.0,1531
17,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602.0,1054
18,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,209 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7209.0,6776
19,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Senior secured loan ($7,604 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7604.0,7148
20,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Class A common stock (9,679 shares)",0,6/15/2007,4000.0,5276
21,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Class C common stock (1,546 shares)",0,6/15/2007,0.0,843
22,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512.0,1024
23,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($15,573 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,15573.0,15573
