,Company(1),Business Description,Investment,Interest (5)(11),Acquisition  Date,Amortized  Cost,Fair Value
2,"AGILE Fund I, LLC (7)(9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,207.0,104
3,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,2452.0,3648
4,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (46.67% interest),0,6/17/2008,1059.0,1111
5,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822.0,3509
6,Firstlight Financial Corporation (6)(9),Investment company,"Senior subordinated loan ($71,720 par due 12/2016)",1.00% PIK,12/31/2006,71462.0,74342
7,Firstlight Financial Corporation (6)(9),Investment company,"Class A common stock (10,000 shares)",0,12/31/2006,10000.0,0
8,Firstlight Financial Corporation (6)(9),Investment company,"Class B common stock (30,000 shares)",0,12/31/2006,30000.0,0
10,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,808.0,736
11,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,6643.0,5120
12,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,"Class B deferrable interest notes ($40,000 par due 11/2018)",6.47% (Libor + 6.00%/Q),11/20/2007,40000.0,38000
13,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,Subordinated notes ($16 par due 11/2018),15.00%,11/20/2007,15515.0,16480
15,"Kodiak Funding, LP (9)",Investment partnership,Limited partnership interest (3.96% interest),0,4/1/2010,859.0,823
16,"Novak Biddle Venture Partners III, L.P. (9)",Investment partnership,Limited partnership interest (2.46% interest),0,4/1/2010,83.0,184
17,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,1721.0,4225
18,"Partnership Capital Growth Fund III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,1342.0,1266
19,Senior Secured Loan Fund LLC (7)(10)(17),Co-investment vehicle,"Subordinated certificates ($1,110,966 par due 12/2020)",8.47% (Libor + 8.00%/Q),10/30/2009,1100243.0,1125702
20,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,1394.0,790
23,BenefitMall Holdings Inc. and Centerstone Insurance and Financial Services (7),Employee benefits broker services company,"Senior subordinated loan ($40,326 par due 6/2014)",18.00%,4/1/2010,40326.0,40326
24,BenefitMall Holdings Inc. and Centerstone Insurance and Financial Services (7),Employee benefits broker services company,"Common stock (39,274,290 shares)",0,4/1/2010,53510.0,60096
25,BenefitMall Holdings Inc. and Centerstone Insurance and Financial Services (7),Employee benefits broker services company,Warrants,0,4/1/2010,0.0,0
27,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602.0,1064
28,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,227 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7227.0,6938
29,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,623 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7623.0,7318
30,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Class A common stock (9,679 shares)",0,6/15/2007,4000.0,9019
31,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Class C common stock (1,546 shares)",0,6/15/2007,0.0,1441
33,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512.0,1403
35,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($20,711 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,20711.0,20711
36,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($44,001 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,44001.0,44001
37,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($56,798 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,56798.0,56798
38,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($15,999 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,15999.0,15999
40,MW Dental Holding Corp.,Dental services,"Senior secured revolving loan ($1,700 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,1700.0,1700
41,MW Dental Holding Corp.,Dental services,"Senior secured loan ($4,000 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,4000.0,4000
42,MW Dental Holding Corp.,Dental services,"Senior secured loan ($5,371 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,5371.0,5371
43,MW Dental Holding Corp.,Dental services,"Senior secured loan ($49,625 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,49625.0,49625
44,MW Dental Holding Corp.,Dental services,"Senior secured loan ($9,975 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9975.0,9975
45,MW Dental Holding Corp.,Dental services,"Senior secured loan ($2,680 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,2680.0,2680
47,Napa Management Services Corporation,Anesthesia management services provider,"Senior secured loan ($10,822 par due 4/2016)",7.50% (Libor + 6.00%/Q),4/15/2011,10504.0,10822
48,Napa Management Services Corporation,Anesthesia management services provider,"Senior secured loan ($29,250 par due 4/2016)",7.50% (Libor + 6.00%/Q),4/15/2011,29250.0,29250
49,Napa Management Services Corporation,Anesthesia management services provider,"Senior secured loan ($7,702 par due 4/2016)",7.50% (Libor + 6.00%/Q),4/15/2011,7702.0,7702
50,Napa Management Services Corporation,Anesthesia management services provider,"Common units (5,000 units)",0,4/15/2011,5000.0,5700
52,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,Senior subordinated loan ($579 par due 6/2017),13.50%,6/21/2010,579.0,579
53,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,"Senior subordinated loan ($50,000 par due 6/2017)",13.50%,6/21/2010,50000.0,50000
54,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,"Common stock (2,500,000 shares)",0,6/21/2010,2500.0,3530
56,OnCURE Medical Corp.,Radiation oncology care provider,"Common stock (857,143 shares)",0,8/18/2006,3000.0,1361
57,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Series A preferred stock (1,594,457 shares)",0,7/30/2008,11156.0,9962
58,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Common stock (16,106 shares)",0,7/30/2008,100.0,0
60,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Senior secured loan ($9,085 par due 11/2015)",6.75% (Libor + 5.00%/Q),11/3/2010,9063.0,9085
61,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Senior subordinated loan ($4,000 par due 3/2016)",12.50%,3/12/2008,3958.0,4000
62,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system",Preferred stock (333 shares),0,3/12/2008,125.0,16
63,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Common stock (16,667 shares)",0,3/12/2008,167.0,789
66,"PRA Holdings, Inc.",Drug testing services,"Senior secured loan ($11,330 par due 12/2014)",4.48% (Libor + 4.00%/Q),12/14/2007,11057.0,11103
67,"PRA Holdings, Inc.",Drug testing services,"Senior secured loan ($12,000 par due 12/2014)",4.48% (Libor + 4.00%/Q),12/14/2007,11707.0,11760
69,"RCHP, Inc.",Operator of general acute care hospitals,"Junior secured loan ($15,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,15000.0,15000
70,"RCHP, Inc.",Operator of general acute care hospitals,"Junior secured loan ($50,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,50000.0,50000
72,"Reed Group, Ltd.",Medical disability management services provider,"Senior secured revolving loan ($1,448 par due 12/2013)",0,4/1/2010,1080.0,1231
73,"Reed Group, Ltd.",Medical disability management services provider,"Senior secured loan ($12,457 par due 12/2013)",0,4/1/2010,9285.0,10588
74,"Reed Group, Ltd.",Medical disability management services provider,"Senior secured loan ($26,469 par due 12/2013)",0,4/1/2010,16658.0,2036
75,"Reed Group, Ltd.",Medical disability management services provider,Equity interests,0,4/1/2010,203.0,0
77,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Junior secured loan ($1,177 par due 11/2010)",0,4/1/2010,1003.0,770
78,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Junior secured loan ($1,681 par due 11/2010)",0,4/1/2010,1461.0,1099
79,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Preferred member units (1,823,179 units)",0,4/1/2010,0.0,0
81,"Sunquest Information Systems, Inc.",Laboratory software solutions provider,"Junior secured loan ($67,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,67000.0,67000
82,"Sunquest Information Systems, Inc.",Laboratory software solutions provider,"Junior secured loan ($58,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,58000.0,58000
84,"U.S. Renal Care, Inc.",Dialysis provider,"Senior secured loan ($7,425 par due 12/2016)",5.50% (Libor + 4.00%/M),6/9/2011,7388.0,7425
85,"U.S. Renal Care, Inc.",Dialysis provider,"Senior subordinated loan ($50,824 par due 6/2018)","11.25% Cash, 2.00% PIK",5/24/2010,50824.0,50824
87,"Vantage Oncology, Inc.",Radiation oncology care provider,"Common stock (62,157 shares)",0,2/3/2011,4670.0,4132
90,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals",Senior secured revolving loan ($100 par due 3/2016),9.50% (Libor + 8.50%/Q),3/18/2011,100.0,100
