,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair  Value
0,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($18.8 par due 1/2022),9.63% (Libor + 8.30%/Q),1/5/2016,18.8,18.2
1,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($5.0 par due 1/2022),9.63% (Libor + 8.30%/Q),1/5/2016,5.0,4.8
2,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",0,1/5/2016,4.0,1.4
3,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",0,1/5/2016,0.0,0.0
4,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",0,6/22/2017,0.1,0.1
5,"ADCS Billings Intermediate Holdings, LLC (20)",Dermatology practice,First lien senior secured revolving loan ($4.8 par due 5/2022),9.00% (Base Rate + 4.75%/Q),5/18/2016,4.8,4.7
6,"ADG, LLC and RC IV GEDC Investor LLC (20)",Dental services provider,First lien senior secured revolving loan ($8.0 par due 9/2022),6.00% (Libor + 4.75%/Q),9/28/2016,8.0,7.8
7,"ADG, LLC and RC IV GEDC Investor LLC (20)",Dental services provider,First lien senior secured revolving loan ($3.0 par due 9/2022),8.00% (Base Rate + 3.75%/Q),9/28/2016,3.0,2.9
8,"ADG, LLC and RC IV GEDC Investor LLC (20)",Dental services provider,Second lien senior secured loan ($87.5 par due 3/2024),10.25% (Libor + 9.00%/Q),9/28/2016,87.5,84.0
9,"ADG, LLC and RC IV GEDC Investor LLC (20)",Dental services provider,"Membership units (3,000,000 units)",0,9/28/2016,3.0,2.3
10,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,First lien senior secured revolving loan ($23.6 par due 10/2019),6.74% (Libor + 5.50%/Q),1/3/2017,23.6,23.6
11,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,First lien senior secured loan ($10.0 par due 10/2020),6.74% (Libor + 5.50%/Q),1/3/2017,10.0,10.0
12,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,First lien senior secured loan ($96.2 par due 10/2020),6.74% (Libor + 5.50%/Q),1/3/2017,96.2,96.2
13,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,Senior subordinated loan ($34.8 par due 10/2020),14.75%,1/3/2017,34.8,34.8
14,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,Senior subordinated loan ($35.2 par due 10/2020),15.25%,1/3/2017,20.7,35.2
15,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,Senior subordinated loan ($25.0 par due 10/2020),12.25%,1/3/2017,25.0,25.0
16,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,Senior subordinated loan ($30.0 par due 10/2020),11.75%,1/3/2017,30.0,30.0
17,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,Senior subordinated loan ($30.0 par due 10/2020),12%,1/3/2017,30.0,30.0
18,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,"Series R preferred membership units (30,000 units)",0,1/3/2017,0.0,23.9
19,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,"Series R-2 preferred membership units (54,936 units)",0,1/3/2017,0.0,43.8
20,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,12/13/2013,3.1,2.7
21,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,12/13/2013,0.0,0.0
22,"Argon Medical Devices, Inc.",Manufacturer and marketer of single-use specialty medical devices,Second lien senior secured loan ($9.0 par due 6/2022),10.74% (Libor + 9.50%/Q),12/23/2015,8.8,9.0
23,AwarePoint Corporation,Healthcare technology platform developer,First lien senior secured loan ($8.0 par due 12/2019),13.82% (Libor + 12.50%/M),9/5/2014,7.9,7.3
24,AwarePoint Corporation,Healthcare technology platform developer,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock (expires 9/2024)",0,11/14/2014,0.0,0.4
25,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (20)",Correctional facility healthcare operator,First lien senior secured revolving loan ($4.5 par due 7/2019),5.33% (Libor + 4.00%/Q),7/23/2014,4.5,4.0
26,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (20)",Correctional facility healthcare operator,First lien senior secured loan ($6.5 par due 7/2021),5.33% (Libor + 4.00%/Q),7/23/2014,6.5,5.7
