,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Investment *,Industry,Interest Rate (+),,Reference Rate andSpread (+),Maturity,ParAmount/Shares(++),,Cost,,FairValue,,,,,
1,1st Lien/Senior Secured Debt # - 172.49,,,,,,,,,,,,,,,
2,"3SI Security Systems, Inc.(1)",Commercial Services & Supplies,6.75,,L + 5.75 ; 1.00Floor,06/16/2023,,14556,,,14419,,,14228,,
3,"A Place For Mom, Inc.",Diversified Consumer Services,4.75,,L + 3.75 ; 1.00Floor,08/10/2024,,8774,,,8769,,,7897,,
4,"Accuity Delivery Systems, LLC^ (1) (2)",Health Care Providers & Services,8.00,,L + 7.00 ; 1.00Floor,06/13/2023,,10170,,,9989,,,10424,,
5,"Acquia, Inc.(1) (2)",Software,8.00,,L + 7.00 ; 1.00Floor,10/31/2025,,12364,,,12147,,,11993,,
6,"Acquia, Inc.(1) (2) (3)",Software,,,,L + 7.00 ; 1.00Floor,10/31/2025,,1322,,,(22,,,(40,
7,"Ansira Partners, Inc.",Professional Services,7.50,,L + 6.50PIK; 1.00Floor,12/20/2024,,4657,,,4634,,,3865,,
8,"Ansira Partners, Inc.",Professional Services,7.50,,L + 6.50PIK; 1.00Floor,12/20/2024,,287,,,285,,,238,,
9,"Apptio, Inc.(1) (2)",IT Services,8.25,,L + 7.25 ; 1.00Floor,01/10/2025,,32702,,,32198,,,32212,,
10,"Apptio, Inc.(1) (2) (3)",IT Services,,,,L + 7.25 ; 1.00Floor,01/10/2025,,2225,,,(32,,,(33,
11,"Associations, Inc.(1) (2)",Real Estate Management & Development,8.00,,L + 7.00(incl. 3.00PIK); 1.00Floor,07/30/2024,,13858,,,13744,,,13303,,
12,"Associations, Inc.(1) (2) (3)",Real Estate Management & Development,8.23,,L + 7.00(incl. 3.00PIK); 1.00Floor,07/30/2024,,3033,,,2965,,,2868,,
13,"Associations, Inc.(1) (2)",Real Estate Management & Development,7.00,,L + 6.00 ; 1.00Floor,07/30/2024,,587,,,582,,,563,,
14,ATX Networks Corp.,Communications Equipment,8.75,,L + 7.75(incl. 1.50PIK); 1.00Floor,12/31/2023,,7218,,,7208,,,6352,,
15,ATX Networks Corp.,Communications Equipment,8.75,,L + 7.75(incl. 1.50PIK); 1.00Floor,12/31/2023,,459,,,457,,,404,,
16,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",6.25,,L + 5.00 ; 1.00Floor,09/11/2023,,7150,,,7102,,,5363,,
17,"Barbri, Inc.",Diversified Consumer Services,5.33,,L + 4.25 ; 1.00Floor,12/01/2023,,6243,,,6225,,,5681,,
