,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Investment *#,Industry,InterestRate (+),Reference Rateand Spread (+),Floor(+),Maturity,Par(++),,Cost,,FairValue,,Footnotes,,,
1,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00,L + 6.00,1.00,11/14/25,,7141,,,6819,,,7123,,(2) (3)
2,Chronicle Bidco Inc. (dba Lexitas),Professional Services,,L + 6.00,1.00,11/14/25,,2180,,,(41,,,(5,,(2) (3) (4)
3,CivicPlus LLC,Software,6.75,L + 6.00,0.75,08/24/27,,6300,,,6180,,,6158,,(2) (3)
4,CivicPlus LLC,Software,,L + 6.00,0.75,08/24/27,,592,,,(11,,,(13,,(2) (3) (4)
5,CivicPlus LLC,Software,,L + 6.00,0.75,08/24/27,,2960,,,(28,,,(67,,(2) (3) (4)
6,"CloudBees, Inc.",Software,8.00,L + 7.00(incl. 2.50PIK),1.00,11/24/26,,28022,,,26231,,,27461,,(2)
7,"CloudBees, Inc.",Software,,L + 7.00(incl. 2.50PIK),1.00,11/24/26,,12900,,,(572,,,0,,(2) (4)
8,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 9.50(incl. 2.00PIK),1.50,08/30/24,,59216,,,53038,,,46188,,(2) (3) (5)
9,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 9.50(incl. 2.00PIK),1.50,08/30/24,,17408,,,15534,,,13578,,(2) (3) (5)
10,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 15.00,1.50,08/30/24,,6100,,,0,,,(122,,(2) (4)
11,CORA Health Holdings Corp,Health Care Providers & Services,6.75,L + 5.75,1.00,06/15/27,,22663,,,22349,,,22380,,(2) (3)
12,CORA Health Holdings Corp,Health Care Providers & Services,,L + 5.75,1.00,06/15/27,,8897,,,(61,,,(111,,(2) (3) (4)
13,"Cordeagle US Finco, Inc. (aka Condeco)",Software,7.75,L + 6.75,1.00,07/30/27,,15993,,,15691,,,15673,,(1) (2) (3)
14,"Cordeagle US Finco, Inc. (aka Condeco)",Software,,L + 6.75,1.00,07/30/27,,9230,,,0,,,0,,(1) (2) (4)
15,"Cordeagle US Finco, Inc. (aka Condeco)",Software,,L + 6.75,1.00,07/30/27,,2461,,,(46,,,(49,,(1) (2) (3) (4)
