,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Investment *#,Industry,InterestRate (+),,Reference Rateand Spread (+),Floor(+),,Maturity,ParAmount/Shares(++),,Cost,,FairValue,,,,,,
1,1st Lien/Senior Secured Debt- 153.73,,,,,,,,,,,,,,,,,,
2,1272775 B.C. LTD. (dba Everest Clinical Research)(1) (2) (3),Professional Services,6.50,,L + 5.50,1.00,,11/06/26,,9406,,,9273,,,9265,,,
3,1272775 B.C. LTD. (dba Everest Clinical Research)(1) (2) (3),Professional Services,6.95,,CDN P + 4.50,,,,11/06/26,CAD 139,,,109,,,109,,,
4,1272775 B.C. LTD. (dba Everest Clinical Research)(1) (2) (3) (4),Professional Services,,,,L + 5.50,1.00,,11/06/26,,1151,,,(16,,,(17,,
5,"3SI Security Systems, Inc.(3)",Commercial Services & Supplies,6.75,,L + 5.75,1.00,,06/16/23,,14556,,,14473,,,14483,,,
6,"3SI Security Systems, Inc.(3)",Commercial Services & Supplies,6.75,,L + 5.75,1.00,,06/16/23,,2216,,,2088,,,2205,,,
7,"A Place For Mom, Inc.",Diversified Consumer Services,4.75,,L + 3.75,1.00,,08/10/24,,8729,,,8724,,,8555,,,
8,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)(2)",Software,7.25,,L + 6.25,1.00,,03/10/27,,16470,,,16062,,,16099,,,
9,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)(2) (4)",Software,,,,L + 6.25,1.00,,03/10/27,,1220,,,(30,,,(29,,
10,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)(2) (4)",Software,,,,L + 6.25,1.00,,03/10/27,,3046,,,(38,,,(34,,
11,"Acquia, Inc.(2) (3)",Software,8.00,,L + 7.00,1.00,,10/31/25,,30561,,,29043,,,30026,,,
12,"Acquia, Inc.(2) (3) (4)",Software,8.00,,L + 7.00,1.00,,10/31/25,,3268,,,188,,,204,,,
13,"Ansira Partners, Inc.",Professional Services,7.50,,L + 6.50PIK,1.00,,12/20/24,,4835,,,4814,,,4110,,,
14,"Ansira Partners, Inc.",Professional Services,7.50,,L + 6.50PIK,1.00,,12/20/24,,298,,,296,,,253,,,
15,"Apptio, Inc.(2) (3)",IT Services,8.25,,L + 7.25,1.00,,01/10/25,,79154,,,75997,,,78164,,,
