,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
<<<<<<< HEAD
4,Aerospace and Defense,NTS Technical Systems*#+~,Senior loan,L + 5.50(b),6.50,06/2023,39971.0,39836.0,1.6,39971.0
5,Aerospace and Defense,NTS Technical Systems~,Second lien,L + 9.75(b),10.75,12/2023,4589.0,4539.0,0.2,4589.0
6,Aerospace and Defense,NTS Technical Systems+Senior loan,Second lien,L + 5.50(b),6.50,06/2023,3091.0,3054.0,0.1,3091.0
7,Aerospace and Defense,NTS Technical Systems+(5),Senior loan,L + 5.50,N/A(6),06/2023,0.0,,0.0,0.0
8,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 6.25(b),6.75 cash/0.50 PIK,09/2023,678.0,675.0,0.0,604.0
9,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 6.25(b),6.75 cash/0.50 PIK,06/2023,40.0,38.0,0.0,24.0
10,Aerospace and Defense,Whitcraft LLC*#+~,One stop,L + 6.00(b),7.01,04/2023,62930.0,63092.0,2.3,61042.0
11,Aerospace and Defense,Whitcraft LLC+(5),One stop,L + 6.00,N/A(6),04/2023,0.0,,0.0,
12,Airlines,Airlines,One stop,,,,,,,
13,Airlines,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,L + 6.00(b),7.00,12/2026,980.0,964.0,0.0,951.0
14,Auto Components,Auto Components,One stop,,,,,,,
15,Auto Components,"Covercraft Parent III, Inc.+Senior loan",One stop,L + 4.50(b),5.50,08/2027,4914.0,4870.0,0.2,4914.0
16,Auto Components,"Covercraft Parent III, Inc.+Senior loan",One stop,L + 4.50(b),5.51,08/2027,994.0,971.0,0.0,994.0
17,Auto Components,"Covercraft Parent III, Inc.+(5)",Senior loan,L + 4.50,N/A(6),08/2027,0.0,,0.0,0.0
18,Auto Components,"North Haven Falcon Buyer, LLC+One stop",Senior loan,L + 6.00(b),7.00,05/2027,6130.0,6024.0,0.3,6130.0
19,Auto Components,"North Haven Falcon Buyer, LLC+One stop",Senior loan,L + 6.00(b),7.00,05/2027,1026.0,1009.0,0.0,1026.0
20,Auto Components,Polk Acquisition Corp.*#+Senior loan,Senior loan,L + 6.00(a),7.00,12/2023,18059.0,17955.0,0.7,17933.0
21,Auto Components,Polk Acquisition Corp.+Senior loan,Senior loan,L + 6.00(a),7.00,12/2023,181.0,182.0,0.0,179.0
22,Auto Components,Polk Acquisition Corp.+Senior loan,Senior loan,L + 6.00(a),7.00,12/2023,106.0,106.0,0.0,106.0
23,Automobiles,Automobiles,Senior loan,,,,,,,
24,Automobiles,"CG Group Holdings, LLC*#+One stop",Senior loan,L + 5.25(b),6.26,07/2027,31384.0,31106.0,1.2,31384.0
25,Automobiles,"CG Group Holdings, LLC+One stop",Senior loan,L + 5.25(a),6.25,07/2026,336.0,332.0,0.0,336.0
26,Automobiles,"Cobblestone Intermediate Holdco, LLC+One stop",Senior loan,L + 5.50(a),6.25,01/2026,5593.0,5542.0,0.2,5593.0
27,Automobiles,"Cobblestone Intermediate Holdco, LLC+One stop",Senior loan,L + 5.50(a)(b),6.34,01/2026,2088.0,2048.0,0.1,2088.0
28,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),6.25,12/2027,43080.0,42669.0,1.6,43080.0
29,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),6.25,12/2027,144.0,139.0,0.0,144.0
30,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),6.25,12/2027,100.0,99.0,0.0,100.0
31,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),6.25,12/2027,80.0,79.0,0.0,80.0
32,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),6.25,12/2027,80.0,79.0,0.0,80.0
33,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),6.25,12/2027,66.0,65.0,0.0,66.0
34,Automobiles,"Denali Midco 2, LLC+(5)",One stop,L + 5.50,N/A(6),12/2027,0.0,,0.0,0.0
35,Automobiles,JHCC Holdings LLC+One stop,One stop,L + 5.75(b),6.76,09/2025,15393.0,15203.0,0.6,14932.0
36,Automobiles - (continued),Automobiles - (continued),One stop,,,,,,,
37,Automobiles - (continued),JHCC Holdings LLC+One stop,One stop,P + 4.75(e),8.25,09/2025,498.0,494.0,0.0,483.0
38,Automobiles - (continued),JHCC Holdings LLC+One stop,One stop,L + 5.75(b)(e),7.22,09/2025,296.0,294.0,0.0,287.0
39,Automobiles - (continued),JHCC Holdings LLC+One stop,One stop,P + 4.75(b)(e),8.22,09/2025,59.0,58.0,0.0,56.0
40,Automobiles - (continued),JHCC Holdings LLC+(5),One stop,L + 5.75,N/A(6),09/2025,0.0,,0.0,
41,Automobiles - (continued),"MOP GM Holding, LLC*#~",One stop,L + 5.75(c),6.76,11/2026,24099.0,23864.0,0.9,24099.0
42,Automobiles - (continued),"MOP GM Holding, LLC+One stop",One stop,L + 5.75(b),6.75,11/2026,2642.0,2619.0,0.1,2642.0
43,Automobiles - (continued),"MOP GM Holding, LLC+One stop",One stop,L + 5.75(b),6.75,11/2026,2591.0,2566.0,0.1,2591.0
44,Automobiles - (continued),"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),6.75,11/2026,1920.0,1901.0,0.1,1920.0
45,Automobiles - (continued),"MOP GM Holding, LLC+One stop",One stop,L + 5.75(b),6.75,11/2026,1579.0,1565.0,0.1,1579.0
46,Automobiles - (continued),"MOP GM Holding, LLC+One stop",One stop,L + 5.75(a),6.75,11/2026,530.0,525.0,0.0,530.0
47,Automobiles - (continued),"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),6.75,11/2026,148.0,147.0,0.0,148.0
48,Automobiles - (continued),"MOP GM Holding, LLC+One stop",One stop,L + 5.75(b)(c),6.75,11/2026,26.0,24.0,0.0,26.0
49,Automobiles - (continued),"MOP GM Holding, LLC+(5)",One stop,L + 5.75,N/A(6),11/2026,0.0,,0.0,0.0
50,Automobiles - (continued),"National Express Wash Parent JV, LLC+One stop",One stop,SF + 5.50(n),6.25,02/2028,13965.0,13829.0,0.5,13825.0
51,Automobiles - (continued),"National Express Wash Parent JV, LLC+(5)",One stop,SF + 5.50,N/A(6),02/2028,0.0,,0.0,
52,Automobiles - (continued),"National Express Wash Parent JV, LLC+(5)",One stop,SF + 5.50,N/A(6),02/2028,0.0,,0.0,
53,Automobiles - (continued),"POY Holdings, LLC#",One stop,L + 5.50(b),6.50,11/2027,9591.0,9411.0,0.4,9591.0
54,Automobiles - (continued),"POY Holdings, LLC+One stop",One stop,L + 5.50(b),6.50,11/2027,54.0,50.0,0.0,54.0
55,Automobiles - (continued),"POY Holdings, LLC+(5)",One stop,L + 5.50,N/A(6),11/2027,0.0,,0.0,0.0
56,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC*#",One stop,L + 6.00(b),7.00,10/2024,12882.0,12891.0,0.5,12754.0
57,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.00(a)(b),7.00,10/2024,9822.0,9778.0,0.4,9724.0
58,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,L + 6.00(b),7.00,10/2024,2325.0,2313.0,0.1,2301.0
59,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.00(b),7.00,10/2024,2031.0,2057.0,0.1,2010.0
60,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.00(b),7.00,10/2024,1357.0,1374.0,0.1,1344.0
61,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.00(b),7.00,10/2024,1106.0,1125.0,0.0,1094.0
62,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.00(b),7.00,10/2024,65.0,58.0,0.0,58.0
63,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.00(a),7.00,10/2024,30.0,30.0,0.0,29.0
64,Automobiles - (continued),"TWAS Holdings, LLC#+One stop",One stop,SF + 6.00(m),7.00,12/2026,40664.0,40280.0,1.5,40664.0
65,Automobiles - (continued),"TWAS Holdings, LLC*+One stop",One stop,SF + 6.00(m),7.00,12/2026,30722.0,30415.0,1.2,30722.0
66,Automobiles - (continued),"TWAS Holdings, LLC+One stop",One stop,SF + 6.00(m),7.00,12/2026,7974.0,7896.0,0.3,7974.0
67,Automobiles - (continued),"TWAS Holdings, LLC+One stop",One stop,SF + 6.00(m),7.00,12/2026,612.0,603.0,0.0,612.0
68,Automobiles - (continued),"TWAS Holdings, LLC+(5)",One stop,L + 6.00,N/A(6),12/2026,0.0,,0.0,0.0
69,Beverages,Beverages,One stop,,,,,,,
70,Beverages,"Fintech Midco, LLC*#",One stop,L + 5.50(b),6.25,08/2024,24038.0,24226.0,0.9,24038.0
71,Beverages,"Fintech Midco, LLC+One stop",One stop,L + 5.50(b),6.25,08/2024,15260.0,15138.0,0.6,15260.0
72,Beverages,"Fintech Midco, LLC#+One stop",One stop,L + 5.50(b),6.25,08/2024,1114.0,1135.0,0.0,1114.0
73,Beverages,"Fintech Midco, LLC+One stop",One stop,L + 5.50,N/A(6),08/2024,0.0,0.0,0.0,0.0
74,Beverages,"Watermill Express, LLC+One stop",One stop,L + 5.50(b),6.51,04/2027,2256.0,2237.0,0.1,2256.0
75,Beverages,"Watermill Express, LLC+One stop",One stop,L + 5.50(a),6.50,04/2027,1.0,1.0,0.0,1.0
76,Beverages,"Watermill Express, LLC+(5)",One stop,L + 5.50,N/A(6),04/2027,0.0,,0.0,0.0
77,Beverages,"Winebow Holdings, Inc.+One stop",One stop,L + 6.25(a),7.25,07/2025,7839.0,7747.0,0.3,7839.0
78,Building Products,Building Products,One stop,,,,,,,
