,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Investments,,,,,,,,,,,,,,,,,,,,,
1,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,
2,Debt investments,,,,,,,,,,,,,,,,,,,,,
3,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,
4,"ILC Dover, LP  *^#",One stop,,L + 9.00,,8.23 cash/2.00 PIK,,03/2020,,,17645.0,,,,17539,,,1.9,,,,17645.0
5,"ILC Dover, LP",One stop,,L + 9.00,,8.23 cash/2.00 PIK,,03/2019,,797,,,791,,,0.1,,,797,,,
6,NTS Technical Systems  *^#,One stop,,L + 6.00,,7.05,,06/2021,,21773,,,21466,,,2.3,,,21773,,,
7,NTS Technical Systems  (4),One stop,,L + 6.00,,N/A  (5),,06/2021,,0,,,(77,,,0,,,0,,,
8,NTS Technical Systems  (4),One stop,,L + 6.00,,N/A  (5),,06/2021,,0,,,(128,,,0,,,0,,,
9,"Tresys Technology Holdings, Inc.  (6)",One stop,,L + 6.75,,8.05,,12/2017,,3899,,,3845,,,0.1,,,1170,,,
10,"Tresys Technology Holdings, Inc.  (6)",One stop,,L + 6.75,,8.01,,12/2017,,659,,,658,,,0.1,,,659,,,
11,"Tresys Technology Holdings, Inc.",One stop,,P + 7.50,,11.75,,12/2017,,40,,,40,,,0,,,40,,,
12,"Tronair Parent, Inc.  #",Senior loan,,L + 4.75,,5.84,,09/2023,,192,,,190,,,0,,,190,,,
13,"Tronair Parent, Inc.",Senior loan,,L + 4.50,,5.59,,09/2021,,20,,,19,,,0,,,19,,,
14,Whitcraft LLC  *^#,One stop,,L + 6.25,,7.55,,04/2023,,12596,,,12415,,,1.3,,,12470,,,
15,Whitcraft LLC,One stop,,P + 5.25,,9.50,,04/2023,,5,,,4,,,0,,,4,,,
16,Whitcraft LLC  (4),One stop,,L + 6.25,,N/A  (5),,04/2023,,0,,,(5,,,0,,,(3,,,
17,Automobile,,,,,,,,,,,,,,,,,,,,,
18,Dent Wizard International Corporation  *,Senior loan,,L + 4.75,,5.97,,04/2020,,4534,,,4508,,,0.5,,,4534,,,
19,OEConnection LLC  *,Senior loan,,L + 5.00,,6.30,,06/2022,,4846,,,4742,,,0.5,,,4798,,,
20,OEConnection LLC  ^,Senior loan,,L + 4.75,,6.05,,06/2022,,2597,,,2571,,,0.3,,,2571,,,
21,OEConnection LLC  (4),Senior loan,,L + 5.00,,N/A  (5),,06/2021,,0,,,(1,,,0,,,(1,,,
22,T5 Merger Corporation  ^#,One stop,,L + 6.25,,7.30,,03/2022,,4392,,,4319,,,0.4,,,4392,,,
23,T5 Merger Corporation,One stop,,L + 6.25,,7.41,,03/2022,,108,,,106,,,0,,,108,,,
24,T5 Merger Corporation,One stop,,L + 6.25,,7.33,,03/2022,,60,,,59,,,0,,,60,,,
25,T5 Merger Corporation  (4),One stop,,L + 6.25,,N/A  (5),,03/2022,,0,,,(2,,,0,,,0,,,
26,Banking,,,,,,,,,,,,,,,,,,,,,
27,HedgeServ Holding L.P.  *#,One stop,,L + 8.00,,7.16 cash/2.00 PIK,,02/2019,,17151,,,17109,,,1.8,,,17151,,,
28,HedgeServ Holding L.P.  (4),One stop,,L + 8.00,,N/A  (5),,02/2019,,0,,,(3,,,0,,,0,,,
29,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,
30,"Abita Brewing Co., L.L.C.",One stop,,L + 6.25,,7.23 cash/0.25 PIK,,04/2021,,7837,,,7720,,,0.8,,,7601,,,
31,"Abita Brewing Co., L.L.C.  (4)",One stop,,L + 6.25,,N/A  (5),,04/2021,,0,,,(1,,,0,,,(1,,,
32,ABP Corporation  *,Senior loan,,L + 4.75,,6.00,,09/2018,,4659,,,4640,,,0.5,,,4499,,,
33,ABP Corporation,Senior loan,,P + 3.50,,7.75,,09/2018,,292,,,290,,,0,,,275,,,
34,"Atkins Nutritionals, Inc.  *^",One stop,,L + 8.50,,9.75,,04/2019,,21636,,,21515,,,2.3,,,21636,,,
35,"Atkins Nutritionals, Inc.  *^#",One stop,,L + 5.00,,6.25,,01/2019,,13262,,,13185,,,1.4,,,13262,,,
36,"Benihana, Inc.  *^",One stop,,L + 7.00,,8.25,,01/2019,,16140,,,15954,,,1.7,,,15992,,,
37,"Benihana, Inc.",One stop,,L + 7.00,,9.09,,07/2018,,1020,,,1000,,,0.1,,,1000,,,
38,"C. J. Foods, Inc.  *^",One stop,,L + 6.25,,7.55,,05/2019,,5218,,,5171,,,0.6,,,5218,,,
39,"C. J. Foods, Inc.",One stop,,L + 6.25,,7.55,,05/2019,,658,,,652,,,0.1,,,658,,,
40,"C. J. Foods, Inc.",One stop,,L + 6.25,,7.41,,05/2019,,172,,,167,,,0,,,172,,,
41,"Firebirds International, LLC  *",One stop,,L + 5.75,,7.00,,05/2018,,1065,,,1062,,,0.1,,,1065,,,
42,"Firebirds International, LLC  *",One stop,,L + 5.75,,7.00,,05/2018,,299,,,298,,,0,,,299,,,
43,"Firebirds International, LLC  ^",One stop,,L + 5.75,,7.00,,05/2018,,96,,,96,,,0,,,96,,,
44,"Firebirds International, LLC",One stop,,L + 5.75,,N/A  (5),,05/2018,,0,,,0,,,0,,,0,,,
45,"First Watch Restaurants, Inc  .*^",One stop,,L + 6.00,,7.38,,12/2020,,15137,,,15029,,,1.6,,,15137,,,
46,"First Watch Restaurants, Inc.  *",One stop,,L + 6.00,,7.30,,12/2020,,1248,,,1241,,,0.1,,,1248,,,
47,"First Watch Restaurants, Inc.  *",One stop,,L + 6.00,,7.30,,12/2020,,1246,,,1238,,,0.1,,,1246,,,
48,"First Watch Restaurants, Inc.",One stop,,L + 6.00,,7.30,,12/2020,,1075,,,1069,,,0.1,,,1075,,,
49,"First Watch Restaurants, Inc.",One stop,,P + 5.00,,9.25,,12/2020,,721,,,718,,,0.1,,,721,,,
50,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,
51,"First Watch Restaurants, Inc.",One stop,,L + 6.00,,N/A  (5),,12/2020,,,0.0,,,,0,,,0.0,,,,0.0
52,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,,9.23,,08/2020,,655,,,646,,,0.1,,,655,,,
53,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,,N/A  (5),,08/2020,,0,,,0,,,0,,,0,,,
54,"Hopdoddy Holdings, LLC  (4)",One stop,,L + 8.00,,N/A  (5),,08/2020,,0,,,(2,,,0,,,0,,,
55,Julio & Sons Company,One stop,,L + 5.50,,N/A  (5),,12/2018,,0,,,0,,,0,,,0,,,
56,"Mid-America Pet Food, L.L.C.  ^",One stop,,L + 6.25,,7.55,,12/2021,,5655,,,5578,,,0.6,,,5655,,,
57,"Mid-America Pet Food, L.L.C.  (4)",One stop,,L + 6.25,,N/A  (5),,12/2021,,0,,,(1,,,0,,,0,,,
58,"P&P Food Safety US Acquisition, Inc.  *",One stop,,L + 6.50,,7.77,,11/2021,,4136,,,4091,,,0.4,,,4136,,,
59,"P&P Food Safety US Acquisition, Inc.",One stop,,L + 6.50,,N/A  (5),,11/2021,,0,,,0,,,0,,,0,,,
60,"Purfoods, LLC",One stop,,L + 6.25,,7.45,,05/2021,,8582,,,8418,,,0.9,,,8582,,,
61,"Purfoods, LLC",One stop,,No Value,,7.00 PIK,,05/2026,,109,,,109,,,0,,,110,,,
62,"Purfoods, LLC",One stop,,L + 6.25,,7.42,,05/2021,,65,,,64,,,0,,,65,,,
63,"Purfoods, LLC",One stop,,L + 6.25,,7.34,,05/2021,,15,,,15,,,0,,,15,,,
64,"Purfoods, LLC",One stop,,L + 6.25,,7.34,,05/2021,,14,,,14,,,0,,,14,,,
65,"Purfoods, LLC",One stop,,L + 6.25,,7.55,,05/2021,,10,,,10,,,0,,,10,,,
66,"Purfoods, LLC  (4)",One stop,,L + 6.25,,N/A  (5),,05/2021,,0,,,(1,,,0,,,0,,,
67,"Restaurant Holding Company, LLC  #",Senior loan,,L + 7.75,,8.98,,02/2019,,4499,,,4482,,,0.5,,,4409,,,
68,"Rubio's Restaurants, Inc.  *^",Senior loan,,L + 4.75,,6.04,,11/2018,,8851,,,8825,,,0.9,,,8851,,,
69,Smashburger Finance LLC,Senior loan,,L + 5.50,,6.80,,05/2018,,83,,,82,,,0,,,78,,,
70,Smashburger Finance LLC  (4),Senior loan,,L + 5.50,,N/A  (5),,05/2018,,0,,,(1,,,0,,,0,,,
71,Surfside Coffee Company LLC  #,One stop,,L + 5.25,,6.55,,06/2020,,4436,,,4409,,,0.5,,,4436,,,
72,Surfside Coffee Company LLC,One stop,,L + 5.25,,6.54,,06/2020,,335,,,333,,,0,,,335,,,
73,Surfside Coffee Company LLC,One stop,,L + 5.25,,6.46,,06/2020,,25,,,25,,,0,,,25,,,
74,"Tate's Bake Shop, Inc.  #",Senior loan,,L + 5.00,,6.30,,08/2019,,593,,,589,,,0.1,,,593,,,
75,Uinta Brewing Company  ^,One stop,,L + 8.50,,9.73,,08/2019,,3734,,,3719,,,0.4,,,3623,,,
76,Uinta Brewing Company,One stop,,L + 8.50,,9.72,,08/2019,,539,,,535,,,0.1,,,517,,,
77,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,,,,,
78,"TouchTunes Interactive Networks, Inc.  ^",Senior loan,,L + 4.75,,6.05,,05/2021,,1466,,,1461,,,0.2,,,1475,,,
79,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,
80,"Brooks Equipment Company, LLC  *^",One stop,,L + 5.00,,6.21,,08/2020,,22720,,,22541,,,2.4,,,22720,,,
81,"Brooks Equipment Company, LLC  *",One stop,,L + 5.00,,6.20,,08/2020,,5598,,,5560,,,0.6,,,5598,,,
82,"Brooks Equipment Company, LLC  (4)",One stop,,L + 5.00,,N/A  (5),,08/2020,,0,,,(11,,,0,,,0,,,
83,"ITEL Laboratories, Inc  .*",Senior loan,,L + 4.50,,5.80,,06/2018,,545,,,544,,,0.1,,,545,,,
84,"ITEL Laboratories, Inc.",Senior loan,,L + 4.50,,N/A  (5),,06/2018,,0,,,0,,,0,,,0,,,
85,"Jensen Hughes, Inc.  #",Senior loan,,L + 5.00,,6.23,,12/2021,,134,,,133,,,0,,,134,,,
86,MRI Software LLC  ^,One stop,,L + 6.00,,7.30,,06/2023,,23983,,,23344,,,2.5,,,23744,,,
87,MRI Software LLC  (4),One stop,,L + 6.00,,N/A  (5),,06/2023,,0,,,(3,,,0,,,(2,,,
88,MRI Software LLC  (4),One stop,,L + 6.00,,N/A  (5),,06/2023,,0,,,(8,,,0,,,(3,,,
89,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,
90,"Flexan, LLC  *",One stop,,L + 5.75,,7.05,,02/2020,,2339,,,2320,,,0.2,,,2339,,,
91,"Flexan, LLC",One stop,,L + 5.75,,N/A  (5),,02/2020,,0,,,0,,,0,,,0,,,
92,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,
93,"Chase Industries, Inc.  *^#",One stop,,L + 5.75,,6.90,,09/2020,,30192,,,29980,,,3.2,,,29889,,,
94,"Chase Industries, Inc.  #",One stop,,L + 5.75,,6.90,,09/2020,,4783,,,4757,,,0.5,,,4735,,,
95,"Chase Industries, Inc.",One stop,,L + 5.75,,6.84,,09/2020,,324,,,312,,,0,,,302,,,
96,"Inventus Power, Inc.  *^",One stop,,L + 6.50,,7.73,,04/2020,,8140,,,8094,,,0.8,,,7652,,,
97,"Inventus Power, Inc  .(4)",One stop,,L + 6.50,,N/A  (5),,04/2020,,0,,,(3,,,0,,,(31,,,
98,Onicon Incorporated  *^#,One stop,,L + 6.00,,7.30,,04/2020,,13111,,,13005,,,1.4,,,13111,,,
99,Diversified/Conglomerate Manufacturing - (continued),,,,,,,,,,,,,,,,,,,,,
100,Onicon Incorporated  (4),One stop,,L + 6.00,,N/A  (5),,04/2020,,,0.0,,,,(5,,,0.0,,,,0.0
101,"PetroChoice Holdings, Inc.  ^",Senior loan,,L + 5.00,,6.12,,08/2022,,1754,,,1711,,,0.2,,,1754,,,
102,"Plex Systems, Inc  .*^",One stop,,L + 7.50,,8.75,,06/2020,,18797,,,18497,,,2.0,,,18797,,,
103,"Plex Systems, Inc.  (4)",One stop,,L + 7.50,,N/A  (5),,06/2020,,0,,,(24,,,0,,,0,,,
104,"Reladyne, Inc.  *^",Senior loan,,L + 5.25,,6.40,,07/2022,,10605,,,10464,,,1.1,,,10499,,,
105,"Reladyne, Inc.  #",Senior loan,,L + 5.25,,6.33,,07/2022,,3131,,,3101,,,0.3,,,3100,,,
106,"Reladyne, Inc.  *",Senior loan,,L + 5.25,,6.40,,07/2022,,111,,,109,,,0,,,110,,,
107,"Reladyne, Inc.",Senior loan,,L + 5.25,,6.35,,07/2022,,70,,,69,,,0,,,69,,,
108,"Reladyne, Inc.  ^",Senior loan,,L + 5.25,,6.40,,07/2022,,36,,,36,,,0,,,36,,,
109,"Reladyne, Inc.",Senior loan,,L + 5.25,,6.40,,07/2022,,13,,,11,,,0,,,12,,,
110,"Reladyne, Inc.",Senior loan,,L + 5.25,,6.36,,07/2022,,6,,,5,,,0,,,6,,,
111,"Reladyne, Inc.  (4)",Senior loan,,L + 5.25,,N/A  (5),,07/2022,,0,,,(1,,,0,,,(1,,,
112,"Sunless Merger Sub, Inc.  #",Senior loan,,L + 5.00,,6.25,,07/2019,,1457,,,1464,,,0.2,,,1457,,,
113,"Sunless Merger Sub, Inc.",Senior loan,,P + 3.75,,7.75,,07/2019,,326,,,326,,,0,,,326,,,
114,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,
115,"Accellos, Inc.  *^",One stop,,L + 5.75,,6.98,,07/2020,,17038,,,16929,,,1.8,,,17038,,,
116,"Accellos, Inc.  (4)",One stop,,L + 5.75,,N/A  (5),,07/2020,,0,,,(6,,,0,,,0,,,
117,"Actiance, Inc.  *^",One stop,,L + 9.00,,10.23,,10/2019,,3962,,,3849,,,0.4,,,3962,,,
118,"Actiance, Inc.",One stop,,L + 9.00,,10.23,,10/2019,,20,,,20,,,0,,,20,,,
119,Agility Recovery Solutions Inc.  *^,One stop,,L + 6.50,,7.67,,03/2020,,13924,,,13813,,,1.5,,,13924,,,
120,Agility Recovery Solutions Inc.  (4),One stop,,L + 6.50,,N/A  (5),,03/2020,,0,,,(5,,,0,,,0,,,
121,Bomgar Corporation  ^,One stop,,L + 7.50,,8.80,,06/2022,,4851,,,4770,,,0.5,,,4851,,,
122,Bomgar Corporation  (4),One stop,,L + 7.50,,N/A  (5),,06/2022,,0,,,(2,,,0,,,0,,,
123,"Clearwater Analytics, LLC  *^",One stop,,L + 7.50,,8.55,,09/2022,,9594,,,9445,,,1.0,,,9594,,,
124,"Clearwater Analytics, LLC",One stop,,L + 7.50,,8.72,,09/2022,,11,,,9,,,0,,,11,,,
125,Daxko Acquisition Corporation  ^#,One stop,,L + 6.50,,7.73,,09/2022,,8493,,,8382,,,0.9,,,8493,,,
126,Daxko Acquisition Corporation,One stop,,L + 6.50,,N/A  (5),,09/2022,,0,,,0,,,0,,,0,,,
127,DISA Holdings Acquisition Subsidiary Corp.  #,Senior loan,,L + 4.25,,5.47,,12/2020,,428,,,426,,,0,,,428,,,
128,"EGD Security Systems, LLC",One stop,,L + 6.25,,7.37,,06/2022,,11114,,,10907,,,1.2,,,11114,,,
129,"EGD Security Systems, LLC  ^",One stop,,L + 6.25,,7.55,,06/2022,,98,,,97,,,0,,,98,,,
130,"EGD Security Systems, LLC",One stop,,L + 6.25,,7.37,,06/2022,,30,,,28,,,0,,,30,,,
131,"EGD Security Systems, LLC  (4)",One stop,,L + 6.25,,N/A  (5),,06/2022,,0,,,(1,,,0,,,0,,,
132,"HealthcareSource HR, Inc  .*",One stop,,L + 6.75,,8.05,,05/2020,,20771,,,20465,,,2.2,,,20771,,,
133,"HealthcareSource HR, Inc.  (4)",One stop,,L + 6.75,,N/A  (5),,05/2020,,0,,,(1,,,0,,,0,,,
134,"Host Analytics, Inc.",One stop,,No Value,,8.50 cash/2.25 PIK,,08/2021,,3081,,,3035,,,0.3,,,3081,,,
135,"Host Analytics, Inc.",One stop,,No Value,,8.50 cash/2.25 PIK,,08/2021,,2582,,,2447,,,0.3,,,2582,,,
136,"Host Analytics, Inc.  (4)",One stop,,No Value,,N/A  (5),,08/2021,,0,,,(7,,,0,,,0,,,
