,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"ILC Dover, LP  *^#",One stop,L + 9.00(a),8.24 cash/2.00 PIK,03/2020,17617.0,17521.0,1.8,17617
5,Aerospace and Defense,"ILC Dover, LP",One stop,L + 9.00(a)(c),8.24 cash/2.00 PIK,03/2019,801.0,797.0,0.1,801
6,Aerospace and Defense,NTS Technical Systems  *^#,One stop,L + 6.25(a),7.49,06/2021,21773.0,21486.0,2.3,21773
7,Aerospace and Defense,NTS Technical Systems  (4),One stop,L + 6.25,N/A  (5),06/2021,0.0,,0.0,0
8,Aerospace and Defense,NTS Technical Systems  (4),One stop,L + 6.25,N/A  (5),06/2021,0.0,,0.0,0
9,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (6)",One stop,L + 6.75(c),8.08,12/2017,3899.0,3845.0,0.1,1170
10,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (6)",One stop,L + 6.75(c),8.06,12/2017,659.0,658.0,0.1,659
11,Aerospace and Defense,"Tronair Parent, Inc.  #",Senior loan,L + 4.75(c)(e),6.06,09/2023,191.0,189.0,0.0,191
12,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50(c),5.81,09/2021,32.0,31.0,0.0,31
13,Aerospace and Defense,Whitcraft LLC  *^#,One stop,L + 6.25(c),7.58,04/2023,12564.0,12390.0,1.3,12564
14,Aerospace and Defense,Whitcraft LLC,One stop,P + 5.25(e),9.50,04/2023,17.0,16.0,0.0,17
15,Aerospace and Defense,Whitcraft LLC  (4),One stop,L + 6.25,N/A  (5),04/2023,0.0,,,0
16,Automobile,Automobile,One stop,,,,,,,
17,Automobile,Dent Wizard International Corporation  *,Senior loan,L + 4.75(a),5.98,04/2020,4522.0,4499.0,0.5,4522
18,Automobile,OEConnection LLC  *,Senior loan,L + 5.00(c),6.33,06/2022,4834.0,4735.0,0.5,4852
19,Automobile,OEConnection LLC  ^,Senior loan,L + 4.75(c),6.08,06/2023,2590.0,2565.0,0.3,2573
20,Automobile,OEConnection LLC  (4),Senior loan,L + 5.00,N/A  (5),06/2021,0.0,,,0
21,Automobile,T5 Merger Corporation  *^,One stop,L + 6.25(a),7.49,03/2022,4380.0,4312.0,0.4,4380
22,Automobile,T5 Merger Corporation  *,One stop,L + 6.25(a),7.48,03/2022,190.0,188.0,0.0,190
23,Automobile,T5 Merger Corporation  *,One stop,L + 6.25(a),7.48,03/2022,60.0,59.0,0.0,60
24,Automobile,T5 Merger Corporation,One stop,L + 6.50(a),7.74,03/2022,8.0,6.0,0.0,8
25,Banking,Banking,One stop,,,,,,,
26,Banking,HedgeServ Holding L.P.  *#,One stop,L + 8.00(c),7.23 cash/2.00 PIK,02/2019,17182.0,17147.0,1.8,17182
27,Banking,HedgeServ Holding L.P.  (4),One stop,L + 6.00,N/A  (5),02/2019,0.0,,,0
28,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",One stop,,,,,,,
29,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 5.75(a),6.99,04/2021,7763.0,7655.0,0.8,7530
30,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.  (4)",One stop,L + 5.75,N/A  (5),04/2021,0.0,,,0
31,"Beverage, Food and Tobacco",ABP Corporation  *,Senior loan,L + 4.75(c),6.07,09/2018,4647.0,4632.0,0.5,4647
32,"Beverage, Food and Tobacco",ABP Corporation,Senior loan,P + 3.50(e),7.75,09/2018,334.0,332.0,0.0,334
33,"Beverage, Food and Tobacco","Benihana, Inc.  *^",One stop,L + 7.00(a)(c),8.32,01/2019,16099.0,15945.0,1.7,15951
34,"Beverage, Food and Tobacco","Benihana, Inc.",One stop,L + 7.00(c)(e),9.16,07/2018,1726.0,1711.0,0.2,1706
35,"Beverage, Food and Tobacco","C. J. Foods, Inc.  *^",One stop,L + 6.25(c),7.58,05/2019,5205.0,5164.0,0.5,5205
36,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 6.25(c),7.58,05/2019,656.0,651.0,0.1,656
37,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 6.25(c),7.56,05/2019,129.0,125.0,0.0,129
38,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  *^",One stop,L + 5.75(c),7.08,09/2023,10475.0,10294.0,1.1,10371
39,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  (4)",One stop,L + 5.75,N/A  (5),09/2023,0.0,,,0
40,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  (4)",One stop,L + 5.75,N/A  (5),09/2023,0.0,,,0
41,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75(c),7.06,05/2018,1063.0,1058.0,0.1,1063
42,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75(c),7.06,05/2018,299.0,297.0,0.0,299
43,"Beverage, Food and Tobacco","Firebirds International, LLC  ^",One stop,L + 5.75(c),7.06,12/2018,96.0,95.0,0.0,96
44,"Beverage, Food and Tobacco","Firebirds International, LLC",One stop,L + 5.75,N/A  (5),12/2018,0.0,0.0,0.0,0
45,"Beverage, Food and Tobacco - (continued)","Beverage, Food and Tobacco - (continued)",One stop,,,,,,,
46,"Beverage, Food and Tobacco - (continued)","Firebirds International, LLC  (4)",One stop,L + 5.75,N/A  (5),05/2018,0.0,,,0
47,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation  ^,One stop,L + 6.00(c),7.40,08/2023,5312.0,5234.0,0.6,5259
48,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation,One stop,L + 6.00(a)(c),7.28,08/2023,18.0,17.0,0.0,18
49,"Beverage, Food and Tobacco - (continued)",FWR Holding Corporation  (4),One stop,L + 6.00,N/A  (5),08/2023,0.0,,,0
50,"Beverage, Food and Tobacco - (continued)","Global Franchise Group, LLC  *",Senior loan,L + 5.75(c),7.07,12/2019,3530.0,3496.0,0.4,3495
51,"Beverage, Food and Tobacco - (continued)","Global Franchise Group, LLC",Senior loan,L + 5.75,N/A  (5),12/2019,0.0,0.0,0.0,0
52,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00(a),9.24,08/2020,653.0,645.0,0.1,653
53,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00(a),9.24,08/2020,266.0,265.0,0.0,266
54,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00,N/A  (5),08/2020,0.0,0.0,0.0,0
55,"Beverage, Food and Tobacco - (continued)",Julio & Sons Company,One stop,L + 5.50,N/A  (5),12/2018,0.0,0.0,0.0,0
56,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  ^",One stop,L + 5.50(c),6.83,12/2021,5640.0,5568.0,0.6,5640
57,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  (4)",One stop,L + 5.50,N/A  (5),12/2021,0.0,,,0
58,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  #",Senior loan,L + 4.50(a),5.74,09/2023,2288.0,2265.0,0.2,2265
59,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC",Senior loan,L + 4.50,N/A  (5),09/2023,0.0,0.0,0.0,0
60,"Beverage, Food and Tobacco - (continued)","P&P Food Safety US Acquisition, Inc.  *",One stop,L + 6.50(c),7.82,11/2021,4126.0,4083.0,0.4,4126
61,"Beverage, Food and Tobacco - (continued)","P&P Food Safety US Acquisition, Inc.",One stop,P + 5.25(e),9.50,11/2021,13.0,13.0,0.0,13
62,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),7.57,05/2021,8561.0,8407.0,0.9,8561
63,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,No Value,3.50 cash/7.00 PIK,05/2026,109.0,109.0,0.0,112
64,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(a)(c),7.55,05/2021,70.0,69.0,0.0,70
65,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),7.58,05/2021,15.0,15.0,0.0,15
66,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(a),7.49,05/2021,15.0,15.0,0.0,15
67,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),7.58,05/2021,14.0,14.0,0.0,14
68,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),7.58,05/2021,11.0,11.0,0.0,11
69,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.25(c),7.58,05/2021,10.0,10.0,0.0,10
70,"Beverage, Food and Tobacco - (continued)","Restaurant Holding Company, LLC  #",Senior loan,L + 7.75(a),8.99,02/2019,4469.0,4455.0,0.4,4246
71,"Beverage, Food and Tobacco - (continued)","Rubio's Restaurants, Inc.  *^",Senior loan,L + 4.75(c),6.07,11/2018,8828.0,8807.0,0.9,8828
72,"Beverage, Food and Tobacco - (continued)",Smashburger Finance LLC,Senior loan,L + 5.50(c),6.83,05/2018,79.0,79.0,0.0,69
73,"Beverage, Food and Tobacco - (continued)",Smashburger Finance LLC  (4),Senior loan,L + 5.50,N/A  (5),05/2018,0.0,,,0
74,"Beverage, Food and Tobacco - (continued)",Surfside Coffee Company LLC  #c,One stop,L + 5.25(c),6.58,06/2020,4436.0,4411.0,0.5,4436
75,"Beverage, Food and Tobacco - (continued)",Surfside Coffee Company LLC,One stop,L + 5.25(c),6.58,06/2020,335.0,334.0,0.0,335
76,"Beverage, Food and Tobacco - (continued)",Surfside Coffee Company LLC,One stop,L + 5.25(c),6.57,06/2020,30.0,30.0,0.0,30
77,"Beverage, Food and Tobacco - (continued)","Tate's Bake Shop, Inc.  ^",Senior loan,L + 5.00(c),6.33,08/2019,591.0,588.0,0.1,591
