,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"PPW Aero Buyer, Inc.+",One stop,SF +7.00(k)(m),12.33,02/2029,24825,24157,1.0,24825,
5,Aerospace and Defense,"PPW Aero Buyer, Inc.+(5)",One stop,SF +7.00,N/A(6),02/2029,-,(1),-,-
6,Airlines,Airlines,One stop,,,,,,,
7,Airlines,Accelya Lux Finco S.A.R.L.+(8)(13),One stop,SF +6.00(l),11.49,12/2026,965,955,-,917
8,Auto Components,Auto Components,One stop,,,,,,,
9,Auto Components,"COP CollisionRight Holdings, Inc.#+One stop",One stop,SF +5.25(l),10.79,04/2028,9810,9680,0.4,9711
10,Auto Components,"COP CollisionRight Holdings, Inc.+One stop",One stop,SF +5.25(l),10.79,04/2028,36,35,-,35
11,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,SF +4.50(l)(m),10.10,08/2027,4840,4809,0.2,4647
12,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,SF +4.50(m),10.09,08/2027,977,960,-,938
13,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,SF +4.50(m),10.03,08/2027,13,12,-,9
14,Auto Components,"North Haven Falcon Buyer, LLC+(23)",One stop,SF +8.00(l),9.78cash/3.75PIK,05/2027,6243,6141,0.2,5493
15,Auto Components,"North Haven Falcon Buyer, LLC+(23)",One stop,SF +8.00(l),9.82cash/3.75PIK,05/2027,1048,1037,0.1,922
16,Auto Components,Polk Acquisition Corp.*#+(23),Senior secured,SF +7.00(k),10.67cash/1.75PIK,12/2024,18092,18078,0.7,17731
17,Auto Components,Polk Acquisition Corp.+(23),Senior secured,SF +7.00(k),10.67cash/1.75PIK,12/2024,60,61,-,57
18,Auto Components,Polk Acquisition Corp.+(23),Senior secured,SF +7.00(k),10.67cash/1.75PIK,12/2024,107,107,-,105
19,Automobiles,Automobiles,Senior secured,,,,,,,
20,Automobiles,"CG Group Holdings, LLC*#+(23)",One stop,SF +8.75(l),12.14cash/2.00PIK,07/2027,31764,31300,1.2,30493
21,Automobiles,"CG Group Holdings, LLC+(23)",One stop,SF +8.75(k),12.07cash/2.00PIK,07/2026,345,340,-,333
22,Automobiles,"Denali Midco 2, LLC*#+One stop",One stop,SF +6.25(k),11.67,12/2027,42433,42132,1.6,41583
23,Automobiles,"Denali Midco 2, LLC+(5)",One stop,SF +6.25,N/A(6),12/2027,-,(4),-,(10)
24,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,196,194,-,192
25,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,99,98,-,97
26,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,79,78,-,77
27,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,79,78,-,77
28,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,65,65,-,64
29,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.50(k),11.92,12/2027,968,945,-,959
30,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,653,649,-,640
31,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,119,118,-,116
32,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,113,112,-,111
33,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),11.67,12/2027,81,81,-,80
34,Automobiles,"Denali Midco 2, LLC+(5)",One stop,SF +6.50,N/A(6),12/2027,-,(7),-,(3)
35,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.50(k),11.92,12/2027,129,126,-,128
36,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.50(k),11.92,12/2027,65,63,-,64
37,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.50(k),11.92,12/2027,221,215,-,218
38,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.50(k),11.92,12/2027,261,255,-,258
39,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +5.25(l),10.79,09/2025,15156,15026,0.6,14929
40,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +5.25(l),10.79,09/2025,491,487,-,483
41,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +5.25(l),10.79,09/2025,292,290,-,287
42,Automobiles,JHCC Holdings LLC+(5),One stop,SF +5.25,N/A(6),09/2025,-,(1),-,(2)
43,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +5.25(l),10.79,09/2025,3309,3286,0.1,3259
44,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +6.75(l),12.29,09/2025,1109,1090,-,1114
45,Automobiles,"MOP GM Holding, LLC*#+One stop",One stop,SF +5.75(l),11.29,11/2026,23733,23574,0.9,22785
46,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),11.03,11/2026,2602,2587,0.1,2498
47,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.32,11/2026,2573,2545,0.1,2470
48,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),11.03,11/2026,2552,2535,0.1,2450
49,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.29,11/2026,1891,1879,0.1,1815
50,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.27,11/2026,1555,1546,0.1,1493
51,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),11.03,11/2026,1433,1416,0.1,1376
52,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.29,11/2026,522,519,-,501
53,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.29,11/2026,355,352,-,341
54,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.29,11/2026,146,145,-,140
55,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.29,11/2026,59,59,-,57
56,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l)(m),11.34,11/2026,186,185,-,178
57,Automobiles,"MOP GM Holding, LLC+(5)",One stop,SF +5.75,N/A(6),11/2026,-,(16),-,(93)
58,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.27,11/2026,178,177,-,171
59,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),11.27,11/2026,59,59,-,57
60,Automobiles,"POY Holdings, LLC#",One stop,SF +5.50(l),11.04,11/2027,9447,9316,0.4,9447
61,Automobiles,"POY Holdings, LLC+(5)",One stop,SF +5.50,N/A(6),11/2027,-,(3),-,-
62,Automobiles,"POY Holdings, LLC+(5)",One stop,SF +5.50,N/A(6),11/2027,-,(1),-,-
63,Automobiles,"POY Holdings, LLC+One stop",One stop,SF +5.50(l),11.04,11/2027,81,80,-,81
64,Automobiles,"National Express Wash Parent Holdco, LLC+One stop",One stop,SF +5.50(l)(m),10.89,07/2029,4980,4939,0.2,4781
65,Automobiles,"National Express Wash Parent Holdco, LLC+One stop",One stop,SF +5.50(m),10.96,07/2029,105,103,-,97
66,Automobiles,"National Express Wash Parent Holdco, LLC+(5)",One stop,SF +5.50,N/A(6),07/2029,-,(3),-,(15)
67,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,SF +6.50(l),12.02,10/2026,12682,12538,0.5,12555
68,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.50(l),12.02,10/2026,9675,9565,0.4,9578
69,Automobiles,"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,SF +6.50(l),12.02,10/2026,2289,2263,0.1,2266
70,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +6.50(l),12.02,10/2026,1998,1988,0.1,1979
71,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +6.50(l),12.02,10/2026,1336,1328,0.1,1323
72,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +6.50(l),12.02,10/2026,1089,1076,-,1078
73,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.50(l),12.02,10/2026,94,90,-,93
74,Automobiles,"Quick Quack Car Wash Holdings, LLC+(5)",One stop,SF +6.50,N/A(6),10/2026,-,(2),-,(2)
75,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.50(l),12.02,10/2026,50,48,-,49
76,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.50(l),12.02,10/2026,342,336,-,338
77,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.50(l),12.02,10/2026,103,99,-,102
78,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.50(l),12.02,10/2026,3293,3242,0.1,3260
79,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.50(l),12.02,10/2026,94,92,-,93
80,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.50(k),11.92,10/2026,1500,1485,0.1,1485
81,Automobiles,"Quick Quack Car Wash Holdings, LLC+(5)",One stop,SF +6.50,N/A(6),10/2026,-,(35),-,(35)
82,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.50(l),12.00,07/2028,8306,8173,0.3,8223
83,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.50(l),12.02,07/2028,903,896,0.1,894
84,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.50,N/A(6),07/2028,-,-,-,-
85,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.50(l),11.99,07/2028,670,665,-,663
86,Automobiles,"TWAS Holdings, LLC#+One stop",One stop,SF +6.75(k),12.17,12/2026,40051,39793,1.6,39651
