,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,United States,United States,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"ILC Dover,  LP",Senior loan,P + 5.00,8.25,07/2017,21.0,15.0,0.0,17.0
5,Aerospace and Defense,"ILC Dover, LP",Senior loan,L + 6.00,7.29,07/2017,4324.0,4263.0,0.6,4281.0
6,Aerospace and Defense,"ILC Dover, LP",Senior loan,L + 6.00,7.29,07/2017,603.0,598.0,0.1,597.0
7,Aerospace and Defense,NTS Technical Systems  (4),One Stop,L + 5.50,(5),11/2018,0.0,,0.0,
8,Aerospace and Defense,NTS Technical Systems,One Stop,L + 5.50,6.75,11/2018,14764.0,14472.0,2.2,14616.0
9,Aerospace and Defense,NTS Technical Systems  (4),One Stop,L + 5.50,(5),11/2018,0.0,,0.0,
10,Aerospace and Defense,"Tresys Technology Holdings,  Inc.  (4)",One Stop,L + 6.75,(5),12/2017,0.0,,0.0,0.0
11,Aerospace and Defense,"Tresys Technology Holdings,  Inc.",One Stop,L + 6.75,8.00,12/2017,3950.0,3871.0,0.5,3476.0
12,Aerospace and Defense,Whitcraft LLC,Subordinated Debt,No Value,12.00,12/2018,1877.0,1854.0,0.3,1877.0
13,Aerospace and Defense,"White Oak Technologies,  Inc.  (4)",Senior loan,L + 5.00,(5),03/2017,0.0,,0.0,0.0
14,Aerospace and Defense,"White  Oak Technologies, Inc.*",Senior loan,L  + 5.00,6.25,03/2017,1808.0,1776.0,0.3,1808.0
15,Automobile,Automobile,Senior loan,,,,,,,
16,Automobile,"ABRA, Inc.  (8)",One Stop,P + 4.75,8.00,05/2018,934.0,916.0,0.1,934.0
17,Automobile,"ABRA, Inc.  (8)",One Stop,L + 6.00,7.25,05/2018,5092.0,5058.0,0.8,5092.0
18,Automobile,"ABRA, Inc.*  (8)",One Stop,L + 6.00,7.25,05/2018,26229.0,25976.0,4.0,26229.0
19,Automobile,"ABRA, Inc.  (4),(8)",One Stop,L + 5.75,(5),05/2018,0.0,,0.0,0.0
20,Automobile,"ABRA, Inc.",One Stop,L + 7.75,9.00,05/2018,4797.0,4721.0,0.7,4797.0
21,Automobile,"American Driveline Systems,  Inc.",Senior loan,L + 5.50,7.14,01/2016,287.0,282.0,0.0,248.0
22,Automobile,"American Driveline Systems,  Inc.*",Senior loan,L + 5.50,7.00,01/2016,2819.0,2783.0,0.4,2537.0
23,Automobile,"K&N Engineering, Inc.  (4)",Senior loan,L + 4.50,(5),04/2018,0.0,,0.0,0.0
24,Automobile,"K&N Engineering, Inc.*",Senior loan,L + 4.50,5.75,04/2018,3732.0,3683.0,0.6,3732.0
25,Automobile,"K&N Engineering, Inc.",Senior loan,P + 3.50,6.75,04/2018,3529.0,3483.0,0.5,3529.0
26,Automobile,"Take 5 Oil Change, L.L.C.",Senior loan,L + 5.25,6.25,07/2018,55.0,52.0,0.0,55.0
27,Automobile,"Take  5 Oil Change, L.L.C.",Senior loan,L  + 5.25,6.25,07/2018,2971.0,2951.0,0.5,2971.0
28,Banking,Banking,Senior loan,,,,,,,
29,Banking,Prommis Fin Co.  (3),Senior loan,P + 10.00,13.25,06/2015,85.0,84.0,0.0,2.0
30,Banking,Prommis  Fin Co.*  (3),Senior loan,No Value,2.25  cash/8.25 PIK,06/2015,124.0,124.0,0.0,3.0
31,"Beverage, Food and  Tobacco","Beverage, Food and  Tobacco",Senior loan,,,,,,,
32,"Beverage, Food and  Tobacco",ABP Corporation  (4),Senior loan,P + 3.50,(5),06/2016,0.0,,0.0,0.0
33,"Beverage, Food and  Tobacco",ABP Corporation*,Senior loan,L + 4.75,6.00,06/2016,4478.0,4434.0,0.7,4478.0
34,"Beverage, Food and  Tobacco","American Importing Company,  Inc.",One Stop,L + 5.75,7.00,05/2018,14769.0,14597.0,2.2,14769.0
35,"Beverage, Food and  Tobacco","Ameriqual Group, LLC*",Senior loan,L + 5.00,6.50 cash/0.75 PIK,03/2016,1727.0,1703.0,0.3,1658.0
36,"Beverage, Food and  Tobacco","Ameriqual Group, LLC*",Senior loan,L + 7.50,9.00 cash/1.25 PIK,03/2016,829.0,821.0,0.1,713.0
37,"Beverage, Food and  Tobacco",ARG IH Corporation (Arby's),Senior loan,L + 4.00,5.00,11/2020,2355.0,2326.0,0.4,2372.0
38,"Beverage, Food and  Tobacco","Atkins Nutritionals, Inc*",One Stop,L + 5.00,6.25,01/2019,22282.0,22052.0,3.4,22560.0
