,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"ILC Dover, LP  *^#",One stop,L + 9.00,8.00 cash/2.00 PIK,03/2020,17701,17575,1.8,15577
5,Aerospace and Defense,"ILC Dover, LP",One stop,L + 9.00,8.00 cash/2.00 PIK,03/2019,789,781,0.1,694
6,Aerospace and Defense,NTS Technical Systems  *^#,One stop,L + 6.25,7.25,06/2021,25549,25154,2.9,25039
7,Aerospace and Defense,NTS Technical Systems  (4),One stop,L + 6.25,N/A  (5),06/2021,-,(87,-,(71
8,Aerospace and Defense,NTS Technical Systems  (4),One stop,L + 6.25,N/A  (5),06/2021,-,(144,-,(57
9,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (6)",One stop,L + 6.75,8.00,12/2017,3899,3845,0.1,1170
10,Aerospace and Defense,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,618,616,0.1,618
11,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50,5.18,09/2021,24,23,-,24
12,Aerospace and Defense,Whitcraft LLC  *^,One stop,L + 6.50,7.50,05/2020,13470,13377,1.5,13470
13,Aerospace and Defense,Whitcraft LLC  (4),One stop,L + 6.50,N/A  (5),05/2020,-,(1,-,-
14,Automobile,Automobile,One stop,,,,,,,
15,Automobile,CH Hold Corp. (Caliber Collision)  *#,Senior loan,L + 5.25,6.25,11/2019,5131,5097,0.6,5131
16,Automobile,Dent Wizard International Corporation  *,Senior loan,L + 4.75,5.75,04/2020,2338,2329,0.3,2338
17,Automobile,OEConnection LLC  *,Senior loan,L + 5.00,6.00,06/2022,4871,4756,0.5,4871
18,Automobile,OEConnection LLC  (4),Senior loan,L + 5.00,N/A  (5),06/2021,-,(1,-,-
19,Automobile,T5 Merger Corporation  ^,One stop,L + 6.25,7.25,03/2022,4145,4078,0.5,4103
20,Automobile,T5 Merger Corporation,One stop,L + 6.25,7.25,03/2022,30,28,-,29
21,Banking,Banking,One stop,,,,,,,
22,Banking,HedgeServ Holding L.P.  *#,One stop,L + 8.00,7.00 cash/2.00 PIK,02/2019,17621.0,17550,1.9,16739
23,Banking,HedgeServ Holding L.P.  (4),One stop,L + 8.00,N/A  (5),02/2019,-,(4,-,(47
24,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",One stop,,,,,,,
25,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 8.00,7.00 cash/2.00 PIK,04/2021,7989,7855,0.8,7190
26,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 8.00,7.00 cash/2.00 PIK,04/2021,9,8,-,7
27,"Beverage, Food and Tobacco",ABP Corporation  *,Senior loan,L + 4.75,6.00,09/2018,4684,4658,0.5,4449
28,"Beverage, Food and Tobacco",ABP Corporation,Senior loan,P + 3.50,7.25,09/2018,292,289,-,267
29,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc  *^",One stop,L + 8.50,9.75,04/2019,21636,21481,2.5,21636
30,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc  *^#",One stop,L + 5.00,6.25,01/2019,16872,16766,1.9,16872
31,"Beverage, Food and Tobacco","Benihana, Inc.  *^",One stop,L + 7.00,8.25,01/2019,16221,15973,1.8,16072
32,"Beverage, Food and Tobacco","Benihana, Inc.",One stop,L + 7.00,8.84,07/2018,1020,990,0.1,1000
33,"Beverage, Food and Tobacco","C. J. Foods, Inc.  *",One stop,L + 5.00,6.00,05/2019,3133,3110,0.4,3133
34,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 5.00,6.00,05/2019,661,655,0.1,661
35,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 5.00,6.00,05/2019,216,211,-,216
36,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75,7.00,05/2018,1068,1063,0.1,1068
37,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75,7.00,05/2018,301,299,-,301
38,"Beverage, Food and Tobacco","Firebirds International, LLC",One stop,L + 5.75,7.00,05/2018,97,96,-,97
39,"Beverage, Food and Tobacco","Firebirds International, LLC  (4)",One stop,L + 5.75,N/A  (5),05/2018,-,(1,-,-
40,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.  *^#",One stop,L + 6.00,7.23,12/2020,25529,25331,2.9,25529
41,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.",One stop,P + 5.00,8.15,12/2020,1422,1415,0.2,1422
42,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.  *",One stop,L + 6.00,7.00,12/2020,1255,1246,0.2,1255
43,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.  *",One stop,L + 6.00,7.00,12/2020,1252,1243,0.2,1252
44,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.  (4)",One stop,L + 6.00,N/A  (5),12/2020,-,(8,-,-
45,"Beverage, Food and Tobacco","Hopdoddy Holdings, LLC",One stop,L + 8.00,9.00,08/2020,658,648,0.1,658
46,"Beverage, Food and Tobacco","Hopdoddy Holdings, LLC",One stop,L + 8.00,N/A  (5),08/2020,-,-,-,-
47,"Beverage, Food and Tobacco","Hopdoddy Holdings, LLC  (4)",One stop,L + 8.00,N/A  (5),08/2020,-,(2,-,-
48,"Beverage, Food and Tobacco",IT'SUGAR LLC,Subordinated debt,No Value,5.00,04/2020,1707,1707,0.2,1355
49,"Beverage, Food and Tobacco – (continued)","Beverage, Food and Tobacco – (continued)",Subordinated debt,,,,,,,
50,"Beverage, Food and Tobacco – (continued)","Mid-America Pet Food, L.L.C.  ^",One stop,L + 6.25,7.25,12/2021,5683,5598,0.6,5626
51,"Beverage, Food and Tobacco – (continued)","Mid-America Pet Food, L.L.C.",One stop,L + 6.25,7.25,12/2021,3,2,-,3
52,"Beverage, Food and Tobacco – (continued)","P&P Food Safety US Acquisition, Inc.  *",One stop,L + 6.50,7.50,11/2021,4157,4106,0.5,4115
53,"Beverage, Food and Tobacco – (continued)","P&P Food Safety US Acquisition, Inc.",One stop,L + 6.50,N/A  (5),11/2021,-,-,-,-
54,"Beverage, Food and Tobacco – (continued)","Purfoods, LLC",One stop,L + 6.25,7.25,05/2021,8626,8439,1.0,8626
55,"Beverage, Food and Tobacco – (continued)","Purfoods, LLC",One stop,L + 7.00,7.00 PIK,05/2026,101,101,-,106
56,"Beverage, Food and Tobacco – (continued)","Purfoods, LLC",One stop,L + 6.25,7.25,05/2021,40,39,-,40
57,"Beverage, Food and Tobacco – (continued)","Purfoods, LLC  (4)",One stop,L + 6.25,N/A  (5),05/2021,-,(1,-,-
58,"Beverage, Food and Tobacco – (continued)","Restaurant Holding Company, LLC  #",Senior loan,L + 7.75,8.75,02/2019,4593,4571,0.5,4501
59,"Beverage, Food and Tobacco – (continued)","Rubio's Restaurants, Inc.  *^",Senior loan,L + 4.75,6.00,11/2018,8896,8861,1.0,8896
60,"Beverage, Food and Tobacco – (continued)",Smashburger Finance LLC,Senior loan,L + 5.50,6.75,05/2018,83,83,-,81
61,"Beverage, Food and Tobacco – (continued)",Smashburger Finance LLC  (4),Senior loan,L + 5.50,N/A  (5),05/2018,-,(2,-,-
62,"Beverage, Food and Tobacco – (continued)",Surfside Coffee Company LLC  #,One stop,L + 5.25,6.25,06/2020,4458,4427,0.5,4458
63,"Beverage, Food and Tobacco – (continued)",Surfside Coffee Company LLC,One stop,L + 5.25,6.25,06/2020,337,329,0.1,337
64,"Beverage, Food and Tobacco – (continued)",Surfside Coffee Company LLC,One stop,L + 5.25,6.25,06/2020,25,25,-,25
65,"Beverage, Food and Tobacco – (continued)","Tate's Bake Shop, Inc.  #",Senior loan,L + 5.00,6.00,08/2019,596,592,0.1,596
66,"Beverage, Food and Tobacco – (continued)",Uinta Brewing Company  ^,One stop,L + 8.50,9.50,08/2019,3734,3714,0.4,3623
67,"Beverage, Food and Tobacco – (continued)",Uinta Brewing Company,One stop,L + 8.50,9.50,08/2019,385,383,-,373
68,Broadcasting and Entertainment,Broadcasting and Entertainment,One stop,,,,,,,
69,Broadcasting and Entertainment,"TouchTunes Interactive Networks, Inc.  ^",Senior loan,L + 4.75,5.75,05/2021,1473,1468,0.2,1484
70,Building and Real Estate,Building and Real Estate,Senior loan,,,,,,,
71,Building and Real Estate,"Brooks Equipment Company, LLC  *^",One stop,L + 5.00,6.00,08/2020,22720,22513,2.6,22720
72,Building and Real Estate,"Brooks Equipment Company, LLC  (4)",One stop,L + 5.00,N/A  (5),08/2020,-,(12,-,-
73,Building and Real Estate,"ITEL Laboratories, Inc.  *",Senior loan,L + 4.50,5.75,06/2018,548,546,0.1,548
74,Building and Real Estate,"ITEL Laboratories, Inc.",Senior loan,L + 4.50,N/A  (5),06/2018,-,-,-,-
75,"Chemicals, Plastics and Rubber","Chemicals, Plastics and Rubber",Senior loan,,,,,,,
76,"Chemicals, Plastics and Rubber","Flexan, LLC  *",One stop,L + 5.75,6.75,02/2020,2351,2328,0.3,2327
77,"Chemicals, Plastics and Rubber","Flexan, LLC",One stop,L + 5.75,N/A  (5),02/2020,-,-,-,-
78,Diversified Conglomerate Manufacturing,Diversified Conglomerate Manufacturing,One stop,,,,,,,
79,Diversified Conglomerate Manufacturing,"Chase Industries, Inc.  *^#",One stop,L + 5.75,6.82,09/2020,21649,21510,2.5,21649
80,Diversified Conglomerate Manufacturing,"Chase Industries, Inc.  #",One stop,L + 5.75,7.20,09/2020,4807,4777,0.5,4807
81,Diversified Conglomerate Manufacturing,"Chase Industries, Inc.  (4)",One stop,L + 5.75,N/A  (5),09/2020,-,(13,-,-
82,Diversified Conglomerate Manufacturing,"Inventus Power, Inc.  *^",One stop,L + 5.50,6.50,04/2020,8409,8371,0.9,7778
83,Diversified Conglomerate Manufacturing,"Inventus Power, Inc.  (4)",One stop,L + 5.50,N/A  (5),04/2020,-,(2,-,(39
