,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"ILC Dover, LP  #",Senior loan,L + 4.75(a)(d),6.58,12/2023,9978.0,9882.0,1.0,9878.0
5,Aerospace and Defense,NTS Technical Systems  *^#,One stop,L + 6.25(a),7.91,06/2021,21773.0,21525.0,2.3,21773.0
6,Aerospace and Defense,NTS Technical Systems  (5),One stop,L + 6.25,N/A  (6),06/2021,0.0,,0.0,0.0
7,Aerospace and Defense,NTS Technical Systems  (5),One stop,L + 6.25,N/A  (6),06/2021,0.0,,0.0,0.0
8,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75(a),8.64,12/2018,3899.0,3845.0,0.1,1170.0
9,Aerospace and Defense,"Tresys Technology Holdings, Inc.  (7)",One stop,L + 6.75(a),8.64,12/2018,659.0,658.0,0.1,659.0
10,Aerospace and Defense,"Tronair Parent, Inc.  ^",Senior loan,L + 4.75(c)(e),6.56,09/2023,368.0,365.0,0.0,368.0
11,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50(c)(e),7.24,09/2021,62.0,61.0,0.0,62.0
12,Aerospace and Defense,Whitcraft LLC  *^,One stop,L + 6.25(c),8.56,04/2023,12502.0,12344.0,1.3,12502.0
13,Aerospace and Defense,Whitcraft LLC,One stop,L + 6.25(c),8.56,04/2023,195.0,193.0,0.0,195.0
14,Aerospace and Defense,Whitcraft LLC  (5),One stop,L + 6.25,N/A  (6),04/2023,0.0,,0.0,0.0
15,Aerospace and Defense,Whitcraft LLC  (5),One stop,L + 6.25,N/A  (6),04/2023,0.0,,0.0,0.0
16,Automobile,Automobile,One stop,,,,,,,
17,Automobile,Dent Wizard International Corporation  *,Senior loan,L + 4.00(a),5.88,04/2020,4500.0,4481.0,0.5,4500.0
18,Automobile,"Grease Monkey International, LLC  *^",Senior loan,L + 5.00(a),6.89,11/2022,4887.0,4831.0,0.5,4887.0
19,Automobile,"Grease Monkey International, LLC",Senior loan,P + 4.00(a)(e),8.15,11/2022,32.0,31.0,0.0,32.0
20,Automobile,"Grease Monkey International, LLC  (5)",Senior loan,L + 5.00,N/A  (6),11/2022,0.0,,0.0,0.0
21,Automobile,T5 Merger Corporation  *^,One stop,L + 6.50(a),8.16,03/2022,4359.0,4298.0,0.5,4272.0
22,Automobile,T5 Merger Corporation  *,One stop,L + 6.50(a),8.16,03/2022,190.0,188.0,0.0,186.0
23,Automobile,T5 Merger Corporation,One stop,L + 6.50(a),8.32,03/2022,98.0,96.0,0.0,95.0
24,Automobile,T5 Merger Corporation  *,One stop,L + 6.50(a),8.16,03/2022,60.0,59.0,0.0,59.0
25,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",One stop,,,,,,,
26,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.",One stop,L + 5.75(a),7.64,04/2021,7454.0,7364.0,0.8,7454.0
27,"Beverage, Food and Tobacco","Abita Brewing Co., L.L.C.  (5)",One stop,L + 5.75,N/A  (6),04/2021,0.0,,0.0,0.0
28,"Beverage, Food and Tobacco","Benihana, Inc.  *^",One stop,L + 7.00(c)(e),9.13,01/2019,16018.0,15925.0,1.7,16018.0
29,"Beverage, Food and Tobacco","Benihana, Inc.",One stop,L + 7.00(a)(e),9.49,07/2018,1726.0,1721.0,0.2,1726.0
30,"Beverage, Food and Tobacco","C. J. Foods, Inc.  *^#",One stop,L + 6.25(c),8.02,05/2020,8625.0,8551.0,0.9,8538.0
31,"Beverage, Food and Tobacco","C. J. Foods, Inc.  ^",One stop,L + 6.25(c),8.02,05/2019,653.0,649.0,0.1,646.0
32,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 6.25(c),8.05,05/2019,86.0,83.0,0.0,80.0
33,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.  ^",One stop,L + 5.75(a),7.64,09/2023,10423.0,10257.0,1.1,10423.0
34,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.",One stop,L + 5.75(c),7.52,09/2023,40.0,35.0,0.0,40.0
35,"Beverage, Food and Tobacco","Cafe Rio Holding, Inc.",One stop,P + 4.75(e),9.50,09/2023,35.0,33.0,0.0,35.0
36,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75(c),7.42,12/2018,1057.0,1054.0,0.1,1057.0
37,"Beverage, Food and Tobacco","Firebirds International, LLC  *",One stop,L + 5.75(c),7.42,12/2018,297.0,296.0,0.0,297.0
38,"Beverage, Food and Tobacco","Firebirds International, LLC  ^",One stop,L + 5.75(c),7.42,12/2018,95.0,95.0,0.0,95.0
39,"Beverage, Food and Tobacco","Firebirds International, LLC",One stop,L + 5.75,N/A  (6),12/2018,0.0,0.0,0.0,0.0
40,"Beverage, Food and Tobacco","Firebirds International, LLC",One stop,L + 5.75,N/A  (6),12/2018,0.0,0.0,0.0,0.0
41,"Beverage, Food and Tobacco","Flavor Producers, LLC  #",Senior loan,L + 4.75(c),6.71,12/2023,2166.0,2135.0,0.2,2166.0
42,"Beverage, Food and Tobacco","Flavor Producers, LLC",Senior loan,L + 4.75(c),6.71,12/2022,4.0,3.0,0.0,4.0
43,"Beverage, Food and Tobacco",FWR Holding Corporation  ^,One stop,L + 6.00(d),7.66,08/2023,5299.0,5227.0,0.6,5299.0
44,"Beverage, Food and Tobacco",FWR Holding Corporation,One stop,L + 6.00(b)(c),7.62,08/2023,65.0,63.0,0.0,65.0
45,"Beverage, Food and Tobacco",FWR Holding Corporation,One stop,P + 5.00(c)(e),9.24,08/2023,30.0,29.0,0.0,30.0
46,"Beverage, Food and Tobacco","Global Franchise Group, LLC  *",Senior loan,L + 5.75(c),8.05,12/2019,3392.0,3367.0,0.4,3392.0
47,"Beverage, Food and Tobacco","Global Franchise Group, LLC",Senior loan,L + 5.75,N/A  (6),12/2019,0.0,0.0,0.0,0.0
48,"Beverage, Food and Tobacco",Global ID Corporation#,One stop,L + 6.50(c),8.68,11/2021,5170.0,5123.0,0.5,5170.0
49,"Beverage, Food and Tobacco",Global ID Corporation,One stop,L + 6.50,N/A  (6),11/2021,0.0,0.0,0.0,0.0
50,"Beverage, Food and Tobacco",Global ID Corporation  (5),One stop,L + 6.50,N/A  (6),11/2021,0.0,,0.0,0.0
51,"Beverage, Food and Tobacco - (continued)","Beverage, Food and Tobacco - (continued)",One stop,,,,,,,
52,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00(c),9.98,08/2020,1315.0,1306.0,0.1,1315.0
53,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC",One stop,L + 8.00(c),10.01,08/2020,3.0,2.0,0.0,3.0
54,"Beverage, Food and Tobacco - (continued)","Hopdoddy Holdings, LLC  (5)",One stop,L + 8.00,N/A  (6),08/2020,0.0,,0.0,
55,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  ^#",One stop,L + 6.00(b),8.00,12/2021,10806.0,10704.0,1.1,10725.0
56,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.  (5)",One stop,L + 6.00,N/A  (6),12/2021,0.0,,0.0,
57,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  ^",Senior loan,L + 4.50(a),6.39,09/2023,2138.0,2118.0,0.2,2138.0
58,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC",Senior loan,P + 3.50(e),8.25,09/2023,1.0,1.0,0.0,1.0
59,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),7.98,05/2021,8517.0,8386.0,0.9,8517.0
60,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,No Value,7.00 PIK,05/2026,109.0,109.0,0.0,115.0
61,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),7.87,05/2021,40.0,40.0,0.0,40.0
62,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(a),7.79,05/2021,40.0,39.0,0.0,40.0
63,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.31,05/2021,24.0,24.0,0.0,24.0
64,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.31,05/2021,15.0,15.0,0.0,15.0
65,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.31,05/2021,15.0,15.0,0.0,15.0
66,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.31,05/2021,14.0,14.0,0.0,14.0
67,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.31,05/2021,11.0,11.0,0.0,11.0
68,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.31,05/2021,11.0,11.0,0.0,11.0
69,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(c),8.31,05/2021,10.0,10.0,0.0,10.0
70,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  (5)",One stop,L + 6.00,N/A  (6),05/2021,0.0,,0.0,
71,"Beverage, Food and Tobacco - (continued)","Restaurant Holding Company, LLC  #",Senior loan,L + 7.75(a),9.63,02/2019,3975.0,3966.0,0.4,3975.0
72,"Beverage, Food and Tobacco - (continued)","Rubio's Restaurants, Inc.  *^",Senior loan,L + 5.25(c),7.56,10/2019,11231.0,10973.0,1.2,11231.0
73,"Beverage, Food and Tobacco - (continued)",Smashburger Finance LLC,Senior loan,L + 5.50(c),7.50,05/2018,78.0,78.0,0.0,78.0
74,"Beverage, Food and Tobacco - (continued)",Smashburger Finance LLC,Senior loan,L + 5.50,N/A  (6),05/2018,0.0,0.0,0.0,0.0
75,"Beverage, Food and Tobacco - (continued)","Tate's Bake Shop, Inc.  ^",One stop,L + 6.25(c),8.56,08/2019,4303.0,4253.0,0.4,4303.0
