,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Investments,,,,,,,,,,,,,,,,,,,,,,
1,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,
2,Debt investments,,,,,,,,,,,,,,,,,,,,,,
3,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,
4,"Tronair Parent, Inc.+",Senior loan,L +,6.25,(b),8.67,cash/,0.50,PIK,09/2023,,,672,,,,670,,,0,,,618
5,"Tronair Parent, Inc.+",Senior loan,L +,6.25,(b),8.67,cash/,0.50,PIK,06/2023,,100,,,99,,,0.0,,88,,,
6,Whitcraft LLC*#+,One stop,L +,6.0,(b),9.67,,,,04/2023,,62608,,,62693,,,2.4,,60729,,,
7,Whitcraft LLC+,One stop,P +,5.0,(d),11.25,,,,04/2023,,42,,,38,,,0.0,,33,,,
8,Airlines,,,,,,,,,,,,,,,,,,,,,,
9,Aurora Lux Finco S.A.R.L. +(8)(13),One stop,L +,6.0,(b),8.78,,,,12/2026,,975,,,961,,,0.0,,926,,,
10,Auto Components,,,,,,,,,,,,,,,,,,,,,,
11,"COP CollisionRight Holdings, Inc.#+",One stop,SF +,4.75,(l),7.26,,,,04/2028,,9638,,,9483,,,0.4,,9542,,,
12,"COP CollisionRight Holdings, Inc.+",One stop,SF +,4.75,(l),8.45,,,,04/2028,,27,,,26,,,0.0,,26,,,
13,"COP CollisionRight Holdings, Inc.+(5)",One stop,SF +,4.75,,N/A(6),,,,04/2028,,0,,,(  2  ),,,0.0,,(  3  ),,,
14,"Covercraft Parent III, Inc.+",Senior loan,L +,4.5,(b),6.78,,,,08/2027,,4890,,,4850,,,0.2,,4890,,,
15,"Covercraft Parent III, Inc.+",Senior loan,L +,4.5,(b),8.17,,,,08/2027,,994,,,973,,,0.0,,994,,,
16,"Covercraft Parent III, Inc.+(5)",Senior loan,L +,4.5,,N/A(6),,,,08/2027,,0,,,(  1  ),,,0.0,,0,,,
17,"North Haven Falcon Buyer, LLC+",One stop,L +,6.5,(c),8.51,,,,05/2027,,6099,,,6004,,,0.3,,5855,,,
18,"North Haven Falcon Buyer, LLC+",One stop,L +,6.5,(c),8.67,,,,05/2027,,1021,,,1006,,,0.0,,981,,,
19,Polk Acquisition Corp.*#+,Senior loan,SF +,6.0,(k),9.03,,,,12/2024,,18007,,,17927,,,0.7,,17777,,,
20,Polk Acquisition Corp.+,Senior loan,SF +,6.5,(k),9.53,,,,03/2023,,695,,,693,,,0.0,,695,,,
21,Polk Acquisition Corp.+,Senior loan,SF +,6.0,(k),9.03,,,,12/2024,,106,,,108,,,0.0,,104,,,
22,Polk Acquisition Corp.+,Senior loan,SF +,6.0,(k),9.03,,,,12/2024,,106,,,106,,,0.0,,105,,,
23,Automobiles,,,,,,,,,,,,,,,,,,,,,,
24,"CG Group Holdings, LLC*#+",One stop,L +,7.25,(b),8.92,cash/,2.00,PIK,07/2027,,31441,,,31084,,,1.1,,28925,,,
25,"CG Group Holdings, LLC+",One stop,L +,7.25,(a),8.37,cash/,2.00,PIK,07/2026,,338,,,334,,,0.0,,311,,,
26,"Denali Midco 2, LLC*#+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,42864,,,42490,,,1.7,,41579,,,
27,"Denali Midco 2, LLC+(5)",One stop,SF +,5.25,,N/A(6),,,,12/2027,,0,,,(  4  ),,,0.0,,(  15  ),,,
28,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,198,,,196,,,0.0,,192,,,
29,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,100,,,99,,,0.0,,97,,,
30,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,80,,,79,,,0.0,,77,,,
31,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,80,,,79,,,0.0,,77,,,
32,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.28,,,,12/2027,,66,,,65,,,0.0,,64,,,
33,"Denali Midco 2, LLC+",One stop,SF +,6.5,(k),9.45,,,,12/2027,,978,,,949,,,0.0,,949,,,
34,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,660,,,654,,,0.0,,640,,,
35,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,120,,,119,,,0.0,,116,,,
36,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,114,,,113,,,0.0,,111,,,
37,"Denali Midco 2, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2027,,82,,,81,,,0.0,,80,,,
38,"Denali Midco 2, LLC+(5)",One stop,SF +,6.5,,N/A(6),,,,12/2027,,0,,,(  29  ),,,0.0,,(  29  ),,,
39,JHCC Holdings LLC+,One stop,L +,5.75,(b),9.42,,,,09/2025,,15314,,,15116,,,0.6,,14855,,,
40,JHCC Holdings LLC+,One stop,P +,4.75,(d),11.00,,,,09/2025,,496,,,491,,,0.0,,481,,,
41,JHCC Holdings LLC+,One stop,L +,5.75,(b)(d),9.91,,,,09/2025,,295,,,292,,,0.0,,286,,,
42,JHCC Holdings LLC+,One stop,P +,4.75,(b)(d),10.30,,,,09/2025,,57,,,56,,,0.0,,54,,,
43,JHCC Holdings LLC+,One stop,L +,5.75,(b),9.42,,,,09/2025,,302,,,267,,,0.0,,269,,,
44,"MOP GM Holding, LLC*#+",One stop,SF +,5.75,(m),9.98,,,,11/2026,,,23977,,,,23768,,,1.0,,,23498
45,"MOP GM Holding, LLC+",One stop,L +,5.75,(c),7.09,,,,11/2026,,2629,,,2609,,,0.1,,2576,,,
46,"MOP GM Holding, LLC+",One stop,SF +,5.75,(m),7.62,,,,11/2026,,2599,,,2562,,,0.1,,2547,,,
47,"MOP GM Holding, LLC+",One stop,L +,5.75,(c),6.95,,,,11/2026,,2578,,,2556,,,0.1,,2527,,,
48,"MOP GM Holding, LLC+",One stop,SF +,5.75,(l),8.58,,,,11/2026,,1910,,,1894,,,0.1,,1872,,,
49,"MOP GM Holding, LLC+",One stop,SF +,5.75,(m),8.98,,,,11/2026,,1571,,,1559,,,0.1,,1539,,,
50,"MOP GM Holding, LLC+",One stop,SF +,5.75,(m),7.62,,,,11/2026,,1448,,,1424,,,0.1,,1419,,,
51,"MOP GM Holding, LLC+",One stop,SF +,5.75,(m),9.98,,,,11/2026,,527,,,523,,,0.0,,517,,,
52,"MOP GM Holding, LLC+",One stop,SF +,5.75,(m),9.50,,,,11/2026,,358,,,355,,,0.0,,351,,,
53,"MOP GM Holding, LLC+",One stop,SF +,5.75,(l),9.55,,,,11/2026,,148,,,146,,,0.0,,145,,,
54,"MOP GM Holding, LLC+",One stop,SF +,5.75,(m),8.51,,,,11/2026,,60,,,59,,,0.0,,59,,,
55,"MOP GM Holding, LLC+",One stop,SF +,5.75,(c)(l)(m),8.91,,,,11/2026,,86,,,84,,,0.0,,82,,,
56,"MOP GM Holding, LLC+(5)",One stop,SF +,5.75,,N/A(6),,,,11/2026,,0,,,(  21  ),,,0.0,,(  47  ),,,
57,"MOP GM Holding, LLC+",One stop,SF +,5.75,(l),8.99,,,,11/2026,,180,,,178,,,0.0,,176,,,
58,"MOP GM Holding, LLC+",One stop,SF +,5.75,(m),8.94,,,,11/2026,,60,,,59,,,0.0,,59,,,
59,"POY Holdings, LLC#",One stop,L +,5.5,(b),9.17,,,,11/2027,,9543,,,9379,,,0.4,,9543,,,
60,"POY Holdings, LLC+",One stop,L +,5.5,(b),9.17,,,,11/2027,,36,,,32,,,0.0,,36,,,
61,"POY Holdings, LLC+",One stop,L +,5.5,(b),9.14,,,,11/2027,,82,,,79,,,0.0,,82,,,
62,"National Express Wash Parent Holdco, LLC+",One stop,SF +,5.5,(m),8.27,,,,07/2029,,3150,,,3120,,,0.1,,3119,,,
63,"National Express Wash Parent Holdco, LLC+",One stop,SF +,5.5,(m),8.39,,,,07/2029,,70,,,68,,,0.0,,68,,,
64,"National Express Wash Parent Holdco, LLC+(5)",One stop,SF +,5.5,,N/A(6),,,,07/2029,,0,,,(  22  ),,,0.0,,(  22  ),,,
65,"Quick Quack Car Wash Holdings, LLC*#",One stop,L +,6.5,(b),9.31,,,,10/2024,,12815,,,12820,,,0.5,,12815,,,
66,"Quick Quack Car Wash Holdings, LLC+",One stop,L +,6.5,(b),9.31,,,,10/2024,,9773,,,9750,,,0.4,,9773,,,
67,"Quick Quack Car Wash Holdings, LLC#+",One stop,L +,6.5,(b),9.31,,,,10/2024,,2313,,,2306,,,0.1,,2313,,,
68,"Quick Quack Car Wash Holdings, LLC*+",One stop,L +,6.5,(b),9.31,,,,10/2024,,2020,,,2042,,,0.1,,2020,,,
69,"Quick Quack Car Wash Holdings, LLC*+",One stop,L +,6.5,(b),9.31,,,,10/2024,,1350,,,1364,,,0.1,,1350,,,
70,"Quick Quack Car Wash Holdings, LLC*+",One stop,L +,6.5,(b),9.31,,,,10/2024,,1099,,,1110,,,0.0,,1099,,,
71,"Quick Quack Car Wash Holdings, LLC+",One stop,L +,6.5,(b),9.31,,,,10/2024,,95,,,89,,,0.0,,95,,,
72,"Quick Quack Car Wash Holdings, LLC+",One stop,L +,6.5,(b),9.32,,,,10/2024,,120,,,120,,,0.0,,120,,,
73,"Quick Quack Car Wash Holdings, LLC+",One stop,L +,6.5,(a)(b),9.51,,,,10/2024,,95,,,93,,,0.0,,95,,,
74,"Quick Quack Car Wash Holdings, LLC+",One stop,L +,6.5,(a),9.62,,,,10/2024,,345,,,341,,,0.0,,345,,,
75,"Quick Quack Car Wash Holdings, LLC+",One stop,L +,6.5,(a)(b),9.50,,,,10/2024,,104,,,99,,,0.0,,104,,,
76,"Spotless Brands, LLC+",One stop,SF +,6.5,(l),9.19,,,,07/2028,,8369,,,8207,,,0.3,,8202,,,
77,"Spotless Brands, LLC+",One stop,SF +,6.5,(k),9.44,,,,07/2028,,428,,,419,,,0.0,,418,,,
78,"Spotless Brands, LLC+",One stop,SF +,6.5,(d)(k),9.92,,,,07/2028,,20,,,20,,,0.0,,20,,,
79,"Spotless Brands, LLC+(5)",One stop,SF +,6.5,,N/A(6),,,,07/2028,,0,,,(  7  ),,,0.0,,(  7  ),,,
80,"TWAS Holdings, LLC#+",One stop,SF +,6.25,(k),9.38,,,,12/2026,,40460,,,40118,,,1.6,,40460,,,
81,"TWAS Holdings, LLC*+",One stop,SF +,6.25,(k),9.38,,,,12/2026,,30566,,,30292,,,1.2,,30566,,,
82,"TWAS Holdings, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2026,,7934,,,7865,,,0.3,,7934,,,
83,"TWAS Holdings, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2026,,609,,,604,,,0.0,,609,,,
84,"TWAS Holdings, LLC+",One stop,SF +,6.25,(k),9.38,,,,12/2026,,387,,,384,,,0.0,,387,,,
85,"TWAS Holdings, LLC+(5)",One stop,SF +,6.25,,N/A(6),,,,12/2026,,0,,,(  3  ),,,0.0,,0,,,
86,Beverages,,,,,,,,,,,,,,,,,,,,,,
87,"Fintech Midco, LLC*#",One stop,L +,5.25,(b),8.06,,,,08/2024,,23863,,,24012,,,0.9,,23624,,,
88,"Fintech Midco, LLC+",One stop,L +,5.25,(b),8.06,,,,08/2024,,15149,,,15053,,,0.6,,14998,,,
89,"Fintech Midco, LLC#+",One stop,L +,5.25,(b),8.06,,,,08/2024,,1105,,,1123,,,0.1,,1094,,,
90,"Fintech Midco, LLC+(5)",One stop,L +,5.25,,N/A(6),,,,08/2024,,0,,,0,,,0.0,,(  2  ),,,
91,"Watermill Express, LLC+",One stop,L +,5.5,(b),9.17,,,,04/2027,,2244,,,2227,,,0.1,,2222,,,
92,"Watermill Express, LLC+",One stop,L +,5.5,,N/A(6),,,,04/2027,,,0,,,,0,,,0,,,0
93,"Watermill Express, LLC+(5)",One stop,L +,5.5,,N/A(6),,,,04/2027,,0,,,(  1  ),,,0.0,,(  2  ),,,
94,"Winebow Holdings, Inc.+",One stop,L +,6.25,(a),9.37,,,,07/2025,,7799,,,7722,,,0.3,,7799,,,
95,Building Products,,,,,,,,,,,,,,,,,,,,,,
96,"BECO Holding Company, Inc.#+",One stop,L +,5.5,(b),9.17,,,,11/2028,,,7538,,,,7472,,,0.3,,,7387
97,"BECO Holding Company, Inc.+(5)",One stop,L +,5.5,,N/A(6),,,,11/2027,,0,,,(  4  ),,,0.0,,(  9  ),,,
98,"BECO Holding Company, Inc.+(5)",One stop,L +,5.5,,N/A(6),,,,11/2028,,0,,,(  17  ),,,0.0,,(  39  ),,,
99,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(a)(b),7.31,,,,03/2024,,4106,,,4107,,,0.2,,4106,,,
100,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(a)(b),7.31,,,,03/2024,,1388,,,1403,,,0.1,,1388,,,
101,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(a)(b),7.31,,,,03/2024,,895,,,901,,,0.0,,895,,,
102,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(a)(b),7.31,,,,03/2024,,844,,,839,,,0.0,,844,,,
103,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(a)(b),7.31,,,,03/2024,,429,,,436,,,0.0,,429,,,
104,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(a)(b),7.31,,,,03/2024,,274,,,275,,,0.0,,274,,,
105,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(b)(c),7.13,,,,03/2024,,886,,,877,,,0.0,,886,,,
106,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(a)(b),7.31,,,,03/2024,,214,,,214,,,0.0,,214,,,
107,"Jensen Hughes, Inc.+",Senior loan,L +,4.5,(a)(b),7.31,,,,03/2024,,114,,,114,,,0.0,,114,,,
108,Chemicals,,,,,,,,,,,,,,,,,,,,,,
109,Inhance Technologies Holdings LLC#+,One stop,L +,5.25,(b),7.53,,,,07/2024,,12444,,,12502,,,0.5,,12319,,,
110,Inhance Technologies Holdings LLC+,One stop,L +,5.25,(b),7.53,,,,07/2024,,9913,,,9845,,,0.4,,9813,,,
111,Inhance Technologies Holdings LLC+,One stop,L +,5.25,(b),7.53,,,,07/2024,,1891,,,1885,,,0.1,,1872,,,
112,Inhance Technologies Holdings LLC+,One stop,L +,5.25,(b),7.53,,,,07/2024,,21,,,22,,,0.0,,19,,,
113,PHM NL SP Bidco B.V.+(8)(9)(14),One stop,E +,6.25,(f),8.11,,,,09/2028,,31048,,,36136,,,1.2,,30116,,,
114,PHM NL SP Bidco B.V.+(8)(14),One stop,L +,6.25,(c),10.42,,,,09/2028,,13766,,,13559,,,0.5,,13353,,,
115,PHM NL SP Bidco B.V.+(8)(9)(14),One stop,SN +,6.25,(i),8.44,,,,09/2028,,6711,,,7914,,,0.2,,6510,,,
116,PHM NL SP Bidco B.V.+(8)(9)(14),One stop,E +,6.25,(f),6.31,,,,09/2028,,3282,,,3710,,,0.1,,3161,,,
117,Commercial Services & Supplies,,,,,,,,,,,,,,,,,,,,,,
118,"CI (Quercus) Intermediate Holdings, LLC*+",One stop,L +,5.25,(b),8.92,,,,10/2028,,16063,,,15862,,,0.6,,15741,,,
119,"CI (Quercus) Intermediate Holdings, LLC+(5)",One stop,L +,5.25,,N/A(6),,,,10/2028,,0,,,(  3  ),,,0.0,,(  4  ),,,
120,"CI (Quercus) Intermediate Holdings, LLC+(5)",One stop,L +,5.25,,N/A(6),,,,10/2028,,0,,,(  20  ),,,0.0,,(  48  ),,,
121,Hydraulic Authority III Limited+(8)(9)(10),One stop,SN +,5.0,(i),7.22,,,,11/2025,,9675,,,11066,,,0.4,,9675,,,
122,Hydraulic Authority III Limited+(8)(9)(10),One stop,E +,5.0,(e),6.19,,,,11/2025,,1057,,,1122,,,0.0,,1057,,,
123,Hydraulic Authority III Limited+(8)(9)(10),One stop,No Value,,,11.00,PIK,,,11/2028,,217,,,251,,,0.0,,217,,,
124,Hydraulic Authority III Limited+(8)(9)(10),One stop,SN +,5.0,,N/A(6),,,,11/2025,,0,,,0,,,0.0,,0,,,
125,"North Haven Stack Buyer, LLC*+",One stop,SF +,5.5,(k),8.63,,,,07/2027,,8767,,,8626,,,0.4,,8591,,,
