,0,1,2,3,4,5,6,7,8,9
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,NTS Technical Systems*#~^,Senior loan,L + 5.50(c),6.50,06/2023,40477,40070,1.6,39870.0
5,Aerospace and Defense,NTS Technical Systems~,Second lien,L + 9.75(c),10.75,12/2023,4589,4502,0.2,4497
6,Aerospace and Defense,NTS Technical Systems(5),Senior loan,L + 5.50,N/A(6),06/2023,0,(48),0,(61)
7,Aerospace and Defense,NTS Technical Systems(5),Senior loan,L + 5.50,N/A(6),06/2023,0,(76),0,(81)
8,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 4.75(e),5.75,09/2023,716,710,0,638
9,Aerospace and Defense,"Tronair Parent, Inc.",Senior loan,L + 4.50(c),4.71,09/2021,160,159,0,154
10,Aerospace and Defense,Whitcraft LLC*#+~,One stop,L + 6.00(c),7.00,04/2023,63735,64087,2.5,59912
11,Aerospace and Defense,Whitcraft LLC(5),One stop,L + 6.00,N/A(6),04/2023,0,(2),0,(18)
12,Airlines,Airlines,One stop,,,,,,,
13,Airlines,Aurora Lux Finco S.A.R.L.(8)(13),One stop,L + 5.75(c),6.75,12/2026,993,971,0,893
14,Auto Components,Auto Components,One stop,,,,,,,
15,Auto Components,Polk Acquisition Corp.*#,Senior loan,L + 6.50(a),3.50 cash/4.00 PIK,12/2023,18167,18011,0.7,17077
16,Auto Components,Polk Acquisition Corp.,Senior loan,L + 6.50(a),3.50 cash/4.00 PIK,12/2023,108,106,0,100
17,Auto Components,Polk Acquisition Corp.,Senior loan,L + 6.50(a),3.50 cash/4.00 PIK,12/2023,18,16,0,4
18,Auto Components,"Power Stop, LLC+~",Senior loan,L + 4.50(a),4.65,10/2025,2835,2886,0.1,2835
19,Automobiles,Automobiles,Senior loan,,,,,,,
20,Automobiles,JHCC Holdings LLC,One stop,L + 5.50(c),6.50,09/2025,15591,15347,0.6,15591
21,Automobiles,JHCC Holdings LLC,One stop,L + 5.50(c),6.50,09/2025,78,76,0,78
22,Automobiles,JHCC Holdings LLC,One stop,L + 5.50(c)(f),7.10,09/2025,55,54,0,55
23,Automobiles,"MOP GM Holding, LLC+~",One stop,L + 5.75(c),6.75,11/2026,24404,24104,1.0,24160
24,Automobiles,"MOP GM Holding, LLC",One stop,L + 5.75(c)(f),6.85,11/2026,130,128,0,128
25,Automobiles,"MOP GM Holding, LLC(5)",One stop,L + 5.75,N/A(6),11/2026,0,(56),0,(45)
26,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,L + 6.50(a),7.50,10/2024,13050,13069,0.5,12919
27,Automobiles,"Quick Quack Car Wash Holdings, LLC#",One stop,L + 6.50(a),7.50,04/2023,2355,2327,0.1,2331
28,Automobiles,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50(a),7.50,10/2024,2199,2103,0.1,2101
29,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.50(a),7.50,04/2023,2057,2103,0.1,2036
30,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.50(a),7.50,04/2023,1375,1405,0.1,1361
31,Automobiles,"Quick Quack Car Wash Holdings, LLC*",One stop,L + 6.50(a),7.50,10/2024,1120,1163,0,1108
32,Automobiles,"Quick Quack Car Wash Holdings, LLC(5)",One stop,L + 6.50,N/A(6),04/2023,0,0,0,(2)
33,Automobiles,"TWAS Holdings, LLC+One stop",One stop,L + 6.75(a),7.75,12/2026,31111,30722,1.3,30800
34,Automobiles,"TWAS Holdings, LLC(5)",One stop,L + 6.75,N/A(6),12/2026,0,(4),0,(4)
35,Automobiles,"TWAS Holdings, LLC(5)",One stop,L + 6.75,N/A(6),12/2026,0,(90),0,(80)
36,Beverages,Beverages,One stop,,,,,,,
37,Beverages,"Abita Brewing Co., L.L.C.(7)",One stop,L + 7.25(c),8.25,04/2021,9982,9969,0.4,8485.0
38,Beverages,"Abita Brewing Co., L.L.C.(7)",One stop,L + 7.25(c),8.25,04/2021,40,39,0,34
39,Beverages,"Fintech Midco, LLC*#",One stop,L + 5.00(c),6.00,08/2024,24349,24671,1.0,24349
40,Beverages,"Fintech Midco, LLC#",One stop,L + 5.00(c),6.00,08/2024,1128,1163,0,1128
41,Beverages,"Fintech Midco, LLC(5)",One stop,L + 5.00,N/A(6),08/2024,0,(1),0,0
42,Biotechnology,Biotechnology,One stop,,,,,,,
43,Biotechnology,"BIO18 Borrower, LLC",One stop,L + 4.75(a),5.75,11/2024,11047,11081,0.4,11047
44,Biotechnology,"BIO18 Borrower, LLC*#",One stop,L + 4.75(a),5.75,11/2024,3953,3921,0.2,3953
45,Biotechnology,"BIO18 Borrower, LLC",One stop,L + 4.75(a),5.75,11/2024,210,210,0,210
46,Biotechnology,"BIO18 Borrower, LLC(5)",One stop,L + 4.75,N/A(6),11/2024,0,(1),0,0
47,Building Products,Building Products,One stop,,,,,,,
48,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(b)(c)(f),5.50,03/2024,4181,4181,0.2,4097
49,Building Products,"Jensen Hughes, Inc.",Senior loan,L + 4.50(a)(b)(c)(f),5.50,03/2024,1252,1283,0.1,1223
50,Building Products,"Jensen Hughes, Inc.+Senior loan",Senior loan,L + 4.50(b)(c)(d)(f),5.50,03/2024,911,924,0,893
51,Building Products,"Jensen Hughes, Inc.",Senior loan,L + 4.50(c)(f),5.50,03/2024,438,450,0,429
52,Building Products,"Jensen Hughes, Inc.+Senior loan",Senior loan,L + 4.50(b)(c)(f),5.50,03/2024,279,282,0,273
53,Building Products,"Jensen Hughes, Inc.",Senior loan,L + 4.50(c)(f),5.50,03/2024,218,218,0,214
54,Building Products,"Jensen Hughes, Inc.+Senior loan",Senior loan,L + 4.50(c)(f),5.50,03/2024,116,116,0,114
55,Chemicals,Chemicals,Senior loan,,,,,,,
56,Chemicals,Inhance Technologies Holdings LLC#,One stop,L + 6.00(c),7.00,07/2024,12671,12782,0.5,12207
57,Chemicals,Inhance Technologies Holdings LLC,One stop,L + 6.00(c),7.00,07/2024,1925,1913,0.1,1854
58,Chemicals,Inhance Technologies Holdings LLC,One stop,L + 6.00(c),7.00,07/2024,80,80,0,72
59,Commercial Services & Supplies,Commercial Services & Supplies,One stop,,,,,,,
60,Commercial Services & Supplies,"EGD Security Systems, LLC*#^",One stop,L + 5.65(c),6.65,06/2023,30092,30418,1.2,30092
61,Commercial Services & Supplies,"EGD Security Systems, LLC*",One stop,L + 5.65(c),6.65,06/2023,1258,1257,0.1,1258
62,Commercial Services & Supplies,"EGD Security Systems, LLC",One stop,L + 5.65(c),6.65,06/2023,767,760,0,767
63,Commercial Services & Supplies,"EGD Security Systems, LLC#",One stop,L + 5.65(c),6.65,06/2023,644,661,0,644
64,Commercial Services & Supplies,"EGD Security Systems, LLC#",One stop,L + 5.65(c),6.65,06/2023,575,572,0,575
65,Commercial Services & Supplies,"EGD Security Systems, LLC",One stop,L + 5.65(c),6.65,06/2023,40,39,0,40
66,Commercial Services & Supplies,"EGD Security Systems, LLC(5)",One stop,L + 5.65,N/A(6),06/2023,0,(28),0,0
67,Commercial Services & Supplies,"Bazaarvoice, Inc.*#+~^",One stop,L + 5.75(c),6.75,02/2024,48006,48576,2.0,47526
68,Commercial Services & Supplies,"Bazaarvoice, Inc.+One stop",One stop,L + 5.75(c),6.75,02/2024,21094,20886,0.9,20883
69,Commercial Services & Supplies,"Bazaarvoice, Inc.(5)",One stop,L + 5.75,N/A(6),02/2024,0,(3),0,(4)
70,Commercial Services & Supplies,Hydraulic Authority III Limited~(8)(9)(10),One stop,L + 6.00(h),7.00,11/2025,11709,11907,0.5,12198
71,Commercial Services & Supplies - (continued),Commercial Services & Supplies - (continued),One stop,,,,,,,
72,Commercial Services & Supplies - (continued),Hydraulic Authority III Limited(8)(9)(10),One stop,No Value,11.00 PIK,11/2028,222,225,0,239.0
73,Commercial Services & Supplies - (continued),Hydraulic Authority III Limited(5)(8)(9)(10),One stop,L + 6.00,N/A(6),11/2025,0,0,0,(6)
74,Commercial Services & Supplies - (continued),"PT Intermediate Holdings III, LLC+~^",One stop,L + 5.50(c),6.50,10/2025,29700,29331,1.2,28512
75,Commercial Services & Supplies - (continued),WRE Holding Corp.*#,Senior loan,L + 5.25(b)(c),6.25,01/2023,2270,2302,0.1,2270
76,Commercial Services & Supplies - (continued),WRE Holding Corp.^,Senior loan,L + 5.25(b)(c),6.25,01/2023,938,962,0,938
77,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25(c),6.25,01/2023,688,687,0,688
78,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25(b)(c),6.25,01/2023,407,407,0,407
79,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25(b)(c),6.25,01/2023,23,23,0,23
80,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25(a)(c),6.25,01/2023,16,17,0,16
81,Commercial Services & Supplies - (continued),WRE Holding Corp.,Senior loan,L + 5.25,N/A(6),01/2023,0,8,0,0
82,Construction & Engineering,Construction & Engineering,Senior loan,,,,,,,
83,Construction & Engineering,"Reladyne, Inc.*#^",Senior loan,L + 5.00(d),6.00,07/2022,32778,32967,1.4,32778.0
84,Construction & Engineering,"Reladyne, Inc.~",Senior loan,L + 5.00(d),6.00,07/2022,3473,3524,0.1,3473
85,Construction & Engineering,"Reladyne, Inc.+Senior loan",Senior loan,L + 5.00(a),6.00,07/2022,3386,3354,0.1,3386
86,Construction & Engineering,"Reladyne, Inc.",Senior loan,L + 5.00(c)(d),6.00,07/2022,2750,2789,0.1,2750
87,Construction & Engineering,"Reladyne, Inc.*#",Senior loan,L + 5.00(d),6.00,07/2022,1880,1908,0.1,1880
88,Construction & Engineering,"Reladyne, Inc.#~",Senior loan,L + 5.00(d),6.00,07/2022,1621,1645,0.1,1621
89,Construction & Engineering,"Reladyne, Inc.#",Senior loan,L + 5.00(d),6.00,07/2022,1541,1578,0.1,1541
