,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"PPW Aero Buyer, Inc.+One stop",SF +7.0(m),11.90,02/2029,24888,24187,1.0,24888,
5,Aerospace and Defense,"PPW Aero Buyer, Inc.+(5)",One stop,SF +7.0,N/A(6),02/2029,-,(1),-,-
6,Airlines,Airlines,One stop,,,,,,,
7,Airlines,Aurora Lux Finco S.A.R.L. +(8)(13),One stop,L +6.0(b),11.27,12/2026,967,957,-,919
8,Auto Components,Auto Components,One stop,,,,,,,
9,Auto Components,"COP CollisionRight Holdings, Inc.#+One stop",One stop,SF +5.25(o),10.64,04/2028,9722,9588,0.4,9431
10,Auto Components,"COP CollisionRight Holdings, Inc.+One stop",One stop,SF +5.25(o),10.64,04/2028,35,35,-,33
11,Auto Components,"COP CollisionRight Holdings, Inc.+One stop",One stop,SF +5.25(o),10.64,04/2028,112,110,-,109
12,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,L +4.5(b),9.68,08/2027,4853,4819,0.2,4707
13,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,SF +4.5(p),9.84,08/2027,982,964,-,928
14,Auto Components,"Covercraft Parent III, Inc.+Senior secured",One stop,SF +4.5(p),10.03,08/2027,19,18,-,16
15,Auto Components,"North Haven Falcon Buyer, LLC+(23)",One stop,L +8.0(b)(c),9.43cash/3.75PIK,05/2027,6199,6091,0.2,5455
16,Auto Components,"North Haven Falcon Buyer, LLC+(23)",One stop,L +4.25(b)(o),9.71,05/2027,1038,1027,0.1,913
17,Auto Components,Polk Acquisition Corp.*#+(23),Senior secured,SF +7.0(n),10.45cash/1.75PIK,12/2024,18060,18029,0.7,17698
18,Auto Components,Polk Acquisition Corp.+(23),Senior secured,SF +7.0(n),10.45cash/1.75PIK,12/2024,30,31,-,27
19,Auto Components,Polk Acquisition Corp.+(23),Senior secured,SF +7.0(n),10.45cash/1.75PIK,12/2024,107,107,-,105
20,Automobiles,Automobiles,Senior secured,,,,,,,
21,Automobiles,"CG Group Holdings, LLC*#+(23)",One stop,SF +8.75(o),11.99cash/2.00PIK,07/2027,31683,31187,1.2,30099
22,Automobiles,"CG Group Holdings, LLC+(23)",One stop,SF +8.75(n),11.85cash/2.00PIK,07/2026,343,338,-,328
23,Automobiles,"Denali Midco 2, LLC*#+One stop",One stop,SF +6.25(n),11.45,12/2027,42540,42222,1.7,41265
24,Automobiles,"Denali Midco 2, LLC+(5)",One stop,SF +6.25,N/A(6),12/2027,-,(4),-,(15)
25,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,196,195,-,190
26,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,99,98,-,96
27,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,79,78,-,77
28,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,79,78,-,77
29,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,65,65,-,63
30,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(n),11.70,12/2027,971,946,-,951
31,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,655,650,-,635
32,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,119,118,-,116
33,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,113,112,-,110
34,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(n),11.45,12/2027,81,81,-,79
35,Automobiles,"Denali Midco 2, LLC+(5)",One stop,SF +6.5,N/A(6),12/2027,-,(14),-,(11)
36,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(n),11.70,12/2027,130,126,-,127
37,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(n),11.70,12/2027,65,63,-,64
38,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(n),11.70,12/2027,221,215,-,217
39,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +5.5(o),10.89,09/2025,15196,15048,0.6,14512
40,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +5.5(o),10.89,09/2025,492,488,-,470
41,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +5.5(o),10.89,09/2025,293,291,-,279
42,Automobiles,JHCC Holdings LLC+(5),One stop,SF +5.5,N/A(6),09/2025,-,(1),-,(5)
43,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +5.5(o),10.89,09/2025,3317,3291,0.1,3168
44,Automobiles,JHCC Holdings LLC+One stop,One stop,SF +6.75(o),12.14,09/2025,1111,1091,-,1089
45,Automobiles,"MOP GM Holding, LLC*#+One stop",One stop,SF +5.75(p),10.86,11/2026,23795,23623,0.9,22604
46,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),11.03,11/2026,2609,2593,0.1,2479
47,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(o),11.16,11/2026,2579,2549,0.1,2450
48,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),11.03,11/2026,2559,2540,0.1,2431
49,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(o),11.14,11/2026,1896,1882,0.1,1801
50,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),10.82,11/2026,1559,1549,0.1,1481
51,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),11.03,11/2026,1437,1418,0.1,1365
52,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),10.86,11/2026,523,520,-,497
53,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),10.86,11/2026,356,353,-,338
54,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),10.86,11/2026,146,146,-,139
55,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(o),11.14,11/2026,59,59,-,56
56,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(o)(p),10.96,11/2026,186,185,-,176
57,Automobiles,"MOP GM Holding, LLC+(5)",One stop,SF +5.75,N/A(6),11/2026,-,(18),-,-
58,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),10.82,11/2026,178,177,-,169
59,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(p),10.82,11/2026,59,59,-,56
60,Automobiles,"POY Holdings, LLC#",One stop,SF +5.5(o),10.89,11/2027,9471,9331,0.4,9471
61,Automobiles,"POY Holdings, LLC+(5)",One stop,SF +5.5,N/A(6),11/2027,-,(3),-,-
62,Automobiles,"POY Holdings, LLC+(5)",One stop,SF +5.5,N/A(6),11/2027,-,(1),-,-
63,Automobiles,"POY Holdings, LLC+One stop",One stop,SF +5.5(o),10.89,11/2027,81,80,-,81
64,Automobiles,"National Express Wash Parent Holdco, LLC+One stop",One stop,SF +5.5(o)(p),10.89,07/2029,4997,4954,0.2,4797
65,Automobiles,"National Express Wash Parent Holdco, LLC+One stop",One stop,SF +5.5(n),10.61,07/2029,70,68,-,62
66,Automobiles,"National Express Wash Parent Holdco, LLC+(5)",One stop,SF +5.5,N/A(6),07/2029,-,(3),-,(15)
67,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,SF +6.5(o),11.70,10/2024,12716,12693,0.5,12716
68,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.5(o),11.70,10/2024,9699,9682,0.4,9699
69,Automobiles,"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,SF +6.5(o),11.70,10/2024,2295,2291,0.1,2295
70,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +6.5(o),11.70,10/2024,2004,2015,0.1,2004
71,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +6.5(o),11.70,10/2024,1340,1346,0.1,1340
72,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,SF +6.5(o),11.70,10/2024,1092,1090,0.1,1092
73,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.5(o),11.70,10/2024,94,91,-,94
74,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.5,N/A(6),10/2024,-,-,-,-
75,Automobiles,"Quick Quack Car Wash Holdings, LLC+(5)",One stop,SF +6.5,N/A(6),10/2024,-,(1),-,-
76,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.5(o),11.70,10/2024,342,339,-,342
77,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.5(o),11.70,10/2024,103,100,-,103
78,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.5(o),11.70,10/2024,3302,3278,0.1,3302
79,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,SF +6.5(o),11.70,10/2024,95,93,-,95
80,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(o),11.72,07/2028,8306,8166,0.3,8140
81,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(o),11.72,07/2028,903,895,-,885
82,Automobiles,"Spotless Brands, LLC+(5)",One stop,SF +6.5,N/A(6),07/2028,-,-,-,(1)
83,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(o),11.69,07/2028,670,664,-,657
84,Automobiles,"TWAS Holdings, LLC#+One stop",One stop,SF +6.25(n),11.45,12/2026,40154,39875,1.6,39350
85,Automobiles,"TWAS Holdings, LLC*+One stop",One stop,SF +6.25(n),11.45,12/2026,30333,30107,1.2,29726
86,Automobiles,"TWAS Holdings, LLC+One stop",One stop,SF +6.25(n),11.45,12/2026,7874,7817,0.3,7716
