,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
<<<<<<< HEAD
4,Aerospace and Defense,NTS Technical Systems*#+~,Senior loan,L + 5.50(b),6.50,06/2023,39870.0,39763.0,1.6,39870.0
5,Aerospace and Defense,NTS Technical Systems~,Second lien,L + 9.75(b),10.75,12/2023,4589.0,4546.0,0.2,4589.0
6,Aerospace and Defense,NTS Technical Systems+(5),Senior loan,L + 5.50,N/A(6),06/2023,0.0,,0.0,0.0
7,Aerospace and Defense,NTS Technical Systems+Senior loan,Senior loan,P + 4.50(d),9.25,06/2023,600.0,586.0,0.0,600.0
8,Aerospace and Defense,NTS Technical Systems+One stop,Senior loan,L + 5.50(c),6.50,06/2023,3091.0,3062.0,0.1,3091.0
9,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 6.25(b),7.15 cash/0.50 PIK,09/2023,674.0,672.0,0.0,600.0
10,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 6.25(b),7.15 cash/0.50 PIK,06/2023,68.0,67.0,0.0,52.0
11,Aerospace and Defense,Whitcraft LLC*#+~,One stop,L + 6.00(b),8.25,04/2023,62768.0,62893.0,2.3,59630.0
12,Aerospace and Defense,Whitcraft LLC+(5),One stop,L + 6.00,N/A(6),04/2023,0.0,,0.0,
13,Airlines,Airlines,One stop,,,,,,,
14,Airlines,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,L + 6.00(a),7.63,12/2026,977.0,963.0,0.0,929.0
15,Auto Components,Auto Components,One stop,,,,,,,
16,Auto Components,"COP CollisionRight Holdings, Inc.#+One stop",One stop,SF + 5.00(l)(m),6.17,04/2028,9638.0,9476.0,0.4,9554.0
17,Auto Components,"COP CollisionRight Holdings, Inc.+One stop",One stop,SF + 5.00(m),7.11,04/2028,27.0,26.0,0.0,26.0
18,Auto Components,"COP CollisionRight Holdings, Inc.+(5)",One stop,SF + 5.00,N/A(6),04/2028,0.0,,0.0,
19,Auto Components,"Covercraft Parent III, Inc.+Senior loan",One stop,L + 4.50(b),5.50,08/2027,4902.0,4860.0,0.2,4902.0
20,Auto Components,"Covercraft Parent III, Inc.+Senior loan",One stop,L + 4.50(b),6.75,08/2027,994.0,972.0,0.0,994.0
21,Auto Components,"Covercraft Parent III, Inc.+(5)",Senior loan,L + 4.50,N/A(6),08/2027,0.0,,0.0,0.0
22,Auto Components,"North Haven Falcon Buyer, LLC+One stop",Senior loan,L + 6.00(c),8.01,05/2027,6114.0,6014.0,0.3,6053.0
23,Auto Components,"North Haven Falcon Buyer, LLC+One stop",Senior loan,L + 6.00(c),8.17,05/2027,1024.0,1008.0,0.0,1004.0
24,Auto Components,Polk Acquisition Corp.*#+Senior loan,Senior loan,SF + 6.00(l),7.53,12/2024,18058.0,17961.0,0.7,17976.0
25,Auto Components,Polk Acquisition Corp.+Senior loan,Senior loan,SF + 6.00(l),7.53,12/2024,106.0,109.0,0.0,106.0
26,Auto Components,Polk Acquisition Corp.+Senior loan,Senior loan,SF + 6.00(l),7.53,12/2024,106.0,106.0,0.0,106.0
27,Auto Components,Polk Acquisition Corp.+Senior loan,Senior loan,SF + 6.50(l),8.03,03/2023,695.0,692.0,0.0,695.0
28,Automobiles,Automobiles,Senior loan,,,,,,,
29,Automobiles,"CG Group Holdings, LLC*#+One stop",Senior loan,L + 7.25(b),7.50 cash/2.00 PIK,07/2027,31355.0,31093.0,1.2,29787.0
30,Automobiles,"CG Group Holdings, LLC+One stop",Senior loan,L + 7.25(a),6.92 cash/2.00 PIK,07/2026,337.0,333.0,0.0,320.0
31,Automobiles,"Cobblestone Intermediate Holdco, LLC+One stop",Senior loan,L + 5.50(a),7.17,01/2026,5579.0,5531.0,0.2,5579.0
32,Automobiles,"Cobblestone Intermediate Holdco, LLC+One stop",Senior loan,L + 5.50(a),7.11,01/2026,3826.0,3788.0,0.1,3826.0
33,Automobiles,"Denali Midco 2, LLC*#+One stop",Senior loan,L + 5.50(a),7.17,12/2027,42972.0,42580.0,1.6,42112.0
34,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),7.17,12/2027,274.0,269.0,0.0,264.0
35,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),7.17,12/2027,100.0,99.0,0.0,98.0
36,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),7.17,12/2027,80.0,79.0,0.0,78.0
37,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),7.17,12/2027,80.0,79.0,0.0,78.0
38,Automobiles,"Denali Midco 2, LLC+One stop",Senior loan,L + 5.50(a),7.17,12/2027,66.0,65.0,0.0,65.0
39,Automobiles,"Denali Midco 2, LLC+(5)",One stop,L + 5.50,N/A(6),12/2027,0.0,,0.0,
40,Automobiles,"Denali Midco 2, LLC+One stop",One stop,L + 5.50(a),7.17,12/2027,198.0,196.0,0.0,194.0
41,Automobiles,JHCC Holdings LLC+One stop,One stop,L + 5.75(b),8.00,09/2025,15354.0,15177.0,0.6,14893.0
42,Automobiles,JHCC Holdings LLC+One stop,One stop,P + 4.75(d),9.50,09/2025,497.0,493.0,0.0,482.0
43,Automobiles,JHCC Holdings LLC+One stop,One stop,L + 5.75(b)(d),8.47,09/2025,296.0,294.0,0.0,287.0
44,Automobiles,JHCC Holdings LLC+One stop,One stop,L + 5.75(b)(d),8.38,09/2025,34.0,33.0,0.0,31.0
45,Automobiles,JHCC Holdings LLC+(5),One stop,L + 5.75,N/A(6),09/2025,0.0,,0.0,0.0
46,Automobiles,"MOP GM Holding, LLC*#~",One stop,L + 5.75(c),6.76,11/2026,24039.0,23816.0,0.9,23798.0
47,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),7.09,11/2026,2636.0,2614.0,0.1,2609.0
48,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),6.95,11/2026,2585.0,2561.0,0.1,2559.0
49,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF + 5.75(n),8.58,11/2026,1915.0,1898.0,0.1,1896.0
50,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),6.75,11/2026,1575.0,1562.0,0.1,1559.0
51,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),6.75,11/2026,528.0,524.0,0.0,523.0
52,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),6.75,11/2026,148.0,147.0,0.0,146.0
53,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),7.77,11/2026,26.0,24.0,0.0,24.0
54,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF + 5.75(n),7.62,11/2026,1452.0,1427.0,0.1,1437.0
55,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF + 5.75(n),7.62,11/2026,2605.0,2566.0,0.1,2579.0
56,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF + 5.75(n),7.94,11/2026,359.0,356.0,0.0,356.0
57,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF + 5.75(n),8.51,11/2026,60.0,59.0,0.0,59.0
58,Automobiles,"MOP GM Holding, LLC+(5)",One stop,SF + 5.75,N/A(6),11/2026,0.0,,0.0,
59,Automobiles,"National Express Wash Parent JV, LLC#+One stop",One stop,SF + 5.50(m)(n),6.29,02/2028,13988.0,13858.0,0.5,13988.0
60,Automobiles,"National Express Wash Parent JV, LLC+(5)",One stop,SF + 5.50,N/A(6),02/2028,0.0,,0.0,0.0
61,Automobiles,"National Express Wash Parent JV, LLC+(5)",One stop,SF + 5.50,N/A(6),02/2028,0.0,,0.0,0.0
62,Automobiles,"POY Holdings, LLC#",One stop,L + 5.50(b),7.75,11/2027,9567.0,9395.0,0.4,9567.0
63,Automobiles,"POY Holdings, LLC+One stop",One stop,L + 5.50(b),7.75,11/2027,36.0,32.0,0.0,36.0
64,Automobiles,"POY Holdings, LLC+(5)",One stop,L + 5.50,N/A(6),11/2027,0.0,,0.0,0.0
65,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,L + 6.00(b),7.24,10/2024,12849.0,12856.0,0.5,12849.0
66,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.00(b),7.24,10/2024,9798.0,9764.0,0.4,9798.0
67,Automobiles,"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,L + 6.00(b),7.24,10/2024,2319.0,2310.0,0.1,2319.0
68,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.00(b),7.24,10/2024,2025.0,2049.0,0.1,2025.0
69,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.00(b),7.24,10/2024,1354.0,1369.0,0.1,1354.0
70,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 6.00(b),7.24,10/2024,1103.0,1118.0,0.0,1103.0
71,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.00(a)(b),7.63,10/2024,40.0,35.0,0.0,40.0
72,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.00(b),7.35,10/2024,90.0,90.0,0.0,90.0
73,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 6.00(b),7.31,10/2024,95.0,89.0,0.0,95.0
74,Automobiles,"TWAS Holdings, LLC#+One stop",One stop,SF + 6.00(l),7.63,12/2026,40561.0,40199.0,1.6,40561.0
75,Automobiles,"TWAS Holdings, LLC*+One stop",One stop,SF + 6.00(l),7.63,12/2026,30644.0,30354.0,1.2,30644.0
76,Automobiles,"TWAS Holdings, LLC+One stop",One stop,SF + 6.00(l),7.63,12/2026,7954.0,7881.0,0.3,7954.0
77,Automobiles,"TWAS Holdings, LLC+One stop",One stop,SF + 6.00(l),7.63,12/2026,388.0,384.0,0.0,388.0
