,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,Canada,Canada,,,,,,,,
2,Debt  investments,Debt  investments,,,,,,,,
3,"Leisure,  Amusement, Motion Pictures,","Leisure,  Amusement, Motion Pictures,",,,,,,,,
4,Entertainment,Entertainment,,,,,,,,
5,Entertainment,"Extreme  Fitness, Inc.",Senior  loan,No Value,10.00,03/2013,220,220,-,220
6,Entertainment,"Extreme  Fitness, Inc.",Senior loan,No Value,8.00,02/2013,76,76,-,76
7,Entertainment,"Extreme  Fitness, Inc.",Senior loan,No Value,8.00,02/2013,626,626,0.1,626
8,Entertainment,"Extreme  Fitness, Inc.  (3)",Subordinated  debt,No Value,12.00  cash/2.50  PIK,11/2015,2908,2810,-,-
9,United  States,United  States,Subordinated  debt,,,,,,,
10,Debt  investments,Debt  investments,Subordinated  debt,,,,,,,
11,Aerospace  and Defense,Aerospace  and Defense,Subordinated  debt,,,,,,,
12,Aerospace  and Defense,"Aderant  North America, Inc.*",Senior loan,L  + 5.00,6.25,12/2018,4529,4486,0.9,4529
13,Aerospace  and Defense,"ILC Dover,  LP",Senior loan,L  + 5.75,7.00,07/2017,610,605,0.1,610
14,Aerospace  and Defense,"ILC Dover,  LP",Senior loan,P  + 4.75,8.00,07/2017,211,204,-,211
15,Aerospace  and Defense,"ILC Dover,  LP",Senior loan,L  + 5.75,7.00,07/2017,4379,4305,0.9,4379
16,Aerospace  and Defense,"Tresys  Technology Holdings, Inc.  (4)",One stop,L+ 6.75,(5),12/2017,-,(10,-,-
17,Aerospace  and Defense,"Tresys  Technology Holdings, Inc.",One stop,L  + 6.75,8.00,12/2017,4025,3930,0.8,4025
18,Aerospace  and Defense,TurboCombustor  Technology Inc.*,Senior loan,L  + 4.75,5.75,12/2017,386,384,0.1,384
19,Aerospace  and Defense,TurboCombustor  Technology Inc.*,Senior loan,L  + 5.00,6.00,12/2017,900,896,0.2,896
20,Aerospace  and Defense,Whitcraft  LLC,Subordinated debt,No Value,12.00,12/2018,1877,1850,0.4,1877
21,Aerospace  and Defense,"White  Oak Technologies, Inc.  (4)",Senior loan,L+ 5.00,(5),03/2017,-,(8,-,-
22,Aerospace  and Defense,"White  Oak Technologies, Inc.*",Senior  loan,L  + 5.00,6.25,03/2017,1905,1871,0.4,1905
23,Automobile,Automobile,Senior  loan,,,,,,,
24,Automobile,"ABRA,  Inc.",Subordinated debt,No Value,12.00  cash/1.50 PIK,04/2017,966,947,0.2,966
25,Automobile,"ABRA,  Inc.",Subordinated debt,No Value,12.00  cash/1.50 PIK,04/2017,9623,9466,1.9,9623
26,Automobile,"American  Driveline Systems, Inc.",Senior loan,P  + 6.50,9.75,01/2016,391,384,0.1,361
27,Automobile,"American  Driveline Systems, Inc.*",Senior loan,L  + 7.50,9.00,01/2016,2840,2800,0.5,2614
28,Automobile,CLP Auto  Interior Corporation*,Senior loan,L  + 4.75,4.95,06/2013,3019,3019,0.6,3019
29,Automobile,"Express  Oil Change, LLC",Senior loan,P  + 3.50,6.75,12/2017,119,114,-,119
