,0,1,2,3,4,5,6,7,8,9,10,11
0,Investments,,,,,,,,,,,
1,United States,,,,,,,,,,,
2,Debt investments,,,,,,,,,,,
3,Aerospace and Defense,,,,,,,,,,,
4,"ILC Dover, LP",One stop,P + 6.00,,9.25,,03/2019,720,708,0.1,685,
5,"ILC Dover, LP*^",One stop,L + 7.00,,8.00,,03/2020,18359,18155,2.4,17809,
6,"ILC Industries, Inc.  (3)",One stop,L + 4.75,,(4),,07/2020,0,(29,0,0,
7,"ILC Industries, Inc.*^",One stop,L + 4.75,,5.75,,07/2020,28153,27902,3.8,28153,
8,NTS Technical Systems  (3),One stop,L + 5.50,,(4),,11/2018,0,(32,0,0,
9,NTS Technical Systems*^,One stop,L + 5.50,,6.75,,11/2018,18776,18483,2.5,18776,
10,NTS Technical Systems,One stop,L + 5.50,,6.75,,11/2018,2790,2724,0.4,2790,
11,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,,8.00,,12/2017,349,344,0,349,
12,"Tresys Technology Holdings, Inc.  (6)",One stop,L + 6.75,,8.00,,12/2017,3899,3845,0.1,975,
13,Whitcraft LLC,Subordinated debt,No Value,,12.00,,12/2018,1877,1860,0.3,1877,
14,Automobile,,,,,,,,,,,
15,"American Driveline Systems, Inc.  (3)",Senior loan,L + 5.50,,(4),,03/2020,0,(9,0,(3,
16,"American Driveline Systems, Inc.*",Senior loan,L + 5.50,,6.50,,03/2020,1826,1764,0.2,1807,
17,CH Hold Corp. (Caliber Collision)  (3),Senior loan,L + 4.75,,(4),,11/2019,0,(3,0,(3,
18,CH Hold Corp. (Caliber Collision),Senior loan,L + 4.75,,5.75,,11/2019,1872,1854,0.3,1853,
19,"Integrated Supply Network, LLC  (3)",Senior loan,L + 4.75,,(4),,02/2020,0,(25,0,(21,
20,"Integrated Supply Network, LLC*^",Senior loan,L + 4.75,,5.75,,02/2020,9928,9807,1.3,9829,
21,"K&N Engineering, Inc.  (3)",Senior loan,L + 4.25,,(4),,07/2019,0,(4,0,0,
22,"K&N Engineering, Inc.^",Senior loan,L + 4.25,,5.25,,07/2019,2898,2851,0.4,2898,
23,"K&N Engineering, Inc.  (3)",Senior loan,L + 4.25,,(4),,07/2019,0,(16,0,0,
24,"Take 5 Oil Change, L.L.C.",Senior loan,L + 4.75,,5.75,,07/2018,96,90,0,96,
25,"Take 5 Oil Change, L.L.C.^",Senior loan,L + 4.75,,5.75,,07/2018,4849,4821,0.7,4849,
26,Banking,,,,,,,,,,,
27,HedgeServ Holding L.P.^,One stop,L + 8.00,,7.00  cash/2.00 PIK,,02/2019,17416,17285,2.4,17416,
28,HedgeServ Holding L.P.  (3),One stop,L + 6.00,,(4),,02/2019,0,(7,0,0,
29,Prommis Fin Co.  (6),Senior loan,P + 10.00,,13.25,,06/2015,82,81,0,2,
30,Prommis Fin Co.*  (6),Senior loan,P + 13.75,,4.44  cash/11.50 PIK,,06/2015,119,119,0,3,
31,"Beverage, Food and Tobacco",,,,,,,,,,,
32,ABP Corporation,Senior loan,P + 3.50,,7.25,,09/2018,167,161,0,167,
33,ABP Corporation*,Senior loan,L + 4.75,,6.00,,09/2018,4771,4712,0.6,4771,
34,ARG IH Corporation (Arby's)^,Senior loan,L + 3.75,,4.75,,11/2020,2326,2302,0.3,2338,
35,"Atkins Nutritionals, Inc*^",One stop,L + 5.00,,6.25,,01/2019,17873,17668,2.4,17828,
36,"Atkins Nutritionals, Inc*^",One stop,L + 8.50,,9.75,,04/2019,21636,21361,2.9,21690,
37,"C. J. Foods, Inc.  (3)",One stop,L + 5.50,,(4),,05/2019,0,(8,0,0,
38,"C. J. Foods, Inc.  (3)",One stop,L + 5.50,,(4),,05/2019,0,(11,0,0,
39,"C. J. Foods, Inc.",One stop,L + 5.50,,6.50,,05/2019,3208,3168,0.4,3208,
40,"Candy Intermediate Holdings, Inc. (Ferrara  Candy)^",Senior loan,L + 6.25,,7.50,,06/2018,4862,4771,0.7,4838,
41,"Firebirds International, LLC  (3)",One stop,L + 6.25,,(4),,05/2018,0,(2,0,0,
42,"Firebirds International, LLC*",One stop,L + 6.25,,7.50,,05/2018,1090,1078,0.1,1090,
43,"Firebirds International, LLC",One stop,L + 6.25,,7.50,,05/2018,304,300,0,304,
44,"Firebirds International, LLC  (3)",One stop,L + 6.25,,(4),,05/2018,0,(4,0,0,
45,"First Watch Restaurants, Inc.  (3)",One stop,L + 7.50,,(4),,12/2018,0,(21,0,0,
46,"First Watch Restaurants, Inc.*^",One stop,L + 7.50,,8.75,,12/2018,14290,14147,1.9,14290,
47,"First Watch Restaurants, Inc.^",One stop,L + 7.50,,8.75,,12/2018,1747,1742,0.2,1747,
48,IT'SUGAR LLC,Senior loan,L + 7.50,,9.00,,04/2018,7527,7433,1.0,7527,
49,IT'SUGAR LLC,Subordinated debt,No Value,,5.00,,10/2017,1707,1707,0.2,1646,
50,Julio & Sons Company,One stop,L + 5.50,,6.50,,09/2017,628,620,0.1,628,
51,Julio & Sons Company*,One stop,L + 5.50,,6.50,,09/2017,6942,6891,0.9,6942,
52,Julio & Sons Company  (3),One stop,L + 5.50,,(4),,09/2017,0,(27,0,0,
53,"Northern Brewer, LLC",One stop,P + 7.25,,8.50  cash/2.00 PIK,,02/2018,690,680,0.1,513,
54,"Northern Brewer, LLC",One stop,P + 7.25,,8.50  cash/2.00 PIK,,02/2018,6410,6306,0.7,4808,
55,"Tate's Bake Shop, Inc.  (3)",Senior loan,L + 4.75,,(4),,08/2019,0,(4,0,0,
56,"Tate's Bake Shop, Inc.^",Senior loan,L + 4.75,,5.75,,08/2019,2993,2966,0.4,2993,
57,"Tate's Bake Shop, Inc.  (3)",Senior loan,L + 4.75,,(4),,08/2019,0,(5,0,0,
58,Uinta Brewing Company,One stop,P + 4.75,,8.00,,08/2019,123,116,0,123,
59,Uinta Brewing Company^,One stop,L + 6.00,,7.00,,08/2019,3220,3191,0.4,3220,
60,United Craft Brews LLC,One stop,L + 6.25,,7.25,,03/2020,677,661,0.1,664,
61,United Craft Brews LLC  (3),One stop,L + 6.25,,(4),,03/2020,0,(16,0,(14,
62,United Craft Brews LLC,One stop,L + 6.25,,7.25,,03/2020,12219,11949,1.6,12097,
63,Building and Real Estate,,,,,,,,,,,
64,"Accruent, LLC*",One stop,L + 6.25,,7.28,,11/2019,4745,4701,0.6,4697,
65,"Brooks Equipment Company, LLC  (3)",One stop,L + 5.75,,(4),,08/2020,0,(18,0,0,
66,"Brooks Equipment Company, LLC*^",One stop,L + 5.75,,6.75,,08/2020,26464,26109,3.6,26464,
67,"ITEL Laboratories, Inc.  (3)",Senior loan,L + 4.75,,(4),,06/2018,0,(1,0,0,
68,"ITEL Laboratories, Inc.*",Senior loan,L + 4.75,,6.00,,06/2018,752,746,0.1,752,
69,Cargo Transport,,,,,,,,,,,
70,RP Crown Parent (RedPrairie  Corp)*,Senior loan,L + 5.00,,6.00,,12/2018,1960,1935,0.3,1934,
71,"Chemicals, Plastics and Rubber",,,,,,,,,,,
72,"Flexan, LLC  (3)",One stop,L + 5.75,,(4),,02/2020,0,(7,0,(7,
73,"Flexan, LLC",One stop,L + 5.75,,6.75,,02/2020,6183,6123,0.8,6121,
74,"Flexan, LLC  (3)",One stop,L + 5.75,,(4),,02/2020,0,0,0,(17,
75,"Containers, Packaging and  Glass",,,,,,,,,,,
76,Fort Dearborn Company*  (8),Senior loan,P + 3.25,,6.13,,10/2017,7,6,0,7,
77,Fort Dearborn Company*^,Senior loan,L + 4.25,,5.25,,10/2017,486,484,0.1,486,
78,Fort Dearborn Company*  (8),Senior loan,P + 3.75,,6.60,,10/2018,24,24,0,24,
79,Fort Dearborn Company*^,Senior loan,L + 4.75,,5.75,,10/2018,2169,2158,0.3,2169,
80,"Packaging Coordinators, Inc.*^",Senior loan,L + 4.25,,5.25,,08/2021,14925,14788,2.0,14822,
81,"Packaging Coordinators,  Inc.",Second lien,L + 8.00,,9.00,,08/2022,10000,9907,1.3,9750,
82,Diversified Conglomerate  Manufacturing,,,,,,,,,,,
83,"Chase Industries, Inc.*^",One stop,L + 5.75,,6.75,,09/2020,20984,20794,2.8,20984,
84,"Chase Industries, Inc.  (3)",One stop,L + 5.75,,(4),,09/2020,0,(20,0,0,
85,"Chase Industries, Inc.",One stop,L + 5.75,,6.75,,09/2020,2055,2011,0.3,2055,
86,ICCN Acquisition Corp.  (3),One stop,L + 5.25,,(4),,03/2019,0,(4,0,0,
87,ICCN Acquisition Corp.^,One stop,L + 5.25,,6.25,,03/2019,3978,3923,0.5,3978,
88,ICCN Acquisition Corp.  (3),One stop,L + 5.25,,(4),,03/2019,0,(12,0,0,
89,Onicon Incorporated  (3),One stop,L + 4.50,,(4),,12/2017,0,(9,0,0,
90,Onicon Incorporated*,One stop,L + 4.50,,5.55,,12/2017,5574,5505,0.8,5574,
