,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,
1,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,
2,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,
3,"Hopdoddy  Holdings, LLC  (4)",,One stop,,L + 8.00,,,No Value,(5),,08/2020,,,-,,,,(3,,,,-,,,,-,
4,"Hopdoddy  Holdings, LLC",,One stop,,L + 8.00,,,No Value,(5),,08/2020,,,-,,,,-,,,,-,,,,-,
5,"Hopdoddy  Holdings, LLC",,One stop,,L + 8.00,,,9.00,,,08/2020,,,666,,,,654,,,,0.1,,,,666,
6,IT'SUGAR  LLC,,Subordinated debt,,No Value,,,5.00,,,10/2017,,,1707,,,,1707,,,,0.2,,,,1721,
7,"Northern  Brewer, LLC",,One stop,,P + 5.25,,,8.75,,,02/2018,,,699,,,,692,,,,0.1,,,,629,
8,"Northern  Brewer, LLC",,One stop,,L + 6.50,,,8.00,,,02/2018,,,6376,,,,6296,,,,0.7,,,,5738,
9,Smashburger  Finance LLC  (4),,Senior loan,,L + 5.00,,,No Value,(5),,05/2018,,,-,,,,(3,,,,-,,,,-,
10,Surfside  Coffee Company LLC,,One stop,,L + 5.25,,,6.25,,,06/2020,,,132,,,,122,,,,-,,,,132,
11,Surfside  Coffee Company LLC,,One stop,,L + 5.25,,,6.25,,,06/2020,,,21,,,,20,,,,-,,,,21,
12,Surfside  Coffee Company LLC^,,One stop,,L + 5.25,,,6.25,,,06/2020,,,4504,,,,4463,,,,0.6,,,,4504,
13,"Tate's  Bake Shop, Inc.",,Senior loan,,L + 5.00,,,6.00,,,08/2019,,,602,,,,596,,,,0.1,,,,602,
14,Uinta  Brewing Company,,One stop,,L + 6.00,,,7.00,,,08/2019,,,493,,,,488,,,,0.1,,,,455,
15,Uinta  Brewing Company^,,One stop,,L + 6.00,,,7.00,,,08/2019,,,3195,,,,3172,,,,0.4,,,,3036,
16,United  Craft Brews LLC,,One stop,,L + 6.25,,,7.25,,,03/2020,,,540,,,,526,,,,0.1,,,,540,
17,United  Craft Brews LLC  (4),,One stop,,L + 6.25,,,No Value,(5),,03/2020,,,-,,,,(14,,,,-,,,,-,
