,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,•,,our future operating results;,,,,,,,,,,,,,,,,,,,
1,Portfolio Company,,Industry,,Interest Rate(+),,Reference Rate andSpread(+),,Maturity,,Par Amount(++),,,Cost,,,Fair Value,,,,,,
2,Investments at Fair Value– 208.83#,,,,,,,,,,,,,,,,,,,,,,
3,Corporate Debt(1)– 194.25,,,,,,,,,,,,,,,,,,,,,,
4,1st Lien/Senior Secured Debt– 151.38,,,,,,,,,,,,,,,,,,,,,,
5,"3SI Security Systems, Inc.(2)",,Commercial Services & Supplies,,7.90,,L + 5.75 ; 1.00  Floor,,06/16/2023,,,"$ 14,811",,,,14677,,,,14663,,,
6,"A Place For Mom, Inc.",,Diversified Consumer Services,,5.79,,L + 3.75 ; 1.00Floor,,08/10/2024,,,8865,,,,8858,,,,8643,,,
7,"Accuity Delivery Systems, LLC^ (2) (3)",,Health Care Providers & Services,,9.13,,L + 7.00 ; 1.00Floor,,06/13/2023,,,10170,,,,9931,,,,9992,,,
8,"Animal Supply Holdings, LLC^^ (2) (4)",,Distributors,,12.26,,L + 10.00(incl.2.50PIK); 1.50 Floor,,02/22/2022,,,3854,,,,3811,,,,3768,,,
9,"Ansira Partners, Inc.",,Media,,7.79,,L + 5.75 ; 1.00Floor,,12/20/2022,,,4590,,,,4562,,,,4567,,,
10,"Ansira Partners, Inc.(5)",,Media,,7.79,,L + 5.75 ; 1.00Floor,,12/20/2022,,,282,,,,185,,,,185,,,
11,"Apptio, Inc.(2) (3)",,IT Services,,9.56,,L + 7.25 ; 1.00Floor,,01/10/2025,,,32702,,,,32103,,,,32048,,,
12,"Apptio, Inc.(2) (3) (5) (6)",,IT Services,,,,L + 7.25 ; 1.00Floor,,01/10/2025,,,2225,,,,(39,,,,(44,,,
13,"Artesyn Embedded Technologies, Inc.(7)",,"Electronic Equipment, Instruments & Components",,9.75,,,,10/15/2020,,,20000,,,,20000,,,,20000,,,
14,"Associations, Inc.(2) (3)",,Real Estate Management & Development,,9.32,,L + 7.00(incl. 3.00 PIK); 1.00Floor,,07/30/2024,,,13443,,,,13303,,,,13308,,,
15,"Associations, Inc.(2) (3) (5)",,Real Estate Management & Development,,9.32,,L + 7.00(incl. 3.00 PIK); 1.00Floor,,07/30/2024,,,2968,,,,1697,,,,1697,,,
16,"Associations, Inc.(2) (3) (5) (6)",,Real Estate Management & Development,,,,L + 4.00 ; 1.00Floor,,07/30/2024,,,587,,,,(6,,,,(6,,,
17,ATX Networks Corp.,,Communications Equipment,,9.10,,L + 7.00(incl. 1.00 PIK); 1.00Floor,,06/11/2021,,,7336,,,,7310,,,,6859,,,
