,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,•,,our future operating results;,,,,,,,,,,,,,,,,,
1,Portfolio Company,,Industry,,Interest,,Maturity,,,Par Amount,,,Cost,,,Fair Value,,,,,
2,Investments at Fair Value - 160.35#,,,,,,,,,,,,,,,,,,,,
3,Corporate Debt(1)- 148.90,,,,,,,,,,,,,,,,,,,,
4,1st Lien/Senior Secured Debt - 61.03,,,,,,,,,,,,,,,,,,,,
5,"Artesyn Embedded Technologies, Inc.(2)",,"Electronic Equipment, Instruments & Components",,9.75,,,10/15/2020,,,,20000,,,,20000,,,,16900,
6,"Data Driven Delivery Systems, LLC(++)",,Health Care Technology,,L + 7.00(1.00Floor),,,05/31/2019,,,,70500,,,,68266,,,,70500,
7,Dispensing Dynamics International(2),,Building Products,,12.50,,,01/01/2018,,,,24000,,,,24596,,,,21450,
8,Heligear Acquisition Co.(2),,Aerospace & Defense,,10.25,,,10/15/2019,,,,17500,,,,17247,,,,18375,
9,Infinity Sales Group(+),,Media,,L + 10.50(1.00Floor),,,11/21/2018,,,,33727,,,,33315,,,,32630,
10,"Iracore International Holdings, Inc.(2)",,Energy Equipment & Services,,9.50,,,06/01/2018,,,,24250,,,,21143,,,,15278,
11,Kawa Solar Holdings Limited(3),,Construction & Engineering,,F + 8.20,,,07/02/2018,,,,12600,,,,12542,,,,12600,
12,Kawa Solar Holdings Limited(++) (3),,Construction & Engineering,,L + 8.20,,,07/02/2018,,,,2400,,,,2389,,,,2400,
13,Legacy Buyer Corp.(++),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,29041,,,,28595,,,,28678,
14,Legacy Buyer Corp.(4) (5),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,2500,,,,(38),,,,(31),
15,Madison-Kipp Corporation(+),,Machinery,,L + 9.00(1.00Floor),,,05/26/2020,,,,37000,,,,36360,,,,36722,
16,"NTS Communications, Inc.(++)",,Diversified Telecommunication Services,,L + 9.00(1.25Floor),,,06/06/2019,,,,44200,,,,43581,,,,41659,
17,"Perfect Commerce, LLC(++)",,Internet Software & Services,,L + 8.50(1.00Floor),,,06/30/2020,,,,39105,,,,38277,,,,38421,
18,"US Med Acquisition, Inc.(+)",,Health Care Equipment & Supplies,,L + 9.00(1.00Floor),,,08/13/2021,,,,30806,,,,30236,,,,30806,
19,"Vexos, Inc.(++)",,"Electronic Equipment, Instruments & Components",,L + 9.50(1.00Floor),,,10/09/2019,,,,47963,,,,47243,,,,47243,
20,Total 1st Lien/Senior Secured Debt,,,,,,,,,,,,,,,423752,,,,413631,
21,1st Lien/Last-Out Unitranche(6)- 44.81,,,,,,,,,,,,,,,,,,,,
22,"Associations, Inc.(++)",,Real Estate Management & Development,,L + 7.00(1.00Floor),,,12/23/2019,,,,88657,,,,87224,,,,87328,
23,"Avenue Stores, LLC(+)",,Specialty Retail,,L + 8.00(1.00Floor),,,09/19/2019,,,,30000,,,,29442,,,,30300,
24,"Bolttech Mannings, Inc.(+)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,,12/21/2018,,,,36346,,,,35842,,,,32711,
25,"Integrated Practice Solutions, Inc.(++)",,Software,,L + 9.10(1.00Floor),,,08/03/2020,,,,26813,,,,26158,,,,26142,
26,"Mervin Manufacturing, Inc.(++)",,Leisure Equipment & Products,,L + 7.50(1.00Floor),,,10/10/2019,,,,11165,,,,10994,,,,10160,
27,"Pro-Pet, LLC(+)",,Household Products,,L + 7.25(0.75Floor),,,11/21/2019,,,,28600,,,,28217,,,,26884,
28,The Service Companies Inc.(++),,Professional Services,,L + 10.25(1.00Floor),,,03/26/2019,,,,47240,,,,46600,,,,46413,
29,"United Road Services, Inc.(+)",,Air Freight & Logistics,,L + 7.50(1.00Floor),,,12/14/2017,,,,44658,,,,44285,,,,43765,
30,Total 1st Lien/Last-Out Unitranche,,,,,,,,,,,,,,,308762,,,,303703,
31,2nd Lien/Senior Secured Debt - 43.06,,,,,,,,,,,,,,,,,,,,
32,"DiscoverOrg, LLC(++)",,Software,,L + 9.00(1.00Floor),,,02/10/2022,,,,39500,,,,38726,,,,38710,
33,DiversiTech Corporation(++),,Building Products,,L + 8.00(1.00Floor),,,11/18/2022,,,,10000,,,,9863,,,,9850,
34,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,11.00,,,05/29/2019,,,,15000,,,,14843,,,,15187,
35,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,10.00,,,05/29/2019,,,,8412,,,,8320,,,,8286,
36,Portfolio Company,,Industry,,Interest,,Maturity,,,ParAmount,,,Cost,,,Fair Value,,,,,
37,Global Tel*Link Corporation(++),,Diversified Telecommunication Services,,L + 7.75(1.25Floor),,,11/23/2020,,,,28000,,,,27604,,,,20907,
38,"Highwinds Capital, Inc.(+)",,Internet Software & Services,,L + 12.25(1.25Floor),,,01/29/2019,,,,59050,,,,58467,,,,59050,
39,"Hunter Defense Technologies, Inc.(7) (8)",,Aerospace & Defense,,P + 9.00,,,02/05/2020,,,,28000,,,,26842,,,,12670,
40,"Hutchinson Technology, Inc.",,Computers & Peripherals,,10.88,,,01/15/2017,,,,12200,,,,12045,,,,13030,
41,"IHS Intermediate, Inc.(++)",,Health Care Providers & Services,,L + 8.25(1.00Floor),,,07/20/2022,,,,10000,,,,9814,,,,9800,
42,MPI Products LLC(++),,Auto Components,,L + 9.00(1.00Floor),,,01/30/2020,,,,20000,,,,19772,,,,19800,
43,"Oasis Outsourcing Holdings, Inc.(+)",,Diversified Financial Services,,L + 8.75(1.00Floor),,,12/26/2022,,,,20000,,,,19733,,,,19700,
44,P2 Upstream Acquisition Co.(++),,Software,,L + 8.00(1.00Floor),,,04/30/2021,,,,10000,,,,9925,,,,6367,
45,Reddy Ice Corporation(++),,Food Products,,L + 9.50(1.25Floor),,,11/01/2019,,,,13500,,,,13103,,,,8910,
46,"Securus Technologies Holdings, Inc.(++)",,Diversified Telecommunication Services,,L + 7.75(1.25Floor),,,04/30/2021,,,,20000,,,,19834,,,,16450,
47,"SW Holdings, LLC(+++)",,Media,,L + 8.75(1.00Floor),,,12/30/2021,,,,13500,,,,13253,,,,13230,
