,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Investment *#,Industry,InterestRate (+),Reference Rateand Spread (+),Floor(+),Maturity,Par(++),,Cost,,FairValue,,Footnotes,,,
1,"Checkmate Finance Merger Sub, LLC",Entertainment,,L + 6.50,1.00,12/31/27,,3140,,,(60,,,(55,,(2) (3) (4)
2,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00,L + 6.00,1.00,11/14/25,,16911,,,16193,,,16868,,(2) (3)
3,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00,L + 6.00,1.00,11/14/25,,11229,,,11017,,,11201,,(2) (3)
4,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00,L + 6.00,1.00,11/14/25,,11052,,,9764,,,9905,,(2) (3) (4)
5,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00,L + 6.00,1.00,11/14/25,,7123,,,6820,,,7105,,(2) (3)
6,Chronicle Bidco Inc. (dba Lexitas),Professional Services,,L + 6.00,1.00,11/14/25,,2180,,,(39,,,(5,,(2) (3) (4)
7,CivicPlus LLC,Software,6.75,L + 6.00,0.75,08/24/27,,6300,,,6184,,,6158,,(2) (3)
8,CivicPlus LLC,Software,,L + 6.00,0.75,08/24/27,,592,,,(11,,,(13,,(2) (3) (4)
9,CivicPlus LLC,Software,,L + 6.00,0.75,08/24/27,,2960,,,(27,,,(67,,(2) (3) (4)
10,"CloudBees, Inc.",Software,8.00,L + 7.00(incl. 2.50PIK),1.00,11/24/26,,28197,,,26484,,,27633,,(2) (3)
11,"CloudBees, Inc.",Software,,L + 7.00(incl. 2.50PIK),1.00,11/24/26,,12900,,,(544,,,(258,,(2) (3) (4)
12,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,,S + 5.75,1.00,03/31/28,,2123,,,0,,,0,,(2) (4)
13,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,,S + 5.75,1.00,03/31/28,,14864,,,0,,,0,,(2) (4)
14,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,,S + 5.75,1.00,03/31/28,,4459,,,0,,,(45,,(2) (4)
15,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 9.50(incl. 2.00PIK),1.50,08/30/24,,60743,,,53038,,,48291,,(2) (3) (5)
16,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 9.50(incl. 2.00PIK),1.50,08/30/24,,17856,,,15534,,,14195,,(2) (3) (5)
17,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 15.00,1.50,08/30/24,,6222,,,6222,,,6393,,(2) (3)
18,CORA Health Holdings Corp,Health Care Providers & Services,6.75,L + 5.75,1.00,06/15/27,,22606,,,22305,,,22324,,(2) (3)
19,CORA Health Holdings Corp,Health Care Providers & Services,6.75,L + 5.75,1.00,06/15/27,,8897,,,145,,,93,,(2) (3) (4)
20,"Cordeagle US Finco, Inc. (dba Condeco)",Software,7.75,L + 6.75,1.00,07/30/27,,25223,,,24753,,,24719,,(1) (2) (3)
21,"Cordeagle US Finco, Inc. (dba Condeco)",Software,,L + 6.75,1.00,07/30/27,,2461,,,(44,,,(49,,(1) (2) (3) (4)
22,CorePower Yoga LLC,Diversified Consumer Services,8.01,L + 7.00(incl. 5.00PIK),1.01,05/14/25,,25293,,,23162,,,20677,,(2) (3)
23,CorePower Yoga LLC,Diversified Consumer Services,,L + 7.00(incl. 5.00PIK),1.00,05/14/25,,1687,,,(115,,,(308,,(2) (3) (4)
24,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,6.50,L + 5.50,1.00,10/03/25,,28301,,,27529,,,28017,,(2) (3)
25,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,6.50,L + 5.50,1.00,10/27/25,,14892,,,14639,,,14743,,(2) (3)
26,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,,L + 5.50,1.00,10/03/25,,2170,,,(11,,,(22,,(2) (3) (4)
27,DECA Dental Holdings LLC,Health Care Providers & Services,6.76,L + 5.75,1.01,08/28/28,,21561,,,21159,,,21130,,(2) (3)
28,DECA Dental Holdings LLC,Health Care Providers & Services,6.76,L + 5.75,1.01,08/28/28,,7402,,,2180,,,2122,,(2) (3) (4)
29,DECA Dental Holdings LLC,Health Care Providers & Services,,L + 5.75,0.75,08/26/27,,1711,,,(31,,,(34,,(2) (3) (4)
30,Diligent Corporation,Professional Services,7.25,L + 6.25,1.00,08/04/25,€,37965,,,42874,,,42209,,(2) (3)
31,Diligent Corporation,Professional Services,7.25,L + 6.25,1.00,08/04/25,,24539,,,23657,,,24662,,(2) (3)
32,Diligent Corporation,Professional Services,,L + 6.25,1.00,08/04/25,,3100,,,(49,,,16,,(2) (3) (4)
33,"Elemica Parent, Inc.",Chemicals,6.50,L + 5.50,1.00,09/18/25,,7001,,,6598,,,6861,,(2) (3)
34,"Elemica Parent, Inc.",Chemicals,6.50,L + 5.50,1.00,09/18/25,,1493,,,1458,,,1463,,(2) (3)
35,"Elemica Parent, Inc.",Chemicals,6.50,L + 5.50,1.00,09/18/25,,1373,,,1313,,,1345,,(2) (3)
36,"Elemica Parent, Inc.",Chemicals,6.50,L + 5.50,1.00,09/18/25,,559,,,546,,,548,,(2) (3)
37,"Elemica Parent, Inc.",Chemicals,6.50,L + 5.50,1.00,09/18/25,,930,,,347,,,363,,(2) (3) (4)
38,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.60,L + 5.50,1.10,12/06/25,,10449,,,10051,,,10345,,(2) (3)
39,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.60,L + 5.50,1.10,12/06/25,,4915,,,4844,,,4866,,(2) (3)
40,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.60,L + 5.50,1.10,12/06/25,,4503,,,4412,,,4458,,(2) (3)
41,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.50,L + 5.50,1.00,12/06/25,,2269,,,709,,,771,,(2) (3) (4)
42,"ESO Solutions, Inc",Health Care Technology,8.00,S + 7.00,1.00,05/03/27,,39908,,,39203,,,39209,,(2) (3)
43,"ESO Solutions, Inc",Health Care Technology,,S + 7.00,1.00,05/03/27,,3620,,,(62,,,(63,,(2) (3) (4)
44,"Experity, Inc.",Health Care Technology,6.25,L + 5.50,0.75,02/24/28,,919,,,915,,,914,,(2) (3)
45,"Experity, Inc.",Health Care Technology,,L + 5.50,0.75,02/24/28,,81,,,0,,,0,,(2) (3) (4)
46,Four Seasons Heating And Air Conditioning Inc,Diversified Consumer Services,6.50,L + 5.75,0.75,11/17/26,,34244,,,33764,,,33645,,(2) (3)
47,Fullsteam Operations LLC,Diversified Financial Services,9.00,L + 7.50(incl. 3.00PIK),1.50,10/04/27,,57044,,,55740,,,55618,,(2) (3)
48,Fullsteam Operations LLC,Diversified Financial Services,9.00,L + 7.50,1.50,10/04/27,,22131,,,16977,,,16887,,(2) (3) (4)
49,Fullsteam Operations LLC,Diversified Financial Services,9.00,L + 7.50,1.50,10/04/27,,3380,,,1101,,,1094,,(2) (3) (4)
50,"Gainsight, Inc.",Software,7.50,L + 6.75PIK,0.75,07/30/27,,41957,,,41300,,,41433,,(2) (3)
51,Investment *#,Industry,InterestRate (+),Reference Rateand Spread (+),Floor(+),Maturity,Par(++),,Cost,,FairValue,,Footnotes,,,
52,"Gainsight, Inc.",Software,,L + 6.75,0.75,07/30/27,,5320,,,(83,,,(67,,(2) (3) (4)
53,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,7.50,L + 6.50,1.00,06/24/25,,14813,,,14590,,,14516,,(2) (3)
54,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,7.50,L + 6.50,1.00,06/24/25,,2599,,,2560,,,2547,,(2) (3)
55,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,7.50,L + 6.50,1.00,06/24/25,,969,,,949,,,949,,(2) (3)
56,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,7.50,L + 6.50,1.00,06/24/25,,1880,,,349,,,338,,(2) (3) (4)
57,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,7.50,L + 6.50,1.00,01/29/27,,29293,,,28674,,,29146,,(2)
58,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,7.01,L + 6.00,1.00,01/29/27,,3794,,,2236,,,2270,,(2) (4)
59,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,,L + 6.50,1.00,01/29/27,,2583,,,(31,,,(13,,(2) (4)
60,"Governmentjobs.com, Inc. (dba NeoGov)",Software,6.25,L + 5.50,0.75,12/01/28,,42387,,,42285,,,42281,,(2) (3)
61,"Governmentjobs.com, Inc. (dba NeoGov)",Software,,L + 5.50,0.75,12/02/27,,4710,,,(11,,,(12,,(2) (3) (4)
62,"Governmentjobs.com, Inc. (dba NeoGov)",Software,,L + 5.50,0.75,12/01/28,,14718,,,(18,,,(37,,(2) (3) (4)
63,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,7.25,L + 5.75,1.50,05/22/26,,22395,,,22135,,,22227,,(2)
64,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,7.25,L + 5.75,1.50,05/22/26,,982,,,823,,,827,,(2) (4)
65,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,,L + 5.75,1.55,05/22/26,,3664,,,(8,,,(27,,(2) (4)
66,"Halo Branded Solutions, Inc.",Commercial Services & Supplies,5.50,L + 4.50,1.00,06/30/25,,6341,,,6307,,,5815,,
67,"HealthEdge Software, Inc.",Health Care Technology,8.00,L + 7.00,1.00,04/09/26,,35400,,,34733,,,34692,,(2) (3)
68,"HealthEdge Software, Inc.",Health Care Technology,8.00,L + 7.00,1.00,04/09/26,,5030,,,709,,,609,,(2) (3) (4)
69,"HealthEdge Software, Inc.",Health Care Technology,,L + 6.25,1.00,04/09/26,,3800,,,(71,,,(76,,(2) (3) (4)
70,"HealthEdge Software, Inc.",Health Care Technology,,L + 6.25,1.00,04/09/26,,9500,,,(89,,,(190,,(2) (3) (4)
71,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.51,L + 6.00,1.00,12/15/26,,14961,,,14505,,,14491,,(2) (3) (4)
72,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.00,L + 6.00,1.00,12/15/26,,19132,,,18854,,,18941,,(2) (3)
73,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.00,L + 6.00,1.00,12/15/26,,7884,,,7743,,,7805,,(2) (3)
74,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.00,L + 6.00,1.00,12/15/26,,2482,,,258,,,273,,(2) (3) (4)
75,Hollander Sleep & Décor (dba SureFit),Household Products,10.75,L + 9.75,1.00,07/13/23,,39743,,,38030,,,38352,,(2) (3)
76,"Honor HN Buyer, Inc",Health Care Providers & Services,7.01,L + 6.00,1.00,10/15/27,,24296,,,23840,,,23749,,(2) (3)
77,"Honor HN Buyer, Inc",Health Care Providers & Services,7.01,L + 6.00,1.00,10/15/27,,15279,,,5063,,,4913,,(2) (3) (4)
78,"Honor HN Buyer, Inc",Health Care Providers & Services,,L + 6.00,1.00,10/15/27,,2802,,,(52,,,(63,,(2) (3) (4)
79,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,7.00,L + 6.00,1.00,10/23/26,,35224,,,34738,,,34784,,(1) (2) (3)
80,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,7.00,L + 6.00,1.00,10/23/26,,11399,,,11297,,,11257,,(1) (2) (3)
81,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,7.00,L + 6.00,1.00,10/23/26,,10805,,,10712,,,10670,,(1) (2) (3)
82,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",7.76,L + 6.75,1.00,07/09/25,,57226,,,54028,,,55509,,(2) (3)
83,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",7.76,L + 6.75,1.01,07/09/25,,4688,,,545,,,563,,(2) (3) (4)
84,"iCIMS, Inc.",Software,7.50,L + 6.50,1.00,09/12/24,,72489,,,70332,,,72489,,(2) (3)
85,"iCIMS, Inc.",Software,7.50,L + 6.50,1.00,09/12/24,,13350,,,12947,,,13350,,(2) (3)
86,"iCIMS, Inc.",Software,7.50,L + 6.50,1.00,09/12/24,,4531,,,4484,,,4531,,(2) (3)
87,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,6.51,L + 5.50,1.01,04/02/25,,53351,,,51403,,,53218,,(2) (3)
88,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,,L + 5.50,1.00,04/02/25,,4400,,,(66,,,(11,,(2) (3) (4)
89,"Iracore International Holdings, Inc.",Energy Equipment & Services,10.13,L + 9.00,1.00,04/12/24,,2361,,,2361,,,2361,,^ (3)
90,Jill Acquisition LLC (dba J. Jill),Specialty Retail,6.00,L + 5.00,1.00,05/08/24,,5844,,,5806,,,5348,,
91,Kawa Solar Holdings Limited,Construction & Engineering,,,,12/31/22,,3917,,,3603,,,1328,,^ (1) (3) (6)
92,Kawa Solar Holdings Limited,Construction & Engineering,,,,12/31/22,,3318,,,800,,,0,,^ (1) (3) (6)
93,"Lithium Technologies, Inc.",Interactive Media & Services,9.03,L + 8.00,1.03,10/03/22,,89013,,,87545,,,88123,,(2) (3)
94,"Lithium Technologies, Inc.",Interactive Media & Services,9.00,L + 8.00,1.00,10/03/22,,5110,,,2000,,,1993,,(2) (3) (4)
95,"LS Clinical Services Holdings, Inc (dba CATO)",Pharmaceuticals,7.76,L + 6.75,1.01,12/16/27,,15358,,,14989,,,14974,,(2) (3)
96,"LS Clinical Services Holdings, Inc (dba CATO)",Pharmaceuticals,7.75,L + 6.75,1.00,12/16/26,,2200,,,278,,,275,,(2) (3) (4)
97,"MedeAnalytics, Inc.",Health Care Technology,7.51,L + 6.50,1.00,10/09/26,,945,,,905,,,896,,(2) (3)
98,"Mervin Manufacturing, Inc.",Leisure Products,8.50,L + 7.50,1.00,09/30/22,,10641,,,10640,,,10534,,(3)
99,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,8.00,P + 4.50,3.50,12/15/27,,10322,,,10124,,,10090,,(2) (3)
100,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,8.00,P + 4.50,3.50,12/15/27,,2217,,,32,,,24,,(2) (3) (4)
