,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,•,,our future operating results;,,,,,,,,,,,,,,,,,
1,Portfolio Company,,Industry,,Interest,,Maturity,,,Par Amount,,,Cost,,,Fair Value,,,,,
2,Investments at Fair Value – 152.16#,,,,,,,,,,,,,,,,,,,,
3,Corporate Debt(1)– 135.59,,,,,,,,,,,,,,,,,,,,
4,1st Lien/Senior Secured Debt – 49.78,,,,,,,,,,,,,,,,,,,,
5,"Artesyn Embedded Technologies, Inc.(2)",,"Electronic Equipment, Instruments & Components",,9.75,,,10/15/2020,,,,20000,,,,20000,,,,19350,
6,Continuum Managed Services LLC(+++) (3),,IT Services,,L + 8.75(1.00Floor),,,06/08/2023,,,,28760,,,,27976,,,,27969,
7,Continuum Managed Services LLC(3) (4) (5),,IT Services,,L + 8.75(1.00Floor),,,06/08/2023,,,,2392,,,,(65,,,,(66,
8,Continuum Managed Services LLC(3) (4) (5),,IT Services,,L + 8.75(1.00Floor),,,06/08/2022,,,,2220,,,,(60,,,,(61,
9,"Elemica, Inc.(+)",,Software,,L + 8.00(1.00Floor),,,07/07/2021,,,,42075,,,,41183,,,,41234,
10,"Elemica, Inc.(4) (5)",,Software,,L + 8.00(1.00Floor),,,07/07/2021,,,,6000,,,,(127,,,,(120,
11,Heligear Acquisition Co.(2),,Aerospace & Defense,,10.25,,,10/15/2019,,,,17500,,,,17332,,,,17850,
12,Imperial Bag & Paper Co. LLC(+) (3),,Distributors,,L + 7.50(1.00Floor),,,06/10/2024,,,,11100,,,,10880,,,,10878,
13,Infinity Sales Group(+++),,Media,,L + 10.50(1.00Floor),,,11/21/2018,,,,30309,,,,30092,,,,28490,
14,"Iracore International Holdings, Inc.^ (+)",,Energy Equipment & Services,,L + 9.00(1.00Floor),,,04/12/2021,,,,3389,,,,3389,,,,3389,
15,Kawa Solar Holdings Limited^ (6),,Construction & Engineering,,F + 8.20and 3.50PIK,,,07/02/2018,,,,10537,,,,10504,,,,10537,
16,Kawa Solar Holdings Limited^ (+++) (6) (7),,Construction & Engineering,,L + 8.20,,,07/02/2018,,,,6843,,,,6734,,,,2064,
17,Legacy Buyer Corp.(+++),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,24882,,,,24613,,,,24385,
18,Legacy Buyer Corp.(4) (5),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,2500,,,,(27,,,,(50,
19,Madison-Kipp Corporation(+),,Machinery,,L + 9.00(1.00Floor),,,05/26/2020,,,,33644,,,,33207,,,,33476,
20,Netvoyage Corporation(+) (3),,Software,,L + 9.50(1.00Floor),,,03/24/2022,,,,7849,,,,7698,,,,7692,
21,Netvoyage Corporation(3) (4) (5),,Software,,L + 9.50(1.00Floor),,,03/24/2022,,,,654,,,,(12,,,,(13,
22,"Perfect Commerce, LLC(+++)",,Internet Software & Services,,L + 8.50(1.00Floor),,,06/30/2020,,,,36293,,,,35715,,,,36655,
23,"The Merit Distribution Group, LLC(+)",,Distributors,,L + 11.25(0.50Floor),,,04/08/2021,,,,24625,,,,24121,,,,24625,
24,"US Med Acquisition, Inc.(+++)",,Health Care Equipment & Supplies,,L + 9.00(1.00Floor),,,08/13/2021,,,,30419,,,,29961,,,,29810,
25,"Vexos, Inc.(+++)",,"Electronic Equipment, Instruments & Components",,L + 9.50(1.00Floor),,,10/09/2019,,,,38297,,,,37885,,,,36765,
26,"Yasso, Inc.(+++) (3)",,Food Products,,L + 7.75(1.00Floor),,,03/23/2022,,,,9077,,,,8906,,,,8896,
27,Total 1st Lien/Senior Secured Debt,,,,,,,,,,,,,369905,,,,363755,,,
28,1st Lien/Last-Out Unitranche – 41.94,,,,,,,,,,,,,,,,,,,,
29,"Associations, Inc.(+++) (8)",,Real Estate Management & Development,,L + 7.00(1.00Floor),,,12/23/2019,,,,57838,,,,57202,,,,57405,
30,"Avenue Stores, LLC(+) (8)",,Specialty Retail,,L + 8.00(1.00Floor),,,09/19/2019,,,,30000,,,,29620,,,,30000,
31,"Bolttech Mannings, Inc.(+++) (8)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,,12/21/2018,,,,36346,,,,36055,,,,16356,
32,"Bolttech Mannings, Inc.(+++) (4) (8)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,,12/21/2018,,,,3996,,,,3330,,,,1132,
33,"Mervin Manufacturing, Inc.(+++) (8)",,Leisure Equipment & Products,,L + 7.50(1.00Floor),,,10/10/2019,,,,11165,,,,11045,,,,10327,
34,"myON, LLC(+) (3) (8)",,Internet Software & Services,,L + 8.50(1.00Floor),,,02/17/2022,,,,7100,,,,6966,,,,6958,
35,"NTS Communications, Inc.^ (+++) (8)",,Diversified Telecommunication Services,,L + 9.00(1.25Floor) PIK,,,06/06/2019,,,,55515,,,,52171,,,,48020,
36,"Pro-Pet, LLC(+) (8)",,Household Products,,L + 7.25(0.75Floor),,,11/21/2019,,,,31600,,,,31177,,,,29546,
37,"Smarsh, Inc.(+) (3) (8)",,Software,,L + 7.88(1.00Floor),,,03/31/2021,,,,17800,,,,17489,,,,17488,
38,The Service Companies Inc.(+++),,Professional Services,,L + 10.25(1.00Floor),,,03/26/2019,,,,45723,,,,45335,,,,45037,
39,"United Road Services, Inc.(+) (8)",,Air Freight & Logistics,,L + 7.50(1.00Floor),,,01/15/2018,,,,44658,,,,44540,,,,44212,
40,Total 1st Lien/Last-Out Unitranche,,,,,,,,,,,,,334930,,,,306481,,,
41,2nd Lien/Senior Secured Debt – 43.42,,,,,,,,,,,,,,,,,,,,
42,"American Dental Partners, Inc.(+++) (3)",,Health Care Providers & Services,,L + 8.50(1.00Floor),,,09/25/2023,,,,8500,,,,8294,,,,8288,
43,"ASC Acquisition Holdings, LLC(+++)",,Distributors,,L + 13.00(1.00Floor),,,12/15/2022,,,,30000,,,,29226,,,,30000,
44,"DiscoverOrg, LLC(+)",,Software,,L + 9.00(1.00Floor),,,02/10/2022,,,,39500,,,,38850,,,,39006,
45,"DuBois Chemicals, Inc.(+) (3)",,Chemicals,,L + 8.00(1.00Floor),,,03/15/2025,,,,20700,,,,20250,,,,20493,
46,Portfolio Company,,Industry,,Interest,,Maturity,,,Par Amount,,,Cost,,,Fair Value,,,,,
