,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Maturity,Par  (++),Cost,Fair  Value,Footnotes,,,
1,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,11.84  %,S +  7.00  % (incl.  0.75  %PIK),07/01/24,$,2007,$,1993,1856,(2) (3),
2,"Checkmate Finance Merger Sub, LLC",Entertainment,11.23  %,L +  6.50  %,12/31/27,31179,30640,30244,(2) (3),,,
3,"Checkmate Finance Merger Sub, LLC",Entertainment,L +  6.50  %,12/31/27,3140,(  53,),(  94,),(2) (3) (4),,
4,Chronicle Bidco Inc. (dba Lexitas),Professional Services,10.83  %,S +  6.25  %,05/18/29,45968,44292,44589,(2) (3),,,
5,Chronicle Bidco Inc. (dba Lexitas),Professional Services,S +  6.25  %,05/18/29,4753,(  100,),(  143,),(2) (3) (4),,
6,CivicPlus LLC,Software,11.48  %,L +  6.75  % (incl.  2.50  % PIK),08/24/27,6327,6210,6169,(2) (3),,,
7,CivicPlus LLC,Software,11.48  %,L +  6.75  % (incl.  2.50  % PIK),08/24/27,6273,6160,6117,(2) (3),,,
8,CivicPlus LLC,Software,11.48  %,L +  6.75  % (incl.  2.50  % PIK),08/24/27,2973,2915,2898,(2) (3),,,
9,CivicPlus LLC,Software,L +  6.75  % (incl.  2.50  % PIK),08/24/27,1217,(  22,),(  30,),(2) (3) (4),,
10,Clearcourse Partnership Acquireco Finance Limited,IT Services,10.69  %,SN +  7.25  % (Incl.  0.75  % PIK),07/25/28,GBP,12910,15177,15217,(1) (2) (3),,
11,Clearcourse Partnership Acquireco Finance Limited,IT Services,9.55  %,SN +  7.25  % PIK,07/25/28,GBP,11450,4619,4546,(1) (2) (3) (4),,
12,"CloudBees, Inc.",Software,11.39  %,L +  7.00  % (incl.  2.50  % PIK),11/24/26,28738,27263,28235,(2) (3),,,
13,"CloudBees, Inc.",Software,11.39  %,L +  7.00  % (incl.  2.50  % PIK),11/24/26,13019,11592,12053,(2) (3) (4),,,
14,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,9.82  %,S +  5.50  %,05/11/28,14829,14554,14459,(2) (3),,,
15,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,9.82  %,S +  5.50  %,05/11/28,2120,387,371,(2) (3) (4),,,
