,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,0,1
0,Investment *,Industry,Interest Rate (+),Reference Rate and  Spread (+),Maturity,Par  Amount/Shares  (++),Cost,Fair  Value,,,,
1,1st Lien/Senior Secured Debt  – 159.83%  #  *,,,,,,,,,,,
2,"3SI Security Systems, Inc.  (1)",Commercial Services & Supplies,7.65%,L + 5.75%; 1.00% Floor,06/16/2023,"$ 14,773",$,14647,$,14626.0,,
3,"A Place For Mom, Inc.",Diversified Consumer Services,5.55%,L + 3.75%; 1.00% Floor,08/10/2024,8842,8835,8621,,,,
4,"Accuity Delivery Systems, LLC  ^ (1) (2)",Health Care Providers & Services,8.75%,L + 7.00%; 1.00% Floor,06/13/2023,10170,9945,10094,,,,
5,"Acquia, Inc.  (2)",Software,8.91%,L + 7.00%; 1.00% Floor,10/31/2025,12364,12122,12117,,,,
6,"Acquia, Inc.  (2) (3)",Software,L + 7.00%; 1.00% Floor,10/31/2025,1322,(26,),(26,),,,
7,"Animal Supply Holdings, LLC  ^^ (1) (4)",Distributors,11.93%,L + 10.00% (incl. 2.50% PIK); 1.50% Floor,02/22/2022,3879,3845,3821,,,,
8,"Ansira Partners, Inc.",Professional Services,7.55%,L + 5.75%; 1.00% Floor,12/20/2022,4578,4552,4441,,,,
9,"Ansira Partners, Inc.  (3)",Professional Services,7.51%,L + 5.75%; 1.00% Floor,12/20/2022,281,184,177,,,,
10,"Apptio, Inc.  (1) (2)",IT Services,8.96%,L + 7.25%; 1.00% Floor,01/10/2025,32702,32126,32130,,,,
11,"Apptio, Inc.  (1) (2) (3)",IT Services,L + 7.25%; 1.00% Floor,01/10/2025,2225,(37,),(39,),,,
12,"Associations, Inc.  (1) (2)",Real Estate Management & Development,9.09%,L + 7.00% (incl. 3.00% PIK); 1.00% Floor,07/30/2024,13546,13413,13411,,,,
13,"Associations, Inc.  (1) (2) (3)",Real Estate Management & Development,9.09%,L + 7.00% (incl. 3.00% PIK); 1.00% Floor,07/30/2024,2981,2040,2039,,,,
14,"Associations, Inc.  (1) (2) (3)",Real Estate Management & Development,L + 4.00%; 1.00% Floor,07/30/2024,587,(6,),(6,),,,
15,ATX Networks Corp.,Communications Equipment,8.94%,L + 7.00% (incl. 1.00% PIK); 1.00% Floor,06/11/2021,7285,7263,6702,,,,
16,ATX Networks Corp.,Communications Equipment,8.94%,L + 7.00% (incl. 1.00% PIK); 1.00% Floor,06/11/2021,463,458,426,,,,
17,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",6.80%,L + 5.00%; 1.00% Floor,09/11/2023,7150,7091,6793,,,,
18,"Barbri, Inc.",Diversified Consumer Services,6.46%,L + 4.25%; 1.00% Floor,12/01/2023,6243,6222,6118,,,,
19,BJH Holdings III Corp. (dba Jack’s Family Restaurants)  (1) (2),"Hotels, Restaurants & Leisure",7.55%,L + 5.75%; 1.00% Floor,08/19/2025,6209,6150,6147,,,,
20,"Brillio, LLC  (1) (2)",IT Services,6.55%,L + 4.75%; 1.00% Floor,02/06/2025,4497,4458,4452,,,,
21,"Brillio, LLC  (1) (2) (3)",IT Services,L + 4.75%; 1.00% Floor,02/06/2025,1510,–,(15,),,,,
22,"Bullhorn, Inc.  (1) (2)",Professional Services,7.44%,L + 5.50%; 1.00% Floor,10/01/2025,10995,10835,10830,,,,
23,"Bullhorn, Inc.  (1) (2) (3)",Professional Services,7.46%,L + 5.50%; 1.00% Floor,10/01/2025,909,169,168,,,,
24,"Bullhorn, Inc.  (1) (2) (3)",Professional Services,L + 5.50%; 1.00% Floor,10/01/2025,545,(8,),(8,),,,
25,"Businessolver.com, Inc.  (1) (2)",Health Care Technology,9.41%,L + 7.50%; 1.00% Floor,05/15/2023,12549,12367,12329,,,,
26,"Businessolver.com, Inc.  (1) (2)",Health Care Technology,9.41%,L + 7.50%; 1.00% Floor,05/15/2023,1882,1853,1849,,,,
27,"Businessolver.com, Inc.  (1) (2) (3)",Health Care Technology,9.98%,L + 7.50%; 1.00% Floor,05/15/2023,1569,606,600,,,,
28,"CFS Management, LLC (dba Center for Sight Management)  (1) (2)",Health Care Providers & Services,7.95%,L + 5.75%; 1.00% Floor,07/01/2024,4797,4752,4749,,,,
29,"CFS Management, LLC (dba Center for Sight Management)  (1) (2) (3)",Health Care Providers & Services,L + 5.75%; 1.00% Floor,07/01/2024,1418,(13,),(14,),,,
30,Chronicle Bidco Inc. (dba Lexitas)  (2),Professional Services,7.66%,L + 5.75%; 1.00% Floor,11/14/2025,7000,6862,6860,,,,
31,Chronicle Bidco Inc. (dba Lexitas)  (2) (3),Professional Services,L + 5.75%; 1.00% Floor,11/14/2025,880,(17,),(18,),,,
32,Chronicle Bidco Inc. (dba Lexitas)  (2) (3),Professional Services,L + 5.75%; 1.00% Floor,11/14/2025,2940,(29,),(29,),,,
33,"Clarkson Eyecare, LLC (dba EyeCare Partners)  (2)",Health Care Providers & Services,8.05%,L + 6.25%; 1.00% Floor,04/02/2021,7471,7351,7322,,,,
34,"Clarkson Eyecare, LLC (dba EyeCare Partners)  (2)",Health Care Providers & Services,8.05%,L + 6.25%; 1.00% Floor,04/02/2021,4943,4862,4844,,,,
35,"Collaborative Imaging, LLC (dba Texas Radiology Associates)  ^^^ (1) (2)",Health Care Providers & Services,8.30%,L + 6.50%; 1.00% Floor,03/28/2025,8900,8793,8744,,,,
36,"Collaborative Imaging, LLC (dba Texas Radiology Associates)  ^^^ (1) (2)",Health Care Providers & Services,8.30%,L + 6.50%,03/28/2025,6602,6507,6486,,,,
37,"ConnectWise, LLC  (2)",IT Services,7.94%,L + 6.00%; 1.00% Floor,02/28/2025,13566,13299,13397,,,,
38,"ConnectWise, LLC  (2) (3)",IT Services,L + 6.00%; 1.00% Floor,02/28/2025,1036,(20,),(13,),,,
39,"Convene 237 Park Avenue, LLC (dba Convene)  (1) (2)",Real Estate Management & Development,9.54%,L + 7.50%; 1.50% Floor,08/30/2024,21200,20799,20776,,,,
40,"Convene 237 Park Avenue, LLC (dba Convene)  (1) (2) (3)",Real Estate Management & Development,L + 7.50%; 1.50% Floor,08/30/2024,6220,(58,),(124,),,,
41,CorePower Yoga LLC  (2),Diversified Consumer Services,6.44%,L + 4.50%,05/14/2025,8315,8201,8191,,,,
42,CorePower Yoga LLC  (2) (3),Diversified Consumer Services,L + 4.75%,05/14/2025,678,(9,),(10,),,,
43,CorePower Yoga LLC  (2) (3),Diversified Consumer Services,L + 4.50%,05/14/2025,1807,(24,),(27,),,,
44,Investment *,Industry,Interest Rate (+),Reference Rate and  Spread (+),Maturity,Par  Amount/  Shares  (++),Cost,Fair  Value,,,,
45,CST Buyer Company (dba Intoxalock)  (2),Diversified Consumer Services,7.55%,L + 5.75%; 1.00% Floor,10/03/2025,"$ 12,342",$,12188,$,12342.0,,
46,CST Buyer Company (dba Intoxalock)  (2) (3),Diversified Consumer Services,L + 5.75%; 1.00% Floor,10/03/2025,876,(11,),–,,,,
47,"DDS USA Holding, Inc.  (1) (2)",Health Care Equipment & Supplies,7.22%,L + 5.25%; 1.00% Floor,06/30/2022,3805,3791,3786,,,,
48,"DDS USA Holding, Inc.  (1) (2)",Health Care Equipment & Supplies,7.22%,L + 5.25%; 1.00% Floor,06/30/2022,3599,3586,3581,,,,
