,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Portfolio Company,,Industry,,Interest,,Maturity,,Par Amount,,,Cost,,,Fair Value,,,,
1,Investments at Fair Value – 175.41% #,,,,,,,,,,,,,,,,,,
2,Corporate Debt  (1)  – 158.59%,,,,,,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt – 61.30%,,,,,,,,,,,,,,,,,,
4,"Artesyn Embedded Technologies, Inc.  (2)",,"Electronic Equipment, Instruments & Components",,9.75%,,10/15/2020,,$,20000.0,,,$,20000,,,$,19500,
5,"Data Driven Delivery Systems, LLC  (+++)",,Health Care Technology,,L + 7.00% (1.00% Floor),,05/30/2019,,,69178.0,,,,67249,,,,69178,
6,"Elemica, Inc.  (+)",,Software,,L + 8.00% (1.00% Floor),,07/07/2021,,,42181.0,,,,41245,,,,41338,
7,"Elemica, Inc.  (3) (4)",,Software,,L + 8.00% (1.00% Floor),,07/07/2021,,,6000.0,,,,(133,),,,(120,)
8,Heligear Acquisition Co.  (2),,Aerospace & Defense,,10.25%,,10/15/2019,,,17500.0,,,,17321,,,,17894,
9,Infinity Sales Group  (+),,Media,,L + 10.50% (1.00% Floor),,11/21/2018,,,30441.0,,,,30191,,,,28615,
10,"Iracore International Holdings, Inc.  (2) (5) (6) (7)",,Energy Equipment & Services,,9.50%,,06/01/2018,,,24572.0,,,,21401,,,,7003,
11,"Iracore International Holdings, Inc.  (3)",,Energy Equipment & Services,,L + 9.00% (1.00% Floor),,04/12/2021,,,3112.0,,,,—,,,,—,
12,Kawa Solar Holdings Limited  ^ (8),,Construction & Engineering,,F + 8.20% and 3.50% PIK,,07/02/2018,,,12879.0,,,,12845,,,,12814,
13,Kawa Solar Holdings Limited  ^ (+++) (8),,Construction & Engineering,,L + 8.20%,,07/02/2018,,,2400.0,,,,2394,,,,2388,
14,Legacy Buyer Corp.  (+++),,Health Care Providers & Services,,L + 8.00% (1.00% Floor),,10/24/2019,,,25076.0,,,,24780,,,,24386,
15,Legacy Buyer Corp.  (+++) (3),,Health Care Providers & Services,,L + 8.00% (1.00% Floor),,10/24/2019,,,2500.0,,,,1670,,,,1631,
16,Madison-Kipp Corporation  (+),,Machinery,,L + 9.00% (1.00% Floor),,05/26/2020,,,36603.0,,,,36095,,,,36420,
17,Netvoyage Corporation  (+) (9),,Software,,L + 9.50% (1.00% Floor),,03/24/2022,,,7849.0,,,,7692,,,,7692,
18,Netvoyage Corporation  (3) (4) (9),,Software,,L + 9.50% (1.00% Floor),,03/24/2022,,,654.0,,,,(13,),,,(13,)
19,"Perfect Commerce, LLC  (+++)",,Internet Software & Services,,L + 8.50% (1.00% Floor),,06/30/2020,,,36855.0,,,,36227,,,,37039,
20,"The Merit Distribution Group, LLC  (+++)",,Distributors,,L + 11.25% (0.50% Floor),,04/08/2021,,,24813.0,,,,24281,,,,24626,
21,"US Med Acquisition, Inc.  (+++)",,Health Care Equipment & Supplies,,L + 9.00% (1.00% Floor),,08/13/2021,,,30496.0,,,,30016,,,,30496,
22,"Vexos, Inc.  (+++)",,"Electronic Equipment, Instruments & Components",,L + 9.50% (1.00% Floor),,10/09/2019,,,38610.0,,,,38159,,,,36969,
23,"Yasso, Inc.  (+) (9)",,Food Products,,L + 7.75% (1.00% Floor),,03/23/2022,,,9100.0,,,,8919,,,,8918,
24,Total 1st Lien/Senior Secured Debt,,,,,,,420339.0,,,,406774,,,,,,,
25,1st Lien/Last-Out Unitranche  (10)  – 47.78%,,,,,,,,,,,,,,,,,,
26,"Associations, Inc.  (+++)",,Real Estate Management & Development,,L + 7.00% (1.00% Floor),,12/23/2019,,,57987.0,,,,57225,,,,57553,
27,"Avenue Stores, LLC  (+)",,Specialty Retail,,L + 8.00% (1.00% Floor),,09/19/2019,,,30000.0,,,,29583,,,,30000,
28,"Bolttech Mannings, Inc.  (+++)",,Commercial Services & Supplies,,L + 7.75% (1.00% Floor),,12/21/2018,,,36346.0,,,,36010,,,,20081,
29,"Bolttech Mannings, Inc.  (+++) (3)",,Commercial Services & Supplies,,L + 7.75% (1.00% Floor),,12/21/2018,,,3996.0,,,,2664,,,,876,
30,"Integrated Practice Solutions, Inc.  (+++)",,Software,,L + 9.10% (1.00% Floor),,08/03/2020,,,25437.0,,,,24935,,,,25437,
31,"Mervin Manufacturing, Inc.  (+++)",,Leisure Equipment & Products,,L + 7.50% (1.00% Floor),,10/10/2019,,,11165.0,,,,11034,,,,10048,
32,"myON, LLC  (+) (9)",,Internet Software & Services,,L + 8.50% (1.00% Floor),,02/17/2022,,,7100.0,,,,6961,,,,6958,
33,"NTS Communications, Inc.  ^ (+)",,Diversified Telecommunication Services,,L + 9.00% (1.25% Floor) PIK,,06/06/2019,,,54127.0,,,,50421,,,,46820,
34,"Pro-Pet, LLC  (+)",,Household Products,,L + 7.25% (0.75% Floor),,11/21/2019,,,31600.0,,,,31140,,,,29546,
35,The Service Companies Inc.  (++),,Professional Services,,L + 10.25% (1.00% Floor),,03/26/2019,,,46360.0,,,,45917,,,,45665,
36,"United Road Services, Inc.  (+)",,Air Freight & Logistics,,L + 7.50% (1.00% Floor),,01/15/2018,,,44658.0,,,,44490,,,,44100,
37,Total 1st Lien/Last-Out Unitranche,,,,,,,340380.0,,,,317084,,,,,,,
38,2nd Lien/Senior Secured Debt – 49.04%,,,,,,,,,,,,,,,,,,
39,"American Dental Partners, Inc.  (+++) (9)",,Health Care Providers & Services,,L + 8.50% (1.00% Floor),,09/25/2023,,,8500.0,,,,8288,,,,8288,
40,"ASC Acquisition Holdings, LLC  (+++)",,Distributors,,L + 13.00% (1.00% Floor),,12/15/2022,,,30000.0,,,,29203,,,,30000,
41,"DiscoverOrg, LLC  (+)",,Software,,L + 9.00% (1.00% Floor),,02/10/2022,,,39500.0,,,,38824,,,,38809,
42,DiversiTech Corporation  (+),,Building Products,,L + 8.00% (1.00% Floor),,11/18/2022,,,51350.0,,,,50363,,,,50836,
43,"DuBois Chemicals, Inc.  (+++) (9)",,Chemicals,,L + 8.00% (1.00% Floor),,03/15/2025,,,20700.0,,,,20235,,,,20493,
