,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,0,1
0,Portfolio Company,Industry,Interest Rate  (+),Reference Rate and  Spread  (+),Maturity,Par Amount  (++),Cost,Fair Value,,,,,
1,Investments at Fair Value  – 208.83% #,,,,,,,,,,,,
2,Corporate Debt  (1)  – 194.25%,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt  – 151.38%,,,,,,,,,,,,
4,"3SI Security Systems, Inc.  (2)",Commercial Services & Supplies,7.90%,L + 5.75%; 1.00% Floor,06/16/2023,"$ 14,811",$,14677,$,14663.0,,,
5,"A Place For Mom, Inc.",Diversified Consumer Services,5.79%,L + 3.75%; 1.00% Floor,08/10/2024,8865,8858,8643,,,,,
6,"Accuity Delivery Systems, LLC  ^ (2) (3)",Health Care Providers & Services,9.13%,L + 7.00%; 1.00% Floor,06/13/2023,10170,9931,9992,,,,,
7,"Animal Supply Holdings, LLC  ^^ (2) (4)",Distributors,12.26%,L + 10.00% (incl.  2.50% PIK); 1.50%  Floor,02/22/2022,3854,3811,3768,,,,,
8,"Ansira Partners, Inc.",Media,7.79%,L + 5.75%; 1.00% Floor,12/20/2022,4590,4562,4567,,,,,
9,"Ansira Partners, Inc.  (5)",Media,7.79%,L + 5.75%; 1.00% Floor,12/20/2022,282,185,185,,,,,
10,"Apptio, Inc.  (2) (3)",IT Services,9.56%,L + 7.25%; 1.00% Floor,01/10/2025,32702,32103,32048,,,,,
11,"Apptio, Inc.  (2) (3) (5) (6)",IT Services,L + 7.25%; 1.00% Floor,01/10/2025,2225,(39,),(44,),,,,
12,"Artesyn Embedded Technologies, Inc.  (7)","Electronic Equipment, Instruments & Components",9.75%,10/15/2020,20000,20000,20000,,,,,,
13,"Associations, Inc.  (2) (3)",Real Estate Management & Development,9.32%,L + 7.00% (incl. 3.00%  PIK); 1.00% Floor,07/30/2024,13443,13303,13308,,,,,
14,"Associations, Inc.  (2) (3) (5)",Real Estate Management & Development,9.32%,L + 7.00% (incl. 3.00%  PIK); 1.00% Floor,07/30/2024,2968,1697,1697,,,,,
15,"Associations, Inc.  (2) (3) (5) (6)",Real Estate Management & Development,L + 4.00%; 1.00% Floor,07/30/2024,587,(6,),(6,),,,,
16,ATX Networks Corp.,Communications Equipment,9.10%,L + 7.00% (incl. 1.00%  PIK); 1.00% Floor,06/11/2021,7336,7310,6859,,,,,
17,ATX Networks Corp.,Communications Equipment,9.10%,L + 7.00% (incl. 1.00%  PIK); 1.00% Floor,06/11/2021,466,461,436,,,,,
18,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",6.54%,L + 4.50%; 1.00% Floor,09/11/2023,7150,7106,6793,,,,,
19,"Barbri, Inc.",Media,6.46%,L + 4.25%; 1.00% Floor,12/01/2023,6243,6220,6150,,,,,
20,BJH Holdings III Corp.  (3),"Hotels, Restaurants & Leisure",7.79%,L + 5.75%,08/19/2025,6224,6163,6162,,,,,
21,"Brillio, LLC  (2) (3)",IT Services,6.79%,L + 4.75%; 1.00% Floor,02/06/2025,4509,4479,4475,,,,,
22,"Brillio, LLC  (2) (3) (5)",IT Services,L + 4.75%; 1.00% Floor,02/06/2025,1510,—,(15,),,,,,
23,"Bullhorn, Inc.  (3) (8)",Internet Software & Services,L + 5.50%; 1.00% Floor,10/01/2025,10995,10830,10830,,,,,,
24,"Bullhorn, Inc.  (3) (5) (8)",Internet Software & Services,L + 5.50%; 1.00% Floor,10/01/2025,909,—,—,,,,,,
25,"Bullhorn, Inc.  (3) (5) (8)",Internet Software & Services,L + 5.50%; 1.00% Floor,10/01/2025,545,—,—,,,,,,
26,"Businessolver.com, Inc.  (2) (3)",Health Care Technology,9.66%,L + 7.50%; 1.00% Floor,05/15/2023,12549,12356,12329,,,,,
27,"Businessolver.com, Inc.  (2) (3) (5)",Health Care Technology,9.66%,L + 7.50%; 1.00% Floor,05/15/2023,1882,1323,1316,,,,,
28,"Businessolver.com, Inc.  (2) (3) (5)",Health Care Technology,9.55%,L + 7.50%; 1.00% Floor,05/15/2023,1569,322,318,,,,,
29,"CFS Management, LLC  (3)",Health Care Providers & Services,7.95%,L + 5.75%; 1.00% Floor,07/01/2024,4809,4762,4761,,,,,
30,"CFS Management, LLC  (3) (5) (6)",Health Care Providers & Services,L + 5.75%; 1.00% Floor,07/01/2024,1418,(14,),(14,),,,,
31,"Clarkson Eyecare, LLC  (3)",Health Care Providers & Services,8.37%,L + 6.25%; 1.00% Floor,04/02/2021,7490,7347,7340,,,,,
32,"Clarkson Eyecare, LLC  (3)",Health Care Providers & Services,8.39%,L + 6.25%; 1.00% Floor,04/02/2021,4955,4856,4856,,,,,
33,"Collaborative Imaging,  LLC  ^^^ (2) (3)",Health Care Providers & Services,8.76%,L + 6.50%; 1.00% Floor,03/28/2025,8900,8789,8722,,,,,
34,Continuum Managed Services LLC  (2) (3),IT Services,8.05%,L + 6.00%; 1.00% Floor,06/08/2023,21173,20778,21173,,,,,
35,Continuum Managed Services LLC  (2) (3),IT Services,8.05%,L + 6.00%; 1.00% Floor,06/08/2023,6094,5991,6094,,,,,
36,Continuum Managed Services LLC  (2) (3),IT Services,8.05%,L + 6.00%; 1.00% Floor,06/08/2023,1786,1755,1786,,,,,
37,Continuum Managed Services LLC  (2) (3) (5) (6),IT Services,L + 6.00%; 1.00% Floor,06/08/2022,2220,(33,),—,,,,,
38,"Convene 237 Park Avenue, LLC  (3)",Real Estate Management & Development,9.54%,L + 7.50%; 1.50% Floor,08/30/2024,21200,20782,20776,,,,,
39,"Convene 237 Park Avenue, LLC  (3) (5) (6)",Real Estate Management & Development,L + 7.50%; 1.50% Floor,08/30/2024,6220,(61,),(62,),,,,
40,CorePower Yoga LLC  (3),Diversified Consumer Services,6.61%,L + 4.50%,05/14/2025,8336,8217,8211,,,,,
41,CorePower Yoga LLC  (3) (5) (6),Diversified Consumer Services,L + 4.75%,05/14/2025,678,(10,),(10,),,,,
42,Portfolio Company,Industry,Interest Rate  (+),Reference Rate and  Spread  (+),Maturity,Par Amount  (++),Cost,Fair Value,,,,,
43,CorePower Yoga LLC  (3) (5) (6),Diversified Consumer Services,L + 4.50%,05/14/2025,"$ 1,807",$,(26,),$,(27,),,
44,CST Buyer Company  (2),Diversified Consumer Services,7.04%,L + 5.00%; 1.00% Floor,03/01/2023,9188,9030,9142,,,,,
45,CST Buyer Company  (2) (5) (6),Diversified Consumer Services,L + 5.00%; 1.00% Floor,03/01/2023,900,(14,),(4,),,,,
46,"DDS USA Holding, Inc.  (2) (3)",Health Care Equipment & Supplies,7.35%,L + 5.25%; 1.00% Floor,06/30/2022,3815,3800,3795,,,,,
47,"DDS USA Holding, Inc.  (2) (3)",Health Care Equipment & Supplies,7.35%,L + 5.25%; 1.00% Floor,06/30/2022,3608,3594,3590,,,,,
48,"DDS USA Holding, Inc.  (2) (3) (5) (6)",Health Care Equipment & Supplies,L + 5.25%; 1.00% Floor,06/30/2022,1079,(4,),(5,),,,,
49,Diligent Corporation  (2) (3),Professional Services,7.75%,L + 5.50%; 1.00% Floor,04/14/2022,"€ 16,057",18407,17326,,,,,
