,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,Portfolio Company,,Industry,,Interest Rate  (+),,,Reference Rate and  Spread (++),,Maturity,,,Par Amount,,,Cost,,,Fair Value,,,,,,
1,Investments at Fair Value  – 172.93% #,,,,,,,,,,,,,,,,,,,,,,,,
2,Corporate Debt  (1)  – 155.20%,,,,,,,,,,,,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt  – 57.82%,,,,,,,,,,,,,,,,,,,,,,,,
4,"Artesyn Embedded Technologies, Inc.  (2)",,"Electronic Equipment, Instruments & Components",,,9.75%,,,,,,10/15/2020,,,$,20000,,,$,20000,,,$,19500,
5,"Collaborative Imaging, LLC  ^^^ (3)",,Health Care Providers & Services,,,8.39%,,,L + 6.50%; 1.00% Floor,,,03/28/2025,,,,8900,,,,8767,,,,8677,
6,Continuum Managed Services LLC  (3) (4),,IT Services,,,10.64%,,,L + 8.75%; 1.00% Floor,,,06/08/2023,,,,21498,,,,20966,,,,21014,
7,Continuum Managed Services LLC  (3) (4) (5) (6),,IT Services,,,,,,L + 8.75%; 1.00% Floor,,,06/08/2023,,,,1800,,,,(42,),,,(41,)
8,Continuum Managed Services LLC  (3) (4) (5) (6),,IT Services,,,,,,L + 8.75%; 1.00% Floor,,,06/08/2022,,,,2220,,,,(51,),,,(50,)
9,"Dade Paper & Bag, LLC  (3) (4)",,Distributors,,,9.29%,,,L + 7.50%; 1.00% Floor,,,06/10/2024,,,,11017,,,,10815,,,,10851,
10,"Dade Paper & Bag, LLC  (3) (4)",,Distributors,,,8.89%,,,L + 7.00%; 1.00% Floor,,,06/10/2024,,,,1405,,,,1391,,,,1352,
11,"Datto, Inc.  (3) (4)",,IT Services,,,9.72%,,,L + 8.00%; 1.00% Floor,,,12/07/2022,,,,35750,,,,35072,,,,35035,
12,"Datto, Inc.  (3) (4) (5) (6)",,IT Services,,,,,,L + 8.00%; 1.00% Floor,,,12/07/2022,,,,2406,,,,(45,),,,(48,)
13,"Elemica, Inc.  (4)",,Software,,,9.89%,,,L + 8.00%; 1.00% Floor,,,07/07/2021,,,,41756,,,,41003,,,,41026,
14,"Elemica, Inc.  (4) (5) (6)",,Software,,,,,,L + 8.00%; 1.00% Floor,,,07/07/2021,,,,6000,,,,(103,),,,(105,)
15,Heligear Acquisition Co.  (2) (4),,Aerospace & Defense,,,10.25%,,,,,,10/15/2019,,,,17500,,,,17382,,,,17500,
16,Infinity Sales Group  (4),,Media,,,12.81%,,,L + 10.50%; 1.00% Floor,,,11/21/2018,,,,28051,,,,27950,,,,27210,
17,"Iracore International Holdings, Inc.  ^ (4)",,Energy Equipment & Services,,,10.88%,,,L + 9.00%; 1.00% Floor,,,04/12/2021,,,,3389,,,,3389,,,,3389,
18,Kawa Solar Holdings  Limited  ^ (4) (7),,Construction & Engineering,,,9.66%,PIK,,L + 8.00%,,,07/02/2018,,,,9227,,,,9147,,,,9227,
19,Kawa Solar Holdings  Limited  ^ (4) (7) (8),,Construction & Engineering,,,,,,,,,07/02/2018,,,,4869,,,,2351,,,,—,
20,Legacy Buyer Corp.  (4),,Health Care Providers & Services,,,10.31%,,,L + 8.00%; 1.00% Floor,,,10/24/2019,,,,24301,,,,24112,,,,23937,
21,Legacy Buyer Corp.  (4) (5) (6),,Health Care Providers & Services,,,,,,L + 8.00%; 1.00% Floor,,,10/24/2019,,,,2500,,,,(19,),,,(38,)
22,"Lithium Technologies,  Inc.  (3) (4)",,Internet Software & Services,,,9.79%,,,L + 8.00%; 1.00% Floor,,,10/03/2022,,,,21100,,,,20661,,,,20678,
23,"Lithium Technologies,  Inc.  (3) (4) (5) (6)",,Internet Software & Services,,,,,,L + 8.00%; 1.00% Floor,,,10/03/2022,,,,1544,,,,(31,),,,(31,)
24,Madison-Kipp Corporation  (4),,Machinery,,,10.89%,,,L + 9.00%; 1.00% Floor,,,05/26/2020,,,,33355,,,,33018,,,,33271,
25,Netvoyage Corporation  (3) (4),,Software,,,11.38%,,,L + 9.50%; 1.00% Floor,,,03/24/2022,,,,8666,,,,8518,,,,8514,
26,Netvoyage Corporation  (3) (4) (5) (6),,Software,,,,,,L + 9.50%; 1.00% Floor,,,03/24/2022,,,,654,,,,(10,),,,(11,)
27,"Real Industry, Inc.  (3)",,Capital Markets,,,11.00%,,,,,,11/17/2018,,,,702,,,,682,,,,676,
28,"SF Home Décor, LLC  (3) (4)",,Household Products,,,11.81%,,,L + 9.50%; 1.00% Floor,,,07/13/2022,,,,20598,,,,20045,,,,20186,
29,"The Merit Distribution Group, LLC  (4)",,Distributors,,,13.56%,,,L + 11.25%; 0.50% Floor,,,04/08/2021,,,,23500,,,,23092,,,,23500,
30,"US Med Acquisition, Inc.  (4)",,Health Care Equipment & Supplies,,,11.31%,,,L + 9.00%; 1.00% Floor,,,08/13/2021,,,,30186,,,,29797,,,,27847,
31,"Vexos, Inc.  (4)",,"Electronic Equipment, Instruments & Components",,,11.20%,,,L + 9.50%; 1.00% Floor,,,10/09/2019,,,,37172,,,,36886,,,,36057,
32,Xactly Corporation  (3) (4),,Internet Software & Services,,,9.14%,,,L + 7.25%; 1.00% Floor,,,07/29/2022,,,,22860,,,,22442,,,,22403,
33,Xactly Corporation  (3) (4) (5) (6),,Internet Software & Services,,,,,,L + 7.25%; 1.00% Floor,,,07/29/2022,,,,1697,,,,(30,),,,(34,)
