,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,ITEM 1.,FINANCIAL STATEMENTS,,,,,,,,,,,,,,,
1,Investment *,Industry,Interest  Rate (+),Reference Rate and  Spread (+),Floor (+),,Maturity,Par  Amount/Shares  (++),,Cost,,Fair Value,,,,,
2,1st Lien/Senior Secured Debt  * #  - 156.46%,,,,,,,,,,,,,,,,
3,1272775 B.C. LTD. (dba Everest Clinical Research)  (1) (2),Professional Services,6.50%,L + 5.50%,1.00%,,11/06/26,$,9430.0,,$,9292,,$,9289,,
4,1272775 B.C. LTD. (dba Everest Clinical Research)  (1) (2) (3),Professional Services,,L + 5.50%,1.00%,,11/06/26,,1260.0,,,(18,),,(19,),
5,"3SI Security Systems, Inc.  (4)",Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,,06/16/23,,14556.0,,,14465,,,14483,,
6,"3SI Security Systems, Inc.  (4)",Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,,06/16/23,,2216.0,,,2075,,,2205,,
7,"A Place For Mom, Inc.",Diversified Consumer Services,4.75%,L + 3.75%,1.00%,,08/10/24,,8752.0,,,8746,,,8052,,
8,"Acquia, Inc.  (2) (4)",Software,8.00%,L + 7.00%,1.00%,,10/31/25,,30561.0,,,28977,,,30026,,
9,"Acquia, Inc.  (2) (3) (4)",Software,,L + 7.00%,1.00%,,10/31/25,,3268.0,,,(77,),,(57,),
10,"Ansira Partners, Inc.",Professional Services,7.50%,L + 6.50% PIK,1.00%,,12/20/24,,4748.0,,,4726,,,3988,,
11,"Ansira Partners, Inc.",Professional Services,7.50%,L + 6.50% PIK,1.00%,,12/20/24,,292.0,,,291,,,245,,
12,"Apptio, Inc.  (2) (4)",IT Services,8.25%,L + 7.25%,1.00%,,01/10/25,,79154.0,,,75824,,,77967,,
13,"Apptio, Inc.  (2) (3) (4)",IT Services,,L + 7.25%,1.00%,,01/10/25,,5385.0,,,(75,),,(81,),
14,"Associations, Inc.  (2) (4)",Real Estate Management & Development,8.00%,L + 7.00% (incl. 3.00% PIK),1.00%,,07/30/24,,33860.0,,,32095,,,33013,,
15,"Associations, Inc.  (2) (3) (4)",Real Estate Management & Development,8.00%,L + 7.00% (incl. 3.00% PIK),1.00%,,07/30/24,,7396.0,,,7102,,,7104,,
16,"Associations, Inc.  (2) (4)",Real Estate Management & Development,7.00%,L + 6.00%,1.00%,,07/30/24,,1422.0,,,1348,,,1387,,
17,ATX Networks Corp.,Communications Equipment,8.75%,L + 7.75% (incl. 1.50% PIK),1.00%,,12/31/23,,7183.0,,,7162,,,6321,,
18,ATX Networks Corp.,Communications Equipment,8.75%,L + 7.75% (incl. 1.50% PIK),1.00%,,12/31/23,,457.0,,,452,,,402,,
