,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,
2,"2U, Inc.",Provider of course design and learning management system to educational institutions,First lien senior secured loan ($55.0 par due 12/2024),6.50% (Libor + 5.75%/M),6/28/2021,,54.1,,,,55.0,,(2)(6)(12),
3,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (16)",Payment processing solution provider,First lien senior secured loan ($64.0 par due 3/2026),6.25% (Libor + 5.00%/Q),2/28/2020,64.0,,,64.0,,(12),,,
4,,,Senior subordinated loan ($27.5 par due 2/2028),12.75% PIK,2/28/2020,27.5,,,27.5,,(2),,,
6,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (16)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($4.7 par due 4/2026),6.25% (Euribor + 6.25%/Q),4/10/2019,4.6,,,4.7,,,,,
7,,,First lien senior secured loan ($16.0 par due 4/2026),7.00% (Libor + 6.00%/Q),6/24/2021,16.0,,,16.0,,(2)(12),,,
8,,,"Limited partnership units (4,400,000 units)",,6/13/2019,4.2,,,7.6,,(2)(6),,,
10,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(16)",Aircraft performance software provider,First lien senior secured loan ($13.5 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,13.5,,,13.5,,(2)(12),,,
11,,,"Class A membership units (9,750,000 units)",,1/3/2020,9.8,,,11.5,,(2),,,
13,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc. (16)","Software platform for identification, prevention and management of substance use disorder",First lien senior secured loan ($13.4 par due 5/2027),8.25% (Libor + 7.25%/Q),5/6/2021,13.4,,,13.4,,(2)(12),,,
14,,,"Series A preferred shares (32,236 shares)",11.00% PIK,5/6/2021,34.6,,,34.6,,(2),,,
16,"Apptio, Inc. (16)",Provider of cloud-based technology business management solutions,First lien senior secured revolving loan ($1.7 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,1.7,,,1.7,,(2)(12),,,
17,,,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,62.2,,,62.2,,(12),,,
19,"Avetta, LLC (16)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($11.8 par due 4/2024),7.25% (Libor + 6.25%/Q),7/15/2021,11.8,,,11.8,,(2)(12),,,
20,"AxiomSL Group, Inc. and Calypso Group, Inc. (16)",Provider of risk data management and regulatory reporting software,First lien senior secured loan ($21.4 par due 12/2027),7.00% (Libor + 6.00%/Q),7/21/2021,21.0,,,21.2,,(2)(12),,,
21,"Banyan Software Holdings, LLC and Banyan Software, LP (16)",Vertical software businesses holding company,First lien senior secured loan ($6.7 par due 10/2026),7.75% (Libor + 6.75%/Q),12/16/2021,6.7,,,6.7,,(2)(12),,,
22,,,First lien senior secured loan ($7.7 par due 10/2026),7.75% (Libor + 6.75%/Q),10/30/2020,7.7,,,7.7,,(2)(12),,,
23,,,First lien senior secured loan ($5.0 par due 10/2026),8.50% (Libor + 7.50%/Q),10/30/2020,5.0,,,5.0,,(2)(12),,,
25,Borrower R365 Holdings LLC (16),Provider of restaurant ERP systems,First lien senior secured loan ($15.5 par due 6/2027),7.50% (Libor + 3.50% Cash + 3.00% PIK/Q),6/10/2021,15.2,,,15.5,,(2)(12),,,
26,"Businessolver.com, Inc. (16)",Provider of SaaS-based benefits solutions for employers and employees,First lien senior secured loan ($70.2 par due 12/2027),6.50% (Libor + 5.75%/M),12/1/2021,70.2,,,69.5,,(2)(12),,,
27,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0,,,0,,(2),,,
28,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($0.6 par due 11/2025),6.75% (Base Rate + 3.50%/Q),11/12/2020,0.6,,,0.6,,(2)(12),,,
29,,,Second lien senior secured loan ($59.9 par due 11/2028),8.50% (Libor + 7.75%/Q),11/12/2020,59.9,,,59.9,,(2)(12),,,
30,,,"Series A-2 preferred shares (8,963 shares)",11.25% PIK (Libor + 11.00%/Q),12/23/2020,10.0,,,10.1,,(2),,,
31,,,"Series A-3 preferred shares (11,952 shares)",11.00% PIK,11/24/2021,12.1,,,13.4,,(2),,,
32,,,"Series A preferred shares (24,898 shares)",11.21% PIK (Libor + 11.00%/Q),11/12/2020,28.3,,,28.0,,(2),,,
35,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,First lien senior secured loan ($27.8 par due 5/2028),6.25% (Euribor + 6.25%/Q),11/30/2021,27.7,,,27.5,,(2)(6),,,
36,,,First lien senior secured loan ($32.9 par due 5/2028),6.75% (Libor + 5.75%/Q),5/28/2021,32.9,,,32.6,,(2)(6)(12),,,
37,,,First lien senior secured loan ($3.9 par due 5/2028),8.00% (Base Rate + 4.75%/Q),5/28/2021,3.9,,,3.8,,(2)(6)(12),,,
38,,,First lien senior secured loan ($11.3 par due 5/2028),6.75% (Libor + 5.75%/Q),5/28/2021,11.3,,,11.2,,(2)(6)(12),,,
39,,,"Common units (4,799,000 units)",,5/28/2021,4.8,,,6.0,,(2)(6),,,
41,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (16)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Second lien senior secured loan ($155.7 par due 6/2029),7.00% (Libor + 6.50%/M),6/3/2021,155.7,,,155.7,,(2)(12),,,
42,,,"Limited partnership units (59,665,989 units)",,4/29/2021,59.7,,,77.9,,(2),,,
44,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.3 par due 7/2026),6.00% (Libor + 5.00%/Q),7/2/2019,6.3,,,6.3,,(6)(12),,,
45,,,First lien senior secured loan ($4.4 par due 7/2026),6.00% (Libor + 5.00%/Q),10/15/2019,4.4,,,4.4,,(6)(12),,,
46,,,First lien senior secured loan ($1.1 par due 7/2026),8.00% (Libor + 7.00%/Q),9/3/2020,1.1,,,1.1,,(2)(6)(12),,,
47,,,Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,,,0.6,,(2)(6),,,
48,,,"Common equity (190,143 shares)",,7/2/2019,0,,,0,,(2)(6),,,
50,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management",First lien senior secured revolving loan,-%,10/15/2021,0,,,0,,(14),,,
51,,,Second lien senior secured loan ($137.5 par due 10/2029),7.00% (Libor + 6.50%/Q),10/15/2021,137.5,,,135.4,,(12),,,
52,,,"Series A preferred shares (116,413 shares)",10.50% PIK,10/15/2021,119.0,,,119.0,,(2),,,
53,,,"Class A-1 common stock (1,360,100 shares)",,10/15/2021,13.6,,,13.3,,(2),,,
55,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),4.18% (Libor + 4.00%/Q),10/7/2019,0,,,0.1,,(2)(6),,,
56,"DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,"Series A preferred shares (129,822 shares)",10.50% PIK,5/25/2021,138.1,,,138.1,,(2),,,
57,,,"Series A units (817,194 units)",,5/27/2021,13.3,,,13.4,,(2),,,
59,Denali Holdco LLC and Denali Topco LLC (16),Provider of cybersecurity audit and assessment services,First lien senior secured loan ($37.3 par due 9/2027),7.00% (Libor + 6.00%/Q),9/15/2021,37.3,,,36.9,,(2)(12),,,
60,,,"Class A units (2,549,000)",,9/15/2021,2.5,,,2.5,,(2),,,
62,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,-%,8/4/2020,0,,,0,,(14),,,
63,,,First lien senior secured loan ($33.0 par due 8/2025),7.25% (Libor + 6.25%/Q),8/4/2020,32.4,,,33.0,,(12),,,
64,,,First lien senior secured loan ($8.9 par due 8/2025),6.75% (Libor + 5.75%/Q),3/4/2021,8.9,,,8.9,,(2)(12),,,
65,,,First lien senior secured loan ($11.4 par due 8/2025),6.75% (Libor + 5.75%/Q),4/6/2021,11.3,,,11.4,,(2)(12),,,
66,,,First lien senior secured loan ($2.0 par due 8/2025),7.25% (Libor + 6.25%/Q),7/30/2021,2.0,,,2.0,,(2)(12),,,
67,,,"Preferred stock (13,140 shares)",10.50% PIK,4/6/2021,13.5,,,13.8,,(2),,,
70,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 7/2026),8.35% (Libor + 8.25%/M),2/11/2020,25.0,,,25.0,,,,,
71,,,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,37.0,,,37.9,,(2),,,
73,"DS Admiral Bidco, LLC (16)",Tax return software provider for government institutions,First lien senior secured loan ($11.9 par due 3/2028),6.75% (Libor + 5.75%/Q),3/16/2021,11.6,,,11.9,,(2)(12),,,
74,Dye & Durham Corporation (16),Provider of cloud-based software and technology solutions for the legal industry,First lien senior secured loan ($72.0 par due 12/2027),6.50% (CDOR + 5.75%/Q),12/3/2021,70.9,,,70.9,,(2)(6)(12),,,
75,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($2.3 par due 9/2025),6.50% (Libor + 5.50%/Q),9/18/2019,2.3,,,2.3,,(2)(12),,,
76,,,First lien senior secured loan ($62.0 par due 9/2025),6.50% (Libor + 5.50%/Q),9/18/2019,61.9,,,61.9,,(12),,,
77,,,First lien senior secured loan ($20.5 par due 9/2025),6.50% (Libor + 5.50%/Q),12/15/2020,20.5,,,20.5,,(2)(12),,,
78,,,"Preferred equity (4,599 shares)",,9/18/2019,4.6,,,5.5,,,,,
80,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,Second lien senior secured loan ($177.9 par due 11/2029),7.00% (Libor + 6.50%/Q),11/4/2021,177.9,,,176.1,,(2)(12),,,
81,,,"Partnership units (5,034,483 units)",,5/10/2019,3.2,,,9.8,,(2)(6),,,
83,EpiServer Inc. and Episerver Sweden Holdings AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($4.6 par due 4/2026),6.50% (Libor + 5.50%/Q),12/21/2021,4.6,,,4.6,,(2)(12),,,
84,,,First lien senior secured loan ($6.0 par due 4/2026),5.75% (Euribor + 5.75%/Q),3/22/2019,6.0,,,6.0,,(2),,,
85,,,First lien senior secured loan ($0.1 par due 4/2026),6.50% (Libor + 5.50%/Q),10/9/2018,0.1,,,0.1,,(2)(12),,,
87,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($22.5 par due 2/2028),8.50% (Libor + 8.00%/M),2/4/2020,22.0,,,22.4,,(12),,,
88,,,Second lien senior secured loan ($30.6 par due 2/2028),8.50% (Libor + 8.00%/M),4/27/2021,29.6,,,30.6,,(2)(12),,,
