,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
2,"2U, Inc.",Provider of course design and learning management system to educational institutions,First lien senior secured loan ($45.6 par due 12/2024),6.50% (Libor + 5.75%/Q),6/28/2021,,44.9,,,,45.2,,(2)(6)(13)
3,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (17)",Payment processing solution provider,First lien senior secured loan ($64.2 par due 3/2026),6.25% (Libor + 5.00%/Q),2/28/2020,64.2,,,64.2,,(13),,
4,,,First lien senior secured loan ($0.7 par due 3/2026),6.25% (Libor + 5.00%/Q),6/7/2021,0.7,,,0.7,,(2)(13),,
5,,,Senior subordinated loan ($26.6 par due 2/2028),12.75% PIK,2/28/2020,26.6,,,26.6,,(2),,
7,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (17)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($4.8 par due 4/2026),6.25% (Euribor + 6.25%/Q),4/10/2019,4.6,,,4.8,,,,
8,,,First lien senior secured loan ($16.0 par due 4/2026),7.00% (Libor + 6.00%/Q),6/24/2021,16.0,,,16.0,,(2)(13),,
9,,,"Limited partnership units (4,400,000 units)",,6/13/2019,4.2,,,7.5,,(2)(6),,
11,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(17)",Aircraft performance software provider,First lien senior secured loan ($13.5 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,13.5,,,13.5,,(2)(13),,
12,,,"Class A membership units (9,750,000 units)",,1/3/2020,9.8,,,12.0,,(2),,
14,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc. (17)","Software platform for identification, prevention and management of substance use disorder",First lien senior secured loan ($25.7 par due 5/2027),8.25% (Libor + 7.25%/Q),5/6/2021,25.7,,,25.4,,(2)(13),,
15,,,"Series A preferred shares (32,236 shares)",11.00% PIK,5/6/2021,33.7,,,33.7,,(2),,
