,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,,Fair Value,,Percentage of Net Assets,,,
2,"2U, Inc.",Provider of course design and learning management system to educational institutions,First lien senior secured loan ($54.9 par due 12/2024),6.50% (LIBOR + 5.75%/Q),6/28/2021,,54.1,,,,54.9,,(2)(6)(12)
3,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (16)",Payment processing solution provider,First lien senior secured loan ($63.8 par due 03/2026),6.25% (LIBOR + 5.00%/Q),2/28/2020,63.8,,,63.8,,(12),,
4,,,Senior subordinated loan ($28.4 par due 02/2028),12.75% PIK,2/28/2020,28.4,,,28.4,,(2),,
6,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (16)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($4.5 par due 04/2026),5.50% (Euribor + 5.50%/S),4/10/2019,4.6,,,4.5,,,,
7,,,First lien senior secured loan ($11.2 par due 04/2026),6.25% (LIBOR + 5.25%/S),6/24/2021,11.2,,,11.2,,(2)(12),,
8,,,"Limited partnership units (4,400,000 units)",,6/13/2019,4.2,,,8.6,,(2)(6),,
10,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(16)",Aircraft performance software provider,First lien senior secured loan ($13.4 par due 01/2025),6.75% (LIBOR + 5.25%/Q),1/3/2020,13.4,,,13.4,,(2)(12),,
11,,,"Class A membership Units (9,750,000 units)",,1/3/2020,9.8,,,11.1,,(2),,
13,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc. (16)","Software platform for identification, prevention and management of substance use disorder",First lien senior secured loan ($5.7 par due 05/2027),8.25% (LIBOR + 7.25%/Q),5/6/2021,5.7,,,5.7,,(2)(12),,
14,,,"Series A preferred shares (32,236 shares)",11.00% PIK,5/6/2021,35.6,,,35.6,,(2),,
16,"Apptio, Inc. (16)",Provider of cloud-based technology business management solutions,First lien senior secured revolving loan ($63.9 par due 01/2025),8.25% (LIBOR + 7.25%/Q),1/10/2019,63.9,,,63.9,,(2)(12),,
17,"Avetta, LLC (16)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($0.2 par due 04/2024),7.25% (LIBOR + 6.25%/Q),7/15/2021,0.2,,,0.2,,(2)(12),,
18,"AxiomSL Group, Inc. and Calypso Group, Inc. (16)",Provider of risk data management and regulatory reporting software,First lien senior secured loan ($21.3 par due 12/2027),7.01% (LIBOR + 6.00%/Q),7/21/2021,21.0,,,21.1,,(2)(12),,
19,"Banyan Software Holdings, LLC and Banyan Software, LP (16)",Vertical software businesses holding company,First lien senior secured revolving loan ($0.2 par due 10/2025),7.75% (LIBOR + 6.75%/Q),10/30/2020,0.2,,,0.2,,(2)(12),,
20,,,First lien senior secured loan ($6.7 par due 10/2026),7.75% (LIBOR + 6.75%/Q),12/16/2021,6.7,,,6.7,,(2)(12),,
21,,,First lien senior secured loan ($11.2 par due 10/2026),7.76% (LIBOR + 6.75%/Q),10/30/2020,11.2,,,11.2,,(2)(12),,
22,,,"Preferred units (120,999 units)",,1/7/2022,4.1,,,4.1,,(2),,
24,Borrower R365 Holdings LLC (16),Provider of restaurant enterprise resource planning systems,First lien senior secured loan ($15.6 par due 06/2027),"7.51% (LIBOR + 3.50% Cash, 3.00% PIK/Q)",6/10/2021,15.4,,,15.6,,(2)(12),,
25,,,First lien senior secured loan ($1.4 par due 06/2027),4.51% (LIBOR + 3.50%/Q),1/13/2022,1.3,,,1.4,,(2)(12),,
27,"Businessolver.com, Inc. (16)",Provider of SaaS-based benefits solutions for employers and employees,First lien senior secured loan ($14.4 par due 12/2027),6.50% (LIBOR + 5.75%/M),12/1/2021,14.4,,,14.3,,(2)(12),,
28,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0,,,0,,,,
29,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($1.3 par due 11/2025),7.00% (Base Rate + 3.50%/Q),11/12/2020,1.3,,,1.3,,(2)(12),,
31,,,Second lien senior secured loan ($59.9 par due 11/2028),8.50% (LIBOR + 7.75%/Q),11/12/2020,59.9,,,59.9,,(2)(12),,
32,,,"Series A-2 preferred shares (8,963 shares)",11.25% PIK (LIBOR + 11.00%/Q),12/23/2020,10.3,,,10.4,,(2),,
33,,,"Series A-3 preferred shares (11,952 shares)",11.00% PIK,11/24/2021,12.4,,,13.8,,(2),,
34,,,"Series A preferred shares (24,898 shares)",11.21% PIK (LIBOR + 11.00%/Q),11/12/2020,29.1,,,28.8,,(2),,
36,"Community Brands ParentCo, LLC (16)",Software and payment services provider to non-profit institutions,First lien senior secured loan ($10.7 par due 02/2028),6.50% (SOFR + 5.75%/Q),2/24/2022,10.7,,,10.6,,(2)(12),,
37,,,"Class A units (500,000 units)",,12/2/2016,5.0,,,7.0,,(2),,
39,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,First lien senior secured loan ($75.4 par due 05/2028),6.75% (LIBOR + 5.75%/Q),5/28/2021,75.4,,,75.4,,(2)(6)(12),,
40,,,First lien senior secured loan ($27.0 par due 05/2028),6.25% (Euribor + 6.25%/Q),11/30/2021,27.7,,,27.0,,(2)(6),,
41,,,"Common units (4,799,000 units)",,5/28/2021,4.8,,,6.1,,(2)(6),,
43,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (16)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Second lien senior secured loan ($155.7 par due 06/2029),7.00% (LIBOR + 6.50%/M),6/3/2021,155.7,,,154.1,,(2)(12),,
44,,,"Limited partnership units (59,665,989 units)",,4/29/2021,59.7,,,82.5,,(2),,
46,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.3 par due 07/2026),6.00% (LIBOR + 5.00%/Q),7/2/2019,6.3,,,6.3,,(6)(12),,
47,,,First lien senior secured loan ($4.4 par due 07/2026),6.00% (LIBOR + 5.00%/Q),10/15/2019,4.4,,,4.4,,(6)(12),,
48,,,First lien senior secured loan ($1.1 par due 07/2026),8.00% (LIBOR + 7.00%/Q),9/3/2020,1.1,,,1.1,,(2)(6)(12),,
49,,,Preferred equity (198 shares),9.00% PIK,7/2/2019,0.3,,,0.6,,(2)(6),,
50,,,"Common equity (190,143 shares)",,7/2/2019,0,,,0,,(2)(6),,
52,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management",First lien senior secured revolving loan,,10/15/2021,0,,,0,,(14),,
53,,,Second lien senior secured loan ($137.5 par due 10/2029),7.00% (LIBOR + 6.50%/M),10/15/2021,137.5,,,135.4,,(2)(12),,
54,,,"Series A preferred shares (116,413 shares)",10.50% PIK,10/15/2021,119.0,,,119.0,,(2),,
55,,,"Class A-1 common stock (1,360,100 shares)",,10/15/2021,13.6,,,12.8,,(2),,
57,Datix Bidco Limited (16),Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 04/2025),4.68% (LIBOR + 4.50%/S),10/7/2019,0,,,0.1,,(2)(6),,
58,"DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,"Series A preferred shares (129,822 shares)",10.50% PIK,5/25/2021,138.1,,,138.1,,(2),,
59,,,"Series A units (817,194 units)",,5/27/2021,13.3,,,13.2,,(2),,
61,Denali Holdco LLC and Denali Apexco LP (16),Provider of cybersecurity audit and assessment services,First lien senior secured loan ($37.2 par due 09/2027),7.13% (LIBOR + 6.00%/Q),9/15/2021,37.2,,,37.2,,(2)(12),,
62,,,"Class A units (2,549,000 units)",,2/22/2022,2.5,,,2.5,,(2),,
65,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,,8/4/2020,0,,,0,,(14),,
66,,,First lien senior secured loan ($32.9 par due 08/2025),7.26% (LIBOR + 6.25%/Q),8/4/2020,32.4,,,32.9,,(12),,
67,,,First lien senior secured loan ($2.0 par due 08/2025),7.26% (LIBOR + 6.25%/Q),7/30/2021,2.0,,,2.0,,(2)(12),,
68,,,First lien senior secured loan ($3.2 par due 08/2025),7.26% (LIBOR + 6.25%/Q),8/4/2020,3.2,,,3.2,,(2)(12),,
