,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
2,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),11.00% (Base Rate + 5.50%/Q),1/15/2019,,0.8,,,,0.8,,(2)(14)
3,,,First lien senior secured loan ($24.3 par due 1/2022),,1/5/2016,24.2,,,7.1,,(2)(13),,
4,,,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,,,0,,(2),,
5,,,"Class A common units (4,000,000 units)",,1/5/2016,0,,,0,,(2),,
7,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,,,0,,,,
8,"ADCS Billings Intermediate Holdings, LLC (18)",Dermatology practice,First lien senior secured revolving loan ($1.3 par due 5/2022),10.25% (Base Rate + 4.75%/Q),5/18/2016,1.3,,,1.2,,(2)(14),,
9,"ADG, LLC and RC IV GEDC Investor LLC (18)",Dental services provider,First lien senior secured revolving loan ($3.1 par due 9/2022),7.25% (Libor + 4.75%/M),9/28/2016,3.1,,,3.0,,(2)(14),,
10,,,First lien senior secured revolving loan ($10.6 par due 9/2022),9.25% (Base Rate + 3.75%/Q),9/28/2016,10.6,,,10.1,,(2)(14),,
11,,,Second lien senior secured loan ($87.5 par due 3/2024),11.88% (Libor + 9.00%/S),9/28/2016,87.5,,,75.3,,(2)(14),,
12,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0.8,,(2),,
14,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),10.36% (Libor + 7.88%/M),3/14/2018,182.7,,,179.9,,(2)(14),,
15,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,1.4,,(2),,
17,"Alcami Corporation and ACM Holdings I, LLC (18)",Outsourced drug development services provider,First lien senior secured revolving loan ($1.7 par due 7/2023),6.25% (Libor + 3.75%/M),7/12/2018,1.7,,,1.7,,(2)(14),,
18,,,First lien senior secured revolving loan ($1.7 par due 7/2023),6.23% (Libor + 3.75%/M),7/12/2018,1.7,,,1.7,,(2)(14),,
19,,,First lien senior secured loan ($30.0 par due 7/2025),6.73% (Libor + 4.25%/M),7/12/2018,29.9,,,29.1,,(3)(14),,
20,,,Second lien senior secured loan ($77.5 par due 7/2026),10.48% (Libor + 8.00%/M),7/12/2018,76.8,,,73.7,,(2)(14),,
21,,,"Common units (3,269,900 units)",,7/12/2018,32.7,,,21.1,,(2),,
23,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),9.00% (Libor + 6.50%/M),5/15/2017,3.0,,,2.5,,(2)(14),,
24,"American Academy Holdings, LLC (18)","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals",First lien senior secured revolving loan ($0.9 par due 12/2022),10.75% (Base Rate + 5.25%/M),12/15/2017,0.9,,,0.9,,(2)(14),,
25,,,First lien senior secured loan ($84.1 par due 12/2022),10.75% (Base Rate + 5.25%/M),12/15/2017,84.1,,,85.8,,(2)(14),,
26,,,First lien senior secured loan ($90.5 par due 12/2022),10.75% (Base Rate + 5.25%/M),12/15/2017,90.5,,,92.3,,(3)(14),,
27,,,Senior subordinated loan ($81.1 par due 6/2023),"18.50% (Libor + 7.00% Cash, 6.00% PIK/Q)",12/15/2017,81.1,,,85.2,,(2)(14),,
30,"athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (18)",Revenue cycle management provider to the physician practices and acute care hospitals,First lien senior secured loan ($32.3 par due 2/2026),7.20% (Libor + 4.50%/Q),2/11/2019,31.6,,,31.6,,(2)(14),,
31,,,Second lien senior secured loan ($210.3 par due 2/2027),11.20% (Libor + 8.50%/Q),2/11/2019,210.3,,,206.1,,(2)(14),,
32,,,"Senior preferred stock (121,810 shares)",13.62% PIK (Libor + 11.13%),2/11/2019,121.8,,,121.8,,(2)(14),,
33,,,Class A interests (0.39% interest),,2/11/2019,9.0,,,9.0,,(2),,
35,Bambino CI Inc. (18),Manufacturer and provider of single-use obstetrics products,First lien senior secured revolving loan ($0.1 par due 10/2022),7.99% (Libor + 5.50%/M),10/17/2017,0.1,,,0.1,,(2)(14),,
36,,,First lien senior secured revolving loan ($1.1 par due 10/2022),7.98% (Libor + 5.50%/Q),10/17/2017,1.1,,,1.1,,(2)(14),,
37,,,First lien senior secured revolving loan ($1.1 par due 10/2022),10.00% (Base Rate + 4.50%/Q),10/17/2017,1.1,,,1.1,,(2)(14),,
38,,,First lien senior secured loan ($30.8 par due 10/2023),7.99% (Libor + 5.50%/M),10/17/2017,30.8,,,30.8,,(3)(14),,
40,"Care Hospice, Inc (18)",Provider of hospice services,First lien senior secured revolving loan ($0.6 par due 4/2022),7.38% (Libor + 4.75%/Q),2/8/2018,0.6,,,0.6,,(2)(14)(17),,
41,,,First lien senior secured revolving loan ($0.3 par due 4/2022),7.23% (Libor + 4.75%/M),2/8/2018,0.3,,,0.3,,(2)(14)(17),,
42,,,First lien senior secured revolving loan ($0.3 par due 4/2022),7.23% (Libor + 4.75%/M),2/8/2018,0.3,,,0.3,,(2)(14)(17),,
44,"CCS-CMGC Holdings, Inc. (18)",Correctional facility healthcare operator,First lien senior secured revolving loan ($1.9 par due 10/2023),8.00% (Libor + 5.50%/M),10/1/2018,1.9,,,1.8,,(2)(14)(17),,
45,,,First lien senior secured loan ($34.9 par due 10/2025),8.00% (Libor + 5.50%/M),9/25/2018,34.6,,,34.6,,(3)(14),,
