,Company(1),Business Description,Investment,Interest(5)(11),Acquisition  Date,Amortized  Cost,Fair Value
2,"CIC Flex, LP (10)",Investment partnership,Limited partnership units (0.94 units),0,9/7/2007,0.0,248
3,"Covestia Capital Partners, LP (10)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,487.0,1863
4,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),0,4/1/2010,0.0,128
5,"Imperial Capital Private Opportunities, LP (10)(29)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,4214.0,20380
6,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,0.0,873
7,"Partnership Capital Growth Investors III, L.P. (10)(29)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,2722.0,2861
8,"PCG-Ares Sidecar Investment, L.P. (10)(29)",Investment partnership,Limited partnership interest (100.00% interest),0,5/22/2014,6500.0,8042
9,"PCG-Ares Sidecar Investment II, L.P. (10)(29)",Investment partnership,Limited partnership interest (100.00% interest),0,10/31/2014,2147.0,1279
10,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(29)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,1240.0,1342
11,Senior Secured Loan Fund LLC (8)(11)(30),Co-investment vehicle,"Subordinated certificates ($2,089,348 par due 12/2024)",8.27% (Libor + 8.00%/M)(24),10/30/2009,2089348.0,2099796
12,Senior Secured Loan Fund LLC (8)(11)(30),Co-investment vehicle,Member interest (87.50% interest),0,10/30/2009,0.0,0
14,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),0,1/24/2008,879.0,1661
17,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,12/13/2013,3087.0,1913
18,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,12/13/2013,3.0,0
20,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($8,810 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,8810.0,8810
21,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,52039.0,52039
22,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($3,540 par due 6/2019)",4.00% (Libor + 3.00%/Q),6/27/2014,3540.0,3540
24,AwarePoint Corporation,Healthcare technology platform developer,"First lien senior secured loan ($10,000 par due 6/2018)",9.50%,9/5/2014,9920.0,9900
25,AwarePoint Corporation,Healthcare technology platform developer,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock",0,11/14/2014,0.0,609
27,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (8,664,072 units)",0,4/12/2013,866.0,726
28,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (87,514 units)",0,4/12/2013,17.0,7
30,"California Forensic Medical Group, Incorporated (28)",Correctional facility healthcare operator,"First lien senior secured loan ($44,707 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,44707.0,44707
