,Company(1),Business Description,Investment,Interest(5)(12),Acquisition  Date,Amortized  Cost,Fair Value
2,"AGILE Fund I, LLC (7)(9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,245.0,130
3,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,2533.0,3137
4,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,1059.0,1088
5,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822.0,4728
6,Firstlight Financial Corporation (6)(9),Investment company,"Senior subordinated loan ($71,363 par due 12/2016)",1.00% PIK,12/31/2006,71089.0,55918
7,Firstlight Financial Corporation (6)(9),Investment company,"Class A common stock (10,000 shares)",0,12/31/2006,10000.0,0
8,Firstlight Financial Corporation (6)(9),Investment company,"Class B common stock (30,000 shares)",0,12/31/2006,30000.0,0
10,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,808.0,715
11,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,6643.0,5120
12,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,"Class B deferrable interest notes ($40,000 par due 11/2018)",6.25% (Libor + 6.00%/Q),11/20/2007,40000.0,37600
13,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,Subordinated notes ($16 par due 11/2018),15.00%,11/20/2007,15515.0,16000
15,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,"Class C notes ($14,400 par due 6/2018)",7.75% (Libor + 7.50%/Q),3/24/2010,14400.0,14400
16,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,"Class D notes ($9,000 par due 6/2018)",8.75% (Libor + 8.50%/Q),3/24/2010,9000.0,9000
17,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,"Class E notes ($14,850 par due 6/2018)",5.25% (Libor + 5.00%/Q),3/24/2010,13596.0,13749
19,"Kodiak Funding, LP (9)",Investment partnership,Limited partnership interest (1.52% interest),0,4/1/2010,877.0,823
20,"Novak Biddle Venture Partners III, L.P. (9)",Investment partnership,Limited partnership interest (2.47% interest),0,4/1/2010,221.0,196
21,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,2126.0,4006
22,Senior Secured Loan Fund LLC (7)(11)(17),Co-investment vehicle,"Subordinated certificates ($788,128 par due 12/2020)",8.29% (Libor + 8.00%/Q),10/30/2009,777406.0,796513
23,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,1139.0,1139
26,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602.0,936
27,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,263 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7263.0,6900
28,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,661 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7661.0,7278
29,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Class A common stock (9,679 shares)",0,6/15/2007,4000.0,9337
30,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Class C common stock (1,546 shares)",0,6/15/2007,0.0,1491
32,"HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (10,720,874 units)",0,6/26/2008,10721.0,4437
33,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512.0,1101
