,Company(1),Business Description,Investment,Interest(5)(11),Acquisition  Date,Amortized  Cost,Fair Value
2,"AGILE Fund I, LLC (9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,122.0,27
3,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,1050.0,2120
4,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,1059.0,1170
5,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822.0,2962
6,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,452.0,426
7,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,5971.0,10037
8,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,1596.0,4059
9,"Partnership Capital Growth Fund III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,2379.0,2341
10,"Piper Jaffray Merchant Banking Fund I, L.P. (9)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,389.0,341
11,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,"Subordinated certificates ($1,250,904 par due 12/2022)",8.31% (Libor + 8.00%/Q)(22),10/30/2009,1244833.0,1269667
12,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,661.0,1197
15,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"Senior secured loan ($54,047 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,54047.0,54047
16,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602.0,1293
17,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,546 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7546.0,7471
18,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Senior secured loan ($7,154 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7154.0,7082
19,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Class A common stock (9,679 shares)",0,6/15/2007,4000.0,4931
20,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services,"Class C common stock (1,546 shares)",0,6/15/2007,0.0,1359
22,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512.0,996
23,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Junior secured loan ($112,000 par due 6/2019)",10.25% (Libor + 9.00%/Q),12/27/2012,112000.0,112000
24,"JHP Group Holdings, Inc.",Manufacturer of specialty pharmaceutical products,"Series A preferred stock (1,000,000 shares)",6.00% PIK,2/19/2013,1000.0,1000
25,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($69,971 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,69971.0,69971
26,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($57,900 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,57900.0,57900
27,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($4,825 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,4825.0,4825
29,MW Dental Holding Corp.,Dental services,"Senior secured revolving loan ($3,500 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,3500.0,3500
30,MW Dental Holding Corp.,Dental services,"Senior secured loan ($54,885 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,54885.0,54885
31,MW Dental Holding Corp.,Dental services,"Senior secured loan ($49,129 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,49129.0,49129
32,MW Dental Holding Corp.,Dental services,"Senior secured loan ($9,875 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9875.0,9875
34,Napa Management Services,Anesthesia management,Senior secured loan,6.50% (Libor +,4/15/2011,23674.0,23674
