,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,
2,"42 North Dental, LLC (fka Gentle Communications, LLC) (15)",Dental services provider,First lien senior secured revolving loan ($3.3 par due 5/2022),8.50% (Base Rate + 5.25%/Q),5/26/2017,,3.3,,,,3.0,,(2)(11),
3,,,First lien senior secured revolving loan ($1.8 par due 5/2022),7.57% (Libor + 6.25%/Q),5/26/2017,1.8,,,1.6,,(2)(11),,,
5,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),"8.50% (Libor + 6.75% Cash, 0.75% PIK/Q)",1/15/2019,0.8,,,0.8,,(2)(11),,,
6,,,First lien senior secured loan ($24.6 par due 1/2022),,1/5/2016,24.2,,,14.3,,(2)(10),,,
7,,,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,,,0,,(2),,,
8,,,"Class A common units (4,000,000 units)",,1/5/2016,0,,,0,,(2),,,
10,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,,,0,,,,,
11,"ADCS Billings Intermediate Holdings, LLC (15)",Dermatology practice,First lien senior secured revolving loan ($5.0 par due 5/2022),6.75% (Libor + 5.75%/Q),5/18/2016,5.0,,,4.8,,(2)(11),,,
12,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,First lien senior secured revolving loan ($13.8 par due 9/2022),"6.32% (Libor + 2.50% Cash, 2.75% PIK/M)",9/28/2016,13.8,,,11.8,,(2)(11),,,
13,,,Second lien senior secured loan ($97.7 par due 3/2024),,9/28/2016,89.0,,,68.4,,(2)(10),,,
14,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0,,(2),,,
16,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,First lien senior secured loan ($1.7 par due 4/2022),4.25% (Libor + 3.25%/Q),4/3/2020,1.6,,,1.6,,(2)(11)(18),,,
17,,,Senior subordinated loan ($182.7 par due 3/2026),8.88% (Libor + 7.88%/Q),3/14/2018,182.7,,,182.7,,(2)(11),,,
18,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,1.4,,(2),,,
20,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),7.50% (Libor + 6.50%/Q),5/15/2017,3.0,,,2.5,,(2)(11),,,
21,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),8.82% (Libor + 8.50%/Q),2/11/2019,210.3,,,206.1,,(2),,,
22,,,"Senior preferred stock (121,810 shares)",11.31% PIK (Libor + 11.13%/M),2/11/2019,141.2,,,141.2,,(2),,,
23,,,Class A interests (0.39% interest),,2/11/2019,9.0,,,12.8,,(2),,,
25,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($30.7 par due 7/2026),5.25% (Libor + 4.25%/Q),7/9/2019,30.7,,,30.4,,(2)(11),,,
26,,,First lien senior secured loan ($17.0 par due 7/2026),5.25% (Libor + 4.25%/Q),9/10/2019,17.0,,,16.9,,(2)(11),,,
27,,,Second lien senior secured loan ($64.2 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,64.2,,,63.5,,(2)(11),,,
28,,,Second lien senior secured loan ($5.3 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,5.3,,,5.2,,(2)(11),,,
29,,,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,,,12.6,,(2)(11),,,
30,,,"Class B common units (4,211 units)",,7/9/2019,4.2,,,6.2,,(2),,,
33,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured revolving loan,,10/1/2018,0,,,0,,(13),,,
34,,,First lien senior secured loan ($34.5 par due 10/2025),6.45% (Libor + 5.50%/Q),9/25/2018,34.2,,,32.1,,(2),,,
36,"Center for Autism and Related Disorders, LLC (15)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($7.8 par due 11/2023),4.89% (Libor + 4.50%/Q),11/21/2018,7.8,,,7.2,,(2)(14),,,
37,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured revolving loan ($1.8 par due 2/2024),6.00% (Libor + 4.75%/Q),2/14/2018,1.8,,,1.6,,(2)(11),,,
38,,,First lien senior secured loan ($5.3 par due 2/2024),5.75% (Libor + 4.50%/Q),2/14/2018,5.3,,,5.0,,(2)(11),,,
39,,,First lien senior secured loan ($1.0 par due 2/2024),7.00% (Base Rate + 3.75%/Q),2/14/2018,1.0,,,1.0,,(2)(11),,,
40,,,First lien senior secured loan ($2.4 par due 2/2024),6.00% (Libor + 4.75%/Q),2/14/2018,2.4,,,2.2,,(2)(11),,,
42,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($3.2 par due 9/2026),7.01% (Libor + 5.25%/Q),9/4/2019,3.2,,,3.1,,(2)(11),,,
43,,,First lien senior secured loan ($2.4 par due 9/2026),10.35% (Libor + 9.00%/Q),4/8/2020,2.4,,,2.4,,(2)(11),,,
45,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,First lien senior secured revolving loan ($0.7 par due 10/2024),7.25% (Libor + 6.25%/Q),10/31/2019,0.7,,,0.7,,(2)(11)(14),,,
46,,,First lien senior secured loan ($58.0 par due 10/2025),7.34% (Libor + 5.75%/Q),10/31/2019,58.0,,,54.5,,(2)(11),,,
47,,,First lien senior secured loan ($14.1 par due 10/2025),7.84% (Libor + 6.25%/Q),10/31/2019,14.1,,,13.2,,(2)(11),,,
48,,,"Common stock (31,005 shares)",,10/31/2019,9.6,,,9.2,,(2),,,
50,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (15)",Dental services provider,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,,,0,,(2),,,
51,DCA Investment Holding LLC (15),Multi-branded dental practice management,First lien senior secured revolving loan ($5.7 par due 7/2021),6.25% (Libor + 5.25%/Q),7/2/2015,5.7,,,5.2,,(2)(11)(14),,,
52,,,First lien senior secured loan ($18.2 par due 7/2021),6.32% (Libor + 5.25%/Q),7/2/2015,18.2,,,16.8,,(2)(11),,,
54,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.7 par due 2/2022),"10.00% Cash, 4.00% PIK",2/21/2019,16.7,,,16.7,,(2),,,
55,"Evolent Health LLC and Evolent Health, Inc. (15)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.00% (Libor + 8.00%/Q),12/30/2019,61.2,,,62.4,,(2)(6)(11),,,
56,,,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",,12/30/2019,5.9,,,5.6,,(2)(6),,,
58,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.00% (Libor + 8.00%/Q),6/30/2017,34.2,,,34.2,,(2)(11),,,
59,,,Second lien senior secured loan ($55.0 par due 6/2025),9.00% (Libor + 8.00%/Q),1/13/2020,55.0,,,54.5,,(2)(11),,,
60,,,"Series A preferred stock (110,425 shares)",12.18% PIK (Libor + 10.75%/Q),6/30/2017,162.1,,,160.4,,(2)(11),,,
61,,,"Class A units (14,013,303 units)",,6/30/2017,14.0,,,16.6,,(2),,,
64,"HealthEdge Software, Inc. (15)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($3.7 par due 4/2026),7.25% (Libor + 6.25%/Q),4/9/2020,3.7,,,3.6,,(2)(11),,,
65,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),8.75% (Libor + 7.75%/Q),8/26/2016,2.5,,,2.4,,(2)(11),,,
66,,,Second lien senior secured loan ($10.7 par due 8/2023),8.75% (Libor + 7.75%/Q),2/27/2017,10.7,,,10.3,,(2)(11),,,
67,,,Second lien senior secured loan ($11.1 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,11.1,,,10.8,,(2)(11),,,
68,,,Second lien senior secured loan ($0.6 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,0.6,,,0.6,,(2)(11),,,
70,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured revolving loan ($4.0 par due 4/2022),,4/10/2017,4.0,,,3.1,,(2)(10),,,
