,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
2,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),9.91% (Libor + 7.50%/Q),1/15/2019,,0.8,,,,0.8,,(2)(15)
3,,,First lien senior secured loan ($24.4 par due 1/2022),,1/5/2016,24.2,,,6.3,,(2)(14),,
4,,,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,,,0,,(2),,
5,,,"Class A common units (4,000,000 units)",,1/5/2016,0,,,0,,(2),,
7,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,,,0,,,,
8,"ADCS Billings Intermediate Holdings, LLC (19)",Dermatology practice,First lien senior secured revolving loan ($0.6 par due 5/2022),8.21% (Libor + 5.75%/B),5/18/2016,0.6,,,0.6,,(2)(15),,
9,,,First lien senior secured revolving loan ($1.3 par due 5/2022),8.08% (Libor + 5.75%/Q),5/18/2016,1.3,,,1.2,,(2)(15),,
11,"ADG, LLC and RC IV GEDC Investor LLC (19)",Dental services provider,First lien senior secured revolving loan ($2.7 par due 9/2022),7.15% (Libor + 4.75%/M),9/28/2016,2.7,,,2.6,,(2)(15),,
12,,,First lien senior secured revolving loan ($2.4 par due 9/2022),9.25% (Base Rate + 3.75%/Q),9/28/2016,2.4,,,2.3,,(2)(15),,
13,,,Second lien senior secured loan ($89.0 par due 3/2024),12.20% (Libor + 10.00%/S),9/28/2016,89.0,,,74.8,,(2)(15),,
14,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0.2,,(2),,
16,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),10.287% (Libor + 7.88%/M),3/14/2018,182.7,,,182.7,,(2)(15),,
17,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,1.5,,(2),,
19,"Alcami Corporation and ACM Holdings I, LLC (19)",Outsourced drug development services provider,First lien senior secured loan ($30.0 par due 7/2025),6.65% (Libor + 4.25%/M),7/12/2018,29.8,,,28.8,,(3),,
20,,,Second lien senior secured loan ($77.5 par due 7/2026),10.40% (Libor + 8.00%/M),7/12/2018,76.8,,,70.5,,(2),,
21,,,"Common units (3,269,900 units)",,7/12/2018,32.7,,,18.6,,(2),,
23,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),8.90% (Libor + 6.50%/M),5/15/2017,3.0,,,2.7,,(2)(15),,
24,"athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (19)",Revenue cycle management provider to the physician practices and acute care hospitals,First lien senior secured loan ($16.1 par due 2/2026),7.05% (Libor + 4.50%/Q),2/11/2019,15.8,,,16.1,,(2),,
25,,,Second lien senior secured loan ($210.3 par due 2/2027),11.04% (Libor + 8.50%/Q),2/11/2019,210.3,,,206.1,,(2),,
26,,,"Senior preferred stock (121,810 shares)",13.54% PIK (Libor + 11.13%/Q),2/11/2019,124.1,,,124.1,,(2),,
27,,,Class A interests (0.39% interest),,2/11/2019,9.0,,,9.0,,(2),,
29,Bambino CI Inc. (19),Manufacturer and provider of single-use obstetrics products,First lien senior secured revolving loan ($0.1 par due 10/2022),7.89% (Libor + 5.50%/M),10/17/2017,0.1,,,0.1,,(2)(15),,
30,,,First lien senior secured revolving loan ($0.8 par due 10/2022),7.91% (Libor + 5.50%/M),10/17/2017,0.8,,,0.8,,(2)(15),,
32,,,First lien senior secured revolving loan ($1.1 par due 10/2022),7.97% (Libor + 5.50%/M),10/17/2017,1.1,,,1.1,,(2)(15),,
33,,,First lien senior secured revolving loan ($1.1 par due 10/2022),10.00% (Base Rate + 4.50%/M),10/17/2017,1.1,,,1.1,,(2)(15),,
34,,,First lien senior secured loan ($30.7 par due 10/2023),7.90% (Libor + 5.50%/M),10/17/2017,30.7,,,30.7,,(3)(15),,
36,"Care Hospice, Inc (19)",Provider of hospice services,First lien senior secured revolving loan,0,2/8/2018,0,,,0,,(2)(17),,
37,"CCS-CMGC Holdings, Inc. (19)",Correctional facility healthcare operator,First lien senior secured revolving loan,0,10/1/2018,0,,,0,,(2)(17),,
38,,,First lien senior secured loan ($34.8 par due 10/2025),7.90% (Libor + 5.50%/M),9/25/2018,34.5,,,34.5,,(3),,
40,"Center for Autism and Related Disorders, LLC (19)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan,0,11/21/2018,0,,,0,,(2)(17),,
41,"Comprehensive EyeCare Partners, LLC (19)",Vision care practice management company,First lien senior secured revolving loan ($0.1 par due 2/2024),7.10% (Libor + 4.50%/Q),2/14/2018,0.1,,,0.1,,(2)(15),,
42,,,First lien senior secured revolving loan ($0.2 par due 2/2024),6.83% (Libor + 4.50%/Q),2/14/2018,0.2,,,0.2,,(2)(15),,
43,,,First lien senior secured loan ($2.4 par due 2/2024),7.12% (Libor + 4.50%/Q),2/14/2018,2.4,,,2.4,,(2)(15),,
44,,,First lien senior secured loan ($5.4 par due 2/2024),7.12% (Libor + 4.50%/Q),2/14/2018,5.4,,,5.3,,(2)(15),,
46,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (19)",Dental services provider,First lien senior secured revolving loan ($2.0 par due 12/2022),10.75% (Base Rate + 5.25%/Q),12/21/2016,2.0,,,2.0,,(2)(15),,
47,,,"Class A preferred units (1,000,000 units)",8.00% PIK,12/21/2016,1.0,,,1.2,,(2),,
49,Datix Bidco Limited (8),Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($2.9 par due 4/2025),7.12% (Libor + 4.50%/S),4/27/2018,2.9,,,2.9,,(2),,
50,,,First lien senior secured loan ($2.9 par due 4/2025),7.12% (Libor + 4.50%/S),4/27/2018,2.9,,,2.9,,(2),,
51,,,First lien senior secured loan ($10.0 par due 4/2025),7.04% (Libor + 4.50%/S),5/28/2019,9.9,,,10.0,,(2),,
53,"DCA Investment Holding, LLC (19)",Multi-branded dental practice management,First lien senior secured revolving loan ($0.9 par due 7/2021),9.75% (Base Rate + 4.25%/Q),7/2/2015,0.9,,,0.9,,(2)(15)(18),,
54,,,First lien senior secured loan ($18.4 par due 7/2021),7.58% (Libor + 5.25%/Q),7/2/2015,18.4,,,18.4,,(4)(15),,
56,"Emerus Holdings, Inc. (18)",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.5 par due 2/2022),14.00%,2/21/2019,16.5,,,16.5,,(2),,
57,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),10.33% (Libor + 8.00%/Q),6/30/2017,34.2,,,34.5,,(2)(15),,
58,,,"Series A preferred stock (110,425 shares)",13.34% PIK (Libor + 10.75%/Q),6/30/2017,142.7,,,142.7,,(2)(15),,
59,,,"Class A units (14,013,303 units)",,6/30/2017,14.0,,,15.0,,(2),,
61,"Greenphire, Inc. and RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),,12/19/2014,1.0,,,3.7,,(2),,
63,Hygiena Borrower LLC (19),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($11.1 par due 8/2023),10.08% (Libor + 7.75%/Q),6/29/2018,11.1,,,11.1,,(2)(15),,
64,,,Second lien senior secured loan ($0.6 par due 8/2023),10.08% (Libor + 7.75%/Q),6/29/2018,0.6,,,0.6,,(2)(15),,
65,,,Second lien senior secured loan ($2.5 par due 8/2023),10.08% (Libor + 7.75%/Q),8/26/2016,2.5,,,2.5,,(2)(15),,
66,,,Second lien senior secured loan ($10.7 par due 8/2023),10.08% (Libor + 7.75%/Q),2/27/2017,10.7,,,10.7,,(2)(15),,
68,"JDC Healthcare Management, LLC (19)",Dental services provider,First lien senior secured revolving loan ($1.2 par due 4/2022),10.15% (Libor + 7.75%/M),4/10/2017,1.2,,,1.1,,(2)(15),,
69,,,First lien senior secured revolving loan ($1.2 par due 4/2022),10.16% (Libor + 7.75%/M),4/10/2017,1.2,,,1.1,,(2)(15),,
70,,,First lien senior secured loan ($4.2 par due 4/2023),"10.15% (Libor + 6.75% Cash, 1.00% PIK/M)",4/10/2017,4.2,,,3.8,,(2)(15),,
71,,,First lien senior secured loan ($9.9 par due 4/2023),"10.15% (Libor + 6.75% Cash, 1.00% PIK/M)",4/10/2017,9.9,,,9.0,,(2)(15),,
72,,,First lien senior secured loan ($19.7 par due 4/2023),"10.15% (Libor + 6.75% Cash, 1.00% PIK/M)",4/10/2017,19.7,,,17.9,,(4)(15),,
74,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (19)",Provider of behavioral health services,First lien senior secured revolving loan ($0.2 par due 3/2022),7.41% (Libor + 5.00%/M),3/17/2017,0.2,,,0.2,,(2)(15),,
75,,,First lien senior secured revolving loan ($0.6 par due 3/2022),7.39% (Libor + 5.00%/M),3/17/2017,0.6,,,0.5,,(2)(15),,
76,,,First lien senior secured revolving loan ($1.0 par due 3/2022),7.38% (Libor + 5.00%/M),3/17/2017,1.0,,,0.9,,(2)(15),,
77,,,First lien senior secured revolving loan ($0.9 par due 3/2022),7.40% (Libor + 5.00%/M),3/17/2017,0.9,,,0.9,,(2)(15),,
78,,,First lien senior secured revolving loan ($2.1 par due 3/2022),7.40% (Libor + 5.00%/M),3/17/2017,2.1,,,2.0,,(2)(15),,
79,,,First lien senior secured revolving loan ($0.2 par due 3/2022),7.44% (Libor + 5.00%/M),3/17/2017,0.2,,,0.2,,(2)(15),,
81,Key Surgical LLC (19),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured revolving loan ($0.1 par due 6/2022),9.25% (Base Rate + 3.75%/B),6/1/2017,0.1,,,0.1,,(2)(15),,
82,,,First lien senior secured loan ($16.8 par due 6/2023),5.75% (EURIBOR + 4.75%/Q),6/1/2017,16.6,,,16.8,,(2)(15),,
84,"MB2 Dental Solutions, LLC (19)",Dental services provider,First lien senior secured revolving loan ($1.6 par due 9/2023),9.25% (Base Rate + 3.75%/Q),9/29/2017,1.6,,,1.6,,(2)(15),,
85,,,First lien senior secured loan ($1.7 par due 9/2023),7.16% (Libor + 4.75%/M),9/29/2017,1.7,,,1.7,,(2)(15),,
87,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($14.5 par due 1/2020),7.90% (Libor + 5.50%/M),7/26/2017,14.5,,,14.5,,(2)(15),,
88,,,First lien senior secured loan ($13.4 par due 1/2020),7.90% (Libor + 5.50%/M),7/26/2017,13.4,,,13.4,,(2)(15),,
90,,,First lien senior secured loan ($39.6 par due 1/2020),7.90% (Libor + 5.50%/M),7/26/2017,39.6,,,39.6,,(3)(15),,
91,,,First lien senior secured loan ($36.8 par due 1/2020),7.90% (Libor + 5.50%/M),7/26/2017,36.8,,,36.8,,(3)(15),,
92,,,First lien senior secured loan ($15.2 par due 1/2020),7.90% (Libor + 5.50%/M),7/26/2017,15.2,,,15.2,,(2)(15),,
93,,,First lien senior secured loan ($14.1 par due 1/2020),7.90% (Libor + 5.50%/M),7/26/2017,14.1,,,14.1,,(4)(15),,
94,,,"Class A units (1,438,643 shares)",,1/17/2014,1.5,,,1.2,,(2),,
96,MW Dental Holding Corp. (19),Dental services provider,First lien senior secured revolving loan ($7.5 par due 4/2021),9.08% (Libor + 6.75%/Q),4/12/2011,7.5,,,7.5,,(2)(15),,
97,,,First lien senior secured loan ($0.4 par due 4/2021),9.15% (Libor + 6.75%/Q),3/19/2018,0.4,,,0.4,,(2)(15),,
98,,,First lien senior secured loan ($20.7 par due 4/2021),9.08% (Libor + 6.75%/Q),3/19/2018,20.7,,,20.7,,(2)(15),,
99,,,First lien senior secured loan ($104.0 par due 4/2021),9.08% (Libor + 6.75%/Q),4/12/2011,104.0,,,104.0,,(2)(15),,
100,,,First lien senior secured loan ($19.0 par due 4/2021),9.08% (Libor + 6.75%/Q),4/12/2011,19.0,,,19.0,,(4)(15),,
102,"My Health Direct, Inc.",Healthcare scheduling exchange software solution provider,"Warrant to purchase up to 4,548 shares of Series D preferred stock (expires 9/2024)",,9/18/2014,0,,,0,,(2),,
103,"New Trident Holdcorp, Inc. and Trident Holding Company, LLC",Outsourced mobile diagnostic healthcare service provider,Second lien senior secured loan ($78.4 par due 7/2020),,8/1/2013,67.8,,,0,,(2)(14),,
104,,,Second lien senior secured loan ($25.2 par due 7/2022),,8/1/2013,19.4,,,0,,(2)(14),,
105,,,Senior subordinated loan ($9.1 par due 7/2020),,11/29/2017,8.8,,,0,,(2)(14),,
107,"NMC Skincare Intermediate Holdings II, LLC (19)","Developer, manufacturer and marketer of skincare products",First lien senior secured revolving loan ($1.6 par due 10/2024),7.15% (Libor + 4.75%/M),10/31/2018,1.6,,,1.6,,(2),,
108,,,First lien senior secured loan ($1.7 par due 10/2024),7.15% (Libor + 4.75%/M),10/31/2018,1.7,,,1.7,,(2),,
109,,,First lien senior secured loan ($24.8 par due 10/2024),7.15% (Libor + 4.75%/M),10/31/2018,24.8,,,24.8,,(3),,
111,NMN Holdings III Corp. and NMN Holdings LP (19),Provider of complex rehab technology solutions for patients with mobility loss,"Partnership units (30,000 units)",,11/13/2018,3.0,,,3.0,,(2),,
112,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),12.58% (Libor + 10.00%/Q),4/19/2016,72.8,,,72.8,,(2)(15),,
113,,,"Class A units (25,790 units)",,4/19/2016,2.6,,,1.3,,(2),,
115,"Nodality, Inc.",Biotechnology company,First lien senior secured loan ($2.3 par due 8/2016),,11/12/2015,1.5,,,0,,(2)(14),,
116,,,First lien senior secured loan ($0.8 par due 8/2016),,11/12/2015,0.6,,,0,,(2)(14),,
117,,,First lien senior secured loan ($3.9 par due 8/2016),,4/25/2014,2.6,,,0,,(2)(14),,
118,,,First lien senior secured loan ($11.0 par due 8/2016),,4/25/2014,7.1,,,0,,(2)(14),,
119,,,"Warrant to purchase up to 3,736,255 shares of common stock (expires 3/2026)",,5/1/2016,0,,,0,,(2),,
122,NSM Sub Holdings Corp. (19),"Provider of customized mobility, rehab and adaptive seating systems",First lien senior secured revolving loan ($0.5 par due 10/2022),10.25% (Base Rate + 4.75%/Q),9/28/2017,0.5,,,0.5,,(2)(15),,
123,,,First lien senior secured loan ($10.1 par due 10/2022),8.08% (Libor + 5.75%/Q),5/3/2019,10.1,,,10.0,,(2)(15),,
125,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,Second lien senior secured loan ($10.0 par due 4/2023),12.15% (Libor + 9.75%/M),4/20/2016,9.8,,,9.8,,(2)(15),,
126,"NueHealth Performance, LLC (19)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($1.5 par due 9/2023),8.90% (Libor + 6.50%/M),9/27/2018,1.5,,,1.5,,(2)(15),,
127,,,First lien senior secured loan ($10.0 par due 9/2023),8.90% (Libor + 6.50%/M),9/27/2018,10.0,,,10.0,,(2)(15),,
129,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,11/21/2013,1.0,,,0.7,,(2),,
130,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (19),Operator of freestanding veterinary hospitals,First lien senior secured revolving loan,0,12/21/2018,0,,,0,,(2)(17),,
131,,,First lien senior secured loan ($10.8 par due 12/2024),6.90% (Libor + 4.50%/M),12/21/2018,10.8,,,10.7,,(2)(15),,
132,,,First lien senior secured loan ($57.4 par due 12/2024),6.90% (Libor + 4.50%/M),12/21/2018,56.8,,,56.8,,(2)(15),,
133,,,Second lien senior secured loan ($27.4 par due 12/2025),10.90% (Libor + 8.50%/M),,27.4,,,27.2,,(2)(15),,
134,,,Second lien senior secured loan ($163.9 par due 12/2025),10.90% (Libor + 8.50%/M),12/21/2018,163.9,,,163.1,,(2)(15),,
135,,,"Preferred units (1,507,384 units)",,12/21/2018,4.9,,,5.9,,,,
137,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($78.0 par due 8/2023),11.08% (Libor + 8.50%/Q),9/2/2015,76.9,,,67.9,,(2)(15),,
