,Company(1),Business Description,Investment,Interest(5)(12),Acquisition  Date,Amortized  Cost,Fair Value
2,"AGILE Fund I, LLC (7)(9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,252.0,150
3,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,2533.0,2512
4,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,1059.0,1065
5,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822.0,4728
6,Firstlight Financial Corporation (6)(9),Investment company,"Senior subordinated loan ($74,177 par due 12/2016)",1.00% PIK,12/31/2006,73893.0,57377
7,Firstlight Financial Corporation (6)(9),Investment company,"Class A common stock (10,000 shares)",0,12/31/2006,10000.0,0
8,Firstlight Financial Corporation (6)(9),Investment company,"Class B common stock (30,000 shares)",0,12/31/2006,30000.0,0
10,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,808.0,972
11,"Imperial Capital Private Opportunities, LP (6)(9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,6643.0,5300
12,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,"Class B deferrable interest notes ($40,000 par due 11/2018)",6.25% (Libor + 6.00%/Q),11/20/2007,40000.0,37600
13,"Ivy Hill Middle Market Credit Fund, Ltd. (7)(8)(9)",Investment company,Subordinated notes ($16 par due 11/2018),15.00%,11/20/2007,15515.0,16000
15,Knightsbridge CLO 2007-1 Ltd. (7)(8)(9),Investment company,"Class E notes ($20,350 par due 1/2022)",9.29% (Libor + 9.00%/Q),3/24/2010,14852.0,18575
16,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,"Class C notes ($14,400 par due 6/2018)",7.75% (Libor + 7.50%/Q),3/24/2010,14400.0,14400
17,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,"Class D notes ($9,000 par due 6/2018)",8.75% (Libor + 8.50%/Q),3/24/2010,9000.0,9000
18,Knightsbridge CLO 2008-1 Ltd. (7)(8)(9),Investment company,"Class E notes ($14,850 par due 6/2018)",5.25% (Libor + 5.00%/Q),3/24/2010,13596.0,13844
