,Company(1),Business Description,Investment,Interest(5)(11),,Amortized  Cost,Fair Value
2,"AGILE Fund I, LLC(9)",Investment partnership,Member interest (0.50% interest),0,4/1/2010,124,29.0
3,"CIC Flex, LP(9)",Investment partnership,Limited partnership units (0.94 unit),0,9/7/2007,2302,3570.0
4,"Covestia Capital Partners, LP(9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,1059,1135.0
5,"Dynamic India Fund IV, LLC(9)",Investment company,Member interest (5.44% interest),0,4/1/2010,4822,3104.0
6,"HCI Equity, LLC(7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,452,447.0
7,"Imperial Capital Private Opportunities, LP(9)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,6051,8341.0
8,"Partnership Capital Growth Fund I, L.P.(9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,1596,4197.0
9,"Partnership Capital Growth Fund III, L.P.(9)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,1964,1819.0
10,"Piper Jaffray Merchant Banking Fund I, L.P.(9)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,286,259.0
11,Senior Secured Loan Fund LLC(7)(10),Co-investment vehicle,"Subordinated certificates ($1,244,969 par due 12/2022)",8.31%  (Libor + 8.00%/Q)(21),10/30/2009,1237887,1263644.0
12,VSC Investors LLC(9),Investment company,Membership interest (1.95% interest),0,1/24/2008,387,854.0
15,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"Senior secured revolving loan ($2,000 par due 11/2018)",10.25% (Base Rate + 7.00%/Q),11/16/2012,2000,2000.0
16,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"Senior secured loan ($54,182 par due 11/2018)",9.25%  (Libor + 8.00%/Q),11/16/2012,54182,54182.0
18,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,602,1205.0
19,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC(6)",Healthcare analysis services,"Senior secured loan ($7,565 par due 3/2017)",7.75%  (Libor + 6.50%/Q),3/15/2011,7565,7263.0
20,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC(6)",Healthcare analysis services,"Senior secured loan ($7,172 par due 3/2017)",7.75%  (Libor + 6.50%/Q),3/15/2011,7172,6885.0
21,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC(6)",Healthcare analysis services,"Class A common stock (9,679 shares)",0,6/15/2007,4000,4772.0
22,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC(6)",Healthcare analysis services,"Class C common stock (1,546 shares)",0,6/15/2007,0,1316.0
