,Company(1),Business Description,Investment,Interest(6)(12),,Amortized  Cost,Fair  Value
2,"CIC Flex, LP(10)",Investment partnership,Limited partnership units (0.94 units),0,9/7/2007,0.0,263
3,"Covestia Capital Partners, LP(10)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,487.0,1862
4,"HCI Equity, LLC(8)(9)(10)",Investment company,Member interest (100.00% interest),0,4/1/2010,0.0,127
5,"Imperial Capital Private Opportunities, LP(10)(26)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,4054.0,16906
6,"Partnership Capital Growth Fund I, L.P.(10)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,0.0,692
7,"Partnership Capital Growth Investors III, L.P.(10)(26)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,2714.0,3510
8,"PCG-Ares Sidecar Investment II, L.P.(10)(26)",Investment partnership,Limited partnership interest (100.00% interest),0,10/31/2014,6521.0,9254
9,"PCG-Ares Sidecar Investment, L.P.(10)(26)",Investment partnership,Limited partnership interest (100.00% interest),0,5/22/2014,2152.0,242
10,"Piper Jaffray Merchant Banking Fund I, L.P.(10)(26)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,1413.0,1512
11,Senior Secured Loan Fund LLC(8)(11)(27),Co-investment vehicle,"Subordinated certificates ($2,000,914 par due 12/2024)",8.61% (Libor + 8.00%/M)(22),10/30/2009,1935401.0,1884861
12,Senior Secured Loan Fund LLC(8)(11)(27),Co-investment vehicle,Member interest (87.50% interest),0,10/30/2009,0.0,0
14,VSC Investors LLC(10),Investment company,Membership interest (1.95% interest),0,1/24/2008,299.0,1158
17,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,12/13/2013,3087.0,1980
18,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,12/13/2013,3.0,0
20,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($8,810 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,8810.0,8810
21,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,52039.0,52039
22,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($2,988 par due 6/2019)",4.00% (Libor + 3.00%/Q),6/27/2014,2988.0,2988
24,"Argon Medical Devices, Inc.",Manufacturer and marketer of single-use specialty medical devices,"Second lien senior secured loan ($9,000 par due 6/2022)",10.50% (Libor + 9.50%/Q),12/23/2015,8730.0,9000
