,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,,"For the years ended September 30,",,Variances,,,,,,,,,,,,,,,,,,
1,,,2016,,2015,,2014,,2016 vs. 2015,,2015 vs. 2014,,,,,,,,,,,,
2,,,(In thousands),,,,,,,,,,,,,,,,,,,,
3,Interest and other debt financing expenses,,,23540,,,,20004,,,,17197,,,,3536,,,,2807,,,
4,Amortization of debt issuance costs,,4184,,,4506,,,3030,,,(322,,,1476,,,,,,,,
5,Base management fee,,22020,,,20330,,,17053,,,1690,,,3277,,,,,,,,
6,Income Incentive Fee,,6022,,,7489,,,10032,,,"(1,467",,,"(2,543",,,,,,,,
7,Capital gain incentive fee accrued under GAAP,,1244,,,2737,,,96,,,"(1,493",,,2641,,,,,,,,
8,Professional fees,,2814,,,2942,,,2451,,,(128,,,491,,,,,,,,
9,Administrative service fee,,2209,,,2372,,,2527,,,(163,,,(155,,,,,,,,
10,General and administrative expenses,,525,,,591,,,605,,,(66,,,(14,,,,,,,,
11,Total expenses,,,62558,,,,60971,,,,52991,,,,1587,,,,7980,,,
12,,"September 30, 2016",,"September 30, 2015",,,,,,,,,,,,,,,,,,,
13,Assets,,,,,,,,,,,,,,,,,,,,,,
14,"Investments, at fair value",,,,,,,,,,,,,,,,,,,,,,
15,Non-controlled/non-affiliate company investments,,1546766,,,,1425325,,,,,,,,,,,,,,,,
16,Non-controlled affiliate company investments,9618,,,5523,,,,,,,,,,,,,,,,,,
17,Controlled affiliate company investments,104228,,,98936,,,,,,,,,,,,,,,,,,
18,"Total investments at fair value (amortized cost of $1,650,173 and $1,517,314, respectively)",1660612,,,1529784,,,,,,,,,,,,,,,,,,
19,Cash and cash equivalents,10947,,,5468,,,,,,,,,,,,,,,,,,
20,Restricted cash and cash equivalents,78593,,,92016,,,,,,,,,,,,,,,,,,
21,Interest receivable,5935,,,5700,,,,,,,,,,,,,,,,,,
22,Other assets,422,,,458,,,,,,,,,,,,,,,,,,
23,Total Assets,,1756509,,,,1633426,,,,,,,,,,,,,,,,
24,Liabilities,,,,,,,,,,,,,,,,,,,,,,
25,Debt,,864700,,,,813250,,,,,,,,,,,,,,,,
26,Less unamortized debt issuance costs,5627,,,7624,,,,,,,,,,,,,,,,,,
27,Debt less unamortized debt issuance costs,859073,,,805626,,,,,,,,,,,,,,,,,,
28,"Secured borrowings, at fair value (proceeds of $471 and $351, respectively)",475,,,355,,,,,,,,,,,,,,,,,,
29,Interest payable,3229,,,2722,,,,,,,,,,,,,,,,,,
30,Management and incentive fees payable,12763,,,11754,,,,,,,,,,,,,,,,,,
31,Accounts payable and accrued expenses,2072,,,2042,,,,,,,,,,,,,,,,,,
32,Accrued trustee fees,72,,,57,,,,,,,,,,,,,,,,,,
33,Total Liabilities,877684,,,822556,,,,,,,,,,,,,,,,,,
34,Commitments and Contingencies (Note 9),,,,,,,,,,,,,,,,,,,,,,
35,Net Assets,,,,,,,,,,,,,,,,,,,,,,
36,"Preferred stock, par value $0.001 per share, 1,000,000 shares authorized, zero shares issued and outstanding as of September 30, 2016 and September 30, 2015",-,,,-,,,,,,,,,,,,,,,,,,
37,"Common stock, par value $0.001 per share, 100,000,000 shares authorized, 55,059,067 and 51,300,193 shares issued and outstanding as of September 30, 2016 and September 30, 2015, respectively",55,,,51,,,,,,,,,,,,,,,,,,
38,Paid in capital in excess of par,855998,,,790713,,,,,,,,,,,,,,,,,,
39,Undistributed net investment income,18832,,,4230,,,,,,,,,,,,,,,,,,
40,Net unrealized appreciation (depreciation) on investments and secured borrowings,13104,,,15134,,,,,,,,,,,,,,,,,,
41,Net realized gain (loss) on investments,"(9,164",,,742,,,,,,,,,,,,,,,,,,
42,Total Net Assets,878825,,,810870,,,,,,,,,,,,,,,,,,
43,Total Liabilities and Total Net Assets,,1756509,,,,1633426,,,,,,,,,,,,,,,,
44,Number of common shares outstanding,55059067,,,51300193,,,,,,,,,,,,,,,,,,
45,Net asset value per common share,,15.96,,,,15.80,,,,,,,,,,,,,,,,
46,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/Par  Amount  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,
47,Investments,,,,,,,,,,,,,,,,,,,,,,
48,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,
49,Debt investments,,,,,,,,,,,,,,,,,,,,,,
50,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,
51,"ILC Dover, LP  *^#",One stop,,L + 9.00,,8.00 cash/2.00 PIK,,03/2020,,,17730,,,,17592,,,1.7,,,,15070,
52,"ILC Dover, LP",One stop,,L + 9.00,,8.00 cash/2.00 PIK,,03/2019,,784,,,776,,,0.1,,,667,,,,
53,NTS Technical Systems  *^#,One stop,,L + 6.25,,7.25,,06/2021,,26079,,,25721,,,2.9,,,25557,,,,
54,NTS Technical Systems  (4),One stop,,L + 6.25,,N/A  (5),,06/2021,,-,,,(83,,,-,,,(71,,,,
55,NTS Technical Systems  (4),One stop,,L + 6.25,,N/A  (5),,06/2021,,-,,,(39,,,-,,,(57,,,,
56,"Tresys Technology Holdings, Inc.  (6)",One stop,,L + 6.75,,8.00,,12/2017,,3899,,,3845,,,0.1,,,1170,,,,
57,"Tresys Technology Holdings, Inc.",One stop,,L + 6.75,,8.00,,12/2017,,537,,,535,,,0.1,,,537,,,,
58,"Tronair Parent, Inc.  (4)",Senior loan,,L + 4.50,,N/A  (5),,09/2021,,-,,,(1,,,-,,,-,,,,
59,Whitcraft LLC  *^,One stop,,L + 6.50,,7.50,,05/2020,,13504,,,13404,,,1.5,,,13504,,,,
60,Whitcraft LLC  (4),One stop,,L + 6.50,,N/A  (5),,05/2020,,-,,,(1,,,-,,,-,,,,
61,,,,,,,,,,62533,,,61749,,,6.4,,,56377,,,,
62,Automobile,,,,,,,,,,,,,,,,,,,,,,
63,"American Driveline Systems, Inc.  *",Senior loan,,L + 5.75,,6.75,,03/2020,,1798,,,1758,,,0.2,,,1798,,,,
64,"American Driveline Systems, Inc.  ^",Senior loan,,L + 5.75,,6.75,,03/2020,,233,,,229,,,-,,,233,,,,
65,"American Driveline Systems, Inc.",Senior loan,,P + 4.75,,8.25,,03/2020,,46,,,40,,,-,,,46,,,,
66,CH Hold Corp. (Caliber Collision)  *#,Senior loan,,L + 5.25,,6.25,,11/2019,,5144,,,5108,,,0.6,,,5144,,,,
67,Dent Wizard International Corporation  *,Senior loan,,L + 4.75,,5.75,,04/2020,,2469,,,2460,,,0.3,,,2469,,,,
68,"K&N Engineering, Inc.  ^",Senior loan,,P + 3.25,,6.75,,07/2019,,2821,,,2797,,,0.3,,,2821,,,,
69,"K&N Engineering, Inc.  ^",Senior loan,,L + 4.25,,5.25,,07/2019,,133,,,122,,,-,,,133,,,,
70,"K&N Engineering, Inc.  (4)",Senior loan,,L + 4.25,,N/A  (5),,07/2019,,-,,,(2,,,-,,,-,,,,
71,OEConnection LLC  *,Senior loan,,L + 5.00,,6.00,,06/2022,,4883,,,4763,,,0.6,,,4883,,,,
72,OEConnection LLC  (4),Senior loan,,L + 5.00,,N/A  (5),,06/2021,,-,,,(1,,,-,,,-,,,,
73,Polk Acquisition Corp.  *,Senior loan,,L + 5.00,,6.00,,06/2022,,4734,,,4662,,,0.5,,,4734,,,,
74,Polk Acquisition Corp.,Senior loan,,L + 5.00,,6.00,,06/2022,,54,,,53,,,-,,,54,,,,
75,Polk Acquisition Corp.,Senior loan,,L + 5.00,,6.64,,06/2022,,18,,,16,,,-,,,18,,,,
76,Polk Acquisition Corp.  (4),Senior loan,,L + 5.00,,N/A  (5),,06/2022,,-,,,(2,,,-,,,-,,,,
77,T5 Merger Corporation  ^,One stop,,L + 6.25,,7.25,,03/2022,,3200,,,3148,,,0.4,,,3168,,,,
78,T5 Merger Corporation  (4),One stop,,L + 6.25,,N/A  (5),,03/2022,,-,,,(2,,,-,,,(1,,,,
79,,,,,,,,,,25533,,,25149,,,2.9,,,25500,,,,
80,Banking,,,,,,,,,,,,,,,,,,,,,,
81,HedgeServ Holding L.P.  *^#,One stop,,L + 8.00,,7.00 cash/2.00 PIK,02/2019,,17529,,,17451,,,2.0,,,17529,,,,,
82,HedgeServ Holding L.P.  (4),One stop,,L + 6.00,,N/A  (5),,02/2019,,-,,,(4,,,-,,,-,,,,
83,,,,,,,,,,17529,,,17447,,,2.0,,,17529,,,,
84,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,
85,"Abita Brewing Co., L.L.C.",One stop,,L + 5.75,,6.75,,04/2021,,7993,,,7871,,,0.8,,,7194,,,,
86,"Abita Brewing Co., L.L.C.  (4)",One stop,,L + 5.75,,6.75,,04/2021,,4,,,3,,,-,,,(11,,,,
87,ABP Corporation  *,Senior loan,,L + 4.75,,6.00,,09/2018,,4696,,,4667,,,0.5,,,4461,,,,
88,ABP Corporation,Senior loan,,P + 3.50,,7.25,,09/2018,,250,,,247,,,-,,,225,,,,
89,"Atkins Nutritionals, Inc  *^",One stop,,L + 8.50,,9.75,,04/2019,,21636,,,21464,,,2.5,,,21636,,,,
90,"Atkins Nutritionals, Inc  *^#",One stop,,L + 5.00,,6.25,,01/2019,,16872,,,16752,,,1.9,,,16872,,,,
91,"Benihana, Inc.  *^",One stop,,L + 6.00,,7.25,,01/2019,,15279,,,15064,,,1.7,,,14973,,,,
92,"Benihana, Inc.",One stop,,P + 4.75,,7.92,,07/2018,,1628,,,1599,,,0.2,,,1585,,,,
93,"C. J. Foods, Inc.  *",One stop,,L + 5.00,,6.00,,05/2019,,3141,,,3116,,,0.4,,,3141,,,,
94,"C. J. Foods, Inc.",One stop,,L + 5.00,,6.00,,05/2019,,663,,,656,,,0.1,,,663,,,,
95,"C. J. Foods, Inc.  (4)",One stop,,L + 5.00,,N/A  (5),,05/2019,,-,,,(5,,,-,,,-,,,,
96,"Firebirds International, LLC  *",One stop,,L + 5.75,,7.00,,05/2018,,1074,,,1067,,,0.1,,,1074,,,,
97,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/Par  Amount  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,
98,"Beverage, Food and Tobacco – (continued)",,,,,,,,,,,,,,,,,,,,,,
99,"Firebirds International, LLC  *",One stop,,L + 5.75,,7.00,,05/2018,,,302,,,,300,,,-,,,,302,
100,"Firebirds International, LLC",One stop,,L + 5.75,,7.00,,05/2018,,55,,,53,,,-,,,55,,,,
101,"Firebirds International, LLC  (4)",One stop,,L + 5.75,,N/A  (5),,05/2018,,-,,,(1,,,-,,,-,,,,
102,"First Watch Restaurants, Inc.  *^#",One stop,,L + 6.00,,7.15,,12/2020,,25596,,,25384,,,2.9,,,25596,,,,
103,"First Watch Restaurants, Inc.",One stop,,P + 5.00,,8.05,,12/2020,,1603,,,1596,,,0.2,,,1603,,,,
104,"First Watch Restaurants, Inc.",One stop,,L + 6.00,,7.00,,12/2020,,1258,,,1248,,,0.1,,,1258,,,,
105,"First Watch Restaurants, Inc.",One stop,,L + 6.00,,7.00,,12/2020,,1255,,,1246,,,0.2,,,1255,,,,
106,"First Watch Restaurants, Inc.  (4)",One stop,,L + 6.00,,N/A  (5),,12/2020,,-,,,(8,,,-,,,-,,,,
107,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,,9.00,,08/2020,,660,,,649,,,0.1,,,660,,,,
108,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,,N/A  (5),,08/2020,,-,,,-,,,-,,,-,,,,
109,"Hopdoddy Holdings, LLC  (4)",One stop,,L + 8.00,,N/A  (5),,08/2020,,-,,,(3,,,-,,,-,,,,
110,IT'SUGAR LLC,Subordinated debt,,No Value,,8.00,,10/2017,,1707,,,1707,,,0.2,,,1384,,,,
111,"Purfoods, LLC",One stop,,L + 6.25,,7.25,,05/2021,,8647,,,8449,,,1.0,,,8647,,,,
112,"Purfoods, LLC",One stop,,No Value,,7.00 PIK,,05/2026,,101,,,101,,,-,,,101,,,,
113,"Purfoods, LLC",One stop,,L + 6.25,,7.25,,05/2021,,25,,,24,,,-,,,25,,,,
114,"Purfoods, LLC  (4)",One stop,,L + 6.25,,N/A  (5),,05/2021,,-,,,(1,,,-,,,-,,,,
115,"Restaurant Holding Company, LLC  #",Senior loan,,L + 7.75,,8.75,,02/2019,,4605,,,4581,,,0.5,,,4513,,,,
116,"Rubio's Restaurants, Inc  *^",Senior loan,,L + 4.75,,6.00,,11/2018,,8919,,,8879,,,1.0,,,8919,,,,
117,Smashburger Finance LLC,Senior loan,,L + 5.50,,6.75,,05/2018,,87,,,86,,,-,,,85,,,,
118,Smashburger Finance LLC  (4),Senior loan,,L + 5.50,,N/A  (5),,05/2018,,-,,,(2,,,-,,,-,,,,
