,Industry / Company,Interest Rate (20),Par/Shares (12),Cost (29),Fair Value (1)(30),,
0,"Advertising, Printing & Publishing",,,,,,
1,Learfield Communications,,,,,,
2,A-L Parent LLC,"8.25 (1M L+725, 1.00 Floor)",5536,5507,3654,,
3,"Simplifi Holdings, Inc.",,,,,,
4,"Simplifi Holdings, Inc.","7.00 (3M L+600, 1.00 Floor)",38635,38053,37441,(9),
5,Aerospace & Defense,,,,,,
6,Erickson Inc,,,,,,
7,Erickson Inc,"9.00 (3M L+750, 1.50 Floor)",30169,30169,29566,(9)(23),
8,Automotive,,,,,,
9,Accelerate Parent Corp. (American Tire),,,,,,
10,Accelerate Parent Corp.,"1,664,046 Shares",0,(13)(19),,,
11,Arlington,,,,,,
12,Arlington Industries Group Limited,"5.75 (1M E+525, 0.50 Floor)",€,2495,2799,2912,(9)(17)
13,Crowne Automotive,,,,,,
14,"Vari-Form Group, LLC",L+11.00 (7.00 Cash plus 4.00 PIK),5860,901,762,(9)(13)  (14),
15,Vari-Form Inc.,L+11.00 (7.00 Cash plus 4.00 PIK),2110,391,274,(9)(13)  (14),
16,"K&N Parent, Inc.",,,,,,
17,"K&N Parent, Inc.","9.75 (1M L+875, 1.00 Floor)",23765,23519,21566,,
18,"Truck-Lite Co., LLC",,,,,,
19,"Truck-Lite Co., LLC","7.25 (3M L+625, 1.00 Floor)",25022,24492,24494,(9),
20,"TL Lighting Holdings, LLC",350 Shares,301,(9)(13)  (28),,,
21,Aviation and Consumer Transport,,,,,,
22,"Merx Aviation Finance, LLC",,,,,,
23,"Merx Aviation Finance, LLC (5)",10.00,200000,200000,200000,(23),
24,Primeflight,,,,,,
25,"PrimeFlight Aviation Services, Inc.","6.50 (1M L+550, 1.00 Floor)",14699,14529,14210,(9),
26,"Beverage, Food & Tobacco",,,,,,
27,Bolthouse Farms,,,,,,
28,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1160,(13),,,
29,Eagle Foods,,,,,,
30,"Eagle Foods Family Group, LLC","7.50 (3M L+650, 1.00 Floor)",24437,24267,23827,(9),
31,"Florida Food Products, Inc.",,,,,,
32,"Florida Food Products, Inc.","7.50 (3M L+650, 1.00 Floor)",22822,22418,22594,(9),
33,"Florida Food Products, LLC","7.50 (3M L+650, 1.00 Floor)",1712,1687,1695,(9)(23),
34,"Orgain, Inc.",,,,,,
35,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1263,(13)(28),,,
