,Industry / Company,Interest Rate,Par/Shares (12),Cost (35),Fair Value (1)(36),,
0,"Advertising, Printing & Publishing",,,,,,
1,FingerPaint Marketing,,,,,,
2,KL Charlie Acquisition Company,"L+625, 1.00 Floor",30875,22411,22566,(9)(21)(23)  (26)(28),
3,"KL Charlie Co-Invest, L.P.","218,978 Shares",344,(9)(13),,,
4,Hero Digital,,,,,,
5,"HRO (Hero Digital) Holdings, LLC","L+600, 1.00 Floor",27234,19111,19303,(9)(21)(23)  (26),
6,HRO Holdings I LP,213 Shares,213,(9)(13)(25),,,
7,Aerospace & Defense,,,,,,
8,Erickson Inc,,,,,,
9,Erickson Inc,"L+750, 1.50 Floor",32250,20722,20446,(9)(20)(21)  (23)(28),
10,Automotive,,,,,,
11,Club Car Wash,,,,,,
12,"Club Car Wash Operating, LLC","L+650, 1.00 Floor",29982,20400,20493,(9)(21)(23)  (29),
13,Crowne Automotive,,,,,,
14,"Vari-Form Group, LLC",11.00 (7.00 Cash plus 4.00 PIK),5860,893,293,(9)(14),
15,Vari-Form Inc.,11.00 (7.00 Cash plus 4.00 PIK),2110,391,105,(9)(14),
16,"K&N Parent, Inc.",,,,,,
17,"K&N Parent, Inc.","L+875, 1.00 Floor",23765,23583,21507,(28),
18,"Truck-Lite Co., LLC",,,,,,
19,"TL Lighting Holdings, LLC",350 Shares,406,(9)(13),,,
20,"Truck-Lite Co., LLC","L+625, 1.00 Floor",31363,29709,29602,(9)(21)(23)  (27)(28),
21,Aviation and Consumer Transport,,,,,,
22,"Merx Aviation Finance, LLC",,,,,,
23,"Merx Aviation Finance, LLC (5)",10.00,275177,275000,275000,(20)(23),
24,Primeflight,,,,,,
25,"PrimeFlight Aviation Services, Inc.","L+625, 1.00 Floor",17384,17186,17281,(9)(26),
26,"Beverage, Food & Tobacco",,,,,,
27,Berner Foods,,,,,,
28,"Berner Food & Beverage, LLC","L+650, 1.00 Floor",31041,30375,30886,(9)(29),
29,Bolthouse Farms,,,,,,
30,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",990,(13),,,
31,Hive,,,,,,
32,"FCP-Hive Holdings, LLC",589 Shares,475,(9)(13)(25),,,
33,"Hive Intermediate, LLC","L+600, 1.00 Floor",17166,16849,16995,(9)(26),
34,"Orgain, Inc.",,,,,,
35,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1000,,,,
36,Rise Baking,,,,,,
37,Ultimate Baked Goods Midco LLC,"L+625, 1.00 Floor",26757,26121,26096,(9)(29),
38,TNT Crust LLC,,,,,,
39,TNT Crust LLC,"L+675, 1.00 Floor",21655,21406,21113,(9)(28),
40,Turkey Hill,,,,,,
41,IC Holdings LLC,169 Shares,273,(9)(13),,,
42,THLP CO. LLC,"L+600, 1.00 Floor",25124,24811,24369,(9)(26),
43,Business Services,,,,,,
44,Access Information,,,,,,
45,"Access CIG, LLC","L+775, 0.00 Floor",15900,15820,15764,(26),
46,AlpineX,,,,,,
47,"Alpinex Opco, LLC","L+600, 1.00 Floor",16383,11633,11632,(9)(21)(23)  (28),
48,Ambrosia Buyer Corp.,,,,,,
49,Ambrosia Buyer Corp.,9.00,21429,19069,5657,(14),
50,AML Rightsource,,,,,,
51,"Gabriel Partners, LLC","L+600, 1.00 Floor",31531,30951,31291,(9)(29),
52,Claritas,,,,,,
53,"Claritas, LLC","L+575, 1.00 Floor",3671,3656,3635,(9)(26),
54,Continuum,,,,,,
55,"Continuum Global Solutions, LLC","L+550, 1.00 Floor",20000,11728,11463,(9)(21)(23)  (26),
56,Electro Rent Corporation,,,,,,
57,Electro Rent Corporation,"L+900, 1.00 Floor",34235,33764,34064,(9)(28),
58,Elo Touch,,,,,,
59,TGG TS Acquisition Company,"L+650, 0.00 Floor",1750,250,216,(21)(23)(26),
60,Ensemble Health,,,,,,
61,"EHL Merger Sub, LLC","L+325, 0.00 Floor",4155,(198),(119),(8)(21)(23),
62,Jacent,,,,,,
63,Jacent Strategic Merchandising,"L+625, 1.00 Floor",22142,21983,21743,(9)(28)(29),
64,"JSM Equity Investors, L.P.",114 Shares,11,(9)(13),,,
65,Jones & Frank,,,,,,
66,"JF Acquisition, LLC","L+550, 1.00 Floor",13234,13094,13083,(9)(28)(30),
67,MAKS,,,,,,
68,Trident Bidco Limited,"L+550, 1.00 Floor",33688,33033,33677,(9)(17)(29),
69,Naviga,,,,,,
70,"Naviga Inc. (fka Newscycle Solutions, Inc.)","L+700, 1.00 Floor",12213,12130,12183,(9)(28),
71,PSE,,,,,,
72,"Graffiti Buyer, Inc.","L+575, 1.00 Floor",8435,5686,5653,(9)(21)(23)  (28),
73,"Graffiti Parent, LP","2,439 Shares",241,(9)(13)(25),,,
74,"PSI Services, LLC",,,,,,
75,"Lifelong Learner Holdings, LLC","L+575, 1.00 Floor",34062,33587,32430,(9)(28)(29),
76,Soliant,,,,,,
77,"Soliant Health, Inc.",300 Shares,863,(9),,,
78,US Legal Support,,,,,,
79,"US Legal Support Investment Holdings, LLC","631,972 Shares",986,(9)(13),,,
80,"USLS Acquisition, Inc.","L+550, 1.00 Floor",24064,23827,23616,(9)(28),
81,"Chemicals, Plastics & Rubber",,,,,,
82,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,
83,Carbonfree Chemicals Holdings LLC (4),"2,354 Shares",44990,(3)(13)(16)  (25),,,
84,Carbonfree Chemicals SA LLC (4),"3,152 Shares",0,(3)(13)(16)  (25),,,
85,"Westfall Technik, Inc.",,,,,,
86,"Westfall Technik, Inc.","L+575, 1.00 Floor",15656,15504,15300,(9)(28),
87,Construction & Building,,,,,,
88,Englert,,,,,,
89,"Gutter Buyer, Inc.","L+575, 1.00 Floor",28466,28140,28147,(9)(26),
90,"Gutter Holdings, LP",500 Shares,1049,(9),,,
91,Consumer Goods – Durable,,,,,,
92,A&V,,,,,,
93,"A&V Holdings Midco, LLC","L+450, 1.00 Floor",1505,(87),(54),(8)(21)(23),
94,KDC,,,,,,
95,KDC US Holdings,"L+325, 0.00 Floor",6020,4909,4838,(20)(21)(23)  (26),
96,"KLO Holdings, LLC",,,,,,
97,1244311 B.C. Ltd. (4),"L+500, 1.00 Floor",2978,2978,2795,(17)(28),
98,GSC Technologies Inc. (4),"L+500 Cash plus 5.00 PIK, 1.00 Floor",211,211,196,(17)(28),
99,Liqui-Box,,,,,,
100,"Liqui-Box Holdings, Inc.","L+450, 1.00 Floor",3204,1640,1658,(20)(21)(23)  (28),
101,NSi Industries,,,,,,
102,"Wildcat BuyerCo, Inc.","L+575, 1.00 Floor",15771,12789,12890,(21)(23)(28),
103,Wildcat Parent LP,"1,070 Shares",160,(13),,,
104,"Sorenson Holdings, LLC",,,,,,
105,"Sorenson Holdings, LLC",587 Shares,390,(10)(13),,,
106,Consumer Goods – Non-durable,,,,,,
107,3D Protein,,,,,,
108,"Protein For Pets Opco, LLC","L+500, 1.00 Floor",2219,(28),0,(9)(21)(23),
109,Dan Dee,,,,,,
110,"Project Comfort Buyer, Inc.","L+700, 1.00 Floor",25243,24852,24304,(9)(28),
111,LashCo,,,,,,
112,"Lash OpCo, LLC","L+700, 1.00 Floor",34950,30481,30414,(9)(21)(23)  (26),
113,Olaplex,,,,,,
114,"Olaplex, Inc.","L+625, 1.00 Floor",12063,11898,12184,(9)(26),
115,Paladone,,,,,,
116,Paladone Group Bidco Limited,"L+575, 1.00 Floor",8003,5981,6038,(9)(17)(23)  (28),
117,Paladone Group Holdings Limited,"94,151 Shares",94,(9)(13)(17)  (25),,,
118,"Sequential Brands Group, Inc.",,,,,,
119,Gainline Galaxy Holdings LLC,"10,854 Shares",2033,(13)(16)(17)  (25),,,
120,Sequential Avia Holdings LLC,"L+500, 1.00 Floor",1717,1715,1717,(17)(26),
121,"Sequential Brands Group, Inc.","L+500, 1.00 Floor",448,46,46,(17)(21)(23)  (26),
122,Consumer Services,,,,,,
123,Activ,,,,,,
124,"Activ Software Holdings, LLC","L+625, 1.00 Floor",29943,29399,29479,(9)(30),
125,Bird,,,,,,
126,"Bird US Opco, LLC","L+750, 1.00 Floor",50000,15615,16203,(9)(23)(26),
127,Clarus Commerce,,,,,,
128,"Marlin DTC-LS Midco 2, LLC","L+650, 1.00 Floor",22214,21877,22038,(29),
129,First Heritage,,,,,,
130,"First Heritage Credit, LLC","L+475, 0.00 Floor",26250,19492,19474,(9)(21)(23)  (26),
131,Go Car Wash,,,,,,
132,Go Car Wash Management Corp.,"L+575, 1.00 Floor",11465,8114,8089,(9)(21)(23)  (26),
133,Lending Point,,,,,,
134,LendingPoint LLC,"L+1050, 1.00 Floor",17500,13411,13452,(9)(21)(23)  (28),
135,Only About Children,,,,,,
136,Nemo (BC) Bidco Pty Ltd,"BBSW+675, 1.00 Floor",A$,7000,4945,4763,(17)(21)(23)  (33)
137,Paper Source,,,,,,
138,Papershop Holdco Inc.,"L+700, 1.00 Floor",10607,10509,10501,(9)(28),
139,The Club Company,,,,,,
140,Eldrickco Limited,"SON+625, 0.50 Floor",£,15083,14021,14436,(9)(17)(21)  (23)(31)
141,US Auto,,,,,,
142,"U.S. Auto Finance, Inc.","L+525, 1.00 Floor",20000,4623,4556,(9)(21)(23)  (28),
143,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,
144,Celink,,,,,,
145,Compu-Link Corporation,"L+550, 1.00 Floor",2273,(25),(24),(8)(9)(21)  (23),
146,"Peer Advisors, LLC","L+550, 1.00 Floor",17670,17468,17487,(9)(26),
147,"Flock Financial, LLC",,,,,,
148,"Flock SPV I, LLC","L+650, 1.00 Floor",14667,11997,12000,(9)(17)(21)  (23)(26),
149,Golden Bear,,,,,,
150,"Golden Bear 2016-R, LLC (4)",09/20/42,10821,(3)(17),,,
151,"Purchasing Power, LLC",,,,,,
152,"Purchasing Power Funding I, LLC","L+650, 0.00 Floor",9113,1640,1640,(9)(21)(23)  (27),
153,Spectrum Automotive,,,,,,
154,Shelby 2021 Holdings Corp.,"L+575, 0.75 Floor",14521,12219,12263,(9)(21)(23)  (26)(27)(28),
155,"Ten-X, LLC",,,,,,
156,"Ten-X, LLC",P+225,4680,4617,4572,(23)(34),
157,Education,,,,,,
158,NFA Group,,,,,,
159,SSCP Spring Bidco Limited,"GBPL+600, 0.50 Floor",£,30000,36295,40407,(9)(17)(32)
160,Energy – Electricity,,,,,,
161,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,
162,"AIC SPV Holdings II, LLC (4)","534,375 Shares",417,(15)(17)(25),,,
163,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",0,(13)(25),,,
164,Renew JV LLC (4),"513,215 Shares",635,(13)(17)(25),,,
165,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,
166,Solarplicity UK Holdings Limited,4.00,£,5562,7231,1791,(14)(17)
167,Energy – Oil & Gas,,,,,,
168,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,
169,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",10.00 PIK,11556,10980,6116,(14),
170,Pelican,,,,,,
171,"Pelican Energy, LLC (4)","1,444 Shares",630,(13)(16)(17)  (25),,,
172,Spotted Hawk,,,,,,
173,"SHD Oil & Gas, LLC (5)",12.00,24728,24728,25470,,
174,Environmental Industries,,,,,,
175,Ortega National Parks,,,,,,
176,"Ortega National Parks, LLC","L+525, 1.00 Floor",15590,9229,9223,(9)(21)(23)  (29),
177,Healthcare & Pharmaceuticals,,,,,,
178,83bar,,,,,,
179,"83Bar, Inc.","L+575, 1.50 Floor",5000,4975,4975,(9)(26),
180,Akoya,,,,,,
181,"Akoya Biosciences, Inc.","L+635, 1.50 Floor",9750,9771,9750,(9)(26),
182,AmeriVet,,,,,,
183,"Amerivet Partners Management, Inc.","L+475, 1.00 Floor",33617,33202,33265,(9)(27),
184,AmeriVet Partners Parent LP,13 Shares,299,(9)(13),,,
185,Analogic,,,,,,
186,Analogic Corporation,"L+525, 1.00 Floor",17896,17707,17627,(9)(26),
187,CARE Fertility,,,,,,
188,Royton Bidco Limited,"SON+525, 0.50 Floor",£,19766,22335,23473,(9)(17)(21)  (23)(31)
189,Cato Research,,,,,,
190,"LS Clinical Services Holdings, Inc.","L+675, 1.00 Floor",13125,12800,12797,(9)(28),
191,Cerus,,,,,,
192,Cerus Corporation,"L+545, 1.80 Floor",21000,16449,16830,(9)(17)(23)  (26),
193,Emmes Corporation,,,,,,
194,"Emmes Blocker, Inc.",306 Shares,842,(9)(13),,,
195,"The Emmes Company, LLC","L+500, 1.00 Floor",15926,15782,15687,(9)(29),
196,EmpiRx,,,,,,
197,EmpiRx Health LLC,"L+550, 1.00 Floor",9091,8919,9000,(9)(27),
198,Forge Biologics,,,,,,
199,"Forge Biologics, Inc.","L+675, 0.50 Floor",26667,3202,3201,(9)(23)(26),
200,"Genesis Healthcare, Inc.",,,,,,
201,"Genesis Healthcare, Inc.","L+1100, 1.00 Floor",6087,0,0,(9)(21)(23),
202,Gossamer,,,,,,
203,"GB001, Inc.","L+700, 2.00 Floor",30000,5873,6060,(9)(17)(23)  (26),
204,Health & Safety Institute,,,,,,
205,"HSI HALO Acquisition, Inc.","L+575, 1.00 Floor",16412,13524,13360,(9)(21)(23)  (28),
206,IMA Group,,,,,,
207,"IMA Group Management Company, LLC","L+550, 1.00 Floor",12704,6866,6887,(21)(23)(29),
208,Kindeva,,,,,,
209,Kindeva Drug Delivery L.P.,"L+600, 1.00 Floor",9434,9267,9372,(9)(28),
210,KureSmart,,,,,,
211,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,206,(9)(13),,,
212,"Kure Pain Holdings, Inc.","L+500, 1.00 Floor",21714,21532,21403,(9)(26),
213,Mannkind Corporation,,,,,,
214,Mannkind Corporation,"L+675, 1.00 Floor",13866,13784,14094,(9)(26),
215,"Maxor National Pharmacy Services, LLC",,,,,,
216,"Maxor National Pharmacy Services, LLC","L+550, 1.00 Floor",23438,23201,22973,(9)(26)(28),
217,Medical Guardian,,,,,,
218,"Medical Guardian, LLC","L+650, 1.00 Floor",36191,30931,30911,(9)(21)(23)  (26),
219,Midwest Vision,,,,,,
220,"Midwest Vision Partners Management, LLC","L+650, 1.00 Floor",24315,21466,21656,(9)(21)(23)  (27)(28)(29),
221,Orchard,,,,,,
222,Orchard Therapeutics PLC,"L+595, 1.00 Floor",33333,10897,10994,(9)(17)(23)  (26),
223,Ovation Fertility,,,,,,
