,Industry,Company,Investment_Type,Interest Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
2,FingerPaint Marketing,KL Charlie Acquisition Company,First Lien Secured Debt,"L+625, 1.00 Floor",12/30/26,30818,22373,22510,(9)(21)(23)  (28),
3,FingerPaint Marketing,KL Charlie Acquisition Company,First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",12/30/26,1962,(31),(20),(8)(9)(21)  (23),
4,FingerPaint Marketing,"KL Charlie Co-Invest, L.P.",Common Equity - Common Stock,N/A,N/A,"218,978 Shares",219,353,(9)(13),
7,Hero Digital,"HRO (Hero Digital) Holdings, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",11/18/28,27186,19084,19253,(9)(21)(23)  (29),
8,Hero Digital,"HRO (Hero Digital) Holdings, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",11/18/26,2553,(47),(26),(8)(9)(20)  (21)(23),
9,Hero Digital,HRO Holdings I LP,Common Equity - Common Stock,N/A,N/A,213 Shares,213,212,(9)(13)(24),
14,Erickson Inc,Erickson Inc,First Lien Secured Debt - Revolver,"L+750, 1.50 Floor",04/28/22,32250,23628,23315,(9)(20)(21)  (23)(28),
15,Erickson Inc,Erickson Inc,First Lien Secured Debt - Revolver,13.50,04/28/22,3750,3750,3712,(9)(23),
19,Club Car Wash,"Club Car Wash Operating, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",06/16/27,29931,22934,23018,(9)(21)(23)  (29),
20,Club Car Wash,"Club Car Wash Operating, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",06/16/27,2438,(37),(30),(8)(9)(21)  (23),
23,Crowne Automotive,"Vari-Form Group, LLC",First Lien Secured Debt,11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5860,893,410,(9)(14),
24,Crowne Automotive,Vari-Form Inc.,First Lien Secured Debt,11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2110,391,148,(9)(14),
27,"K&N Parent, Inc.","K&N Parent, Inc.",Second Lien Secured Debt,"L+875, 1.00 Floor",10/21/24,23765,23605,19724,(28),
29,"Truck-Lite Co., LLC","TL Lighting Holdings, LLC",Common Equity - Equity,N/A,N/A,350 Shares,350,420,(9)(13),
30,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",First Lien Secured Debt,"L+625, 1.00 Floor",12/14/26,31287,29655,29533,(9)(21)(23)  (28),
31,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",12/13/24,3052,241,226,(9)(20)(21)  (23)(26),
36,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,10.00,10/31/23,275177,275000,275000,(20)(23),
37,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,35800,23509,(24),
40,Primeflight,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"L+625, 1.00 Floor",05/09/24,17353,17179,17271,(9)(26),
44,Berner Foods,"Berner Food & Beverage, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",07/30/27,30963,30334,30653,(9)(29),
45,Berner Foods,"Berner Food & Beverage, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",07/30/26,2132,535,555,(9)(21)(23)  (29),
46,Berner Foods,"Berner Food & Beverage, LLC",First Lien Secured Debt - Revolver,P+550,07/30/26,749,734,742,(9)(23)(25),
49,Bolthouse Farms,"Wm. Bolthouse Farms, Inc.",Common Equity - Equity Interest,N/A,N/A,"1,000,000 Shares",1001,1080,(13),
51,Hive,"FCP-Hive Holdings, LLC",Preferred Equity - Preferred Equity,N/A,N/A,589 Shares,448,484,(9)(13)(24),
52,Hive,"FCP-Hive Holdings, LLC",Common Equity - Common Stock,N/A,N/A,589 Shares,3,20,(9)(13)(24),
53,Hive,"Hive Intermediate, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",09/22/27,17123,16822,16952,(9)(26),
54,Hive,"Hive Intermediate, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",09/22/27,2326,(41),(23),(8)(9)(21)  (23),
57,"Orgain, Inc.","Butterfly Fighter Co-Invest, L.P.",Common Equity - Membership Interests,N/A,N/A,"1,000,000 Shares",1005,1648,,
59,Rise Baking,Ultimate Baked Goods Midco LLC,First Lien Secured Debt,"L+625, 1.00 Floor",08/13/27,26690,26086,25935,(9)(28),
60,Rise Baking,Ultimate Baked Goods Midco LLC,First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",08/13/27,3243,1954,1936,(9)(20)(21)  (23)(28)(29),
63,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt,"L+675 Cash plus 1.00 PIK, 1.00 Floor",11/06/23,21706,21512,21272,(9)(28),
