,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (29),Fair Value (1)(30),,
0,"Advertising, Printing & Publishing","Advertising, Printing & Publishing",,,,,,,,
1,Learfield Communications,Learfield Communications,,,,,,,,
2,,A-L Parent LLC,Second Lien Secured Debt,"8.25 (1M L+725, 1.00 Floor)",12/02/24,5536,5507,3654,,
3,"Simplifi Holdings, Inc.","Simplifi Holdings, Inc.",,,,,,,,
4,,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",08/02/25,38635,38053,37441,(9),
5,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",08/02/25,1200,1200,1163,(9)(23),
6,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/25,1200,(44),(37),(8)(9)  (21)(23),
7,,"Simplifi Holdings, Inc.",39209,38567,,,,,,
9,Aerospace & Defense,Aerospace & Defense,,,,,,,,
10,Erickson Inc,Erickson Inc,,,,,,,,
11,,Erickson Inc,First Lien Secured Debt - Revolver,"9.00 (3M L+750, 1.50 Floor)",04/28/22,30169,30169,29566,(9)(23),
12,,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,5085,(147),(102),(8)(9)  (21)(23),
13,,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,10/01/20 - 07/15/22,2246,0,(43),(8)(9)  (23),
15,Automotive,Automotive,,,,,,,,
16,Accelerate Parent Corp. (American Tire),Accelerate Parent Corp. (American Tire),,,,,,,,
17,,Accelerate Parent Corp.,Common Equity - Common Stock,N/A,N/A,"1,664,046 Shares",1714,0,(13)(19),
18,Arlington,Arlington,,,,,,,,
19,,Arlington Industries Group Limited,First Lien Secured Debt,"5.75 (1M E+525, 0.50 Floor)",03/29/24,€,2495,2799,2912,(9)(17)
20,,Arlington Industries Group Limited,First Lien Secured Debt,"5.75 (1M GBPL+525, 0.50 Floor)",03/29/24,£,3627,4611,4636,(9)(17)
21,,Arlington Industries Group Limited,7410,7548,,,,,,
22,Crowne Automotive,Crowne Automotive,,,,,,,,
23,,"Vari-Form Group, LLC",First Lien Secured Debt,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5860,901,762,(9)(13)  (14),
24,,Vari-Form Inc.,First Lien Secured Debt,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2110,391,274,(9)(13)  (14),
25,,Vari-Form Inc.,1292,1036,,,,,,
26,"K&N Parent, Inc.","K&N Parent, Inc.",,,,,,,,
27,,"K&N Parent, Inc.",Second Lien Secured Debt,"9.75 (1M L+875, 1.00 Floor)",10/21/24,23765,23519,21566,,
28,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",,,,,,,,
29,,"Truck-Lite Co., LLC",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",12/14/26,25022,24492,24494,(9),
30,,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"7.25 (1M L+625, 1.00 Floor)",12/13/24,218,218,215,(9)(23),
31,,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"7.25 (3M L+625, 1.00 Floor)",12/13/24,436,436,429,(9)(23),
32,,"Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/13/24,2304,(60),(36),(8)(9)  (21)(23),
33,,"Truck-Lite Co., LLC",First Lien Secured Debt - Letters of Credit,6.25,11/30/20 - 12/21/20,94,0,(1),(8)(9)  (23),
34,,"Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/14/26,3708,(77),(78),(8)(9)  (21)(23),
35,,"TL Lighting Holdings, LLC",Common Equity - Equity,N/A,N/A,350 Shares,350,301,(9)(13)  (28),
36,,"TL Lighting Holdings, LLC",25359,25324,,,,,,
38,Aviation and Consumer Transport,Aviation and Consumer Transport,,,,,,,,
39,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC",,,,,,,,
40,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,10.00,10/31/23,200000,200000,200000,(23),
41,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/21,177,0,0,(23),
42,,"Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,120300,123544,(28),
43,,"Merx Aviation Finance, LLC (5)",320300,323544,,,,,,
44,Primeflight,Primeflight,,,,,,,,
45,,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",05/09/24,14699,14529,14210,(9),
46,,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/09/24,2842,(87),(95),(8)(9)  (21)(23),
47,,"PrimeFlight Aviation Services, Inc.",14442,14115,,,,,,
49,"Beverage, Food & Tobacco","Beverage, Food & Tobacco",,,,,,,,
50,Bolthouse Farms,Bolthouse Farms,,,,,,,,
51,,"Wm. Bolthouse Farms, Inc.",Common Equity - Common Stock,N/A,N/A,"1,000,000 Shares",1000,1160,(13),
52,Eagle Foods,Eagle Foods,,,,,,,,
53,,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",06/14/24,24437,24267,23827,(9),
54,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",06/14/23,1333,1333,1300,(9)(23),
55,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/14/23,2417,(23),(60),(8)(9)  (21)(23),
56,,"Eagle Foods Family Group, LLC",25577,25067,,,,,,
57,"Florida Food Products, Inc.","Florida Food Products, Inc.",,,,,,,,
58,,"Florida Food Products, Inc.",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",09/08/25,22822,22418,22594,(9),
59,,"Florida Food Products, Inc.",First Lien Secured Debt,"8.25 (3M L+725, 1.00 Floor)",09/08/25,2992,2789,2991,(9),
60,,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",09/06/23,1712,1687,1695,(9)(23),
61,,"Florida Food Products, LLC",26894,27280,,,,,,
62,"Orgain, Inc.","Orgain, Inc.",,,,,,,,
63,,"Butterfly Fighter Co-Invest, L.P.",Common Equity - Membership Interests,N/A,N/A,"1,000,000 Shares",1005,1263,(13)(28),
64,TNT Crust LLC,TNT Crust LLC,,,,,,,,
65,,TNT Crust LLC,First Lien Secured Debt,"7.75 (3M L+675, 1.00 Floor)",11/06/23,26341,25967,25814,(9),
66,,TNT Crust LLC,First Lien Secured Debt - Revolver,"7.75 (3M L+675, 1.00 Floor)",11/06/23,1236,1236,1211,(9)(23),
67,,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/06/23,2016,(43),(40),(8)(9)  (21)(23),
68,,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,288,(9)(13),
69,,TNT Crust LLC,27190,27273,,,,,,
70,Turkey Hill,Turkey Hill,,,,,,,,
71,,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,418,(9)(13),
72,,THLP CO. LLC,First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",05/30/25,19562,19257,19366,(9),
73,,THLP CO. LLC,First Lien Secured Debt,7.75 (P+450),05/30/25,22,22,22,(9),
74,,THLP CO. LLC,First Lien Secured Debt,"6.50 (12M L+550, 1.00 Floor)",05/30/25,2779,2754,2752,(9),
75,,THLP CO. LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,4494,(66),(45),(8)(9)  (21)(23),
76,,THLP CO. LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/30/25,2809,(44),(28),(8)(9)  (21)(23),
77,,THLP CO. LLC,22092,22485,,,,,,
79,Business Services,Business Services,,,,,,,,
80,Access Information,Access Information,,,,,,,,
81,,"Access CIG, LLC",Second Lien Secured Debt,7.91 (1M L+775),02/27/26,15900,15798,15695,,
82,Ambrosia Buyer Corp.,Ambrosia Buyer Corp.,,,,,,,,
83,,Ambrosia Buyer Corp.,Second Lien Secured Debt,"9.00 (6M L+800, 1.00 Floor)",08/28/25,21429,21099,16646,,
84,AML Rightsource,AML Rightsource,,,,,,,,
85,,"Gabriel Partners, LLC",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",09/21/26,8004,7805,7804,(9),
86,,"Gabriel Partners, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/21/26,665,(17),(17),(8)(9)  (21)(23),
87,,"Gabriel Partners, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,09/21/26,1330,(20),(20),(8)(9)  (21)(23),
88,,"Gabriel Partners, LLC",7768,7767,,,,,,
89,Claritas,Claritas,,,,,,,,
90,,"Claritas, LLC",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",12/21/23,3795,3770,3748,(9),
91,,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",12/21/23,387,387,382,(9)(23),
92,,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/21/23,644,(7),(8),(8)(9)  (21)(23),
93,,"Claritas, LLC",4150,4122,,,,,,
94,Continuum,Continuum,,,,,,,,
95,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",02/15/22,3509,3509,3422,(9)(23),
96,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/15/22,16491,(223),(412),(8)(9)  (21)(23),
97,,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,775 Shares,78,78,(9)(13),
98,,"Continuum Global Solutions, LLC",3364,3088,,,,,,
99,"CT Technologies Intermediate Holdings, Inc","CT Technologies Intermediate Holdings, Inc",,,,,,,,
100,,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"10.00 (1M L+900, 1.00 Floor)",12/01/22,31253,30887,29690,(9),
101,Education Personnel,Education Personnel,,,,,,,,
102,,Arthur Bidco Limited,First Lien Secured Debt,"5.25 (3M GBPL+475, 0.50 Floor)",08/31/24,£,4035,5149,4945,(9)(17)
