,Industry / Company,Interest Rate,Par/Shares (12),Cost (36),Fair Value (1)(37),,
0,"Advertising, Printing & Publishing",,,,,,
1,FingerPaint Marketing,,,,,,
2,KL Charlie Acquisition Company,"L+525, 1.00 Floor",18560,18220,18374,(9)(28),
3,"KL Charlie Co-Invest, L.P.","218,978 Shares",335,(9)(13)(25),,,
4,"Simplifi Holdings, Inc.",,,,,,
5,"Simplifi Holdings, Inc.","P+425, 1.00 Floor",38245,37770,38245,(9)(34),
6,Aerospace & Defense,,,,,,
7,Erickson Inc,,,,,,
8,Erickson Inc,"L+750, 1.50 Floor",32250,26505,26142,(9)(20)(21)  (23)(28),
9,Automotive,,,,,,
10,Club Car Wash,,,,,,
11,"Club Car Wash Operating, LLC","L+650, 1.00 Floor",13778,13545,13531,(9)(29),
12,Crowne Automotive,,,,,,
13,"Vari-Form Group, LLC",11.00 (7.00 Cash plus 4.00 PIK),5860,901,293,(9)(14),
14,Vari-Form Inc.,11.00 (7.00 Cash plus 4.00 PIK),2110,391,105,(9)(14),
15,"K&N Parent, Inc.",,,,,,
16,"K&N Parent, Inc.","L+875, 1.00 Floor",23765,23573,22220,(28),
17,"Truck-Lite Co., LLC",,,,,,
18,"TL Lighting Holdings, LLC",350 Shares,382,(9)(13),,,
19,"Truck-Lite Co., LLC","L+625, 1.00 Floor",28440,27930,28367,(9)(28),
20,Aviation and Consumer Transport,,,,,,
21,"Merx Aviation Finance, LLC",,,,,,
22,"Merx Aviation Finance, LLC (5)",10.00,275177,275000,275000,(20)(23),
23,Primeflight,,,,,,
24,"PrimeFlight Aviation Services, Inc.","L+625, 1.00 Floor",17416,17202,17267,(9)(26),
25,"Beverage, Food & Tobacco",,,,,,
26,Berner Foods,,,,,,
27,"Berner Food & Beverage, LLC","L+650, 1.00 Floor",31119,30431,30807,(9)(29),
28,Bolthouse Farms,,,,,,
29,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1170,(13),,,
30,"Florida Food Products, Inc.",,,,,,
31,"Florida Food Products, Inc.","L+650, 1.00 Floor",22589,22268,22589,(9)(26),
32,"Florida Food Products, LLC","L+650, 1.00 Floor",1712,326,342,(9)(23)(26),
33,Hive,,,,,,
34,"FCP-Hive Holdings, LLC",589 Shares,448,(9)(13)(25),,,
35,"Hive Intermediate, LLC","L+600, 1.00 Floor",17209,16879,17037,(9)(26),
36,"Orgain, Inc.",,,,,,
37,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1035,,,,
38,Rise Baking,,,,,,
39,Ultimate Baked Goods Midco LLC,"L+625, 1.00 Floor",26757,26102,26088,(9)(29),
40,TNT Crust LLC,,,,,,
41,TNT Crust LLC,"L+675, 1.00 Floor",21606,21322,21174,(9)(28),
42,Turkey Hill,,,,,,
43,IC Holdings LLC,169 Shares,324,(9)(13),,,
44,THLP CO. LLC,"L+600, 1.00 Floor",25138,24809,24509,(9)(26),
45,Business Services,,,,,,
46,Access Information,,,,,,
47,"Access CIG, LLC","L+775, 0.00 Floor",15900,15817,15739,(26),
48,Ambrosia Buyer Corp.,,,,,,
49,Ambrosia Buyer Corp.,9.00,21429,19555,9272,(14),
50,AML Rightsource,,,,,,
51,"Gabriel Partners, LLC","L+625, 1.00 Floor",31610,30999,30940,(9)(29),
52,Claritas,,,,,,
53,"Claritas, LLC","L+575, 1.00 Floor",3696,3679,3659,(9)(28),
54,Continuum,,,,,,
55,"Continuum Global Solutions, LLC","L+550, 1.00 Floor",20000,2998,2677,(9)(21)(23)  (26),
56,Electro Rent Corporation,,,,,,
57,Electro Rent Corporation,"L+900, 1.00 Floor",34235,33731,34064,(9)(28),
58,Elo Touch,,,,,,
59,TGG TS Acquisition Company,"L+650, 0.00 Floor",1750,0,(35),(8)(21)(23),
60,Ensemble Health,,,,,,
61,"EHL Merger Sub, LLC","L+325, 0.00 Floor",4155,(217),(130),(8)(21)(23),
62,Jacent,,,,,,
63,Jacent Strategic Merchandising,"L+575, 1.00 Floor",22199,22024,21804,(9)(28),
64,"JSM Equity Investors, L.P.",114 Shares,11,(9)(13),,,
65,Jones & Frank,,,,,,
66,"JF Acquisition, LLC","L+550, 1.00 Floor",13268,13116,13106,(9)(28)(30),
67,MAKS,,,,,,
68,Trident Bidco Limited,"L+550, 1.00 Floor",34125,33420,33854,(9)(17)(29),
69,McLarens,,,,,,
70,Margaux Acquisition Inc.,"L+550, 1.00 Floor",22936,22687,22922,(9)(28),
71,Margaux UK Finance Limited,"GBPL+550, 1.00 Floor",£,7146,8938,9579,(9)(17)(31)
72,Naviga,,,,,,
73,"Naviga Inc. (fka Newscycle Solutions, Inc.)","L+700, 1.00 Floor",12244,12140,12184,(9)(28),
74,PSE,,,,,,
75,"Graffiti Buyer, Inc.","L+575, 1.00 Floor",5836,5721,5720,(9)(28),
76,"Graffiti Parent, LP","2,439 Shares",244,(9)(13)(25),,,
77,"PSI Services, LLC",,,,,,
78,"Lifelong Learner Holdings, LLC","L+575, 1.00 Floor",32371,31893,31286,(9)(28),
79,Soliant,,,,,,
80,"Soliant Health, Inc.",300 Shares,757,(9)(13),,,
81,"Transplace Holdings, Inc.",,,,,,
82,"Transplace Holdings, Inc.","L+875, 1.00 Floor",8599,8487,8599,(28),
83,US Legal Support,,,,,,
84,"US Legal Support Investment Holdings, LLC","631,972 Shares",752,(9)(13),,,
85,"USLS Acquisition, Inc.","L+575, 1.00 Floor",24126,23864,23484,(9)(28),
86,"Chemicals, Plastics & Rubber",,,,,,
87,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,
88,Carbonfree Chemicals Holdings LLC (4),"2,354 Shares",45234,(3)(13)(16)  (25),,,
89,Carbonfree Chemicals SA LLC (4),"3,152 Shares",0,(3)(13)(16)  (25),,,
90,"Westfall Technik, Inc.",,,,,,
91,"Westfall Technik, Inc.","L+575, 1.00 Floor",15697,15533,15333,(9)(26),
92,Construction & Building,,,,,,
93,Englert,,,,,,
94,"Gutter Buyer, Inc.","L+575, 1.00 Floor",28539,28191,27971,(9)(26),
95,"Gutter Holdings, LP",500 Shares,1105,(9),,,
96,Consumer Goods – Durable,,,,,,
97,A&V,,,,,,
98,"A&V Holdings Midco, LLC","L+450, 1.00 Floor",1505,(92),(59),(8)(21)(23),
99,KDC,,,,,,
100,KDC US Holdings,"L+325, 0.00 Floor",6020,4892,4812,(20)(21)  (23)(26),
101,"KLO Holdings, LLC",,,,,,
102,1244311 B.C. Ltd. (4),"L+500, 1.00 Floor",2978,2978,2805,(17)(28),
103,GSC Technologies Inc. (4),"L+1000 PIK, 1.00 Floor",216,216,202,(17)(28),
104,Liqui-Box,,,,,,
105,"Liqui-Box Holdings, Inc.","L+450, 1.00 Floor",3014,2827,2842,(20)(21)  (23)(28),
106,NSi Industries,,,,,,
107,"Wildcat BuyerCo, Inc.","L+500, 1.00 Floor",5996,5890,5965,(28),
108,Wildcat Parent LP,"1,070 Shares",161,(13),,,
109,"Sorenson Holdings, LLC",,,,,,
110,"Sorenson Holdings, LLC",587 Shares,411,(10)(13),,,
111,Consumer Goods – Non-durable,,,,,,
112,3D Protein,,,,,,
113,"Protein For Pets Opco, LLC","L+500, 1.00 Floor",2219,(31),0,(9)(21)(23),
114,Beauty Industry Group (BIG),,,,,,
115,"Big Buyer, LLC","L+650, 1.00 Floor",30373,29985,30285,(9)(26),
116,Dan Dee,,,,,,
117,"Project Comfort Buyer, Inc.","L+700, 1.00 Floor",25590,25167,24564,(9)(28),
118,LashCo,,,,,,
119,"Lash OpCo, LLC","L+700, 1.00 Floor",20000,19557,19558,(9)(26),
120,Olaplex,,,,,,
121,"Olaplex, Inc.","L+625, 1.00 Floor",12142,11967,12256,(9)(26),
122,"Sequential Brands Group, Inc.",,,,,,
123,"Sequential Brands Group, Inc.","L+500, 1.00 Floor",6964,6535,6537,(17)(21)  (23)(26),
124,Consumer Services,,,,,,
125,Activ,,,,,,
126,"Activ Software Holdings, LLC","L+625, 1.00 Floor",30018,29450,29403,(9)(29),
127,Bird,,,,,,
128,"Bird US Opco, LLC","L+900, 1.00 Floor",15055,4464,4474,(9)(23)(26),
129,Clarus Commerce,,,,,,
130,"Marlin DTC-LS Midco 2, LLC","L+650, 1.00 Floor",22262,21923,22080,(26)(28),
131,First Heritage,,,,,,
132,"First Heritage Credit, LLC","L+475, 0.00 Floor",26250,17971,17948,(9)(21)(23)  (26),
133,Go Car Wash,,,,,,
134,Go Car Wash Management Corp.,"L+550, 1.00 Floor",8023,7870,7902,(9)(26),
135,Lending Point,,,,,,
136,LendingPoint LLC,"L+1050, 1.00 Floor",17500,11218,11225,(9)(21)(23)  (28),
137,Only About Children,,,,,,
138,Nemo (BC) Bidco Pty Ltd,"BBSW+625, 0.00 Floor",A$,6008,4395,4212,(17)(33)
139,Paper Source,,,,,,
140,Papershop Holdco Inc.,"L+700, 1.00 Floor",10607,10505,10501,(9)(28),
141,"Pinstripe Holdings, LLC",,,,,,
142,"Pinstripe Holdings, LLC","L+550, 1.00 Floor",6791,6714,6780,(28),
143,The Club Company,,,,,,
144,Eldrickco Limited,"GBPL+625, 0.50 Floor",£,9393,11936,12202,(9)(17)(32)
145,US Auto,,,,,,
146,"U.S. Auto Finance, Inc.","L+525, 0.00 Floor",20000,4623,4558,(9)(21)(23)  (28),
147,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,
148,Celink,,,,,,
149,Compu-Link Corporation,"L+550, 1.00 Floor",2273,(28),(16),(8)(9)(21)  (23),
150,"Peer Advisors, LLC","L+550, 1.00 Floor",17670,17451,17543,(9)(26),
151,"Flock Financial, LLC",,,,,,
152,"Flock SPV I, LLC","L+650, 1.00 Floor",14667,11991,12000,(9)(17)(21)  (23)(26),
153,Golden Bear,,,,,,
154,"Golden Bear 2016-R, LLC (4)",09/20/42,10795,(3)(17),,,
155,"Purchasing Power, LLC",,,,,,
156,"Purchasing Power Funding I, LLC","L+650, 0.00 Floor",9113,0,0,(9)(21)(23),
157,Spectrum Automotive,,,,,,
158,CC SAG Holdings Corp.,"L+575, 0.75 Floor",11405,11236,11234,(9)(28),
159,"Ten-X, LLC",,,,,,
160,"Ten-X, LLC","L+325, 0.00 Floor",4680,4596,4526,(23)(26),
161,Education,,,,,,
162,NFA Group,,,,,,
163,SSCP Spring Bidco Limited,"GBPL+625, 0.00 Floor",£,30000,36255,40223,(9)(17)(32)
164,Energy – Electricity,,,,,,
165,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,
166,"AIC SPV Holdings II, LLC (4)","534,375 Shares",439,(15)(17)(25),,,
167,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",0,(13)(25),,,
168,Renew JV LLC (4),"548,175 Shares",629,(13)(17)  (25),,,
169,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,
170,Solarplicity UK Holdings Limited,4.00,£,5562,7357,2167,(14)(17)
171,Energy – Oil & Gas,,,,,,
172,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,
173,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",10.00 PIK,15000,15000,4922,(14),
174,Pelican,,,,,,
175,"Pelican Energy, LLC (4)","1,444 Shares",2170,(13)(16)  (17)(25),,,
176,Spotted Hawk,,,,,,
177,"SHD Oil & Gas, LLC (5)",12.00,24728,24728,25470,,
178,Environmental Industries,,,,,,
179,Ortega National Parks,,,,,,
180,"Ortega National Parks, LLC","L+525, 1.00 Floor",8994,8875,8725,(9)(29),
181,Healthcare & Pharmaceuticals,,,,,,
182,83bar,,,,,,
183,"83Bar, Inc.","L+575, 1.50 Floor",5000,4976,4975,(9)(26),
184,Akoya,,,,,,
185,"Akoya Biosciences, Inc.","L+635, 1.50 Floor",9750,9771,9750,(9)(26),
186,AmeriVet,,,,,,
187,"Amerivet Partners Management, Inc.","L+475, 1.00 Floor",25580,25284,25037,(9)(29),
188,AmeriVet Partners Parent LP,13 Shares,234,(9)(13),,,
189,Analogic,,,,,,
190,Analogic Corporation,"L+525, 1.00 Floor",17941,17735,17672,(9)(26),
191,BK Medical,,,,,,
192,"BK Medical Holding Company, Inc.","L+525, 1.00 Floor",7195,7150,7195,(9)(26),
193,CARE Fertility,,,,,,
194,Royton Bidco Limited,"GBPL+625, 0.50 Floor",£,15354,19651,20529,(9)(17)(31)
195,Cerus,,,,,,
196,Cerus Corporation,"L+545, 1.80 Floor",16500,16457,16830,(9)(17)(26),
197,Dohmen Life Science Services,,,,,,
198,"LSCS Holdings, Inc","L+825, 0.00 Floor",19818,19556,19654,(29),
199,Eating Recovery Center,,,,,,
200,"ERC Finance, LLC","L+600, 1.00 Floor",25871,25433,25418,(9)(28),
201,Emmes Corporation,,,,,,
202,"Emmes Blocker, Inc.",306 Shares,742,(9)(13),,,
203,"The Emmes Company, LLC","L+500, 1.00 Floor",15967,15809,15647,(9)(29),
204,EmpiRx,,,,,,
205,EmpiRx Health LLC,"L+550, 1.00 Floor",9091,8912,9000,(9)(28),
206,"Genesis Healthcare, Inc.",,,,,,
207,"Genesis Healthcare, Inc.","L+1100, 1.00 Floor",6087,0,(49),(8)(9)(21)  (23),
208,Gossamer,,,,,,
209,"GB001, Inc.","L+700, 2.00 Floor",6000,6002,6060,(9)(17)(26),
210,Health & Safety Institute,,,,,,
211,"HSI HALO Acquisition, Inc.","L+575, 1.00 Floor",8935,8849,8803,(9)(28),
212,IMA Group,,,,,,
213,"IMA Group Management Company, LLC","L+550, 1.00 Floor",6445,6392,6382,(28),
214,Kindeva,,,,,,
215,Kindeva Drug Delivery L.P.,"L+600, 1.00 Floor",9458,9281,9324,(9)(28),
216,KureSmart,,,,,,
217,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,211,(9)(13),,,
218,"Kure Pain Holdings, Inc.","L+550, 1.00 Floor",21769,21575,21504,(9)(26),
219,Mannkind Corporation,,,,,,
220,Mannkind Corporation,"L+675, 1.00 Floor",13867,13782,14091,(9)(26),
221,"Maxor National Pharmacy Services, LLC",,,,,,
222,"Maxor National Pharmacy Services, LLC","L+550, 1.00 Floor",22438,22235,22438,(9)(28),
223,Medical Guardian,,,,,,
224,"Medical Guardian, LLC","L+750, 1.00 Floor",28400,28023,28349,(9)(26),
225,Midwest Vision,,,,,,
226,"Midwest Vision Partners Management, LLC","L+625, 1.00 Floor",5676,5575,5619,(9)(28),
227,Orchard,,,,,,
228,Orchard Therapeutics PLC,"L+595, 1.00 Floor",11000,10961,11005,(9)(17)(26),
