,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0121.6 (10),Maturity Date,Industry,Par Amount(12),Fair  Value (1),
0,Funded and Unfunded Revolver Obligations0-1.7,,,,,
1,"Avaya, Inc., (Revolver) (16)",10/26/16,Telecommunications,16553.0,15436,
2,"Avaya, Inc., (Unfunded Revolver) (8)(16)",10/26/16,Telecommunications,10431,(704,
3,"BMC Software, Inc., (Unfunded Revolver) (8)",9/10/18,Business Services,20760,"(1,868",
4,"CIT Group, Inc., (Unfunded Revolver) (8)(17)",1/27/17,Financial Services,25000,"(1,250",
5,"Confie Seguros Holding II Co., (Revolver) (16)",12/10/18,Insurance,2190,1949,
6,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)",12/10/18,Insurance,1625,(179,
7,"Laureate Education Inc., (Revolver) (16)(17)",6/16/16,Education,23566,21445,
8,"Laureate Education, Inc., (Unfunded Revolver) (8)(16)(17)",6/16/16,Education,5212,(469,
9,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (16)(17)",1/2/19,Healthcare,24867,0,
10,"Tibco Software Inc., (Unfunded Revolver) (8)",12/5/19,Business Services,6000,(30,
11,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)",11/12/19,Financial Services,2943,(88,
12,"UniTek Global Services, Inc., (Unfunded Revolver) (16)",1/13/19,Telecommunications,5000,0,
13,"Walter Energy, Inc., (Unfunded Revolver) (8)(16)(17)",10/1/17,Mining,275,(48,
14,Total Funded and Unfunded Revolver Obligations,33467.0,34194,,,
15,Letters of Credit0(0.0),,,,,
16,"Avaya, Inc., Letter of Credit (8)(9)(16)",10/30/15- 4/6/16,Telecommunications,9800.0,(662,
17,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",10/27/15,Insurance,600,(66,
18,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",1/13/16,Insurance,85,(9,
19,"Laureate Education Inc., Letter of Credit (8)(16)(17)",6/16/16,Education,101,(9,
20,"Salix Pharmaceuticals, Ltd., Letter of Credit (16)(17)",2/10/16,Healthcare,8,0,
21,"Salix Pharmaceuticals, Ltd., Letter of Credit (16)(17)",2/10/16,Healthcare,125,0,
22,"Transfirst Holdings, Inc., Letter of Credit (8)(16)",11/12/19,Financial Services,57,(2,
23,"UniTek Global Services Inc., Letter of Credit (16)",1/13/19,Telecommunications,17946,0,
24,"UniTek Global Services Inc., Letter of Credit (16)",1/13/19,Telecommunications,1850,0,
25,"Walter Energy, Inc., Letter of Credit (8)(9)(16)(17)",9/18/15- 7/4/16,Mining,86,(15,
26,"Walter Energy, Inc., Letter of Credit (8)(9)(16)(17)",8/31/15- 11/28/15,Mining,CAD 192,(27,
27,Total Letters of Credit,0.0,(790,,,
28,Total 1st Lien Secured Debt,899240.0,840763,,,
29,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except shares)",,,,,
30,2nd Lien Secured Debt041.6,,,,,
31,"Access CIG, LLC",10/17/22,Business Services,25600.0,24192,
32,"Active Network, Inc.",11/15/21,Business Services,19672,19082,
33,"Appriss Holdings, Inc.",5/21/21,Business Services,25000,25000,
34,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",12/26/20,Financial Services,8000,7760,
35,Asurion Corporation,3/3/21,Insurance,40622,40876,
36,Confie Seguros Holding II Co.,5/8/19,Insurance,28844,28844,
37,Consolidated Precision Products Corp.,4/30/21,Aerospace and Defense,1940,1930,
38,"Deltek, Inc.",10/10/19,Business Services,17273,17424,
39,"Elements Behavioral Health, Inc.",2/11/20,Healthcare,9500,9434,
40,Garden Fresh Restaurant Corp. (16),1/1/19,Restaurants,8250,5775,
41,Garden Fresh Restaurant Corp. (16),1/1/19,Restaurants,39921,35529,
42,"GCA Services Group, Inc.",11/1/20,Diversified Service,17838,17882,
43,"Grocery Outlet, Inc.",10/21/22,Grocery,28000,27580,
44,"GTCR Valor Companies, Inc.",11/30/21,Business Services,35000,33775,
45,"Institutional Shareholder Services, Inc.",4/30/22,Financial Services,6640,6540,
46,"Kronos, Inc.",4/30/20,Business Services,13525,13931,
47,"Miller Energy Resources, Inc. (17)",2/3/18,Oil and Gas,88123,82527,
48,MSC Software Corp. (17),5/28/21,Business Services,13448,13246,
49,"Novolex Holdings, Inc.",6/5/22,Packaging,42045,42150,
50,Pabst Brewing Company,11/14/22,Consumer Products,27000,27203,
51,"Premier Trailer Leasing, Inc.",9/24/20,Financial Services,52000,52000,
52,River Cree Enterprises LP (11)(17),1/20/21,"Hotels, Motels, Inns and Gaming","CAD 33,000",26952,
53,"SiTV, Inc. (11)",7/1/19,Cable Television,2219.0,2003.0,
54,SMG,2/27/21,Business Services,19900,20000,
