,new_Industry,Investment,Industry (9),Interest  Rate (20),Maturity  Date,Par (12),Cost,Fair  Value (1),
0,Non-Controlled/Non-Affiliated Investments0120.6 (10),Non-Controlled/Non-Affiliated Investments0120.6 (10),,,,,,,
1,Corporate Debt0105.5,Corporate Debt0105.5,,,,,,,
2,Secured Debt088.9,Secured Debt088.9,,,,,,,
3,First Lien Secured Debt036.1,First Lien Secured Debt036.1,,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit)036.0,First Lien Secured Debt (excluding Revolvers and Letters of Credit)036.0,,,,,,,
5,,"Aventine Renewable Energy Holdings, Inc.","Chemicals, Plastics & Rubber",10.500 Cash (15.000 PIK Toggle),9/22/17,16339,17970,15685,
6,,"Aveta, Inc.",Healthcare & Pharmaceuticals,"9.750 (3M L+825, 1.50 Floor)",12/12/17,51315,50619,30575,
7,,"Belk, Inc.",Retail,"5.750 (6M L+475, 1.00 Floor)",12/12/22,10780,9587,9513,
8,,ChyronHego Corporation (18),High Tech Industries,"6.625 (3M L+563, 1.00 Floor)",3/9/20,32431,31858,31783,
9,,"Deep Gulf Energy II, LLC",Energy – Oil & Gas,"14.500 (6M L+1300, 1.50 Floor)",9/30/18,50000,50000,45625,
10,,"Delta Educational Systems, Inc.",Education,16.000 PIK,12/11/16,6509,6509,6496,
11,,Dodge Data & Analytics LLC,Business Services,"9.750 (3M L+875, 1.00 Floor)",10/31/19,53503,52641,52031,
12,,ECN Holding Company (18),High Tech Industries,"8.000 (3M L+700, 1.00 Floor)",6/12/21,22388,22077,21850,
13,,"Hunt Companies, Inc. (11)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.625,3/1/21,34008,32665,30862,
14,,"Magnetation, LLC (11)(13)(14)(16)",Metals & Mining,11.000,5/15/18,32632,33957,1812,
15,,"Magnetation, LLC (13)(14)(16)",Metals & Mining,12.000 PIK,3/7/16,13070,12427,6607,
16,,"Maxus Capital Carbon SPE I, LLC","Chemicals, Plastics & Rubber",13.000,9/18/19,63438,63438,62800,
17,,"My Alarm Center, LLC (16)",Business Services,"9.000 (12M L+800, 1.00 Floor)",1/9/19,42614,42614,42614,
18,,"My Alarm Center, LLC (16)(23)",Business Services,"9.000 (12M L+800 Funded, 0.350 Unfunded, 1.00 Floor)",1/9/19,11441,11441,11441,
19,,"My Alarm Center, LLC (16)(23)",Business Services,"9.000 (3M L+800 Funded, 0.350 Unfunded, 1.00 Floor)",1/9/19,3880,3880,3880,
20,,"Osage Exploration & Development, Inc. (11)(13)(14)(17)",Energy – Oil & Gas,"13.000 (12M L+1100, 2.00 Floor), 13.000 PIK Toggle",4/27/16,25840,24856,4489,
21,,"Pelican Energy, LLC (17)",Energy – Oil & Gas,"10.000 (7.000 Cash, 3.000 PIK)",12/31/18,28313,27524,22878,
22,,"Saba Software, Inc. (18)",High Tech Industries,"9.750 (12M L+875, 1.00 Floor)",3/30/21,9950,9950,9801,
23,,"SCM Insurance Services, Inc. (17)",Business Services,9.250,8/22/19,C$,39480,32960,25863
24,,"Spotted Hawk Development, LLC",Energy – Oil & Gas,"19.000 (13.000 Cash, 6.000 PIK)",9/12/16,84380,84380,68001,
25,,Telestream Holdings Corporation (18),High Tech Industries,"7.430 (3M L+643, 1.00 Floor)",1/15/20,31891,31891,31444,
26,,UniTek Global Services Inc. (16),Telecommunications,"9.500 (3M L+750, 1.000 PIK, 1.00 Floor)",1/13/19,17882,17882,17882,
27,,UniTek Global Services Inc. (16),Telecommunications,"8.500 (3M L+750, 1.00 Floor)",1/13/19,32367,32367,30748,
28,,"Venoco, Inc.",Energy – Oil & Gas,12.000,2/28/19,40517,40517,36465,
30,Funded and Unfunded Revolver Obligations00.1,Funded and Unfunded Revolver Obligations00.1,,,,,,,
31,,"Alliant Holdings, Unfunded Revolver (8)(21)(23)",Insurance,0.500 Unfunded,8/14/20,15000,"(1,575","(1,485",
32,,"Avaya, Inc., Revolver",Telecommunications,2.963 (12M L+275),10/26/16,3303,3152,3105,
33,,"CIT Group, Inc., Unfunded Revolver (8)(17)(21)(23)","Diversified Investment Vehicles, Banking, Finance, Real Estate",0.625 Unfunded,1/27/17,25000,(3,(875,
34,,"Confie Seguros Holding II Co., Revolver (16)(23)",Insurance,7.000 (3M P+350),12/10/18,750,750,660,
35,,"Confie Seguros Holding II Co., Revolver (16)(23)",Insurance,4.924 (3M L+450),12/10/18,470,470,414,
36,,"Confie Seguros Holding II Co., Unfunded Revolver (8)(16)(21)(23)",Insurance,0.500 Unfunded,12/10/18,3194,(271,(384,
37,,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",Business Services,0.350 Unfunded,1/9/19,6250,0,0,
38,,"Tibco Software Inc., Revolver (16)(23)",High Tech Industries,4.230 (12M L+400),12/5/19,1440,1440,1332,
39,,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",High Tech Industries,0.500 Unfunded,12/5/19,4560,(47,(342,
40,,"Transfirst Holdings, Inc., Unfunded Revolver (8)(16)(21)(23)","Diversified Investment Vehicles, Banking, Finance, Real Estate",0.500 Unfunded,11/12/19,2943,(12,(88,
41,,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",Telecommunications,0.500 Unfunded,1/13/19,5000,0,0,
43,Letters of Credit00.0,Letters of Credit00.0,,,,,,,
44,,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",Insurance,4.500,1/13/16,86,0,(10,
45,,"Transfirst Holdings, Inc., Letter of Credit (8)(16)(23)","Diversified Investment Vehicles, Banking, Finance, Real Estate",3.750,11/12/19,57,0,(2,
46,,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.500,1/13/19,8813,0,0,
47,,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.500,1/13/19,1850,0,0,
50,Second Lien Secured Debt052.8,Second Lien Secured Debt052.8,,,,,,,
51,,1A Smart Start LLC,Consumer Services,"9.500 (3M L+850, 1.00 Floor)",8/22/22,35000,34327,34055,
52,,"Access CIG, LLC",Business Services,"9.750 (3M L+875, 1.00 Floor)",10/17/22,50970,48746,49696,
53,,"Active Network, Inc.",Business Services,"9.500 (3M L+850, 1.00 Floor)",11/15/21,19672,19593,18197,
54,,"Appriss Holdings, Inc.",Business Services,"9.250 (3M L+825, 1.00 Floor)",5/21/21,32750,32315,32750,
55,,Armor Holding II LLC,"Diversified Investment Vehicles, Banking, Finance, Real Estate","10.250 (3M L+900, 1.25 Floor)",12/26/20,8000,7881,7800,
56,,Asurion Corporation,Insurance,"8.500 (3M L+750, 1.00 Floor)",3/3/21,67590,67313,58211,
57,,Confie Seguros Holding II Co.,Insurance,"10.250 (3M L+900, 1.25 Floor)",5/8/19,22344,22242,22149,
58,,"Delta Educational Systems, Inc.",Education,35.000 PIK,6/10/18,1182,1182,2301,
59,,"Deltek, Inc.",Business Services,"9.500 (3M L+850, 1.00 Floor)",6/26/23,28086,27696,27735,
60,,"Elements Behavioral Health, Inc.",Healthcare & Pharmaceuticals,"11.750 (3M L+875 Cash, 2.000 PIK, 1.00 Floor)",2/11/20,9534,9464,9482,
61,,"Extraction Oil & Gas Holdings, LLC",Energy – Oil & Gas,11.000 & 10.000,5/29/19,52633,52036,52264,
62,,Garden Fresh Restaurant Corp. (16),"Hotel, Gaming, Leisure, Restaurants","7.750 (3M L+625 PIK, 1.50 Floor)",1/1/19,8755,7298,6391,
63,,Garden Fresh Restaurant Corp. (16),"Hotel, Gaming, Leisure, Restaurants","15.000 (12M L+1350 PIK, 1.50 Floor)",1/1/19,44687,43116,35750,
64,,"GCA Services Group, Inc.",Business Services,"9.250 (3M L+800, 1.25 Floor)",11/2/20,26197,26298,25870,
65,,"Grocery Outlet, Inc.",Food & Grocery,"9.250 (3M L+825, 1.00 Floor)",10/21/22,28000,27624,27580,
66,,"GTCR Valor Companies, Inc.",Business Services,"9.500 (3M L+850, 1.00 Floor)",11/30/21,35000,34695,33644,
67,,"Infiltrator Systems Integrated, LLC","Manufacturing, Capital Equipment","9.750 (3M L+875, 1.00 Floor)",5/26/23,13889,13625,13819,
68,,"Institutional Shareholder Services, Inc.",Business Services,"8.500 (3M L+750, 1.00 Floor)",4/30/22,6640,6584,6341,
