,Industry / Company,Interest Rate (20),Maturity Date,Par/Shares (12),Fair Value (1)(27),
0,"Advertising, Printing & Publishing",,,,,
1,Learfield Communications,,,,,
2,A-L Parent LLC,"9.05 (1M L+725, 1.00 Floor)",12/02/24,5536.0,4913,
3,"Simplifi Holdings, Inc.",,,,,
4,"Simplifi Holdings, Inc.","7.55 (1M L+575, 1.00 Floor)",08/02/25,36491,35761,
5,"Total Advertising, Printing & Publishing",43647,42892.0,,,
6,Aerospace & Defense,,,,,
7,Erickson Inc,,,,,
8,Erickson Inc,"9.60 (3M L+750, 1.00 Floor)",04/28/22,30801.0,30262,
9,ILC Dover LP,,,,,
10,ILC Dover LP,"10.30 (1M L+850, 1.00 Floor)",06/28/24,7800,7761,
11,PAE Holding Corporation,,,,,
12,PAE Holding Corporation,"11.35 (2M L+950, 1.00 Floor)",10/20/23,28097,27745,
13,Total Aerospace & Defense,65847,65521.0,,,
14,Automotive,,,,,
15,Accelerate Parent Corp. (American Tire),,,,,
16,Accelerate Parent Corp.,"1,664,046 Shares",1714,0.0,,
17,Arlington,,,,,
18,Arlington Industries Group Limited,"5.75 (1M E+525, 0.50 Floor)",03/29/24,€,3693,(9)(17)
19,Crowne Automotive,,,,,
20,"Vari-Form Group, LLC",L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5860.0,762,
21,Vari-Form Inc.,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2446,318,
22,"K&N Parent, Inc.",,,,,
23,"K&N Parent, Inc.","10.55 (1M L+875, 1.00 Floor)",10/21/24,23765,22683,
24,"Truck-Lite Co., LLC",,,,,
25,"Truck-Lite Co., LLC","8.14 (3M L+625, 1.00 Floor)",12/14/26,77647,75720,
26,"TL Lighting Holdings, LLC",350 Shares,350,350,,
27,Total Automotive,115695,112927.0,,,
28,Aviation and Consumer Transport,,,,,
29,"Merx Aviation Finance, LLC",,,,,
30,"Merx Aviation Finance, LLC (5)",12.00,10/31/23,305300.0,305300,
31,Primeflight,,,,,
32,"PrimeFlight Aviation Services, Inc.","7.24 (1M L+550, 1.00 Floor)",05/09/24,12450,12266,
33,Total Aviation and Consumer Transport,332468,375223.0,,,
34,"Beverage, Food & Tobacco",,,,,
35,Bolthouse Farms,,,,,
36,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1000,1000.0,,
37,Eagle Foods,,,,,
