,Investment,Industry,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,ASC 820 Level
0,Non-Controlled/Non-Affiliated Investments,,,,,,,
1,Corporate Debt,,,,,,,
2,Secured Debt,,,,,,,
3,First Lien Secured Debt,,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,
5,"American Media, Inc. (16)","Advertising, Printing & Publishing","10.24 (1M L+900, 1.00 Floor)",8/24/20,14667,14324,15033,Level 3
6,"Simplifi Holdings, Inc. (9)(16)","Advertising, Printing & Publishing","7.74 (1M L+650, 1.00 Floor)",9/28/22,12200,11835,11834,Level 3
7,Dodge Data & Analytics LLC,Business Services,"10.13 (3M L+875, 1.00 Floor)",10/31/19,50478,50055,49090,Level 3
8,"PSI Services, LLC (9)(16)",Business Services,"6.24 (1M L+500, 1.00 Floor)",1/20/23,4142,4050,4070,Level 3
9,"RA Outdoors, LLC (9)(16)",Business Services,"5.99 (1M L+475, 1.00 Floor)",9/11/24,8800,8625,8624,Level 3
10,"Maxus Capital Carbon SPE I, LLC","Chemicals, Plastics & Rubber",5.22 PIK,12/31/18,59305,59305,49544,Level 3
11,KLO / 9357-5991 Quebec Inc,Consumer Goods – Durable,"9.00 (1M L+775, 0.75 Floor)",4/7/22,9382,9276,9273,Level 3
12,KLO Acquisition LLC,Consumer Goods – Durable,"9.00 (1M L+775, 0.75 Floor)",4/7/22,5466,5404,5403,Level 3
13,Westinghouse Electric Co LLC (9),Energy – Electricity,"7.50 (1M L+625, 1.25 Floor)",3/31/18,40000,39449,40000,Level 3
14,"Bumble Bee Holdings, Inc.",Food & Grocery,"9.32 (3M L+800, 1.00 Floor)",8/15/23,15585,15278,15273,Level 3
15,Connors Bros Clover Leaf Seafoods Company,Food & Grocery,"9.32 (3M L+800, 1.00 Floor)",8/15/23,4415,4328,4327,Level 3
16,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),Healthcare & Pharmaceuticals,"7.62 (3M L+625, 1.00 Floor)",6/9/23,2430,1771,1900,Level 3
17,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),Healthcare & Pharmaceuticals,"7.58 (3M L+625, 1.00 Floor)",6/9/23,2913,2851,2848,Level 3
18,"Altasciences US Acquistion, Inc. (9)(16)",Healthcare & Pharmaceuticals,"7.58 (3M L+625, 1.00 Floor)",6/9/23,5261,5149,5143,Level 3
19,"Altasciences US Acquistion, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)(28)",Healthcare & Pharmaceuticals,0.50 Unfunded,6/9/23,2851,(34,(64,Level 3
20,Aptevo Therapeutics Inc. (9)(16)(23),Healthcare & Pharmaceuticals,8.84 (1M L+760),2/1/21,8571,8664,8508,Level 3
21,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",Healthcare & Pharmaceuticals,0.00 Unfunded,2/1/21,6429,(24,(48,Level 3
22,"Invuity, Inc. (9)(16)",Healthcare & Pharmaceuticals,"8.00 (1M L+650, 1.50 Floor)",3/1/22,10000,9914,9808,Level 3
