,Investment,Interest  Rate (20),Par (12),Cost,Fair  Value (1),ASC 820 Level (32),
0,Non-Controlled/Non-Affiliated Investments,,,,,,
1,Corporate Debt,,,,,,
2,Secured Debt,,,,,,
3,First Lien Secured Debt,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
5,"American Media, Inc. (16)","10.24 (1M L+900, 1.00 Floor)",14667.0,14324,15033,Level 3,
6,"Simplifi Holdings, Inc. (9)(16)","7.74 (1M L+650, 1.00 Floor)",12200,11835,11834,Level 3,
7,"Total Advertising, Printing & Publishing0 1.8(10)",26159,,,,,
8,Dodge Data & Analytics LLC,"10.13 (3M L+875, 1.00 Floor)",50478.0,50055,49090,Level 3,
9,"PSI Services, LLC (9)(16)","6.24 (1M L+500, 1.00 Floor)",4142,4050,4070,Level 3,
10,"RA Outdoors, LLC (9)(16)","5.99 (1M L+475, 1.00 Floor)",8800,8625,8624,Level 3,
11,Total Business Services0 4.2(10),62730,,,,,
12,"Maxus Capital Carbon SPE I, LLC",5.22 PIK,59305.0,59305,49544,Level 3,
13,"Total Chemicals, Plastics & Rubber0 3.4(10)",59305,,,,,
14,KLO / 9357-5991 Quebec Inc,"9.00 (1M L+775, 0.75 Floor)",9382.0,9276,9273,Level 3,
15,KLO Acquisition LLC,"9.00 (1M L+775, 0.75 Floor)",5466,5404,5403,Level 3,
16,Total Consumer Goods – Durable0 1.0(10),14680,,,,,
17,Westinghouse Electric Co LLC (9),"7.50 (1M L+625, 1.25 Floor)",40000.0,39449,40000,Level 3,
18,Total Energy – Electricity0 2.7(10),39449,,,,,
19,"Bumble Bee Holdings, Inc.","9.32 (3M L+800, 1.00 Floor)",15585.0,15278,15273,Level 3,
20,Connors Bros Clover Leaf Seafoods Company,"9.32 (3M L+800, 1.00 Floor)",4415,4328,4327,Level 3,
21,Total Food & Grocery0 1.3(10),19606,,,,,
22,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),"7.62 (3M L+625, 1.00 Floor)",C$,2430.0,1771,1900,Level 3
23,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),"7.58 (3M L+625, 1.00 Floor)",2913,2851,2848,Level 3,
24,"Altasciences US Acquistion, Inc. (9)(16)","7.58 (3M L+625, 1.00 Floor)",5261,5149,5143,Level 3,
25,"Altasciences US Acquistion, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)(28)",0.50 Unfunded,2851,(34,(64,Level 3,
26,Aptevo Therapeutics Inc. (9)(16)(23),8.84 (1M L+760),8571,8664,8508,Level 3,
27,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",0.00 Unfunded,6429,(24,(48,Level 3,
28,"Invuity, Inc. (9)(16)","8.00 (1M L+650, 1.50 Floor)",10000,9914,9808,Level 3,
29,"Oxford Immunotec, Inc. (9)(16)(17)",8.84 (1M L+760),9750,9824,9859,Level 3,
30,"PTC Therapeutics, Inc (9)(16)(17)","7.39 (1M L+615, 1.00 Floor)",12667,12610,12667,Level 3,
