,Investment,Industry,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value
0,Non-Controlled/Non-Affiliated Investments,,,,,,
1,Corporate Debt,,,,,,
2,Secured Debt,,,,,,
3,First Lien Secured Debt,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
5,"American Media, Inc. (16)","Advertising, Printing & Publishing","8.50 (1M L+750, 1.00 Floor)",8/24/20,270,262,262
6,"American Media, Inc. (16)","Advertising, Printing & Publishing","8.50 (1M L+750, 1.00 Floor)",8/24/20,10396,10092,10085
7,Aptevo Therapeutics Inc. (9)(16)(23),Healthcare & Pharmaceuticals,"8.10 (3M L+760, 0.50 Floor)",2/1/21,8571,8547,8529
8,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",Healthcare & Pharmaceuticals,0.00 Unfunded,2/1/21,6429,(31,(32
9,"Aventine Renewable Energy Holdings, Inc.","Chemicals, Plastics & Rubber",10.50 Cash (15.00 PIK Toggle),9/24/17,7399,7648,6842
10,ChyronHego Corporation (18),High Tech Industries,"6.93 (3M L+593, 1.00 Floor)",3/9/20,36786,36192,36050
11,"Delta Educational Systems, Inc. (14)(16)",Education,"16.00 (3M L+1400 PIK, 2.00 Floor)",12/11/16,7334,7049,0
12,Dodge Data & Analytics LLC,Business Services,"9.75 (3M L+875, 1.00 Floor)",10/31/19,52368,51667,50928
13,ECN Holding Company (Emergency Communications Network) (16)(18),High Tech Industries,"9.50 (3M L+850, 1.00 Floor)",6/12/21,11128,10992,10961
14,ECN Holding Company (Emergency Communications Network) (16)(18),High Tech Industries,"9.50 (6M L+850, 1.00 Floor)",6/12/21,11128,10992,10961
15,Garden Fresh Restaurant Corp. (16),"Hotel, Gaming, Leisure, Restaurants","10.50 (1M L+900, 1.50 Floor)",7/3/18,2500,2500,2500
16,LabVantage Solutions Inc.,High Tech Industries,"9.00 (3M L+800, 1.00 Floor)",12/29/20,14719,14311,14424
17,LabVantage Solutions Limited (16)(17),High Tech Industries,"9.00 (3M E+800, 1.00 Floor)",12/29/20,13484,14082,14850
18,"Magnetation, LLC (14)",Metals & Mining,12.00 PIK,10/14/16,14296,12427,43
19,"Maxus Capital Carbon SPE I, LLC","Chemicals, Plastics & Rubber",13.00,12/31/18,59305,59305,53668
20,"My Alarm Center, LLC, Term Loan A (16)",Business Services,"9.00 (1M L+800, 1.00 Floor)",1/9/19,28035,28035,27755
21,"My Alarm Center, LLC, Term Loan B (16)(23)",Business Services,"9.00 (1M L+800, 1.00 Floor)",1/9/19,7972,7972,7892
22,"My Alarm Center, LLC, Unfunded Term Loan B (8)(16)(21)(23)",Business Services,0.35 Unfunded,1/9/19,789,0,(8
23,"My Alarm Center, LLC, Term Loan C (16)(23)",Business Services,"9.00 (1M L+800, 1.00 Floor)",1/9/19,3115,3115,3084
24,"My Alarm Center, LLC, Unfunded Term Loan C (8)(16)(21)(23)",Business Services,0.35 Unfunded,1/9/19,997,0,(10
