,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED  INVESTMENTS 0140.3,Par  Amount*,Fair  Value (1),
0,CORPORATE DEBT0133.8,,,
1,SECURED DEBT071.0,,,
2,1st Lien Secured Debt028.8,,,
3,"Amaya Gaming Group, Inc., L+775 11/05/15",14625,14625,
4,"Avaya, Inc., 9.00, 04/01/19   ̈",20500,19543,
5,"Aveta, Inc., L+825, 12/12/17",67854,68448,
6,"Caza Petroleum Inc., L+1000, 5/23/17",20000,19069,
7,"Dark Castle Holdings, LLC, L+225, 3/25/13",33715,12604,
8,"Delta Educational Systems, Inc., 16.00 (8.00 Cash/8.00 PIK), 12/11/2016",5118,5118,
9,"Endeavour International Corp., 12.00, 03/01/18† ‡",17665,16958,
10,"Endeavour International Corp., L + 13.00, 6/30/14† ‡",30000,30450,
11,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",31200,31044,
12,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",5548,5521,
13,"Garden Fresh Restaurant Corp., P+675 (P+425 Cash/0.5 PIK/2.0 default rate), 08/09/13 †",2508,2508,
14,"Garden Fresh Restaurant Corp., P+775 (P+525 Cash/0.5 PIK/2.0 default rate), 08/09/13 †",2508,2508,
15,"Magnetation, LLC, 11 05/15/18   ̈",32750,32259,
16,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00, 9/18/19",60000,60000,
17,"Miller Energy Resources, Inc., 18.00 (15.00 Cash/3.00 PIK Option), 6/29/17",55307,55307,
18,"Nara Cable Funding Limited, 8.875, 12/01/18   ̈  ‡",6284,6457,
19,"New Publishing Holdings (F&W Media), L+650, 06/30/18",16000,15600,
20,"Osage Exploration & Development, Inc., L+1500, 4/27/2015 ‡",13000,13000,
21,"Panda Sherman Power, LLC, L+750, 9/14/18",15000,15337,
22,"Panda Temple Power, LLC, L+1000, 7/18/18",25500,25946,
23,"Pelican Energy, LLC, 10.00 (7 Cash / 3 PIK), 12/31/18 ‡",11627,11859,
24,"Spotted Hawk Development LLC, 14.00 (13.00 Cash/ 1.00 PIK), 6/30/16 ‡",24063,23101,
25,"Sunrun Solar Owner IX, LLC, 9.079, 12/31/24",3353,3202,
26,"Texas Competitive Electric Holdings, 11.50, 10/01/20   ̈",50000,37542,
27,Total 1st Lien Secured Debt,533884,,
28,2nd Lien Secured Debt042.2,,,
29,"AI Chem & Cy US AcquiCo, Inc. (Monarch), L +700, 03/20/20 ‡",5000,5025,
30,"Allied Security Holdings, LLC, L+825, 2/2/18",31000,31388,
31,"Amor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/22/20",8000,7980,
32,"Ardent Medical Services, Inc., L+950 01/02/19",20000,20325,
33,"Arysta Lifescience Corporation, L+700 11/22/20 ‡",17133,16994,
34,"Avaya, Inc., 10.5 Cash 03/01/21   ̈",16577,12571,
35,INVESTMENTS IN NON-CONTROLLED/NON-  AFFILIATED INVESTMENTS 0140.3,Par  Amount*,Fair  Value (1),
36,2nd Lien Secured Debt0(continued),,,
37,"Brock Holdings III, Inc., L+825, 3/16/18",25000,25406,
38,"Clean Earth, Inc., 13.00, 8/1/14",25000,25000,
39,"Confie Seguros II, L+900 05/08/19",14844,14881,
40,"Deltek, Inc., 8.75, 6/30/20",27273,27375,
41,"EZE Software Group, LLC., L +750, 03/14/21",6132,6209,
42,"Garden Fresh Restaurant Corp., L+1175 PIK, 12/11/13",47310,33117,
43,"GCA Services Group, Inc., L+800, 10/31/20",28547,29100,
44,"GETCO Financing Escrow LLC, (Knight Capital Group), 8.25 06/15/18   ̈",39033,37081,
45,"Grocery Outlet Inc., L+925 06/17/19",8674,8869,
46,"HD Vest Inc., L+225, 6/17/18 ‡",9396,9302,
47,"Healogics, Inc., L+800, 02/05/20",10000,10250,
48,"Insight Pharmaceuticals, LLC, L+1175, 8/25/17",15448,15796,
49,"ION Trading Technologies S.A.R.L., L+700 05/22/21 ‡",7707,7705,
50,"IPC Systems, Inc., L+525, 05/31/15",44250,35621,
51,"Kronos, Inc., L+850, 04/26/20",61358,63506,
52,"PH Holdings LLC, 9.75, 12/31/17",20000,21275,
53,"Ranpak Corp., L+725, 04/23/20",22000,22330,
54,"Sedgwick Holdings, Inc., L+700, 12/12/18",15225,15377,
55,"SESAC Holdco II LLC, L+875, 08/08/19",10750,11073,
56,"Smart & Final Stores LLC, L+925 11/08/20",12392,12562,
57,"Sprint Industrial Holdings, LLC, L+1000 11/14/19",13500,13584,
58,"SquareTwo Financial Corp. (Collect America), 11.625, 04/01/17 ‡",51079,52867,
59,"Transfirst Holdings Inc., L+9.75, 06/20/18",64750,66126,
60,"U.S. Renal Care, Inc., L+900, 01/03/20",9910,10108,
61,"Valerus Compression Services, LP, 11.50, 3/26/18",40000,41200,
62,"Venoco, Inc., 8.875, 02/15/19",13050,12796,
63,"Vertafore, Inc., L+825, 10/29/17",49260,50307,
64,Total 2nd Lien Secured Debt,779941,,
65,TOTAL SECURED DEBT,1313825,,
66,UNSECURED DEBT062.8,,,
67,"Allied Nevada Gold Corp., 8.75, 06/02/19   ̈  ‡","CAD 39,000",32301,
68,"Altegrity Inc., 0.00, 8/2/16   ̈  †",3545,1666,
69,"Altegrity Inc., 11.75, 5/1/16   ̈  †",14639,11565,
70,"Altegrity Inc., 12.00, 11/1/15   ̈  †",79000,72285,
71,"American Tire Distributors, Inc., 11.50, 6/1/18   ̈",25000,25620,
72,UNSECURED DEBT0(continued),,,
73,"Angelica Corporation, 15.00 (12.00 Cash / 3.00 PIK), 10/15/16",46284,47210,
74,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK, 8/17/17 ‡ †",£,45579,42932
75,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK, 8/17/17 ‡ †",€,24113,22344
76,"Casella Waste Systems Inc., 7.75, 2/15/19",1500,1433,
77,"Ceridian Corp., 12.25 Cash or 13.00 PIK, 11/15/15 †",14420,14684,
78,"Ceridian Corp., 11.25, 11/15/15 †",35800,36471,
79,"Ceridian Corp., 11.00, 03/15/21 †   ̈",67500,75178,
80,"Delta Educational Systems, Inc., 16.00 (10.00 Cash/ 6 PIK), 05/12/17",20729,19485,
81,"Denver Parent (Venoco), 18.00 (variable increases for PIK elections), 10/03/15   ̈",21668,24485,
82,"Energy & Exploration Partners, Inc., 15.00, 04/08/18",25000,22099,
83,"Exova Limited, 10.50, 10/15/18   ̈  ‡ †",£,27086,29280
84,"Exova Limited, 10.50, 10/15/18 ‡ †",4655,7572,
85,"First Data Corp., 11.25, 01/15/21 †   ̈",67000,67056,
86,"First Data Corp., 10.625, 06/15/21 †   ̈",10000,9900,
87,"First Data Corp., 11.75 8/15/21†   ̈",45000,40950,
88,"First Data Corp., 11.25, 03/31/16 †",41862,41051,
89,"inVentiv Health, Inc., 11.00, 8/15/18   ̈",150000,126000,
90,"Lonestar Intermediate Super Holdings (Asurion), LLC, L+950, 9/2/19",41922,44018,
91,"Molycorp, Inc., 10.00, 06/01/20 ‡",16458,16026,
92,"National Financial Partners, 9.00, 7/15/21 ‡   ̈",10000,9900,
93,"Niacet Corporation, 13.00, 08/28/18",12500,12500,
94,"Penn Virigina Corp., 8.50, 05/01/20   ̈",43038,42204,
95,"PetroBakken Energy Ltd. (Lightstream Resources Ltd), 8.625, 02/01/20 ‡   ̈",61581,58656,
96,"U.S. Security Associates Holdings, Inc., 11.00, 7/28/18",135000,137970,
97,"Univar Inc., 10.50 06/30/18",20000,19480,
98,"Varietal Distribution, 10.75, 6/30/17 †   ̈",€,15109,15450
99,"Varietal Distribution, 10.75, 6/30/17 †   ̈",22204,22804,
100,"Whistler Energy II, LLC, 14.00, 01/3/13",128,128,
101,TOTAL UNSECURED DEBT,1175933,,
102,TOTAL CORPORATE DEBT,2489758,,
103,STRUCTURED PRODUCTS02.2,,,
104,"SLM Student Loan Trust 2006-2, Certificates ‡",33,31300,
105,"Westbrook CLO Ltd., Series 2006-1A, Class E L+370, 12/20/20   ̈  ‡",11000,9845,
106,TOTAL STRUCTURED PRODUCTS,44172,,
107,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED  INVESTMENTS0140.3,Shares,Fair  Value (1),
108,PREFERRED EQUITY00.7,,,
109,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",7961,1592,
110,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50 PIK, 5/12/14 ***",12360,8535,
111,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50 PIK ***",332500,0,
112,"Varietal Distribution Holdings, LLC, Class A 8.00 PIK",3097,2667,
