,Industry,Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
2,FingerPaint Marketing,KL Charlie Acquisition Company,First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",12/30/26,3504,3469,3469,(9),
3,FingerPaint Marketing,KL Charlie Acquisition Company,First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",12/30/26,18606,18262,18420,(9),
4,FingerPaint Marketing,KL Charlie Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/30/26,2190,(19),(22),(8)(9)  (21)(23),
5,FingerPaint Marketing,KL Charlie Acquisition Company,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/30/26,876,(20),(9),(8)(9)  (21)(23),
6,FingerPaint Marketing,"KL Charlie Co-Invest, L.P.",Common Equity - Common Stock,N/A,N/A,"218,978 Shares",219,370,(9)(13)  (25),
9,"Simplifi Holdings, Inc.","Simplifi Holdings, Inc.",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",08/02/25,38342,37851,38020,(9),
10,"Simplifi Holdings, Inc.","Simplifi Holdings, Inc.",First Lien Secured Debt - Revolver,7.50 (P+425),08/02/25,720,720,713,(9)(23),
11,"Simplifi Holdings, Inc.","Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/25,1680,(38),(16),(8)(9)  (21)(23),
16,Erickson Inc,Erickson Inc,First Lien Secured Debt - Revolver,"9.00 (3M L+750, 1.50 Floor)",04/28/22,32877,32877,32384,(9)(23),
17,Erickson Inc,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,1694,(77),(25),(8)(9)  (21)(23),
18,Erickson Inc,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,09/30/21 - 11/23/22,1429,0,(21),(8)(9)  (23),
22,Club Car Wash,"Club Car Wash Operating, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",06/16/27,13813,13572,13571,(9),
23,Club Car Wash,"Club Car Wash Operating, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/16/27,2438,(42),(43),(8)(9)  (21)(23),
24,Club Car Wash,"Club Car Wash Operating, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/16/27,16250,(282),(284),(8)(9)  (21)(23),
27,Crowne Automotive,"Vari-Form Group, LLC",First Lien Secured Debt,11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5860,901,293,(9)(14),
28,Crowne Automotive,Vari-Form Inc.,First Lien Secured Debt,11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2110,391,105,(9)(14),
31,"K&N Parent, Inc.","K&N Parent, Inc.",Second Lien Secured Debt,"9.75 (3M L+875, 1.00 Floor)",10/21/24,23765,23565,22279,,
33,"Truck-Lite Co., LLC","TL Lighting Holdings, LLC",Common Equity - Equity,N/A,N/A,350 Shares,350,382,(9)(13),
34,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",12/14/26,28513,27981,28353,(9),
