,new_Industry,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0136.8,Interest Rate,Maturity Date,Industry,Par Amount*,Cost,Fair  Value (1),
0,1st Lien Secured Debt037.3 (continued),1st Lien Secured Debt037.3 (continued),,,,,,,
1,,"Spotted Hawk Development, LLC ‡",14.00 (13.00 Cash/1.00 PIK),6/30/16,Oil and Gas,32386,31847,32386,
2,,"Sunrun Solar Owner IX, LLC",9.079,12/31/24,Energy,3574,3422,3422,
3,,"UniTek Global Services, Inc., (Revolver)†","10.25 (L+925, 1.00 Floor) Funded, 2.00 Unfunded",4/15/16,Telecommunications,37652,37652,37652,
4,,"Walter Energy, Inc.  t  ‡",9.500,10/15/19,Mining,21257,21676,21636,
6,Unfunded Revolver Obligations0(0.3),Unfunded Revolver Obligations0(0.3),,,,,,,
7,,"Avaya, Inc., (Unfunded Revolver) (8)","L+275 Funded, 0.50 Unfunded",10/26/16,Telecommunications,18392,"(4,699","(1,425",
8,,"BMC Software, Inc., (Unfunded Revolver) (8)","L+400 Funded, 0.50 Unfunded",9/10/18,Business Services,30760,"(3,281","(2,768",
9,,"Confie Seguros Holding II Co., (Unfunded Revolver) (8) †","P+350 Funded, 0.50 Unfunded",12/10/18,Insurance,3641,(409,(328,
10,,"Laureate Education, Inc., (Unfunded Revolver) (8)‡","L+375 Funded, 0.625 Unfunded",6/16/16,Education,28880,"(2,888","(2,455",
11,,"Reichhold Holdings International B.V., (Unfunded Revolver) ‡†","L+600 Funded, 1.50 Unfunded",12/19/16,Chemicals,12500,0,0,
12,,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)‡†","L+300 Funded, 0.50 Unfunded",1/2/19,Healthcare,24867,"(1,822",(249,
13,,"UniTek Global Services, Inc., (Unfunded Revolver) †","L+925 Funded, 2.00 Unfunded",4/15/16,Telecommunications,15702,0,0,
14,,"Walter Energy, Inc., (Unfunded Revolver) (8)‡","L+550 Funded, 0.625 Unfunded",10/1/17,Mining,1923,(215,(101,
16,Letters of Credit0 (0.0),Letters of Credit0 (0.0),,,,,,,
17,,"Confie Seguros Holding II Co., Letter of Credit (8)†",4.500,10/27/14,Insurance,600,0,(54,
18,,"Confie Seguros Holding II Co., Letter of Credit (8)†",4.500,1/13/15,Insurance,50,0,(5,
19,,"Salix Pharmaceuticals, Ltd., Letter of Credit ‡†",3.000,2/10/15,Healthcare,8,3,0,
20,,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)‡†",3.000,2/10/15,Healthcare,125,48,(1,
